plate,shRNA,Well,GeoMean
12,Polr2b.1,B11,6285.632918
control 1,shSp140.2,F07,2834.586712
control 1,shBptf.1,B02,2859.000494
9,Mbd2.3,E10,6366.447233
4,Chd4.2,D02,2868.410679
5,Eed.4,G04,2878.614952
control 1,shWhsc1.3,B08,2886.655166
15,Setd4.4,,3778.320346
19,Zmynd11.2,D09,3905.330902
19,Arid1a.2,G11,3913.944116
17,Ssrp1.2,D09,3924.198406
17,Ssrp1.3,E11,3940.866879
9,Kdm6a.3,F06,6493.814382
control 1,shCd4.4,E11,2926.297692
12,Pcmt1.1,C03,6509.527057
15,Setd8.4,G11,3956.25745
12,Phf8.2,D08,6517.908302
21,Smarcd2.3,B09,3959.206741
17,Supt16h.1,C11,3959.808691
19,Cbx2.2,E10,3963.883661
19,Whsc1.2,D06,3964.715107
7,Hdac9.4,G08,2947.173151
9,Mbd2.2,D08,6554.426378
4,Ctsl.2,E03,2958.32635
15,Scml2.2,D02,3992.062355
control 2,shmll2.3,C04,6583.869479
12,Phf1.2,D09,6605.62244
10,Myst3.3,E09,6614.604405
1,Aff1.2,D02,2979.443515
2,Brd2.1,B03,2981.113684
12,Polr2b.2,C05,6634.337867
11,Pbrm1.1,C09,6647.040871
10,Mll3.1,B06,6658.636892
11,Padi6.2,D08,6667.031555
17,Suv39h1.4,G11,4045.594441
2,Baz1a.1,B02,3008.649325
control 2,shCd4.4,E11,6678.768345
2,Brd3.3,E06,3010.789483
control 1,shBrd8.2,C07,3015.994499
12,Phf1.1,B09,6693.403079
15,Setd8.4,,3956.25745
11,Ncor1.1,D05,6716.351304
12,Pcmt1.4,F10,6736.474307
17,Sp140.2,E07,4124.762543
16,Smarca1.4,G03,4130.83842
5,Ep300.1,C11,3075.012474
4,Dot1l.4,G05,3082.046893
9,Kdm6a.2,D06,6838.046521
5,Ezh1.1,B08,3093.592963
12,Pcgf6.1,B06,6864.323242
8,Kdm4a.2,C02,6873.977849
control 1,shRunx3.2,F03,3105.445278
7,Hdac9.1,B06,3107.027431
6,Hdac10.4,G02,3107.912114
12,Phf20.3,D04,6890.394969
12,Pcgf5.2,D02,6906.022081
control 1,shBptf.3,B04,3117.381386
9,Kdm5b.1,B02,6909.671165
4,Dmap1.2,C07,3122.99959
8,Kat2a.4,G08,6918.602533
8,Kdm4d.3,D07,6925.589949
1,Asxl1.4,G03,3132.573307
control 3,shCxxcl.3,D08,4205.188896
1,Atad2b.4,G02,3140.755365
control 3,shCd4.4,E11,4220.569551
4,Dnmt3l.1,C09,3148.265821
4,Chd4.4,G04,3148.292104
12,Phf1.4,G10,6975.451815
2,Brd8.2,C02,3150.910616
19,Arid1b.1,B03,4233.437468
control 1,shBptf.2,B03,3156.365349
8,Kdm4d.1,C09,6996.343025
9,Kdm6b.1,D05,6999.26713
control 3,shSp140.2,F07,4253.059695
11,Ncor1.3,F05,7026.526868
control 3,shNcor1.1,D02,4262.44196
4,Chd3.2,C04,3191.965732
11,Pbrm1.3,D07,7064.414741
19,Whsc1.4,F10,4278.470149
12,Phc1.3,F05,7069.552406
8,Kdm3a.2,C07,7074.588596
14,Rnf20.2,C05,7081.682724
12,Phf20.2,C10,7089.067771
control 3,shSp140.3,F08,4293.334091
12,Ppargc1a.4,G06,7095.543586
6,Gtf3c4.1,C11,3212.821578
16,Smyd2.4,G06,4309.676579
1,Ash2l.3,E11,3226.108444
4,Dnmt1.2,D08,3228.168084
4,Dnmt3l.3,D07,3229.563742
19,Arid1b.3,D04,4328.321933
1,Asxl3.3,D04,3236.318902
9,Men1.2,D11,7162.006146
17,Sp110.1,C03,4340.337963
2,Bptf.1,C11,3243.930053
control 1,shSmarce1.4,G05,3244.069928
2,Bmi1.1,D05,3244.61343
control 1,shWhsc1.2,B07,3244.955561
16,Smyd2.3,D07,4347.549543
20,Satb1.2,G05,4349.980967
5,Ep300.4,G03,3255.983268
12,Pcgf6.3,F02,7198.828328
19,Whsc1l1.4,G07,4359.397738
15,Scml4.4,G08,4365.407931
8,Kdm2a.4,G11,7213.610881
control 1,shCd4.2,C11,3263.220591
12,Phf19.3,F09,7219.213315
12,Polr2b.4,F11,7227.802089
8,Jmjd5.1,B02,7227.908639
12,Phf8.3,E10,7239.903076
1,Atr.1,B11,3276.735898
control 2,shNcor1.1,D02,7242.407138
control 2,shNcor1.3,D04,7256.570295
17,Smyd4.3,D10,4392.820067
12,Phf2.1,B05,7273.331699
control 3,shBrd8.2,C07,4401.92216
18,Trim33.1,C11,4403.734317
18,Ube2i.1,C06,4407.371947
4,Chd9.2,D09,3303.025597
2,Brd8.1,B08,3304.81868
2,Baz1b.4,G04,3308.471328
4,Ctsl.4,G11,3309.637403
17,Suv39h2.2,C10,4424.858416
11,Padi4.1,B04,7321.064271
17,Taf3.1,C09,4435.247005
16,Smarcc2.2,C07,4440.910174
16,Smarcd3.1,B08,4448.323996
9,Mbd2.1,C06,7361.802708
8,Kdm3a.1,B04,7362.939625
12,Phf2.4,G11,7364.086578
19,Brdt.1,E06,4460.446476
2,Baz1a.4,E04,3346.524179
control 1,shCd4.1,B11,3353.550654
1,Asxl1.1,C11,3355.359721
11,Padi1.2,C10,7419.473798
2,Baz2a.3,F02,3360.93698
4,Crebbp.2,E02,3362.804949
12,Prdm1.3,F03,7427.743466
7,Ino80.4,G02,3370.748937
12,Prdm1.1,B07,7445.772589
16,Sirt3.3,E08,4506.545881
19,Zmynd8.4,G03,4506.894344
11,Nap1l2.3,D10,7456.592841
11,Nap1l3.1,B10,7460.825201
12,Phip.2,C02,7466.366978
14,Prmt2.2,D02,7472.957003
17,Taf1.2,C05,4524.426271
18,Trim28.4,G10,4526.805926
8,Kdm1a.1,B09,7504.274686
1,Asxl2.2,E03,3407.000873
12,Pcgf5.1,B10,7519.503525
18,Ube2e1.3,E06,4546.539689
15,Setd2.2,E07,4548.696856
10,Myst3.1,B11,7538.653207
4,Crebbp.1,C11,3417.596427
21,Setd3.2,D02,4558.869449
19,Clock.2,F11,4558.902348
16,Smyd3.4,G05,4561.035515
control 1,shCd4.4,E10,3423.100345
control 2,shCd4.3,D11,7565.316878
14,Prmt8.2,E02,7568.772396
control 2,shSmarce1.4,G05,7572.148798
16,Smarce1.4,F11,4579.532748
12,Pcgf2.3,D10,7589.535499
21,Satb1.3,B02,4588.319418
11,Ncor2.4,G10,7599.184093
12,Phip.4,F07,7602.037716
14,Rnf40.3,F03,7612.199683
15,Sin3a.3,D07,4600.413061
