plate,shRNA,Well,Percentage
plate 4,Chd8.3,F05,0.689061154
plate 6,Gtf2b.3,F05,0.692041522
plate 3,Cbx4.3,E11,0.692383778
control 3,shRunx3.2,F03,18.01298861
plate 9,Kdm5d.4,G08,1.463414634
plate 9,L3mbtl4.1,B03,1.475641803
plate 11,Orc1.4,G11,1.476468779
control 3,shCd4.3,D10,18.09434222
plate 9,Mbd3.4,F07,1.481481481
plate 3,Cbx7.2,C10,0.707964602
plate 6,Gtf2b.4,G07,0.708215297
plate 14,Psip1.3,F08,1.485992692
plate 2,Brpf3.4,G05,0.713012478
plate 10,Mll5.2,D06,1.488981537
plate 4,Chd5.3,F02,0.713386488
plate 12,Pcgf5.1,B10,1.489361702
plate 13,Prkaa2.2,D03,1.490066225
plate 10,Mll3.4,G08,1.493670886
plate 20,Hdac5.2,F05,18.17640302
plate 4,Crebbp.3,F09,0.717547293
plate 13,Prkaa2.1,C09,1.497299951
plate 16,Smarce1.1,B11,18.19615087
plate 12,Phf1.3,E11,1.500223914
control,Whsc1.2,B07,1.50332466
plate 11,Nap1l3.1,B10,1.503759398
plate 6,Hdac3.3,E09,0.725426188
plate 7,Ing5.1,B04,0.725725726
plate 4,Dnmt3a.4,F07,0.725952813
plate 14,Prmt6.2,E07,1.50562226
plate 7,Jmjd4.1,B07,0.729483283
plate 1,Asxl2.1,B05,0.729927007
plate 1,Atr.3,E09,0.729927007
plate 7,Jmjd4.2,D11,0.729927007
plate 11,Paxip1.3,E09,1.511969761
Control 1,shBptf.1,B02,0.735539953
plate 4,Chd5.4,G08,0.73664825
plate 18,Uhrf1.3,E05,18.32739168
plate 16,Smarca4.2,E03,18.33652716
plate 3,Chd2.2,D11,0.741198271
plate 18,Usp22.4,F11,18.33987396
plate 15,Setd4.1,B09,18.34690768
plate 16,Smarcd3.2,C02,18.35358464
plate 1,Atad2.1,B04,0.743931088
plate 3,Chaf1b.3,E05,0.744416873
plate 14,Rbbp7.1,C06,1.529535865
plate 6,Gtf2f1.3,E11,0.745434215
plate 20,Prdm16.2,D03,18.37660719
Control 1,shSmarca4.2,E03,0.747198007
control,Brd8.4,C09,1.534466478
plate 17,Taf3.3,D07,18.3895569
plate 19,Zmynd8.2,E02,18.39424204
plate 5,Ezh1.4,F07,0.75103267
plate 4,Dmap1.4,F04,0.751445087
plate 17,Tcea1.1,B07,18.40968624
plate 12,Phf8.3,E10,1.539538139
plate 1,Atrx.4,G06,0.753669179
plate 2,Brpf3.3,F03,0.755287009
plate 20,Jmjd8.2,C11,18.43779688
plate 2,Bptf.4,G03,0.757134537
plate 11,Padi6.1,C06,1.546157344
plate 3,Brwd3.1,B10,0.758396533
plate 11,Orc1.2,E03,1.547531319
plate 3,Carm1.4,G08,0.758725341
plate 17,Supt16h.1,C11,18.45737928
plate 6,Gtf2f1.4,G10,0.758853288
Control 1,shSmarca4.3,E04,0.759361089
plate 2,Brd1.3,F08,0.759668508
plate 12,Ppargc1a.3,D07,1.551991723
plate 9,Kdm5d.2,C08,1.553449184
plate 16,Smarcd1.4,G02,18.49164482
plate 5,Elp4.4,G10,0.764175455
plate 18,Tet3.3,F06,18.49523594
control 3,shBrd8.4,C09,18.49668972
plate 20,Phf10.1,F07,18.50334309
plate 8,Kdm1b.1,C11,1.558935361
plate 14,Prmt5.2,D06,1.56043956
control,Runx3.1,F02,1.560501407
plate 1,Arid2.2,D06,0.770218228
plate 12,Polr2b.3,E09,1.5651679
