shRNA,t1,t2
Pcgf5.3,-41.700623,34.648342
Polr2b.3,-16.215425,29.525333
Phf8.3,-14.741377,29.190334
Phf1.3,-4.9596643,26.175526
Pcgf6.3,-41.25109,35.717236
Prdm1.3,-35.549366,28.266773
Phf20l1.4,-12.904533,32.32825
Phc1.3,13.429324,34.250214
Pcmt1.3,10.21548,32.6847
Phip.4,12.898925,35.37459
Phf2.3,-2.0033154,25.636482
Phf19.3,-3.8788335,26.495043
Pcmt1.4,0.21402444,23.436731
Polr2b.4,-33.595306,26.965153
Phf8.4,-12.65935,46.858368
Phf19.4,16.381546,13.361429
Pcgf5.4,4.0935826,-34.40538
Prdm1.4,-28.939907,16.035496
Ppargc1a.4,-22.065092,4.7489834
Phc1.4,-4.063768,25.84214
Pcgf6.4,-4.011939,25.207874
Phf20.4,1.5274156,12.211489
Phf1.4,26.35474,25.685928
Phf2.4,-4.0467362,28.149984
Prdm10.1,-72.7862,0.6810081
Prdm5.1,-78.24538,7.8691573
Prdm6.1,-79.17128,-2.7719724
Prdm4.1,-78.76331,-0.51878095
Prdm12.1,-80.20713,0.82963294
Prkcd.1,-81.37015,-5.4960938
Prdm9.1,-79.56088,-4.0779166
Prdm15.1,-75.998856,4.947286
Prdm11.1,-56.15247,13.24584
Prkaa1.1,-80.49508,-5.2204843
Prdm9.2,-82.75354,0.9520758
Prdm13.1,-83.13479,4.02582
Prdm10.2,-74.90252,-0.9270627
Prkaa1.2,-84.4202,3.4878132
Prdm8.1,-85.41996,-0.32730216
Prdm6.2,-84.40132,1.4939138
Prdm12.2,-85.999054,4.692005
Prkaa2.1,-82.32247,-1.9679672
Prdm5.2,-85.32267,-1.2620783
Prdm2.1,-76.61672,-7.1228247
Prdm11.2,-75.35705,-6.6326165
Prkaa2.2,-80.925385,2.9127588
Prdm5.3,-69.45538,2.0497718
Prdm14.1,-81.914795,4.006087
Prdm13.2,-83.8915,-4.263929
Prkaa2.3,-82.52275,2.63238
Prdm8.2,-86.826294,4.777585
Prdm15.2,-76.19072,5.0390825
Prdm10.3,-74.75848,-6.907392
Prkcd.2,-78.32636,-1.5727918
Prdm2.2,-80.82761,-2.3292804
Prdm4.2,-82.760475,6.0399427
Prdm10.4,-80.538994,3.113654
Prdm9.3,-81.825584,6.8123918
Prdm6.3,-84.46827,7.331589
Prdm14.2,-84.760704,8.107482
Prdm11.3,-83.48355,3.927945
Prkaa1.3,-85.8363,2.2170274
Prdm8.3,-79.64795,-6.2340193
Prdm15.3,-84.31641,4.789246
Prdm12.3,-77.26132,3.58549
Prkcd.3,-76.67991,-0.62874955
Prdm6.4,-77.355064,0.8683213
Prdm14.3,-80.26747,4.985146
Prdm13.3,-49.77418,-6.623896
Prdm9.4,-81.53265,7.224562
Prdm4.3,-78.4725,7.2696958
Prdm2.3,-84.3372,2.3853922
Prdm13.4,-68.305046,2.0758662
Prkaa1.4,-79.294525,-1.184823
Prdm8.4,-79.99823,-1.4694924
Prdm2.4,-75.60478,2.199254
Prdm11.4,-77.81005,-3.0796566
Prkcd.4,-69.99944,1.8398409
Prkaa2.4,-77.31006,1.9189075
Prdm14.4,-75.77207,-5.128733
Prdm12.4,-76.35869,-2.417514
Prdm5.4,-76.04886,-3.6442544
Prdm15.4,-79.18337,4.921577
Prdm4.4,-79.61732,-4.6153626
