shRNA,count
Kdm4a.3,3867
Kdm4a.4,21
Kdm4b.1,0
Kdm4b.2,0
Kdm4b.3,0
Kdm4c.1,1045
Kdm4c.2,1936
Kdm4c.3,838
Kdm4c.4,25
Kdm4d.1,5917
Kdm4d.2,1921
Kdm4d.3,26
Kdm4d.4,2144
Kdm5a.1,3375
Kdm5a.2,2781
Kdm5a.3,2453
Kdm5a.4,675
Kdm5b.1,1068
Kdm5b.2,915
Kdm5b.3,3527
Kdm5b.4,1640
Kdm5c.1,2666
Kdm5c.2,8003
Kdm5c.3,2419
Kdm5c.4,407
Kdm5d.1,2141
Kdm5d.2,1611
Kdm5d.3,915
Kdm5d.4,0
Kdm6a.1,1552
Kdm6a.2,652
Kdm6a.3,1554
Kdm6a.4,5
Kdm6b.1,7
Kdm6b.2,641
Kdm6b.3,450
Kdm6b.4,19
Klf12,36
Klf12.4,45
Klf12.5,608
Klf2,100
Klf2.2,104
Klf2.3,52
Klf2.4,3029
Klf2.5,0
Klf2.6,571
Klf2.7,39
L3mbtl1.1,408
L3mbtl1.2,192
L3mbtl1.3,17071
L3mbtl1.4,635
L3mbtl2.1,204
L3mbtl2.3,154
L3mbtl2.4,10
L3mbtl3.1,235
L3mbtl3.2,904
L3mbtl3.3,1940
L3mbtl3.4,5231
L3mbtl4.1,301
L3mbtl4.2,1745
L3mbtl4.3,465
L3mbtl4.4,313
Mbd1.1,2036
Mbd1.2,271
Mbd1.3,7
Mbd1.4,4625
Mbd2.2,149
Mbd2.3,2043
Mbd2.4,1787
Mbd3.1,659
Mbd3.2,3335
Mbd3.3,8
Mbd3.4,1
Mbd4.1,8846
Mbd4.2,701
Mbd4.3,1234
Mbd4.4,722
Mecom.1,402
Mecom.2,539
Mecom.3,1326
Mecom.4,493
Mecp2.1,0
Mecp2.2,0
Mecp2.3,0
Men1.1,942
Men1.3,400
Men1.4,510
Mll1.1,0
Mll1.2,2901
Mll1.3,752
Mll1.4,55
Mll2.1,191
Mll2.2,3930
Mll2.3,0
Mll2.4,10
Mll3.2,3202
Mll3.3,2307
Mll3.4,510
Mll5.1,22546
Mll5.2,1570
Mll5.3,747
Mll5.4,123
Morf4l1.2,19238
Morf4l1.3,649
Morf4l1.4,1990
Ms4a1,2921
Ms4a1.2,1977
Msl3.1,38
Msl3.2,927
Msl3.3,1175
Msl3.4,670
Mta1.1,6
Mta1.2,56
Mta1.3,386
Mta1.4,5693
Mta2.1,1671
Mta2.2,3983
Mta2.3,17
Mta2.4,309
Mta3.1,3516
Mta3.2,8
Mta3.3,11
Mta3.4,1441
Mtf2.1,4675
Mtf2.2,1289
Mtf2.3,401
Mtf2.4,492
Myst1.1,11
Myst1.2,4484
Myst1.3,1175
Myst1.4,642
Myst2.1,240
Myst2.2,573
Myst2.3,684
Myst2.4,1
Myst3.1,13
Myst3.2,4586
Myst3.3,549
Myst3.4,1
Myst4.1,1321
Myst4.3,270
Myst4.4,525
Nap1l1.1,49
Nap1l1.2,5
Nap1l1.3,463
Nap1l1.4,6536
Nap1l2.1,2243
Nap1l2.2,0
Nap1l2.3,196
Nap1l2.4,898
Nap1l3.1,7019
Nap1l3.2,1511
Nap1l3.3,16489
Nap1l3.4,2042
Ncoa1.1,1880
Ncoa1.2,4666
Ncoa1.3,838
Ncoa1.4,9
Ncoa3.1,0
Ncoa3.2,129
Ncoa3.3,1591
Ncoa3.4,1141
Ncor1.1,3150
Ncor1.3,537
Ncor1.4,5252
Ncor2.1,1774
Ncor2.2,765
Ncor2.3,618
Ncor2.4,1017
Nfatc3.2,2520
Nfatc3.3,0
Nfatc3.7,4
Nfatc3.8,2651
Nsd1.1,613
Nsd1.2,834
Nsd1.3,22
Nsd1.4,938
Orc1.1,49
Orc1.2,1982
Orc1.3,2579
Orc1.4,2
Padi1.1,1480
Padi1.2,83
Padi1.3,108
Padi1.4,2529
Padi2.1,0
Padi2.2,0
Padi2.3,0
Padi3,0
Padi4.1,199
Padi4.2,538
Padi4.3,301
Padi4.4,272
Padi6.1,1880
Padi6.2,0
Padi6.3,19
Padi6.4,771
Paf1.1,0
Paf1.2,0
Paf1.3,151
Parp1.1,1307
Parp1.2,138
Parp1.3,4950
Parp1.4,0
Parp2.1,7
Parp2.2,1
Parp2.3,0
Paxip1.1,1251
Paxip1.2,170
Paxip1.3,709
Paxip1.4,2541
Pbrm1.1,2627
Pbrm1.2,18880
Pbrm1.3,0
Pbrm1.4,979
Pcgf1.1,1049
Pcgf1.2,1030
Pcgf1.3,49
Pcgf1.4,707
Pcgf2.2,1565
Pcgf2.3,623
Pcgf2.4,67
Pcgf5.1,640
Pcgf5.2,20
Pcgf5.3,71
Pcgf5.4,267
Pcgf6.1,59
Pcgf6.2,1601
Pcgf6.3,20523
Pcgf6.4,1045
Pcmt1.1,1217
Pcmt1.3,1865
Pcmt1.4,4177
Phc1.1,3148
Phc1.2,7393
Phc1.3,208
Phc1.4,0
Phc2.1,0
Phc2.2,0
Phc3.1,0
Phc3.2,0
Phc3.3,0
Phf1.1,40
Phf1.2,25
Phf1.3,2217
Phf1.4,0
Phf10.1,0
Phf10.2,0
Phf10.3,0
Phf17.1,0
Phf17.2,360
Phf19.1,678
Phf19.2,578
Phf19.3,4712
Phf19.4,63
Phf2.1,794
Phf2.2,789
Phf2.3,544
Phf2.4,4
Phf20.1,0
Phf20.2,687
Phf20.3,7789
Phf20.4,159
Phf20l1.1,570
Phf20l1.2,3
Phf20l1.3,810
Phf20l1.4,5781
Phf8.1,2309
Phf8.2,12807
Phf8.3,59
Phip.1,4550
Phip.2,989
Phip.3,0
