"Experiment: 10 U p1","Analysis: Analysis 3","User: Admin","Number of Plates: 8","Plate Type: 96 Well","Plate Order: Row","Export Date: 6/2/2015","Export Time: 2:03:29 PM"
"Plate: control"
"Well ID","Well Type","GFP+CD103+ as % of GFP+","Amet+GFP+CD103+ as % of Amet+GFP+","Amet+CD103+ as % of Amet+"
"F10","Sample",43.2522123893805,20.6896551724138,54.1666666666667
"F11","Sample",49.740932642487,41.1764705882353,53.3333333333333
"G02","Sample",41.0201342281879,51.7241379310345,56.25
"G03","Sample",25.4098360655738,30.421686746988,48.6040609137056
"G04","Sample",24.340770791075,32.1116928446771,44.9228791773779
"G05","Sample",30.5220883534137,39.0625,54.5820745216516
"G06","Sample",37.883008356546,38.8480392156863,55.365296803653
"G07","Sample",23.1481481481481,36.4406779661017,54.7703180212014
"G08","Sample",30.6060606060606,28.9558665231432,44.9034334763949
"G09","Sample",27.8890600924499,29.7872340425532,45.0777202072539
"G10","Sample",25,50,37.5
"G11","Sample",62.962962962963,33.3333333333333,100
"Plate: 15"
"Well ID","Well Type","GFP+CD103+ as % of GFP+","Amet+GFP+CD103+ as % of Amet+GFP+","Amet+CD103+ as % of Amet+"
"B02","Sample",36.6050808314088,52.2796352583587,62.063227953411
"B03","Sample",40.6091370558376,33.4100322135297,56.332647663826
"B04","Sample",52.7173913043478,47.3355736917907,60.7594936708861
"B05","Sample",36.4804745427583,39.7754137115839,51.1350737797957
"B06","Sample",32.4828263002944,46.4979665612291,59.6172248803828
"B07","Sample",42.258883248731,48.4186313973548,59.0934527140459
"B08","Sample",45.3681710213777,46.7405475880052,55.5613577023499
"B09","Sample",43.3810375670841,47.7850697292863,58.7799564270153
"B10","Sample",34.6578366445916,46.3309352517986,57.2234762979684
"B11","Sample",39.1263057929725,51.604621309371,54.406580493537
"C02","Sample",43.4444952032892,42.4743443557583,58.4262701363073
"C03","Sample",43.1407942238267,44.2307692307692,53.7539432176656
"C04","Sample",31.8930041152263,53.5532994923858,72.1280602636535
"C05","Sample",49.0066225165563,43.3280170122275,53.4164358264081
"C06","Sample",47.7611940298507,59.7569692637598,67.2254335260116
"C07","Sample",41.3284132841328,39.7279549718574,53.5625664657923
"C08","Sample",42.7549194991055,47.5238527941845,55.8871627146361
"C09","Sample",43.1497175141243,42.0783645655877,51.5274949083503
"C10","Sample",38.2716049382716,45.9921798631476,59.8325151602657
"C11","Sample",66.5865384615385,61.4410480349345,75.8620689655172
"D02","Sample",20.253164556962,27.9411764705882,37.9338175948345
"D03","Sample",33.3333333333333,37.147102526003,46.5993265993266
"D04","Sample",24.3346007604563,35.6550580431177,59.051094890511
"D05","Sample",37.2549019607843,47.4662162162162,48.1538461538462
"D06","Sample",38.5398981324278,39.1139240506329,53.9618856569709
"D07","Sample",29.3064876957494,35.0877192982456,44.5544554455445
"D08","Sample",36.8670886075949,43.2920536635707,58.2799145299145
"D09","Sample",45.320197044335,50.5813953488372,69.0476190476191
"D10","Sample",19,33.8983050847458,47.5935828877005
"D11","Sample",39.8860398860399,38.400789733465,48.0528052805281
"E02","Sample",53.781512605042,42.6168224299065,54.4542032622334
"E03","Sample",38.1240544629349,55.5041628122109,68.4036393713813
"E04","Sample",28.6413708690331,41.1027568922306,63.0836047774159
"E05","Sample",30.9880239520958,35.1595006934813,54.2457542457542
"E06","Sample",25.1650165016502,38.6802386802387,61.4517583408476
"E07","Sample",26.5895953757225,29.1039426523297,47.5887652358241
"E08","Sample",30.2521008403361,41.9443355546844,59.711964549483
"E09","Sample",40.6164757228587,48.8950276243094,73.4265734265734
"E10","Sample",17.5438596491228,22.153024911032,44.8040455120101
"E11","Sample",36.7382726874178,41.2908930150309,55
"F02","Sample",38.9705882352941,39.9521531100478,57.1217166111728
"F03","Sample",36.4069952305246,45.1301832208293,57.3650947982499
"F04","Sample",34.0384615384615,43.1381518755718,59.7732426303855
"F05","Sample",37.0967741935484,39.3889347646573,57.2228443449048
"F06","Sample",32.9081632653061,43.4782608695652,55.4294975688817
"F07","Sample",34.4559585492228,40.8993576017131,60.9250398724083
"F08","Sample",20.4838709677419,31.5028901734104,47.6712328767123
"F09","Sample",47.8571428571429,34.3220338983051,60.1804850535815
"F10","Sample",23.5849056603774,31.2522686025408,44.8481702569426
"F11","Sample",38.2808716707022,53.3333333333333,72.7272727272727
"G02","Sample",35.9342915811088,38.7083671811535,46.2254025044723
"G03","Sample",51.5981735159817,36.8392070484582,55.6704260651629
"G04","Sample",37.1134020618557,36.9144602851324,58.1933726736269
"G05","Sample",39.6267049533381,39.9280575539568,53.8948701709943
"G06","Sample",36.6228070175439,39.8843930635838,49.3562231759657
"G07","Sample",36.8110236220472,42.6578560939794,53.8461538461538
"G08","Sample",37.9936642027455,65.3846153846154,60
"G09","Sample",22.7659574468085,26.2046810463515,43.0447470817121
"G10","Sample",22.2418879056047,24.6575342465753,40.0979706088174
"G11","Sample",26.6955266955267,36.8177613320999,47.2087378640777
"Plate: 16"
"Well ID","Well Type","GFP+CD103+ as % of GFP+","Amet+GFP+CD103+ as % of Amet+GFP+","Amet+CD103+ as % of Amet+"
"B02","Sample",25.8943781942078,35.3516534699581,42.4718196457327
"B03","Sample",34.5165238678091,57.0665083135392,70.0404858299595
"B04","Sample",34.0875370919881,41.4228723404255,50.8544490276959
"B05","Sample",28.5714285714286,33.8818973862536,42.9361488185018
"B06","Sample",25.5623721881391,42.7509293680297,56.6801619433198
"B07","Sample",30.9130122214234,42.2230950510605,54.4612794612795
"B08","Sample",34.8947725729803,36.3733333333333,51.5151515151515
