"Position","Pool","shRNA","Percentage","precentile","z"
"control2_G11",2,"Empty",25,100,18.7785400523954
"11_B02",2,"Nap1l2.1",0.281917036,32.9145104410002,-0.442275014666815
"11_B03",2,"Padi1.1",0.618955513,42.8500356210873,-0.180193434702211
"11_B04",2,"Padi4.1",0.399361022,36.2812775718224,-0.350950410775311
"11_B05",2,"Orc1.1",0.458452722,38.0182838472042,-0.305000624161498
"11_B06",2,"Ncoa1.1",0.71524363,45.8061080291133,-0.105319663434912
"11_B07",2,"Pcgf1.1",0.625920471,43.0627244569708,-0.174777473850278
"11_B08",2,"Parp1.1",0.566572238,41.2574737808943,-0.220926740875204
"11_B09",2,"Ncor2.1",0.720164609,45.9579515972459,-0.101493103444574
"11_B10",2,"Nap1l3.1",0,25.414775275272,-0.661494086837671
"11_B11",2,"Paxip1.1",1.126213592,58.4824391136868,0.21425114022426
"11_C02",2,"Parp1.2",0.690846287,45.0542408527519,-0.124291070667976
"11_C03",2,"Ncoa3.1",0.633713561,43.3009404360407,-0.168717556424273
"11_C04",2,"Nap1l2.2",6.19047619,99.9983537347862,4.1522286520307
"11_C05",2,"Paxip1.2",0.448833034,37.73375356856,-0.312480906686649
"11_C06",2,"Padi6.1",0.97323601,53.7959966807167,0.0952955635595669
"11_C07",2,"Padi4.2",0.715841892,45.8245650020366,-0.104854454086744
"11_C08",2,"Ncoa1.2",0.456498389,37.9604256858215,-0.306520316171076
"11_C09",2,"Pbrm1.1",0.864197531,50.4191646671474,0.010507093389565
"11_C10",2,"Padi1.2",0.556134863,40.941780279233,-0.229042857928163
"11_C11",2,"Nsd1.1",0.917119565,52.0599931752967,0.0516593392966711
"11_D02",2,"Nap1l3.2",0.449005773,37.7388570131113,-0.312346584604362
"11_D03",2,"Pbrm1.2",0.638977636,43.4619889348995,-0.164624204515814
"11_D04",2,"Padi1.3",0.384985563,35.8627896151291,-0.362128787324397
"11_D05",2,"Ncor1.1",0.669412976,44.395170224687,-0.140957642570247
"11_D06",2,"Ncoa3.2",0.592183182,42.0344737838205,-0.201011635847285
"11_D07",2,"Pbrm1.3",0.27027027,32.5875302454964,-0.451331555812882
"11_D08",2,"Padi6.2",0.657534247,44.0305559458285,-0.150194558461875
"11_D09",2,"Ncor2.2",0.593912398,42.0870514018639,-0.199666995124321
"11_D10",2,"Nap1l2.3",1.454138702,68.0553150492997,0.46924615356473
"11_D11",2,"Pcgf1.2",0.645369474,43.6576857712448,-0.159653902558516
"11_E02",2,"Nsd1.2",0.987012987,54.2212219595706,0.106008559688184
"11_E03",2,"Orc1.2",0.526038927,40.0348367818358,-0.25244549885985
"11_E04",2,"Nap1l2.4",0.494672755,39.0953065728828,-0.276835877039732
"11_E05",2,"Parp1.3",0.542857143,40.5410263567504,-0.23936763113181
"11_E06",2,"Padi4.3",0.319361277,33.9745310899483,-0.413158321732508
"11_E07",2,"Ncor1.2",0,25.414775275272,-0.661494086837671
"11_E08",2,"Nap1l3.3",0.341117817,34.5963842731382,-0.396240406518445
"11_E09",2,"Paxip1.3",0.579064588,41.6360661309662,-0.211212672456034
"11_E10",2,"Padi6.3",0.848765432,49.9404408173735,-0.00149292786643589
"11_E11",2,"Ncor2.3",0.515962593,39.7323563890853,-0.260280869938183
"11_F02",2,"Ncoa1.3",0.534499514,40.2892775034191,-0.245866534855132
"11_F03",2,"Pcgf1.3",0.371609067,35.4749002681148,-0.372530368880529
"11_F04",2,"Padi4.4",0.559440559,41.0417033303323,-0.226472344204406
"11_F05",2,"Ncor1.3",0.529865125,40.1498528373689,-0.249470242070112
"11_F06",2,"Ncoa3.3",0.437636761,37.4034287076839,-0.321187143860736
"11_F07",2,"Parp1.4",0.482005141,38.7176290667443,-0.286686230984637
"11_F08",2,"Orc1.3",0.65535852,43.963826487174,-0.151886406748181
"11_F09",2,"Nsd1.3",0.568787771,41.3245593459534,-0.21920393938894
"11_F10",2,"Ncoa3.4",0.64229249,43.5634590649275,-0.162046569518751
"11_F11",2,"Paxip1.4",0.49419323,39.0809908211991,-0.277208756334557
"11_G02",2,"Padi6.4",0.462249615,38.1307676939111,-0.302048154979778
"11_G03",2,"Nsd1.4",0.606060606,42.4568161323923,-0.1902205319943
"11_G04",2,"Nap1l3.4",1.433194637,67.4711234759379,0.452960020020157
"11_G05",2,"Pcgf1.4",0.408070732,36.5356315233039,-0.344177728385598
"11_G06",2,"Pbrm1.4",0.434782609,37.3193690002767,-0.323406536353478
"11_G07",2,"Ncor1.4",0.872410033,50.6739069719696,0.0168931461595058
"11_G08",2,"Ncoa1.4",0.85125448,50.0176555593569,0.000442559257331733
"11_G09",2,"Padi1.4",0.656455142,43.9974577080242,-0.151033671983468
"11_G10",2,"Ncor2.4",0.414078675,36.7114310137184,-0.339505943704536
"11_G11",2,"Orc1.4",0.596569724,42.1678761225648,-0.197600654797958
"10_B02",2,"Mll1.1",0.653594771,43.9097449512269,-0.153257900379103
"10_B03",2,"Mta3.1",0.914826498,51.9889497162283,0.0498762472661292
"10_B04",2,"Mtf2.1",0.367466928,35.3550897295187,-0.375751301823307
"10_B05",2,"Mta2.1",0.973451327,53.8026458894516,0.0954629943527971
"10_B06",2,"Mll3.1",0,25.414775275272,-0.661494086837671
"10_B07",2,"Nap1l1.1",0.706806283,45.5459056937071,-0.111880555983895
"10_B08",2,"Myst2.1",1.348314607,65.0606050421921,0.386957192782592
