shRNA,count,pctg
Kdm5c.1,60023,0.5793668267583826
Kdm5c.3,6934,0.0669298365083822
Kdm5c.4,15961,0.1540621748644777
Kdm5d.1,111130,1.0726727330799704
Kdm5d.2,5620,0.054246564923147965
Kdm5d.3,3023,0.029179246576988668
Kdm5d.4,88,0.0008494124044905731
Kdm6a.1,3454,0.03333943687625499
Kdm6a.2,56936,0.5495698257054008
Kdm6a.3,6674,0.06442020894966005
Kdm6a.4,1169,0.011283671600562272
Kdm6b.1,4638,0.04476789468212816
Kdm6b.2,19387,0.1871313441574857
Kdm6b.3,17582,0.16970873745174156
Kdm6b.4,13755,0.13276895027008903
Klf12.4,16999,0.1640813802719915
Klf12.5,55593,0.5366066341232322
Klf2.2,12919,0.12469953242742857
Klf2.3,6197,0.05981600762077365
Klf2.4,2610,0.025192799724095407
Klf2.5,339,0.003272168240026185
Klf2.6,24795,0.23933159737890639
Klf2.7,55790,0.5385081596196485
L3mbtl1.1,8801,0.08495089286274471
L3mbtl1.2,26932,0.25995880542886496
L3mbtl1.3,82884,0.8000306560658711
L3mbtl1.4,8460,0.08165941979534373
L3mbtl2.1,2126,0.020521031499397255
L3mbtl2.3,3407,0.03288577343294753
L3mbtl2.4,8037,0.07757644880557654
L3mbtl3.1,59813,0.57733981988403
L3mbtl3.2,7819,0.0754722226217249
L3mbtl3.3,7013,0.06769237718968625
L3mbtl3.4,20306,0.19600191233619976
L3mbtl4.1,19676,0.18992089171314225
L3mbtl4.2,16538,0.1596316175621034
L3mbtl4.3,10794,0.10418815334171871
L3mbtl4.4,4500,0.04343586159326795
Mbd1.1,72643,0.7011802874932807
Mbd1.2,38945,0.37591325105551554
Mbd1.3,27052,0.26111709507135206
Mbd1.4,24725,0.23865592842078884
Mbd2.2,81629,0.7879168768881931
Mbd2.3,38290,0.3695909200902732
Mbd2.4,22549,0.21765227623702196
Mbd3.1,11468,0.1106938801670215
Mbd3.2,36011,0.34759306929670486
Mbd3.3,7571,0.07307842402725147
Mbd3.4,7087,0.06840665580255331
Mbd4.1,40836,0.3941659653383755
Mbd4.2,6865,0.0662638199639521
Mbd4.3,35675,0.34434985829774084
Mbd4.4,8205,0.07919805430505855
Mecom.1,7316,0.07061705853696627
Mecom.2,18489,0.17846347666620688
Mecom.3,7448,0.07189117714370213
Mecom.4,8291,0.08002816188217433
Men1.1,50740,0.48976347049831453
Men1.3,18736,0.18084762284699293
Men1.4,21610,0.20858865978456007
Mll1.1,6899,0.06659200202932344
Mll1.2,156740,1.5129193213619596
Mll1.3,43784,0.42262128088880974
Mll1.4,5610,0.05415004078627403
Mll2.1,26242,0.25329863998456387
Mll2.2,70239,0.6779758849887882
Mll2.3,6936,0.066949141335757
Mll2.4,25404,0.24520991731452865
Mll3.3,7118,0.06870588062686249
Mll3.4,10428,0.10065536993213292
Mll5.2,95657,0.9233209360949404
Mll5.3,3856,0.03721970717858693
Mll5.4,34112,0.3292631357043458
