type,shRNA,count,nbRawCount
target,Chd7.1,6176,82.23177671527898
target,Hdac2.2,6077,82.0910640848761
target,Brd8.4,6071,82.08246151605888
target,Dnmt3a.1,5970,81.93634557399173
target,Actl6b.2,5906,81.84245805556614
target,Atad2.4,5794,81.67565765765741
target,Ehmt2.3,5679,81.50097705810646
target,Baz1b.3,5611,81.39600789053262
target,Jarid2.4,5596,81.37268115800562
target,Ep400.1,5529,81.26771760978679
target,Hdac8.3,5480,81.1901438618927
target,Ing3.4,5479,81.1885535097418
target,Brwd1.1,5463,81.16306832690327
target,Baz1a.2,5367,81.00857354637266
target,Cbx4.4,5334,80.95482831776157
target,Hltf.4,5299,80.89746242336972
target,Ino80.2,5203,80.73815820931183
target,Baz2b.1,5202,80.73648345169138
target,Ep400.2,5161,80.66754149455097
target,Bmi1.1,5150,80.64895231490407
target,Ehmt2.2,5143,80.63710230258445
target,Baz2b.2,4981,80.3582971846244
target,Fbxo44.1,4963,80.32676630770095
target,Elp4.1,4943,80.29159912627722
target,Hdac10.1,4930,80.26866496799994
target,Chd1.1,4896,80.20839972787137
target,Eed.4,4883,80.1852478702829
target,Dnmt3b.3,4859,80.14234572304622
target,Ash2l.1,4858,80.14055359985204
target,Brwd3.1,4845,80.11722283202968
target,Cbx8.3,4835,80.0992340422765
target,Cbx2.2,4704,79.86013568044365
target,Elp3.2,4697,79.84717571924777
target,Atrx.4,4691,79.83605206197531
target,Chd1.2,4605,79.67505891555535
target,Chaf1b.4,4564,79.59726507164703
target,Aurkb.4,4439,79.3557932899746
target,Gtf2h1.3,4438,79.35383482104864
target,Hdac3.4,4436,79.34991659141362
target,Elp4.2,4338,79.15577911842608
target,Hdac8.1,4314,79.10758315454454
target,Ezh2.4,4298,79.07530712606454
target,Atad2.1,4286,79.05102319727764
target,Fbxl19.3,4261,79.00021831306383
target,Dot1l.1,4253,78.98389945261935
target,Asxl2.2,4040,78.53806971176212
target,Chd6.2,4017,78.48857170384515
target,Ercc5.2,4014,78.48209522346681
target,Hdac7.2,4012,78.4777749664149
target,Dnmt3a.2,3967,78.38001421922444
target,Cbx5.4,3929,78.29662196364929
target,Hells.1,3849,78.11848301526955
target,Brwd3.2,3811,78.03261216184818
target,Atm.3,3768,77.93444191175564
target,Cxxc1.2,3715,77.81194692813932
target,Jmjd4.1,3710,77.80030417368756
target,Hltf.2,3691,77.75592372860005
target,Aff4.3,3628,77.6071810281166
target,Aff1.3,3608,77.55944236508802
target,Ing4.1,3606,77.5546545465797
target,Brd2.2,3557,77.43655070262871
target,Ash1l.2,3458,77.1931025105888
target,Atm.4,3449,77.17064136562344
target,Gadd45b.4,3382,77.00164913219943
target,Atr.1,3355,76.93264289052308
target,Chd2.2,3309,76.81384798819464
target,Hdac6.1,3281,76.74076537341057
target,Baz2a.1,3252,76.66444409585218
target,Atm.2,3229,76.60345161815071
target,Cbx2.1,3187,76.49100058773072
target,Chd4.2,3183,76.48021763760326
target,Elp3.1,3085,76.21193660522113
target,Ino80.1,3031,76.06063551575751
target,Brpf1.2,2942,75.8056123113798
target,Dnmt3a.3,2923,75.75022580248523
target,Cbx1.2,2885,75.63842574622484
target,Chd9.1,2852,75.54020346875224
target,Ctsl.4,2838,75.49820936175526
target,Hdac6.2,2832,75.48015210021705
target,Atad2b.4,2804,75.39540550825734
target,Cbx4.2,2792,75.35884135763902
target,Ing3.1,2787,75.34356261857063
target,Brd8.1,2767,75.28218860000557
target,Gtf2f1.2,2739,75.19556022280003
target,Ercc5.3,2723,75.14568373408653
target,Ehmt1.3,2710,75.10495587713594
target,Baz2b.4,2655,74.9305901757949
target,Hdac7.1,2648,74.9081554433706
target,Chd5.4,2554,74.60137878704245
target,Crebbp.4,2550,74.58809113168928
target,Gtf2f1.3,2496,74.40677321562488
target,Chd1.4,2480,74.35234475477588
target,Chd5.3,2446,74.2355865021473
target,Dnmt3b.4,2374,73.98324881063363
target,Aff1.4,2277,73.63177418685125
target,Baz1b.1,2252,73.53893075712703
target,Chaf1a.1,2183,73.27762406257528
target,Hira.1,2174,73.2429769531406
target,Chd3.3,2164,73.2043237554232
target,Cbx5.1,2163,73.20044932827228
target,Jarid2.3,2151,73.15382617642929
target,Chd3.4,2113,73.0045788090415
target,Aff4.4,2079,72.8689188063867
target,Ash1l.4,2077,72.86087498399831
target,Aff4.1,2073,72.84476580891611
target,Fbxw9.4,2073,72.84476580891611
target,Gtf2f1.1,2020,72.62855999262354
target,Chd9.3,2019,72.6244304350599
target,Actl6b.4,2014,72.60375424592691
target,Brd3.4,2008,72.57888010609283
target,Chd6.1,1989,72.49965641120431
target,Aurkb.1,1983,72.47449313045152
target,Atad2.2,1972,72.42817728147881
target,Hcfc1.3,1955,72.35612694587957
target,Hdac1.4,1951,72.339089904748
target,Brd3.3,1945,72.31347380802286
target,Dnmt3l.2,1928,72.24049693709006
target,Ep400.4,1909,72.15822889351792
target,Fbxo44.2,1857,71.92915362694147
target,Ctsl.3,1836,71.83496398476557
target,Asxl1.2,1810,71.71696489780402
target,Bptf.3,1807,71.70324943464085
target,Chd1l.2,1791,71.62974475120973
