,,Experiment: 100U p1,Analysis: Analysis 1,User: Admin,Plate: 16,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:41:51 AM,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+
D07,Smyd2.3,D07,Sample,32,56,17,1045,2448.462546,4579.164797,3203.975368,2305.998023,2189.611182,1251.292861,2296.803645,896.5543529,34.375,29.41176471,19.64285714,16.53631285,28.125,155.5555556,41.17647059,64.28571429,25,105.9198042,134.405468,188.140584,74.06643357,137.3745265,109.0536924
D08,Smarcd1.2,D08,Sample,978,1814,829,8459,11636.27674,6842.933801,3341.805163,3439.234324,1965.074734,1433.155199,3072.749018,4792.109212,35.78732106,29.79493366,24.09040794,30.92988563,3.987730061,279.9382716,11.70084439,35.72216097,0.306748466,4.185199212,8.25046743,15.0352172,49.43020709,34.26873146,38.62512081
D09,Sirt7.2,D09,Sample,1917,1993,1119,14099,11256.10932,5768.22585,2571.647064,3699.398292,1938.588286,1754.582504,3698.677904,4674.537875,36.61971831,27.43521001,19.31761164,28.38027272,4.955659885,186.4359214,24.48614835,53.63773206,0.260824204,4.702450733,9.737423484,19.20299306,44.8096879,59.18776721,59.02673841
D10,Sirt1.3,D10,Sample,701,3051,995,10319,12716.66451,10962.6301,3521.966556,4143.007486,1439.604219,1036.426063,3337.065802,4865.839842,36.80456491,30.95477387,22.64831203,30.67004375,3.423680456,295.0676983,12.7638191,33.8905277,0.142653352,3.750670458,6.730130139,19.47655133,38.74911845,53.36008623,46.80575445
D11,Smyd3.2,D11,Sample,837,2496,1012,10475,11188.46193,10273.19776,4468.843104,3868.077426,1851.526538,1982.808484,4367.775933,4771.033396,34.76702509,29.743083,19.83173077,30.71619217,3.225806452,495.2380952,9.881422925,20.19230769,0.477897252,4.316613067,7.825810147,17.56465278,39.77412652,60.95701156,51.3440339
E02,Smarca1.2,E02,Sample,1442,1904,1030,10393,11027.16127,10790.68112,4606.894134,3917.276454,2047.20294,1814.848014,3965.493052,4784.955907,33.21775312,28.6407767,17.75210084,26.042502,4.230235784,301.2658228,17.2815534,33.19327731,0.416088766,5.06863799,7.269732001,15.70716811,48.36426325,70.2460608,61.7570344
E03,Smarca4.2,E03,Sample,2196,1132,1454,11327,11167.08151,5715.339352,2806.421888,4038.311066,2010.268234,1905.633801,2227.021673,4406.645148,37.24954463,26.13480055,11.57243816,26.70185657,4.462659381,149.5376486,16.43741403,66.87279152,0.637522769,4.194085391,9.977850488,18.33652716,61.98586635,146.4126321,145.6958431
E04,Sirt1.4,E04,Sample,1363,2111,1034,9989,11538.60475,12239.27771,4463.159049,3859.898632,2037.523564,1565.439365,4173.081926,4759.417003,36.31694791,26.20889749,20.89057319,28.35996241,4.035216434,273.8002594,13.05609284,36.52297489,0.293470286,4.287363782,5.939374433,16.86465283,58.18007098,64.17880402,56.57096305
E05,Smarcd3.3,E05,Sample,4125,400,272,15917,12053.43853,11093.71221,4159.211803,3874.920471,1860.427242,2603.68905,4608.908332,4674.846937,31.1030303,24.26470588,16.75,21.88633615,4.96969697,421.0526316,9.926470588,23.75,0.460606061,4.799014037,7.329515025,17.41621709,49.2719876,76.84137627,59.6918061
E06,Smarcc2.3,E06,Sample,902,2214,938,8188,11022.44574,11225.21089,4247.61062,3974.411633,2230.337099,1819.37384,4502.366619,5119.647257,39.35698448,34.43496802,23.08039747,30.36600496,2.771618625,467.0886076,10.76759062,21.40921409,0.110864745,4.267903599,6.900613616,16.79748494,51.20267306,105.3498333,79.01046266
