Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
F03,Sin3b.3,9283.026612,1672.838434,31.22028526,11.7274168,8.838893298,60.30524918
F04,Setdb2.4,8929.481161,1926.030234,29.9793246,11.71605789,8.984481049,70.19559337
F05,Setd2.3,9854.324673,2115.685068,37.90087464,16.6180758,10.20103003,65.73034611
F06,Setd1a.3,11467.57989,2464.514651,39.93453355,11.29296236,8.006541863,110.1360098
F07,Sfmbt1.4,10921.70506,1693.717261,33.11451495,8.89861415,7.468476756,76.42354674
F08,Setd8.3,7913.166686,2554.101986,46.50455927,9.118541033,13.11765231,65.79484279
F09,Setd5.3,12709.66671,792.0285558,22.97417631,9.171861086,6.4796772,47.91235842
F10,Setd1a.4,11611.02834,2292.41265,38.24884793,10.36866359,9.243604824,96.53283671
F11,Sfmbt2.4,6998.922502,3870.544428,78.57142857,0,8.628052238,79.10832701
G02,Setmar.4,9267.346568,1903.683334,27.30496454,12.05673759,10.71244087,65.68938814
G03,Setd5.4,15894.9335,761.4527096,22.30215827,13.84892086,6.187737735,48.86001736
G04,Scml2.4,8486.864029,1876.135748,29.96706915,9.879253568,9.375941897,53.60481558
G05,Sin3b.4,11445.87904,1703.048779,39.57863055,11.28668172,8.847133568,78.41298707
G06,Sin3a.4,6350.678621,971.5617547,34.91712707,14.6961326,12.32656043,56.55207726
G07,Setd2.4,9897.32385,2028.671062,35.48740416,13.14348302,11.98485041,60.91648557
G08,Scml4.4,4375.633841,638.5452476,28.57142857,14.28571429,16.42877304,9.882863205
G09,Setdb1.4,8873.947132,1912.924808,28.5326087,10.66576087,9.18670121,74.9934311
G10,Setd4.4,12079.76708,2831.995644,40.67114094,8.456375839,8.586456352,80.08207823
G11,Setd8.4,10463.89803,2860.620692,40.67085954,9.853249476,9.016607592,58.83572758
