Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
C10,Suv39h2.2,9832.296192,2147.527493,27.33686067,15.52028219,9.747108266,79.85592794
C11,Supt16h.1,11731.47863,1823.352707,31.16113744,10.5450237,7.413011608,67.67165647
D02,Smyd5.2,13323.76786,2399.882165,37.20642769,11.49567367,6.693393176,113.5386783
D03,Taf3.2,10447.04839,1414.156135,28.35365854,13.82113821,7.229059296,69.43605194
D04,Suv39h2.3,7760.688197,1890.937361,30.74468085,10.85106383,9.429758243,86.55262007
D05,Sp140.1,8251.235065,1868.456256,31.00189036,11.09010712,7.988570668,78.20436876
D06,Sp110.2,9461.655234,2160.08071,28.83379247,10.65197429,7.906028765,76.39996273
D07,Taf3.3,7612.935296,1055.150869,26.43266476,9.383954155,8.736264226,48.15180596
D08,Suv420h2.2,8673.616977,1388.681707,24.49186992,13.61788618,9.02550853,58.52252863
D09,Ssrp1.2,9235.038328,1959.166245,23.04832714,10.96654275,7.244646176,73.50673141
D10,Smyd4.3,10377.23219,1905.172346,25.24937656,7.2319202,7.163348621,48.16337857
D11,Tcea1.2,9001.115862,1529.155748,24.91071429,13.03571429,8.795107539,59.06345622
E02,Supt16h.2,10867.5596,2102.553075,31.72413793,12.5862069,7.563368378,63.89276159
E03,Suv39h1.2,11895.27795,2571.651806,30.23041475,10.13824885,7.007096867,108.6907481
E04,Smyd4.4,7332.322331,1579.981118,28.87277521,9.162821358,9.019929591,49.48056568
E05,Suz12.3,8751.964324,2902.291852,30.58659218,9.916201117,8.254306031,69.84367767
E06,Suv420h1.3,9465.180647,1796.756309,30.84544254,12.35138705,7.948549792,80.90979616
E07,Sp140.2,8617.591995,3206.969773,40.29352902,8.272181454,8.061278823,72.21886498
E08,Smyd5.3,9751.866263,2010.506342,30.24654239,9.380637402,8.602167598,69.89324707
E09,Taf1.3,9014.26419,863.2759254,34.58425313,15.37895511,6.595126888,46.02366093
E10,Suv420h2.3,10109.32892,2011.795381,26.94552529,8.852140078,8.045252902,54.88738642
E11,Ssrp1.3,6744.596394,1783.806668,28.08988764,24.71910112,12.16072603,89.22500397
F02,Sp100.3,9718.243393,2417.891087,33.00970874,13.16073355,7.711281498,87.47701747
F03,Tcea1.3,10708.69136,2305.027778,31.66833167,17.68231768,9.490931462,98.06347336
F04,Suv420h1.4,9701.133498,2409.625222,34.95934959,13.37767923,9.721219695,101.0314527
F05,Sp140.3,8432.93194,1754.274137,31.91780822,11.43835616,9.063139425,53.5958294
F06,Sp110.3,10774.7727,2387.352293,30.40800616,12.9330254,6.458812434,82.355573
F07,Suz12.4,7610.331471,2541.931692,40.4432133,14.40443213,8.948088034,56.07226738
F08,Suv39h1.3,10674.81124,2403.286193,31.36792453,12.73584906,8.781472302,73.88502459
F09,Supt16h.3,12164.40797,2187.420535,38.12233286,17.49644381,6.806100738,100.1796007
F10,Sp110.4,13048.05931,2008.086348,57.14285714,7.142857143,26.77782117,48.68027913
F11,Taf1.4,10688.68321,890.3255998,33.40857788,16.93002257,5.864674425,41.50341401
G02,Suv420h2.4,8169.725109,1898.543996,31.11638955,11.10451306,10.83709279,70.30161029
G03,Supt16h.4,8581.280668,1783.153554,30.24771838,8.930899609,9.674719088,68.69353933
G04,Smyd5.4,9109.750922,2193.806935,28.96995708,11.85622318,10.38736064,85.5932401
G05,Tcea1.4,9848.692812,914.5053496,36.57230298,9.716908952,10.24093662,75.51987509
G06,Taf3.4,8001.918808,662.1055448,27.2113943,10.34482759,7.619511552,48.96830639
G07,Sp140.4,5999.950157,2338.302981,32.93310463,12.43567753,11.39636837,76.72728249
G08,Sp100.4,4580.7247,2680.88814,37.88198103,10.43203372,13.92388308,75.88134762
G09,Suv39h2.4,9098.917669,2331.583052,37.8,9.8,8.896226882,50.81172798
G10,Ssrp1.4,10631.99161,1804.621661,32.38188976,7.677165354,7.857994374,56.5414981
G11,Suv39h1.4,11201.12436,1955.98159,32.59949196,9.144792549,8.948973911,64.30862659
