type,shRNA,count,pctg
target,Suv420h1.4,7034,0.12352460622800036
target,Suv420h2.1,308,0.005408811304837093
target,Suv420h2.2,7,0.00012292752965538847
target,Suv420h2.3,11,0.00019317183231561046
target,Suv420h2.4,9,0.00015804968098549947
target,Suz12.1,6089,0.10692938972452291
target,Suz12.2,1535,0.026956251145860186
target,Suz12.3,6466,0.11354991525024884
target,Suz12.4,1,1.7561075665055496e-05
target,Taf1.1,0,0.0
target,Taf1.2,91333,1.6039057237165137
target,Taf1.3,72,0.0012643974478839957
target,Taf1.4,0,0.0
target,Taf3.1,27398,0.48113835107119046
target,Taf3.2,4,7.024430266022199e-05
target,Taf3.3,7949,0.13959299046152612
target,Taf3.4,8386,0.1472671805271554
control,Tbx21,486,0.008534682773216971
control,Tbx21.3,1407,0.024708433460733085
control,Tbx21.4,2,3.512215133011099e-05
target,Tcea1.1,1201,0.021090851873731654
target,Tcea1.2,1014,0.017806930724366274
target,Tcea1.3,1824,0.032031402013061226
target,Tcea1.4,3424,0.06012912307715002
target,Tdg.1,495,0.00869273245420247
target,Tdg.2,2450,0.043024635379385966
target,Tdg.3,13183,0.2315076604924266
target,Tdg.4,114,0.0020019626258163266
target,Tet1.1,15915,0.27948451920935824
target,Tet1.2,0,0.0
target,Tet1.3,1404,0.024655750233737915
target,Tet1.4,4135,0.07261504787500447
target,Tet2.1,3,5.268322699516648e-05
target,Tet2.2,1249,0.021933783505654315
target,Tet2.3,127786,2.2440596149347813
target,Tet2.4,4386,0.0770228778669334
target,Tet3.1,45,0.0007902484049274974
target,Tet3.3,1444,0.025358193260340136
target,Tet3.4,1461,0.02565673154664608
target,Trim24.1,8001,0.14050616639610902
target,Trim24.2,21571,0.37880996317091215
target,Trim24.3,63586,1.1166385572382187
target,Trim24.4,183301,3.2189627304803374
target,Trim28.1,6589,0.11570992755705067
target,Trim28.2,34449,0.6049614955854968
target,Trim28.3,9322,0.16370434734964734
target,Trim28.4,29,0.0005092711942866093
target,Trim33.1,25146,0.4415908086734855
target,Trim33.2,11567,0.2031289622176969
target,Trim33.3,33405,0.5866277325911788
target,Trim33.4,27887,0.48972571707140267
target,Trim66.1,11949,0.20983729312174815
target,Trim66.3,1272,0.02233768824595059
target,Trim66.4,606,0.01064201185302363
target,Ube2a.1,40783,0.7161933488479583
target,Ube2a.2,731,0.012837146311155567
target,Ube2b.1,95472,1.6765910158941786
target,Ube2b.2,339,0.005953204650453813
target,Ube2b.3,46329,0.8135870744863561
target,Ube2b.4,79690,1.3994421197482725
target,Ube2e1.1,1742,0.030591393808526674
target,Ube2e1.3,68080,1.1955580312769782
target,Ube2e1.4,21,0.0003687825889661654
target,Ube2i.1,2562,0.044991475853872184
target,Ube2i.2,74,0.0012995195992141068
target,Ube2i.3,162,0.0028448942577389905
target,Ube2i.4,15672,0.27521717782274974
target,Uhrf1.1,42819,0.7519476989020113
target,Uhrf1.2,5741,0.1008181353930836
target,Uhrf1.3,9188,0.16135116321052992
target,Uhrf1.4,1667,0.02927431313364751
target,Usp22.1,7274,0.12773926438761368
target,Usp22.2,24211,0.4251712029266586
target,Usp22.3,14057,0.24685604062368513
target,Usp22.4,2774,0.04871442389486395
target,Usp27x.1,81013,1.422675422853141
target,Usp27x.2,5367,0.09425029309435286
target,Usp27x.3,9297,0.16326532045802095
target,Usp27x.4,37934,0.6661618442782152
target,Usp51.1,41177,0.7231124126599902
target,Usp51.2,22410,0.3935437056538937
target,Usp51.3,21690,0.3808997311750537
target,Usp51.4,518,0.009096637194498748
target,Wbp7.1,157,0.002757088879413713
target,Wbp7.2,4581,0.08044728762161922
target,Wbp7.3,177,0.0031083103927148224
target,Wbp7.4,1554,0.02728991158349624
target,Wdr5.1,2709,0.04757295397663534
target,Wdr5.2,3,5.268322699516648e-05
target,Wdr5.3,147,0.002581478122763158
target,Wdr5.4,1607,0.028220648593744183
target,Wdr82.1,0,0.0
target,Wdr82.2,82166,1.44292334309495
target,Wdr82.3,20846,0.36607818331374686
target,Wdr82.4,10881,0.19108206431146885
target,Whsc1.1,7306,0.12830121880889547
target,Whsc1.2,6,0.00010536645399033296
target,Whsc1.3,9976,0.17518929083459364
target,Whsc1.4,6402,0.1124260064076853
target,Whsc1l1.2,31642,0.555667556193686
target,Whsc1l1.3,4302,0.07554774751106876
target,Whsc1l1.4,71500,1.255616910051468
target,Zmynd11.1,8020,0.14083982683374507
target,Zmynd11.2,9416,0.16535508846216254
target,Zmynd11.4,25510,0.44798304021556573
target,Zmynd8.1,1865,0.0327514061153285
target,Zmynd8.2,6,0.00010536645399033296
target,Zmynd8.3,1680,0.029502607117293234
target,Zmynd8.4,2,3.512215133011099e-05
