type,shRNA,count,pctg
target,Scml2.1,18816,0.35935822013784946
target,Scml2.2,45004,0.8595109130040274
target,Scml2.3,6285,0.12003435446249916
target,Scml2.4,35635,0.6805766461847506
target,Scml4.1,3862,0.0737585802600114
target,Scml4.2,50,0.000954927243138418
target,Scml4.3,2898,0.055347583012302706
target,Setd1a.1,0,0.0
target,Setd1a.3,5434,0.10378149278428327
target,Setd1a.4,11116,0.21229942469453308
target,Setd2.1,202,0.003857906062279209
target,Setd2.2,25843,0.49356369488852275
target,Setd2.3,150782,2.879716791497939
target,Setd2.4,106487,2.0337467468016146
target,Setd3.1,125403,2.395014821425741
target,Setd3.2,416,0.007944994662911637
target,Setd3.3,96307,1.8393235600986324
target,Setd4.1,0,0.0
target,Setd4.2,162133,3.0965043742352227
target,Setd4.3,3238,0.06184108826564395
target,Setd4.4,9209,0.17587849964123384
target,Setd5.1,0,0.0
target,Setd5.2,85655,1.6358858602204238
target,Setd5.3,0,0.0
target,Setd5.4,2980,0.056913663691049714
target,Setd7.1,19,0.00036287235239259886
target,Setd7.2,42336,0.8085559953101614
target,Setd8.1,4868,0.09297171639195638
target,Setd8.2,114150,2.1800988960850085
target,Setd8.3,1992,0.03804430136663457
target,Setd8.4,10618,0.20278834935287446
target,Setdb1.2,11156,0.21306336648904386
target,Setdb1.3,10338,0.19744075679129933
target,Setdb1.4,11534,0.2202826164471703
target,Setdb2.1,7159,0.1367264826725587
target,Setdb2.2,2096,0.040030550032362486
target,Setdb2.3,14296,0.27303279735813646
target,Setdb2.4,132,0.0025210079218854235
target,Setmar.1,22106,0.42219243273635737
target,Setmar.2,1809,0.03454926765674796
target,Setmar.3,2799,0.05345682707088864
target,Setmar.4,25060,0.47860953426097513
target,Sfmbt1.1,9107,0.17393044806523147
target,Sfmbt1.2,27436,0.5239876768549128
target,Sfmbt1.3,58680,1.1207026125472475
target,Sfmbt1.4,1128,0.02154315860520271
target,Sfmbt2.1,0,0.0
target,Sfmbt2.2,15098,0.2883498303380767
target,Sfmbt2.3,4731,0.09035521574575711
target,Sgk1.1,1562,0.02983192707564418
target,Sin3a.1,910,0.017379675825119206
target,Sin3a.2,87581,1.672669657626116
target,Sin3a.3,292,0.005576775099928361
target,Sin3a.4,450,0.008594345188245762
target,Sin3b.1,0,0.0
target,Sin3b.2,3601,0.06877386005082886
target,Sin3b.3,858,0.016386551492255253
target,Sin3b.4,363,0.006932771785184915
target,Sirt1.1,6875,0.13130249593153248
target,Sirt1.3,1750,0.03342245350984464
target,Sirt1.4,64660,1.2349119108266022
target,Sirt3.1,9982,0.1906416748201538
target,Sirt3.2,16289,0.31109619726963383
target,Sirt3.3,448,0.008556148098520226
target,Sirt3.4,35086,0.6700915450550907
target,Sirt4.1,3659,0.06988157565286943
target,Sirt4.2,26164,0.49969432778947137
target,Sirt4.3,24612,0.47005338616245496
target,Sirt5.1,24529,0.46846820693884517
target,Sirt5.2,97,0.001852558851688531
target,Sirt5.3,0,0.0
target,Sirt5.4,4092,0.07815124557844813
