"Position","Pool","shRNA","GeoMean","precentile","z"
"2_G11",1,"Brd1.4",22.34367366,46.601575752812,-0.0852891526315855
"3_B02",1,"Brwd1.1",18.21042291,45.6973818105215,-0.108060581745907
"3_B03",1,"Cbx7.1",21.67179851,46.4544637685806,-0.0889907323994956
"3_B04",1,"Cbx8.1",22.33049525,46.5986897902768,-0.0853617567989359
"3_B05",1,"Cbx6.1",20.70955106,46.243857530691,-0.0942920680608057
"3_B06",1,"Carm1.1",23.53531224,46.8626067292215,-0.0787240262708485
"3_B07",1,"Chd2.1",27.70244429,47.7764136711116,-0.0557659340025308
"3_B08",1,"Chaf1b.1",17.9597361,45.6426081342562,-0.109441697305811
"3_B09",1,"Cbx4.1",22.1232402,46.5533050148743,-0.0865035925996456
"3_B10",1,"Brwd3.1",19.87509451,46.0613057741765,-0.0988893618923755
"3_B11",1,"Chd1.1",19.24443936,45.9233939320246,-0.102363847209727
"3_C02",1,"Chaf1b.2",12.79973415,44.5171645711471,-0.137869834319804
"3_C03",1,"Cbx1.1",22.73708898,46.6877386094693,-0.0831216990668899
"3_C04",1,"Brwd1.2",20.94035194,46.2943633387858,-0.0930205105879272
"3_C05",1,"Chd1.2",24.64919142,47.1067265856893,-0.0725873018562243
"3_C06",1,"Chaf1a.1",24.96807671,47.176634512641,-0.0708304585829641
"3_C07",1,"Cbx8.2",23.68824813,46.8961176686662,-0.0778814524738992
"3_C08",1,"Carm1.2",23.26732292,46.8038909368797,-0.0802004670127452
"3_C09",1,"Chd1l.1",25.75088267,47.3482823333107,-0.066517724730945
"3_C10",1,"Cbx7.2",21.84298197,46.4919411203827,-0.0880476267761713
"3_C11",1,"Cbx5.1",18.56356312,45.774554831772,-0.106115016923973
"3_D02",1,"Brwd3.2",27.31723916,47.6918859141577,-0.0578881549474537
"3_D03",1,"Chd1l.2",23.27873267,46.8063906438839,-0.0801376069713269
"3_D04",1,"Cbx7.3",21.15327358,46.3409619595925,-0.0918474556910848
"3_D05",1,"Cbx3.1",31.26407415,48.5583868354408,-0.0361437511750211
"3_D06",1,"Cbx1.2",20.46670475,46.1907223782994,-0.0956299877439605
"3_D07",1,"Chd1l.3",17.55014407,45.5531324095513,-0.111698273652392
"3_D08",1,"Chaf1a.2",28.8188396,48.0214458117008,-0.0496153474054737
"3_D09",1,"Cbx4.2",16.66428827,45.3596941836731,-0.116578742749315
"3_D10",1,"Brwd1.3",24.15337237,46.9980479738315,-0.0753189310346876
"3_D11",1,"Chd2.2",21.47265297,46.4108686131002,-0.0900878902594544
"3_E02",1,"Cbx5.2",24.33621962,47.0381237158122,-0.0743115657805656
"3_E03",1,"Cbx6.2",27.10380603,47.6450555124026,-0.0590640278098593
"3_E04",1,"Brwd1.4",25.58418684,47.3117262870499,-0.0674361065340567
"3_E05",1,"Chaf1b.3",18.28472414,45.7136177920601,-0.107651231988443
"3_E06",1,"Cbx8.3",24.42813208,47.058269863353,-0.0738051900017399
"3_E07",1,"Cbx3.2",24.98232858,47.1797590969087,-0.0707519403736705
"3_E08",1,"Brwd3.3",23.39646209,46.8321841472468,-0.0794889971229648
"3_E09",1,"Chd1.3",25.30529584,47.2505711527846,-0.0689726081937062
"3_E10",1,"Chaf1a.3",23.27199306,46.8049140937668,-0.080174737685299
"3_E11",1,"Cbx4.3",21.2504295,46.3622265332142,-0.0913121919775739
"3_F02",1,"Carm1.3",28.09515724,47.8625992078858,-0.0536023500236974
"3_F03",1,"Chd2.3",31.92765582,48.7041497462757,-0.0324878628987126
"3_F04",1,"Cbx8.4",23.60238214,46.8773026499814,-0.0783545162735286
"3_F05",1,"Cbx3.3",25.61414477,47.3182958323494,-0.067271058507535
"3_F06",1,"Cbx1.3",22.80040068,46.7016061212877,-0.0827728942215373
"3_F07",1,"Chaf1b.4",32.77561561,48.8904382463286,-0.0278161753051689
"3_F08",1,"Cbx6.3",22.86198786,46.7150962861397,-0.0824335903204321
"3_F09",1,"Cbx5.3",21.90434602,46.5053763675862,-0.0877095521711542
"3_F10",1,"Cbx1.4",22.6053469,46.6588837037305,-0.0838475092384826
"3_F11",1,"Chd1.4",29.3517525,48.1384391932381,-0.0466793560852138
"3_G02",1,"Chaf1a.4",20.99065348,46.3053715445448,-0.0927433829656916
"3_G03",1,"Cbx5.4",22.06112416,46.5397036954718,-0.0868458101633205
"3_G04",1,"Brwd3.4",14.83101238,44.9597289649397,-0.126678858735777
"3_G05",1,"Chd2.4",24.10831854,46.9881737177,-0.0755671473075991
"3_G06",1,"Chd1l.4",26.09287566,47.4232876365318,-0.0646335735868655
"3_G07",1,"Cbx3.4",25.37665374,47.2662178803254,-0.0685794742030822
"3_G08",1,"Carm1.4",24.73356218,47.1252219862566,-0.072122475767301
"3_G09",1,"Cbx7.4",25.99318865,47.4014235011553,-0.0651827819023381
"3_G10",1,"Cbx4.4",21.88710424,46.5016013551799,-0.0878045427717305
"3_G11",1,"Cbx6.4",24.77734284,47.1348196416712,-0.0718812738039872
"1_B02",1,"Actl6b.1",31.75374304,48.6659461645897,-0.0334460052378496
"1_B03",1,"Asxl3.1",24.62544015,47.101520045294,-0.0727181553644902
"1_B04",1,"Atad2.1",20.1726762,46.1263975786552,-0.0972498871134609
"1_B05",1,"Asxl2.1",23.20466146,46.790162965254,-0.0805456894734415
"1_B06",1,"Aff4.1",23.12321366,46.7723198233667,-0.0809944120205112
"1_B07",1,"Aurkb.1",23.04319292,46.7547899455533,-0.0814352724276823
"1_B08",1,"Atm.1",16.93775038,45.4193966914285,-0.115072150618819
"1_B09",1,"A2l.1",20.72765471,46.2478189072866,-0.0941923291367432
"1_B10",1,"Aff1.1",18.02628109,45.6571470422845,-0.10907507920922
"1_B11",1,"Atr.1",16.54507662,45.3336710567561,-0.117235518687135
"1_C02",1,"Atm.2",23.86879466,46.9356814128706,-0.0768867626381249
"1_C03",1,"Arid2.1",35.03971298,49.3879459012556,-0.0153425229943632
"1_C04",1,"Actl6b.2",24.98451448,47.1802383358183,-0.0707398975362256
"1_C05",1,"Atr.2",24.04163811,46.9735599917893,-0.0759345115874114
"1_C06",1,"Atad2b.1",20.88680208,46.2826445685524,-0.093315534266583
"1_C07",1,"Atad2.2",22.20128386,46.5703945168441,-0.0860736245722976
"1_C08",1,"Aff4.2",19.58420734,45.9976884992723,-0.100491954372863
"1_C09",1,"Atrx.1",19.24508501,45.9235350981478,-0.102360290112881
"1_C10",1,"Asxl3.2",20.16570198,46.1248719467845,-0.0972883103705927
"1_C11",1,"Asxl1.1",22.69624847,46.6787932999056,-0.0833467027830224
"1_D02",1,"Aff1.2",26.22370853,47.4519841024441,-0.0639127725502895
"1_D03",1,"Atrx.2",23.27571173,46.8057287995081,-0.08015425031702
"1_D04",1,"Asxl3.3",19.2551727,45.9257406962252,-0.102304713732047
"1_D05",1,"A1l.1",28.46093044,47.9428814945143,-0.0515871859314345
"1_D06",1,"Arid2.2",21.80797248,46.4842762064098,-0.0882405054975659
"1_D07",1,"Atrx.3",23.11166465,46.769789781362,-0.0810580392907791
"1_D08",1,"Atad2b.2",24.70067792,47.1180131641364,-0.0723036459021076
"1_D09",1,"A2l.2",16.52577145,45.3294570520721,-0.11734187717753
"1_D10",1,"Actl6b.3",20.40059867,46.1762594377731,-0.0959941877419272
"1_D11",1,"Aurkb.2",17.02996539,45.4395315005554,-0.114564107993171
"1_E02",1,"Asxl1.2",25.45859729,47.2841862555509,-0.0681280204072531
"1_E03",1,"Asxl2.2",18.55974556,45.7737204807106,-0.106136049109579
"1_E04",1,"Actl6b.4",23.0682645,46.7602822257958,-0.0812971449001535
"1_E05",1,"Atm.3",23.05606118,46.7576089101674,-0.0813643769780378
"1_E06",1,"Atad2.3",23.36171217,46.8245705998288,-0.0796804457884028
"1_E07",1,"A1l.2",28.40699393,47.9310426252107,-0.0518843397912963
"1_E08",1,"Aff1.3",20.52964095,46.204492268485,-0.0952832516508201
"1_E09",1,"Atr.3",19.10571143,45.8930633929852,-0.103128144711922
"1_E10",1,"Atad2b.3",15.54729549,45.1159415657764,-0.122732621003854
"1_E11",1,"A2l.3",14.79647541,44.9521988272212,-0.126869134190074
"1_F02",1,"Aff4.3",24.74386507,47.1274805847157,-0.0720657137793409
"1_F03",1,"Aurkb.3",25.07195994,47.199410300337,-0.0702581319202007
"1_F04",1,"Atad2.4",33.09335568,48.960249095907,-0.0260656414231429
"1_F05",1,"A1l.3",19.78234524,46.0410203262115,-0.0994003479309579
"1_F06",1,"Arid2.3",30.65536169,48.4246934310776,-0.0394973470423646
"1_F07",1,"Atm.4",20.58011998,46.2155369676696,-0.0950051461781713
"1_F08",1,"Asxl2.3",22.00789346,46.528048287656,-0.0871390754852359
"1_F09",1,"Asxl1.3",27.73261256,47.7830340938845,-0.0555997271442107
"1_F10",1,"Arid2.4",17.1110372,45.4572342010933,-0.114117456897884
"1_F11",1,"Atr.4",19.74234612,46.0322723263244,-0.099620716154617
"1_G02",1,"Atad2b.4",24.28433349,47.0267512110237,-0.0745974234269499
"1_G03",1,"Asxl1.4",23.4975335,46.8543290852319,-0.0789321616954748
"1_G04",1,"Aff1.4",22.34795625,46.6025136083655,-0.0852655584437393
"1_G05",1,"Aurkb.4",25.80757996,47.3607164407178,-0.0662053608318495
"1_G06",1,"Atrx.4",22.28609042,46.5889656323997,-0.0856063975187564
"1_G07",1,"A1l.4",22.51582268,46.6392765969021,-0.0843407274226794
"1_G08",1,"Aff4.4",20.78792884,46.2610081470089,-0.0938602592571884
"1_G09",1,"Asxl3.4",18.7628343,45.8181093424286,-0.105017166872196
"1_G10",1,"A2l.4",26.88732159,47.5975589306038,-0.0602567113362129
"1_G11",1,"Asxl2.4",20.96683352,46.300158646541,-0.0928746149096151
"9_B02",2,"Kdm5b.1",4.362213218,43.0959977010782,-0.173930663366582
"9_B03",2,"L3mbtl4.1",8.306741157,48.2248264345529,-0.044511696586314
"9_B04",2,"Mbd1.1",4.320504353,43.0422301323527,-0.175299120707322
"9_B05",2,"L3mbtl3.1",4.976401481,43.8891877401474,-0.153779301369592
"9_B06",2,"Kdm5d.1",5.239806753,44.2301336773249,-0.145137040831984
"9_B07",2,"Men1.1",4.126927507,42.7928574825812,-0.181650328200164
"9_B08",2,"Mbd3.1",4.195771521,42.881512373282,-0.179391573464827
"9_B09",2,"L3mbtl1.1",4.305353776,43.0227024679154,-0.175796207317377
