shRNA,nbPctg_Q4,nbPctg_Q3,nbPctg_Q2,nbPctg_Q1,q3minusOther_nbPctg
Mll1.2,86.39161599137356,93.33913847362724,88.87443445231303,87.1683300461277,5.861011643689139
Mll1.3,72.75502025740876,91.17095303574473,93.60968996792572,92.59187618124109,4.852090900219537
Mll1.4,6.836848773366019,74.86100769587748,18.347429959725574,27.580773516652684,57.272656945962716
Mll2.2,98.10080552388698,94.28663682662317,92.5772624570904,96.04518298571027,-1.2877801622726963
Mll2.3,0.3486551083337658,74.86100769587748,0.5705532502331762,6.7078946577708365,72.31864002376489
Mll2.4,15.973858078716885,93.00060535863494,71.53819234134467,72.16759106225913,39.774058197861386
Mll3.3,64.34384550398227,92.74837325516089,68.35900202682524,64.62119532275167,26.973692303974488
Mll3.4,63.06006120576837,92.69584977741026,48.22961472322535,66.63803964355381,33.38661125322775
Mll5.1,98.72534718318629,93.16311830791406,63.80039463450515,88.51531973314296,9.482764457635923
Mll5.2,80.0702025449084,94.35035679964798,68.62146410933866,78.73972140116194,18.539894114511654
Mll5.3,70.1335542523873,91.60094519885156,49.91301974778316,67.46233031240764,29.09797709465885
Mll5.4,66.03506339494129,91.5151008908135,73.18442972241526,80.8642406798795,18.15385629173481
Morf4l1.3,81.88407815166133,92.91654635959804,92.57474006851353,88.20995022511127,5.3602902111693425
Morf4l1.4,94.1925814490937,94.05134274098212,93.3961203044691,93.00796649468317,0.5191199915668108
Ms4a1,39.699985388249516,87.64004891857073,73.63862037973853,59.88719549818345,29.898115163180222
Ms4a1.2,0.3486551083337658,74.86100769587748,2.4595591183690995,3.4060486226974525,72.78958674607738
Msl3.1,49.368223547475246,82.30431224238409,10.16970270514958,14.845513265243316,57.509832403094705
Msl3.2,64.82116132347045,89.43239553933347,43.1456604864252,20.110872702282297,46.739830701940825
Msl3.3,82.95885151971218,93.48552797236364,80.91867693077694,82.3054268922313,11.424542858123488
Msl3.4,40.31014134481282,89.24134218049335,28.534554245370536,76.29584524784228,40.86116190115147
Mta1.1,61.483115949762066,89.2913335432845,29.317601773641723,13.746799442409745,54.44216115467999
Mta1.2,6.892505327085301,85.40954484143852,25.7700013399336,65.72026300733732,52.61528828331978
Mta1.3,38.61828020015715,86.37213443848806,47.865167210382346,53.843073755831924,39.59662738303091
Mta1.4,85.67519429564359,92.060383433457,85.88212089185654,94.33268203220318,3.430384360222561
Mta2.1,72.00970927116953,94.54065148899217,67.30533193835593,90.75132067695289,17.85186419349938
Mta2.2,95.44311282889602,94.77787187910161,97.68513984421185,96.49958695696188,-1.7647413309216375
Mta2.3,28.16780507232894,74.86100769587748,17.83160266248163,8.67039275086234,56.637740867319835
Mta2.4,57.787467126617145,90.82692586964477,58.17355980583502,75.86639605373176,26.884451540916793
Mta3.1,98.14512379516532,94.63631325503025,97.88578507591083,98.82771789026633,-3.6498956654172474
Mta3.2,13.56619121332185,74.86100769587748,10.272732773057925,20.89121359713427,59.95096183470613
Mta3.3,5.8293315091577425,91.86198712076973,23.366237923085322,0.5019793149466327,81.96280420503983
Mta3.4,68.44346682414138,88.75153588694211,43.630512177439016,45.67853917120721,36.16736316267957
Mtf2.1,61.22326543741533,93.39388740507344,69.7189304637013,77.26741256358,23.9906845835079
Mtf2.2,97.10318781081193,94.298335920446,95.62515766591076,90.38698541418358,-0.07344104318944744
Mtf2.3,33.7159669120463,89.2913335432845,37.20809331035508,47.730176707056515,49.739921233465196
Mtf2.4,80.12690381831892,92.82228175283548,55.99856843768845,61.876396865954106,26.82165871218166
Myst1.1,26.781378536275852,82.30431224238409,11.555576106841306,52.18661011039462,52.129790657880164
Myst1.2,94.00463530486829,93.79153169042064,95.30453531672075,97.86074412494995,-1.931773225092357
Myst1.3,91.9144013273722,93.37220498924812,90.53025782379731,76.76371496932853,6.969413615748778
Myst1.4,65.24413454721937,89.33968858946012,55.969909922180705,38.3133691702001,36.16388404292673
Myst2.1,27.47835445398077,85.40954484143852,61.6561327810927,30.60854966656894,45.49519920755771
Myst2.2,60.035951505761474,74.86100769587748,35.68896568663645,43.92680607907353,28.310433272053665
Myst2.3,10.38161330085955,86.65272535473471,18.45113055089871,13.401015726996881,72.57480549514966
Myst2.4,42.05026280912828,74.86100769587748,44.77010175712298,16.534911957493563,40.409248854629205
Myst3.1,25.096862380701328,74.86100769587748,23.56491815876734,22.53660030890061,51.128214079754386
Myst3.2,74.39308410812295,91.48117727881989,89.26146744862237,85.83740268526266,8.317192531483897
Myst3.3,47.67948393385906,91.35661732136109,48.26538815602318,54.431057991240706,41.23130729432011
Myst3.4,9.40810077076735,74.86100769587748,3.521369836604023,7.949874126466949,67.90122611793137
Myst4.1,94.69408006684729,93.99059558402438,96.97673647847613,90.74722778132764,-0.14875252485930446
Myst4.3,54.62878415882243,91.2712997711374,60.3974501824434,59.206055435683616,33.193869845487576
Myst4.4,14.754624832991825,91.36583395094455,25.23827619849533,45.730942755791055,62.79121935518515
Nap1l1.1,27.864494875828843,85.58975516209497,72.19735100150041,54.016739660571886,34.23022664946126
Nap1l1.2,17.85984514833162,74.86100769587748,30.68699082525354,45.29518432021087,43.580334264612134
Nap1l1.3,18.233977258502573,89.10014493764628,44.47776238002722,55.2087635166394,49.79331055258988
Nap1l1.4,90.94788544204614,93.00572813565479,88.67399974642888,95.8046776773778,1.1968738470371818
Nap1l2.1,92.34136381729886,93.1318653578729,93.41147423418839,92.94238024912514,0.23345925766876974
Nap1l2.2,0.3486551083337658,74.86100769587748,0.5705532502331762,4.968602152599997,72.89840419215517
Nap1l2.3,68.61979390051131,89.18990419595941,78.40472249224362,46.363071584821064,24.727374870100746
Nap1l2.4,86.02713970247493,92.80123287662892,87.13775246234309,90.04939650610844,5.063136652986756
Nap1l3.1,99.38104896728322,95.48235961538045,99.13171143920151,98.08010314481282,-3.3819282350520723
Nap1l3.2,87.82467170847498,90.48004292621575,67.49415138674254,81.3690301240011,11.58409185314288
Nap1l3.4,32.51219329047409,89.43239553933347,66.5478612462673,63.10884544148363,35.376095546591806
Ncoa1.1,83.45700040954596,94.56063262321575,93.6375952951525,96.96086872629455,3.208811146218082
Ncoa1.2,85.83693813097494,92.12540359895051,43.33783586273573,88.69549337845773,19.501981141561046
Ncoa1.3,83.11135677922422,91.67114015098127,81.58742263989552,72.10150830755092,12.73771090875772
Ncoa1.4,19.340083321088724,82.30431224238409,6.917534609145615,36.265162415009776,61.46338546063605
Ncoa3.1,56.216441828849774,83.93096205098252,50.03494970875008,49.58460074950981,31.98563128861263
Ncoa3.2,85.51952060797495,92.62667590432333,84.79302561121943,80.49626498658449,9.02373883573037
Ncoa3.3,74.24125238212875,90.27887430267556,59.95273770150633,41.73730151810292,31.63511043542956
Ncoa3.4,76.36252339840443,88.79670023380402,68.55863723574214,67.47073322675165,17.99940228017128
Ncor1.1,87.94842268867275,94.44968681651031,86.76324666642873,92.49998681192086,5.379134760836195
Ncor1.3,25.65976801658907,89.8762560716772,17.26836076429672,41.87320786116642,61.6091438576598
Ncor1.4,88.83765309759252,94.28585029213863,87.15929477084724,93.20985306890748,4.5502499796895535
Ncor2.1,32.96059012292889,86.2655804507239,63.54003371166497,66.90613282188586,31.796661565230657
Ncor2.2,25.01816550972379,85.58975516209497,47.30118640206493,56.84122914866132,42.53622814194497
Ncor2.3,31.302269389534125,91.51927465785398,4.429017807675321,49.12371063175131,63.234275381533735
Ncor2.4,57.24134207552125,90.92590607963913,46.75755763544127,59.00150135267283,36.592439058427345
Nfatc3.2,75.55231878541997,91.25171448203044,69.40614272736828,75.36703223931275,17.809883231330105
Nfatc3.3,7.575076434210162,93.71354273062053,13.229608836106657,35.64726550998417,74.89622580385354
Nfatc3.7,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Nfatc3.8,0.3486551083337658,74.86100769587748,0.5705532502331762,0.5019793149466327,74.38727847137295
Nsd1.1,0.3486551083337658,74.86100769587748,1.891079541194613,1.5730847583132903,73.59006789326358
Nsd1.2,57.44931251204605,84.36059242540338,18.347429959725574,25.597426557418366,50.56253608234005
Nsd1.3,26.700124361674497,82.30431224238409,6.402597280805282,11.487375208580564,67.44094662536398
