Plate,Well,GeoMean
17,B11,8987.647389
17,C02,9567.282294
17,C03,9708.144019
17,C04,7966.164154
17,C05,7946.009804
17,C06,10528.55716
17,C07,7817.044126
17,C08,8413.734514
17,C09,7845.195807
17,C10,9832.296192
17,C11,11731.47863
17,D02,13323.76786
17,D03,10447.04839
17,D04,7760.688197
17,D05,8251.235065
17,D06,9461.655234
17,D07,7612.935296
17,D08,8673.616977
17,D09,9235.038328
17,D10,10377.23219
17,D11,9001.115862
17,E02,10867.5596
17,E03,11895.27795
17,E04,7332.322331
17,E05,8751.964324
17,E06,9465.180647
17,E07,8617.591995
17,E08,9751.866263
17,E09,9014.26419
17,E10,10109.32892
17,E11,6744.596394
17,F02,9718.243393
17,F03,10708.69136
17,F04,9701.133498
17,F05,8432.93194
17,F06,10774.7727
17,F07,7610.331471
17,F08,10674.81124
17,F09,12164.40797
17,F10,13048.05931
17,F11,10688.68321
17,G02,8169.725109
17,G03,8581.280668
17,G04,9109.750922
17,G05,9848.692812
17,G06,8001.918808
17,G07,5999.950157
17,G08,4580.7247
17,G09,9098.917669
17,G10,10631.99161
17,G11,11201.12436
control1,B02,7369.362551
control1,B03,8719.692647
control1,B04,8060.851177
control1,B05,4638.426406
control1,B06,7572.647668
control1,B07,6890.437217
control1,B08,7921.859313
control1,B09,6695.980198
control1,B10,6275.730569
control1,B11,2262.401495
control1,C02,10517.93689
control1,C03,10734.32253
control1,C04,7686.557907
control1,C05,9224.510691
control1,C06,4415.039063
control1,C07,7794.091511
control1,C08,3704.962273
control1,C09,5679.199125
control1,C10,6009.128134
control1,C11,3236.733973
control1,D02,8656.26491
control1,D03,8651.398001
control1,D04,9671.674118
control1,D05,5675.831149
control1,D06,3909.664809
control1,D07,1809.343641
control1,D08,4210.195871
control1,D09,2216.052567
control1,D10,5078.221947
control1,D11,1999.700943
control1,E02,3039.70025
control1,E03,4981.667242
control1,E04,4733.012984
control1,E05,4646.547181
control1,E06,7276.669355
control1,E07,6108.503006
control1,E08,7088.16514
control1,E09,5709.437796
control1,E10,6557.160738
control1,E11,3815.019387
control1,F02,4689.388645
control1,F03,3096.444392
control1,F04,2941.971205
control1,F05,6690.879105
control1,F06,6644.18608
control1,F07,5486.43887
control1,F08,6593.323869
