Plate,Well,Percentage
control1,D04,21.40896615
control1,D05,27.50659631
control1,D06,56.22300746
control1,D07,70.01028807
control1,D08,53.75088464
control1,D09,66.1325249
control1,D10,56.53061224
control1,D11,42.38468233
control1,E02,33.29466357
control1,E03,25.10460251
control1,E04,33.77031987
control1,E05,44.83790524
control1,E06,53.48253503
control1,E07,59.07136715
control1,E08,58.00135044
control1,E09,69.08344733
control1,E10,56.48201028
control1,E11,53.50140056
control1,F02,29.4199536
control1,F03,27.77777778
control1,F04,23.15832316
control1,F05,5.555555556
control1,F06,47.99683711
control1,F07,59.78874969
control1,F08,51.64803669
control1,F09,62.53850893
control1,F10,60
control1,F11,28.57142857
control1,G02,36.20867769
control1,G03,34.91218733
control1,G04,31.67889512
control1,G05,42.31177094
control1,G06,49.18309859
control1,G07,48.62068966
control1,G08,49.52759821
control1,G09,45.45094937
control1,G10,30.76923077
control1,G11,22.22222222
2,B02,37.6744186
2,B03,29.45736434
2,B04,39.11111111
2,B05,46.68458781
2,B06,38.96236012
2,B07,33.28748281
2,B08,36.36363636
2,B09,33.86627907
2,B10,36.53585927
2,B11,57.89473684
2,C02,36.88415446
2,C03,46.11197512
2,C04,44.33656958
2,C05,44.24778761
2,C06,40.80604534
2,C07,44.58092486
2,C08,57.14285714
2,C09,32.66475645
2,C10,38.61386139
2,C11,25.22321429
2,D02,50.16301816
2,D03,44.57627119
2,D04,34.38453713
2,D05,43.87047032
2,D06,61.67076167
2,D07,58.3908046
2,D08,44.06779661
2,D09,44.32234432
2,D10,36.07594937
2,D11,42.85714286
2,E02,43.70860927
2,E03,60.3960396
2,E04,38.20617356
2,E05,58.55855856
2,E06,47.22222222
2,E07,50.9054326
2,E08,50.72463768
2,E09,41.97309417
2,E10,36.58243081
2,E11,38.50415512
2,F02,32.16601816
2,F03,48.58934169
2,F04,50
2,F05,50.37037037
2,F06,55.01618123
2,F07,41.72661871
2,F08,54.02684564
2,F09,27.28026534
2,F10,46.91358025
2,F11,31.96078431
2,G02,43.70229008
2,G03,46.79174484
2,G04,55.39215686
2,G05,47.86628734
2,G06,46.44444444
2,G07,40
2,G08,42.06672091
2,G09,50
2,G10,44.35897436
2,G11,44.78873239
5,B02,43.20987654
5,B03,44.85849057
5,B04,44.39112178
5,B05,33.56445005
5,B06,42.22048475
5,B07,45.39223153
5,B08,33.33333333
5,B09,35.50583658
5,B10,41.55982906
5,B11,33.78995434
5,C02,52.11106885
5,C03,43.92470051
5,C04,50.36231884
5,C05,42.5767648
5,C06,44.28429423
5,C07,51.43047239
5,C08,40.30172414
5,C09,41.2173913
5,C10,34.36213992
5,C11,20
5,D02,48.58934169
5,D03,38.36944128
5,D04,47.44645799
5,D05,54.58689459
5,D06,56.96517413
5,D07,50.54495913
5,D08,53.26633166
5,D09,48.04270463
5,D10,42.41103849
5,D11,37.37785016
5,E02,55.31914894
5,E03,52.77777778
5,E04,55.6675063
5,E05,58.35616438
5,E06,57.79985283
5,E07,54.48154657
5,E08,59.5129376
5,E09,49.01610018
5,E10,36.80709534
5,E11,28.86232846
5,F02,41.25
5,F03,53.47826087
5,F04,58.74411303
5,F05,0
5,F06,46.95524578
5,F07,49.69173859
5,F08,40
5,F09,58.12619503
5,F10,40.65217391
5,F11,32.88530466
5,G02,45.90288316
5,G03,0
5,G04,43.28358209
5,G05,40.05333333
5,G06,51.71568627
5,G07,38.18424566
5,G08,36.4628821
5,G09,43.65781711
5,G10,35.44913573
5,G11,22.99509002
4,B02,25.36534447
4,B03,22.98136646
4,B04,13.47708895
4,B05,18.18181818
4,B06,31.51308305
4,B07,39.9031477
4,B08,27.56232687
4,B09,30.88071349
4,B10,25.76687117
4,B11,32.05841446
4,C02,44.41391941
4,C03,38.86462882
4,C04,42.71137026
4,C05,51.84210526
4,C06,26.03351955
4,C07,37.72241993
4,C08,49.80289093
4,C09,46.86998395
4,C10,27.27272727
4,C11,42.89059886
4,D02,40.49479167
4,D03,45.94594595
4,D04,39.63170536
4,D05,44.35344828
4,D06,45.09646302
4,D07,49.52874647
4,D08,51.79806362
4,D09,49.94892748
4,D10,52.87009063
4,D11,50.90206186
4,E02,48.05194805
4,E03,46.89092762
4,E04,51.74654752
4,E05,42.63074485
4,E06,49.36507937
4,E07,46.46464646
4,E08,56.6230813
4,E09,50.43859649
4,E10,47.81021898
4,E11,47.65245548
4,F02,37.11229947
4,F03,39.8540146
4,F04,43.50031706
4,F05,42.44817374
4,F06,56.36509207
4,F07,53.74625375
4,F08,55.3117207
4,F09,53.42372881
4,F10,47.28682171
4,F11,50.69306931
4,G02,46.59776055
4,G03,44.65691789
4,G04,44.27710843
4,G05,51.18397086
4,G06,38.88888889
4,G07,43.69247428
4,G08,52.59959487
4,G09,53.09168443
4,G10,43.0408472
4,G11,30.53511706
3,B02,51.44866385
3,B03,48.11031665
3,B04,50.01540832
3,B05,50.16233766
3,B06,43.34450198
3,B07,46.37042712
3,B08,44.4908928
3,B09,37.50698714
3,B10,37.76061776
3,B11,38.19193324
3,C02,58.14814815
3,C03,61.85185185
3,C04,54.54545455
3,C05,46.25520111
3,C06,48.92887746
3,C07,53.73856912
3,C08,47.6498801
3,C09,60.71975498
3,C10,48.73015873
3,C11,42.530836
3,D02,53.32947307
3,D03,62.47170665
3,D04,57.21649485
3,D05,60.11080332
3,D06,58.24353448
3,D07,47.83783784
3,D08,46.24664879
3,D09,47.94117647
3,D10,39.38751472
3,D11,39.01288903
3,E02,52.42966752
3,E03,55.56402439
3,E04,68.78710772
3,E05,56.17154812
3,E06,58.91472868
3,E07,57.02380952
3,E08,48.55769231
3,E09,46.24561404
3,E10,57.95670338
3,E11,36.69891173
3,F02,53.86221294
3,F03,50.71647902
3,F04,52.91262136
3,F05,56.33724176
3,F06,59.01109057
3,F07,68.05251641
3,F08,56.95364238
3,F09,54.75996745
3,F10,51.35208959
3,F11,37.79761905
3,G02,53.18257956
3,G03,48.68338558
3,G04,23.07692308
3,G05,57.20930233
3,G06,56.7839196
3,G07,52.63788969
3,G08,43.80645161
3,G09,47.26138202
3,G10,41.53279786
3,G11,43.32574032
control3,B02,67.56756757
control3,B03,65.92709984
control3,B04,55.65770863
control3,B05,66.86681223
control3,B06,69.37765205
control3,B07,67.8951679
control3,B08,70.22144522
control3,B09,60.43882979
control3,B10,61.63113994
control3,B11,47.18614719
control3,C02,66.86553465
control3,C03,67.58691207
control3,C04,72.7081138
control3,C05,36.17111393
control3,C06,67.13973799
control3,C07,52.90745291
control3,C08,63.87362637
control3,C09,48.11903425
control3,C10,68.73822976
control3,C11,61.08786611
control3,D02,35.28481013
control3,D03,50
control3,D04,44.29268293
control3,D05,41.16788321
control3,D06,74.15009622
control3,D07,78.45588235
control3,D08,72.68907563
control3,D09,72.18171621
control3,D10,62.47191011
control3,D11,51.47058824
control3,E02,40.6504065
control3,E03,40.65827686
control3,E04,49.07456372
control3,E05,60.94276094
control3,E06,60.62801932
control3,E07,65.78715919
control3,E08,58.984375
control3,E09,63.01587302
control3,E10,60.23594726
control3,E11,52.77108434
control3,F02,45.61586639
control3,F03,42.74881517
control3,F04,33.2278481
control3,F05,18.51851852
control3,F06,61.0056926
control3,F07,68.17913966
control3,F08,57.12177122
control3,F09,68.70897155
control3,F10,54.16666667
control3,F11,53.33333333
control3,G02,56.25
