Plate,Well,Percentage
2,E09,28.87874837
2,E10,31.71597633
2,E11,26.3253012
2,F02,28.4562212
2,F03,33.90868597
2,F04,39.13043478
2,F05,30.80513419
2,F06,36.88650307
2,F07,28.80382775
2,F08,36.82969947
2,F09,28.11059908
2,F10,37.19412724
2,F11,18.91891892
2,G02,34.66933868
2,G03,34.32494279
2,G04,35.76522216
2,G05,32.33979136
2,G06,35.24904215
2,G07,28.57142857
2,G08,31.67420814
2,G09,39.17597765
2,G10,35.69023569
2,G11,37.33333333
4,B02,17.01000589
4,B03,12.5
4,B04,14.55223881
4,B05,16.2601626
4,B06,22.5554889
4,B07,22.59358289
4,B08,15.40596808
4,B09,19.99141999
4,B10,21.37834037
4,B11,19.04520061
4,C02,28.98653437
4,C03,25.68069307
4,C04,28.57142857
4,C05,34.59006583
4,C06,17.02257474
4,C07,23.21568627
4,C08,28.63961814
4,C09,28.97371715
4,C10,41.66666667
4,C11,25.48231511
4,D02,25.4283138
4,D03,33.64764268
4,D04,23.33333333
4,D05,28.01383399
4,D06,24.09162717
4,D07,29.21401515
4,D08,30.56105611
4,D09,26.85274302
4,D10,28.24156306
4,D11,32.8659071
4,E02,34.4488189
4,E03,37.2983871
4,E04,30.15647226
4,E05,26.25698324
4,E06,33.60768176
4,E07,33.1092437
4,E08,35.15087348
4,E09,31.45441893
4,E10,31.04294479
4,E11,26.63200462
4,F02,27.97695262
4,F03,28.7012987
4,F04,26.25250501
4,F05,25.76808722
4,F06,36.64495114
4,F07,27.90697674
4,F08,33.72018053
4,F09,37.5
4,F10,30.08130081
4,F11,33.28244275
4,G02,35.04801097
4,G03,31.31672598
4,G04,41.0989011
4,G05,31.07255521
4,G06,25.16823688
4,G07,28.38709677
4,G08,33.19352906
4,G09,32.15661104
4,G10,30.6779661
4,G11,19.37059143
7,B02,33.74896093
7,B03,39.51411218
7,B04,33.76521398
7,B05,41.86666667
7,B06,31.57894737
7,B07,33.25107958
7,B08,39.57237995
7,B09,36.66288309
7,B10,30.15821763
7,B11,30.56451613
7,C02,46.14243323
7,C03,36.84210526
7,C04,38.78146662
7,C05,35.84745763
7,C06,30.92170466
7,C07,38.203125
7,C08,35.7928506
7,C09,29.41176471
7,C10,29.26401869
7,C11,34.37972769
7,D02,31.27147766
7,D03,36.50420168
7,D04,41.76854116
7,D05,45.09326845
7,D06,37.08053691
7,D07,29.16666667
7,D08,46.20355412
7,D09,40.36448236
7,D10,32.86978508
7,D11,33.33333333
7,E02,33.91370174
7,E03,39.61414791
7,E04,35.69105691
7,E05,39.96252677
7,E06,35.13207547
7,E07,36.85762426
7,E08,35.63535912
7,E09,29.30527269
7,E10,24.67913458
7,E11,30.34595478
7,F02,32.65557609
7,F03,31.09770808
7,F04,37.27206419
7,F05,34.88854329
7,F06,30.7568438
7,F07,26.82283075
7,F08,32.89224953
7,F09,39.34137019
7,F10,30.54945055
7,F11,23.69376921
7,G02,46.25395709
7,G03,26.75619835
7,G04,35.86698337
7,G05,33.30855019
7,G06,31.9614711
7,G07,27.11775505
7,G08,37.5
7,G09,32.09574988
7,G10,27.59502924
7,G11,30
6,B02,27.86729858
6,B03,29.3135436
6,B04,32.88702929
6,B05,27.90567097
6,B06,25.17289073
6,B07,24.23398329
6,B08,29.09220872
6,B09,21.29471891
6,B10,17.90722762
6,B11,18.27242525
6,C02,29.12533814
6,C03,32.73155416
6,C04,30.01755413
6,C05,21.53846154
6,C06,25.34332085
6,C07,24.80314961
6,C08,26.61097852
6,C09,25.625
6,C10,18.88888889
6,C11,23.22580645
6,D02,21.875
6,D03,32.5060048
6,D04,39.53703704
6,D05,29.178338
6,D06,33.55886333
6,D07,28.10810811
6,D08,32.15476985
6,D09,30.95549738
6,D10,23.58490566
6,D11,26.21035058
6,E02,27.48054475
6,E03,40.27303754
6,E04,35.15821195
6,E05,33.96317829
6,E06,39.23529412
6,E07,39.40677966
6,E08,25.86872587
6,E09,23.15369261
6,E10,29.14911542
6,E11,28.02148612
6,F02,31.79442509
6,F03,38.58093126
6,F04,40.36363636
6,F05,31.93309996
6,F06,36.18331053
6,F07,34.27719821
6,F08,30.7122708
6,F09,36.63477772
6,F10,25.52130553
6,F11,24.17962003
6,G02,29.21052632
6,G03,39.38814532
6,G04,32.75862069
6,G05,31.61445783
6,G06,25.55555556
6,G07,29.36708861
6,G08,31.89326557
6,G09,37.73584906
6,G10,22.65446224
6,G11,34.24855491
5,B02,33.91420912
5,B03,40.3436019
5,B04,29.95461422
5,B05,25.27522936
5,B06,23.19508449
5,B07,26.27789777
5,B08,44.44444444
5,B09,18.80409127
5,B10,24.11273486
5,B11,10.6918239
5,C02,38.88617489
5,C03,33.03867403
5,C04,30.35343035
5,C05,31.12371499
5,C06,31.03802672
5,C07,31.00158983
5,C08,22.64251465
5,C09,23.50859454
5,C10,19.88235294
5,C11,0
5,D02,32.56379101
5,D03,26.83863886
5,D04,29.27272727
5,D05,29.27232635
5,D06,32.79181709
5,D07,35.3421859
5,D08,29.04884319
5,D09,25.79634465
5,D10,26.13929493
5,D11,20.25380711
5,E02,34.51652387
5,E03,27.38095238
5,E04,30.93093093
5,E05,33.40782123
5,E06,26.63627483
5,E07,25.91119947
5,E08,31.25401929
5,E09,28.53025937
5,E10,25.57544757
5,E11,19.47674419
5,F02,30.23952096
5,F03,32.10023866
5,F04,33.76132931
5,F05,40
5,F06,28.54651163
5,F07,30.71770335
5,F08,0
5,F09,46.96058784
5,F10,23.50961538
5,F11,19.57156767
5,G02,23.16890882
5,G03,50
5,G04,21.24645892
5,G05,21.50893448
5,G06,29.14893617
5,G07,17.88659794
5,G08,21.39737991
5,G09,23.75524895
5,G10,21.18466899
5,G11,19.55719557
3,B02,32.46861925
3,B03,32.27344992
3,B04,31.50262265
3,B05,33.93085787
3,B06,29.95742092
3,B07,30.79539508
3,B08,27.24847561
3,B09,26.65148064
3,B10,25.48449612
3,B11,22.11273157
3,C02,27.13178295
3,C03,43.61702128
3,C04,30.72177668
3,C05,27.6733255
3,C06,24.3227991
3,C07,29.13958929
3,C08,30.17045455
3,C09,30.5401662
3,C10,27.50511247
3,C11,26.68259658
3,D02,34.51668092
3,D03,39.8651496
