Pool,shRNA
pool1-7|bc1_3_17_20,Fbxl19.4
pool1-7|bc1_3_17_20,Elp3.4
pool1-7|bc1_3_17_20,Ehmt1.4
pool1-7|bc1_3_17_20,Epc1.4
pool1-7|bc1_3_17_20,Elp4.4
pool1-7|bc1_3_17_20,Ep400.4
pool1-7|bc1_3_17_20,Fbxw9.1
pool1-7|bc1_3_17_20,Hcfc1.1
pool1-7|bc1_3_17_20,Hdac1.1
pool1-7|bc1_3_17_20,Hat1.1
pool1-7|bc1_3_17_20,Gadd45a.1
pool1-7|bc1_3_17_20,Hdac6.1
pool1-7|bc1_3_17_20,Hdac2.1
pool1-7|bc1_3_17_20,Gtf2f1.1
pool1-7|bc1_3_17_20,Fkbp1a.1
pool1-7|bc1_3_17_20,Hdac3.1
pool1-7|bc1_3_17_20,Hdac2.2
pool1-7|bc1_3_17_20,Gadd45b.1
pool1-7|bc1_3_17_20,Fbxw9.2
pool1-7|bc1_3_17_20,Hdac3.2
pool1-7|bc1_3_17_20,Hdac10.1
pool1-7|bc1_3_17_20,Hdac1.2
pool1-7|bc1_3_17_20,Gadd45a.2
pool1-7|bc1_3_17_20,Hdac4.1
pool1-7|bc1_3_17_20,Hcfc1.2
pool1-7|bc1_3_17_20,Gtf3c4.1
pool1-7|bc1_3_17_20,Hdac4.2
pool1-7|bc1_3_17_20,Hcfc1.3
pool1-7|bc1_3_17_20,Gtf2b.1
pool1-7|bc1_3_17_20,Gadd45b.2
pool1-7|bc1_3_17_20,Hdac4.3
pool1-7|bc1_3_17_20,Hdac10.2
pool1-7|bc1_3_17_20,Gtf2f1.2
pool1-7|bc1_3_17_20,Fbxw9.3
pool1-7|bc1_3_17_20,Hdac6.2
pool1-7|bc1_3_17_20,Gtf3c4.2
pool1-7|bc1_3_17_20,Hat1.2
pool1-7|bc1_3_17_20,Fbxw9.4
pool1-7|bc1_3_17_20,Hdac2.3
pool1-7|bc1_3_17_20,Hdac1.3
pool1-7|bc1_3_17_20,Gtf2b.2
pool1-7|bc1_3_17_20,Fkbp1a.3
pool1-7|bc1_3_17_20,Hdac3.3
pool1-7|bc1_3_17_20,Hdac10.3
pool1-7|bc1_3_17_20,Gtf2f1.3
pool1-7|bc1_3_17_20,Gadd45a.3
pool1-7|bc1_3_17_20,Hdac6.3
pool1-7|bc1_3_17_20,Hdac1.4
pool1-7|bc1_3_17_20,Gtf2b.3
pool1-7|bc1_3_17_20,Gadd45b.3
pool1-7|bc1_3_17_20,Hdac2.4
pool1-7|bc1_3_17_20,Hat1.3
pool1-7|bc1_3_17_20,Gtf3c4.3
pool1-7|bc1_3_17_20,Gadd45b.4
pool1-7|bc1_3_17_20,Hdac3.4
pool1-7|bc1_3_17_20,Hdac10.4
pool1-7|bc1_3_17_20,Gtf3c4.4
pool1-7|bc1_3_17_20,Fkbp1a.4
pool1-7|bc1_3_17_20,Hdac6.4
pool1-7|bc1_3_17_20,Hdac4.4
pool1-7|bc1_3_17_20,Gtf2b.4
pool1-7|bc1_3_17_20,Gadd45a.4
pool1-7|bc1_3_17_20,Hcfc1.4
pool1-7|bc1_3_17_20,Gtf2f1.4
pool1-7|bc1_3_17_20,Hat1.4
pool1-7|bc1_3_17_20,Hdac7.1
pool1-7|bc1_3_17_20,Ing4.1
pool1-7|bc1_3_17_20,Ing5.1
pool1-7|bc1_3_17_20,Ing3.1
pool1-7|bc1_3_17_20,Jmjd4.1
pool1-7|bc1_3_17_20,Jarid2.1
pool1-7|bc1_3_17_20,Hltf.1
pool1-7|bc1_3_17_20,Hdac8.1
pool1-7|bc1_3_17_20,Jhdm1d.1
pool1-7|bc1_3_17_20,Jarid2.2
pool1-7|bc1_3_17_20,Hells.1
pool1-7|bc1_3_17_20,Hdac7.2
pool1-7|bc1_3_17_20,Jhdm1d.2
pool1-7|bc1_3_17_20,Ino80.1
pool1-7|bc1_3_17_20,Ing5.2
pool1-7|bc1_3_17_20,Hdac9.2
pool1-7|bc1_3_17_20,Ing4.2
pool1-7|bc1_3_17_20,Ing2.1
pool1-7|bc1_3_17_20,Hdac8.2
pool1-7|bc1_3_17_20,Jmjd1c.2
pool1-7|bc1_3_17_20,Ing4.3
pool1-7|bc1_3_17_20,Hira.1
