Position,Pool,shRNA,GeoMean
control2_F03,2,Runx3.2,75.2176545
control2_F04,2,Runx3.3,54.76785444
control2_F05,2,Empty,734.4407288
control2_F06,2,Sp140.1,454.5007979
control2_F07,2,Sp140.2,621.2390276
control2_F08,2,Sp140.3,389.1898972
control2_F09,2,Sp140.4,914.4763525
control2_F10,2,Empty,81.20448323
control2_F11,2,Empty,1887.225485
control2_G02,2,Smarce1.1,495.1310077
control2_G03,2,Smarce1.2,356.1658348
control2_G04,2,Smarce1.3,382.5259438
control2_G05,2,Smarce1.4,418.4893618
control2_G06,2,Wdr82.1,578.000269
control2_G07,2,Wdr82.2,597.9027825
control2_G08,2,Wdr82.3,528.3578075
control2_G09,2,Wdr82.4,423.5912454
control2_G10,2,Empty,220.1981003
control2_G11,2,Empty,192.4649753
12_B02,2,Pcgf2.1,1611.945827
12_B03,2,Phf20.1,372.7362698
12_B04,2,Phf20l1.1,644.8962633
12_B05,2,Phf2.1,192.5391642
12_B06,2,Pcgf6.1,456.7739283
12_B07,2,Prdm1.1,224.7871892
12_B08,2,Phip.1,684.0301355
12_B09,2,Phf1.1,177.5742856
12_B10,2,Pcgf5.1,184.2165048
12_B11,2,Polr2b.1,165.8111588
12_C02,2,Phip.2,295.6356394
12_C03,2,Pcmt1.1,339.0578152
12_C04,2,Pcgf2.2,354.3579025
12_C05,2,Polr2b.2,480.1438935
12_C06,2,Phf8.1,414.8884481
12_C07,2,Phf20l1.2,361.5681059
12_C08,2,Pcgf6.2,233.05205
12_C09,2,Ppargc1a.1,321.2956459
12_C10,2,Phf20.2,358.7910043
12_C11,2,Phf19.1,276.8764986
12_D02,2,Pcgf5.2,384.8615807
12_D03,2,Ppargc1a.2,541.9834636
12_D04,2,Phf20.3,1048.398265
12_D05,2,Phc1.1,505.0829642
12_D06,2,Pcmt1.2,495.8554311
12_D07,2,Ppargc1a.3,435.7560054
12_D08,2,Phf8.2,495.5991868
12_D09,2,Phf1.2,363.2351471
12_D10,2,Pcgf2.3,478.3234226
12_D11,2,Prdm1.2,175.2486797
12_E02,2,Phf19.2,557.817924
12_E03,2,Phf2.2,391.640141
12_E04,2,Pcgf2.4,497.1484257
12_E05,2,Phip.3,270.6428707
12_E06,2,Phf20l1.3,329.9270371
12_E07,2,Phc1.2,524.0379658
12_E08,2,Pcgf5.3,247.9790539
12_E09,2,Polr2b.3,434.0590386
12_E10,2,Phf8.3,340.2774061
12_E11,2,Phf1.3,234.0595616
12_F02,2,Pcgf6.3,188.0869911
12_F03,2,Prdm1.3,514.4112301
12_F04,2,Phf20l1.4,385.7218333
12_F05,2,Phc1.3,266.6738105
12_F06,2,Pcmt1.3,244.0673272
12_F07,2,Phip.4,126.3052686
12_F08,2,Phf2.3,205.6012473
12_F09,2,Phf19.3,277.0403823
12_F10,2,Pcmt1.4,387.0718939
12_F11,2,Polr2b.4,324.909461
12_G02,2,Phf8.4,346.0476563
12_G03,2,Phf19.4,162.0349093
12_G04,2,Pcgf5.4,113.1102679
12_G05,2,Prdm1.4,195.9992917
12_G06,2,Ppargc1a.4,284.1187826
12_G07,2,Phc1.4,267.1755563
12_G08,2,Pcgf6.4,235.6029078
12_G09,2,Phf20.4,259.1288756
12_G10,2,Phf1.4,193.669596
12_G11,2,Phf2.4,347.1548847
14_B02,2,Prmt1.1,331.5868654
14_B03,2,Rbbp4.1,211.1667189
14_B04,2,Rbbp5.1,425.4998218
14_B05,2,Psip1.1,872.5273887
14_B06,2,Prmt3.1,702.4224776
14_B07,2,Rnf40.1,582.9832141
14_B08,2,Ring1.1,335.7038156
14_B09,2,Prmt7.1,512.9250366
14_B10,2,Prmt2.1,405.2365123
14_B11,2,Rnf20.1,370.8402238
14_C02,2,Ring1.2,455.783389
14_C03,2,Prmt5.1,458.6232341
14_C04,2,Prmt1.2,442.0024226
14_C05,2,Rnf20.2,588.8469401
14_C06,2,Rbbp7.1,507.9052499
14_C07,2,Rbbp5.2,621.4382176
14_C08,2,Prmt3.2,472.776337
14_C09,2,Rnf217.1,360.9365425
14_C10,2,Rbbp4.2,605.4962731
14_C11,2,Prmt8.1,622.6735488
14_D02,2,Prmt2.2,451.5426253
14_D03,2,Rnf217.2,894.0559975
