gene_name,gene_name2,interation
PARP1,SIRT1,pp
PRMT6,SUV39H1,pp
PRMT1,SUZ12,pp
SIN3B,SMARCA2,pp
SMARCA2,ZMYND11,pp
EPC2,KAT5,pp
EED,SIRT1,pp
SIN3A,SMARCC1,pp
DNMT3L,MECP2,pp
KMT2C,RING1,pp
PARP2,SIRT6,pp
PRKCD,PRKCD,pp
BRCA1,MTA2,pp
CBX1,PRDM6,pp
KMT2A,SMARCA2,pp
NCOR1,SMARCA2,pp
CARM1,SMARCE1,pp
EZH2,SMARCA1,pp
HDAC1,MEN1,pp
CHD4,TRIM28,pp
MTA1,UBE2I,pp
BMI1,KDM6A,pp
HDAC2,L3MBTL2,pp
AURKB,SMARCC1,pp
KAT7,RNF2,pp
CBX7,RING1,pp
ARID1A,CHD7,pp
KAT2B,NCOA1,pp
CHD3,UBE2I,pp
CXXC1,KMT2D,pp
NCOR1,SIN3A,pp
DNMT1,SUV39H1,pp
EZH2,KAT2B,pp
DMAP1,HDAC1,pp
H2AFZ,H2AFZ,pp
ING2,SIN3A,pp
CHD1L,H2AFZ,pp
HDAC1,TET1,pp
DPY30,HDAC2,pp
CBX5,TRIM24,pp
ATRX,NSD1,pp
EED,HDAC2,pp
SMARCC1,SMARCC2,pp
HDAC3,SMYD1,pp
PHF8,WDR5,pp
CHD6,EZH2,pp
KMT2D,WDR82,pp
ACTL6A,H2AFZ,pp
BAZ1B,SMARCC1,pp
BRCA1,HLTF,pp
ACTL6A,SMARCC2,pp
EHMT2,NCOA3,pp
MBD2,RBBP4,pp
PRKAA2,RBBP7,pp
BAZ1B,SMARCD2,pp
BRD4,ING3,pp
PADI3,SMARCD1,pp
NCOA3,NCOA3,pp
JARID2,PRDM14,pp
ATM,SMARCB1,pp
EED,L3MBTL2,pp
EED,MTF2,pp
PCGF6,TRIM28,pp
EP400,MORF4L1,pp
BAZ1A,MTF2,pp
PRKAA2,UBE2I,pp
ING2,WDR5,pp
PHC2,SFMBT1,pp
BRD4,SMARCA4,pp
CXXC1,WDR82,pp
HDAC6,HDAC6,pp
KDM1A,MTA3,pp
EZH2,ING4,pp
ACTB,KAT5,pp
CBX6,CHAF1B,pp
PPARGC1A,RNF2,pp
TAF1,TAF3,pp
ATM,HDAC6,pp
ACTL6A,INO80,pp
RNF2,TRIM28,pp
JADE1,KAT5,pp
HDAC1,PHF20L1,pp
CHD1,SSRP1,pp
BRCA1,PRMT1,pp
EZH2,KDM6A,pp
DMAP1,EZH2,pp
CHD7,RBBP5,pp
BRD2,CHD3,pp
KMT2A,SMARCC1,pp
CHD3,SMARCA4,pp
DNMT3A,EZH2,pp
JARID2,RBBP7,pp
BMI1,EHMT1,pp
CARM1,SMARCA4,pp
HDAC2,SMARCC2,pp
UBE2I,ZMYND11,pp
UBE2A,UBE2A,pp
CBX5,PCGF6,pp
CHD4,KAT7,pp
HDAC3,KAT2B,pp
CHAF1A,HDAC1,pp
MBD3,MECOM,pp
HDAC1,SFMBT1,pp
KDM1A,MBD2,pp
GTF2F1,POLR2B,pp
CBX3,EZH2,pp
PRKAA1,TRIM28,pp
CHD5,MTA3,pp
KDM1A,MTA2,pp
ATM,TAF1,pp
RBBP7,RNF2,pp
FBXL19,RNF40,pp
ZMYND11,ZMYND11,pp
BRD4,KDM4C,pp
CARM1,SMARCB1,pp
CHD5,MTA1,pp
DNMT1,DNMT1,pp
HDAC1,KMT2A,pp
DNMT1,MECP2,pp
PAXIP1,WDR82,pp
ASH2L,WDR5,pp
BAZ1B,CHD3,pp
JARID2,RBBP4,pp
DNMT3A,HDAC1,pp
HDAC1,KDM5A,pp
EED,TCEA1,pp
RBBP4,SIN3A,pp
KDM5A,NSD1,pp
EZH2,PCGF1,pp
CBX3,CBX5,pp
EP300,KAT2B,pp
PRDM14,SUZ12,pp
FKBP5,PRKAA1,pp
ELP3,PCGF6,pp
ARID2,BRD7,pp
MTA2,SATB1,pp
BRCA1,HCFC1,pp
CBX1,SP100,pp
HDAC2,PHC1,pp
CHD7,CHD8,pp
KDM1A,RNF2,pp
CARM1,EP300,pp
SMARCA5,SUZ12,pp
HDAC1,PARP1,pp
ARID1B,KDM4C,pp
KAT5,UBE2I,pp
EED,SIN3A,pp
EZH2,KDM5B,pp
NCOR2,SIRT1,pp
EHMT1,HDAC1,pp
PRDM6,PRDM6,pp
CBX8,SUZ12,pp
NCOR1,TRIM33,pp
EZH1,SUZ12,pp
BRCA1,RBBP7,pp
DNMT1,MBD2,pp
ARID1A,PHF10,pp
EED,HCFC1,pp
CHD4,SIRT6,pp
ARID1B,SMARCE1,pp
BAZ1A,CHD3,pp
DNMT3B,TDG,pp
SIRT3,SIRT4,pp
DNMT1,DNMT3A,pp
DNMT3A,UBE2I,pp
ATM,KAT8,pp
EP300,MORF4L1,pp
HDAC6,KDM1A,pp
ACTL6A,SMARCC1,pp
JARID2,SUZ12,pp
BRD4,DMAP1,pp
HDAC2,SFMBT1,pp
HLTF,RPA3,pp
EED,EED,pp
CBX3,SIRT7,pp
EED,PRKAA1,pp
PCGF1,PCGF1,pp
ATM,PARP1,pp
BRCA1,EP300,pp
BAZ1B,HDAC11,pp
KDM1A,L3MBTL3,pp
ATRX,BMI1,pp
DNMT1,TRIM28,pp
KDM6A,KMT2D,pp
SUV39H1,SUV39H1,pp
DNMT3B,SUV39H1,pp
EZH2,KDM2B,pp
DNMT1,DNMT3B,pp
HDAC1,RNF2,pp
EZH1,ZMYND11,pp
EED,NSD1,pp
CBX3,SP100,pp
ARID1A,EED,pp
HDAC6,PCMT1,pp
HDAC2,SMARCA2,pp
EHMT2,RBBP4,pp
CHAF1A,HDAC2,pp
ING3,KDM5A,pp
PARP2,UHRF1,pp
ASH2L,SUZ12,pp
CHD8,RBBP5,pp
KDM4A,KDM4C,pp
NCOR1,SIRT1,pp
SETDB1,SIN3B,pp
BRCA1,BRCA1,pp
EED,PHC2,pp
SIRT6,TRIM28,pp
CHD5,MBD2,pp
MECP2,SMARCA2,pp
BRD8,EPC1,pp
MBD3,SUZ12,pp
MTF2,SUV39H1,pp
CHD3,SATB1,pp
EHMT1,EHMT2,pp
MEN1,PSIP1,pp
HDAC4,RBBP4,pp
KMT2B,RBBP5,pp
PARP1,UHRF1,pp
EED,RING1,pp
CHD4,PHF20L1,pp
CHD3,SIRT1,pp
KDM6B,PRMT7,pp
HCFC1,WDR5,pp
SMARCA4,SMARCD1,pp
EZH2,KAT7,pp
ACTL6A,ELP3,pp
DNMT3A,SUV39H1,pp
EED,HDAC8,pp
NCOA3,PRMT1,pp
PRMT5,SMARCB1,pp
HCFC1,SETD1A,pp
EP300,HIRA,pp
MORF4L1,MORF4L1,pp
EP400,EZH2,pp
HDAC1,PRDM6,pp
SIRT7,SMARCC1,pp
EED,PCGF1,pp
DNMT3A,EHMT2,pp
SATB1,UBE2I,pp
CBX3,RBBP4,pp
CHD8,SIRT7,pp
JMJD6,UBE2I,pp
PAXIP1,PRMT5,pp
HDAC1,MBD4,pp
HDAC2,MBD3,pp
CHD3,SMARCE1,pp
KDM4B,RBBP5,pp
PCGF6,RNF2,pp
L3MBTL2,SMARCA4,pp
KDM4A,KDM4B,pp
ATRX,EAF1,pp
DPY30,DPY30,pp
BRCA1,BRD7,pp
CHD4,EED,pp
CBX2,PHC2,pp
CREBBP,KAT6A,pp
BPTF,CBX6,pp
DNMT1,EHMT2,pp
ARID1B,SMARCA4,pp
CHD2,SIRT7,pp
SETD7,SMARCA4,pp
BAZ1B,RNF2,pp
CHD4,RPA3,pp
NCOA1,PRMT1,pp
SMARCD1,SMARCD3,pp
SMARCB1,SMARCC2,pp
EPC2,ING3,pp
SIRT1,SIRT1,pp
CBX5,SUV39H2,pp
BMI1,KDM3A,pp
EZH2,TCEA1,pp
RBBP7,SMARCA1,pp
CBX5,L3MBTL1,pp
PHC3,RING1,pp
CBX6,PHC3,pp
BOP1,CHD4,pp
CBX5,CHD4,pp
EZH1,PRMT5,pp
GADD45A,GADD45B,pp
DOT1L,ORC1,pp
HDAC2,SETDB1,pp
BRCA1,SMARCA4,pp
MECOM,PRMT1,pp
SIN3A,SMARCA4,pp
ASH2L,EP300,pp
NCOR1,UBE2I,pp
MBD4,SIN3A,pp
BRD4,PHF2,pp
PRKAA1,RBBP7,pp
HDAC4,KDM5B,pp
NCOA3,SIRT2,pp
CHD3,GADD45A,pp
KDM1A,SETDB1,pp
BRD4,KDM5C,pp
EP300,NCOR2,pp
CHD3,ZMYND8,pp
HDAC1,RBBP7,pp
CARM1,PRMT5,pp
ARID1B,PRMT5,pp
CHAF1A,RBBP7,pp
ASH2L,PAXIP1,pp
HDAC1,PHF1,pp
ASXL2,EZH2,pp
L3MBTL3,PRKAA1,pp
SIN3A,SMARCC2,pp
BRD4,EP300,pp
DNMT3B,TRIM28,pp
CBX5,SETDB1,pp
KDM1A,PHF8,pp
CBX5,MBD1,pp
CBX3,SIRT1,pp
CBX4,RNF2,pp
CHD1,SUZ12,pp
SSRP1,SUZ12,pp
RNF2,SMARCA5,pp
BAZ1B,MBD3,pp
PHF10,SMARCA4,pp
CBX8,KDM2B,pp
EED,ORC1,pp
CBX4,PHC2,pp
KDM1B,PAXIP1,pp
EZH2,SSRP1,pp
EED,SMARCC2,pp
BMI1,KDM1A,pp
CBX8,PCGF5,pp
PADI3,PADI3,pp
HDAC3,WDR5,pp
DNMT3A,SETDB1,pp
CHD4,PHIP,pp
KDM5C,MBD2,pp
CREBBP,KMT2D,pp
ACTL6A,HDAC2,pp
ING3,KAT7,pp
HDAC1,KDM4C,pp
PHIP,RNF2,pp
PBRM1,SMARCD1,pp
BMI1,CREBBP,pp
HDAC3,KDM4C,pp
CREBBP,KDM3B,pp
CBX8,ELP3,pp
SMARCC1,SMARCD3,pp
HLTF,UBE2A,pp
CHD3,KDM1A,pp
EZH2,TRIM33,pp
HIRA,MECP2,pp
CBX1,DNMT3A,pp
SMARCD1,SMARCD2,pp
SIRT6,TDG,pp
RBBP4,RBBP7,pp
L3MBTL2,MTA2,pp
CBX5,CHAF1A,pp
KAT5,UHRF1,pp
EZH1,PHF19,pp
HCFC1,SIN3B,pp
BRD2,BRD3,pp
KDM5D,PCGF6,pp
CHAF1A,MTA3,pp
CBX1,CHD3,pp
PHF19,RBBP7,pp
PCGF1,SMARCC2,pp
CREBBP,NCOR2,pp
CBX2,RING1,pp
EZH2,USP22,pp
HCFC1,HDAC2,pp
SIRT1,UBE2I,pp
KDM3A,PRMT5,pp
ACTL6A,SMARCB1,pp
HDAC1,MORF4L1,pp
CLOCK,EP300,pp
ELP3,KMT2D,pp
BAZ1A,RBBP4,pp
CHAF1A,PAF1,pp
HDAC11,KDM1A,pp
CHD5,HDAC2,pp
L3MBTL2,MTA1,pp
HDAC9,SMARCA4,pp
RPA3,WDR82,pp
HDAC1,HDAC2,pp
EED,EHMT1,pp
KDM2B,SIN3A,pp
HCFC1,HDAC1,pp
ING4,KAT7,pp
MTA1,PHF20L1,pp
HDAC4,SIRT1,pp
EZH2,KDM5A,pp
PRMT5,WDR5,pp
ARID1A,NCOA1,pp
SATB1,SMARCA5,pp
BRD4,CHD4,pp
PPARGC1A,SIRT1,pp
DNMT3L,EED,pp
EP400,PBRM1,pp
ARID1A,CHAF1A,pp
PBRM1,SIRT7,pp
HDAC2,KDM6A,pp
KDM1A,MBD3,pp
SIRT1,TRIM28,pp
BRD7,EP300,pp
ACTL6A,ING3,pp
CBX1,L3MBTL2,pp
BRCA1,RBBP4,pp
EZH1,EZH2,pp
DNMT1,GADD45A,pp
ACTB,DMAP1,pp
HDAC2,KDM5B,pp
CARM1,CREBBP,pp
EHMT2,EZH2,pp
ARID1B,KAT5,pp
FKBP1A,FKBP1A,pp
HDAC1,SMARCA2,pp
BRCA1,CREBBP,pp
CHD3,SSRP1,pp
MBD2,PHF20L1,pp
RBBP7,SIN3B,pp
RNF2,SMARCB1,pp
BRCA1,DNMT1,pp
CBX4,SUV39H1,pp
DNMT1,PRKAA2,pp
KMT2C,WDR5,pp
RBBP7,SIRT7,pp
HDAC4,PARP1,pp
CREBBP,FBXL19,pp
CBX2,ELP3,pp
SMARCB1,SUZ12,pp
PHIP,SMARCA5,pp
EP300,EZH2,pp
PARP1,RPA3,pp
ATM,HDAC1,pp
BRCA1,SETD1A,pp
CLOCK,KAT5,pp
ACTL6A,SMARCD2,pp
EP400,HDAC6,pp
DNMT3A,DNMT3B,pp
CHD4,HDAC1,pp
CHD2,EED,pp
PCGF5,UBE2E1,pp
POLR2B,ZMYND8,pp
SMARCA5,SMARCC1,pp
EP300,HDAC3,pp
GTF3C4,SUZ12,pp
IWS1,SETD2,pp
RING1,UBE2E1,pp
CHD7,SUZ12,pp
HDAC5,KDM1A,pp
CBX3,SUV39H1,pp
POLR2B,SUZ12,pp
RBBP5,SMARCE1,pp
HIRA,SMARCC2,pp
SCMH1,SCMH1,pp
EED,PHC1,pp
DNMT3B,EED,pp
EED,EZH1,pp
EP400,HDAC1,pp
PHC1,RING1,pp
ACTL6A,WDR5,pp
HDAC11,HDAC6,pp
HDAC5,HDAC7,pp
SMARCA2,SMARCD3,pp
CHD4,SMARCE1,pp
CBX4,HELLS,pp
NSD1,SIRT7,pp
MBD3,MTA3,pp
RBBP5,SMARCD2,pp
EP300,PRMT1,pp
PHF1,SUZ12,pp
MBD2,MTA2,pp
HIRA,SMARCC1,pp
EP300,HDAC7,pp
ATR,MTA1,pp
KAT5,TRIM28,pp
HCFC1,WDR82,pp
DNMT1,SIRT7,pp
KDM1A,PHF20L1,pp
CBX8,PCGF6,pp
ATM,ATM,pp
BRD1,CHD3,pp
MBD4,SUV39H1,pp
RNF20,RNF20,pp
KDM6A,SMARCA4,pp
CBX4,PCGF6,pp
EP300,NAP1L1,pp
HDAC4,SUV39H1,pp
PHF10,SMARCA2,pp
L3MBTL1,TRIM28,pp
KMT2C,PAXIP1,pp
EED,EPC1,pp
BMI1,PCGF1,pp
BMI1,KDM1B,pp
PARP1,PARP1,pp
BAZ1B,CHD4,pp
CXXC1,RNF2,pp
MTF2,RBBP4,pp
HDAC2,HDAC7,pp
SMARCC1,SMARCE1,pp
PRMT1,SIRT1,pp
CBX4,PARP1,pp
BRCA1,BRD4,pp
PHF8,TAF1,pp
CBX3,RNF2,pp
CBX8,CBX8,pp
CBX5,EHMT1,pp
MECOM,UBE2I,pp
CREBBP,HDAC3,pp
DNMT1,HELLS,pp
HDAC1,SIRT6,pp
CHAF1A,SMARCA5,pp
CBX4,SCMH1,pp
BRD4,KDM5B,pp
MEN1,RBBP5,pp
MBD3,TET1,pp
CREBBP,TDG,pp
BRD2,BRD2,pp
SIN3A,SMARCA2,pp
ARID1A,HDAC2,pp
CHD7,MTA1,pp
ATM,KDM6A,pp
CREBBP,HDAC2,pp
RNF2,SCML2,pp
CBX5,RBBP4,pp
MBD2,PAF1,pp
ATM,BMI1,pp
KDM3A,KDM6B,pp
ACTL6B,SMARCC2,pp
ACTL6A,ING2,pp
CHD4,UBE2I,pp
EHMT2,SUV39H1,pp
CBX3,PCGF6,pp
HDAC7,KAT5,pp
BMI1,DMAP1,pp
CHAF1A,SIN3A,pp
SIRT1,SMARCD2,pp
RBBP7,TET1,pp
CBX3,EED,pp
MECP2,SMARCE1,pp
ATRX,TRIM28,pp
KDM5A,MORF4L1,pp
CBX6,RING1,pp
CBX3,CHD4,pp
KDM1A,KDM4C,pp
EHMT1,JARID2,pp
MBD2,MBD3,pp
CLOCK,KMT2A,pp
BRD1,ING4,pp
NCOR1,SMARCD1,pp
DPY30,PHC1,pp
ARID2,CHD7,pp
HDAC1,SMARCE1,pp
KDM6B,KDM6B,pp
DMAP1,EP400,pp
EP400,EPC2,pp
BRD1,DNMT1,pp
PRMT2,SETD5,pp
PCGF6,RING1,pp
HDAC5,SIN3A,pp
ELP3,SMARCD2,pp
CBX4,PCGF5,pp
BMI1,SCMH1,pp
BAZ1A,BMI1,pp
HDAC1,UBE2I,pp
HCFC1,MEN1,pp
TRIM28,TRIM33,pp
L3MBTL2,SMARCC1,pp
SMARCA5,UHRF1,pp
HDAC1,SIN3A,pp
UBE2I,UBE2I,pp
RNF2,UHRF1,pp
CBX8,MEN1,pp
CREBBP,HDAC10,pp
CHD8,WDR5,pp
EED,RBBP4,pp
BMI1,EP300,pp
HDAC5,NCOR1,pp
SMARCC2,SMARCD2,pp
SIN3A,TRIM28,pp
AURKB,RNF2,pp
SMARCB1,WDR5,pp
SETD1A,SMARCD3,pp
ARID1A,CHD3,pp
ING4,SUZ12,pp
BMI1,CBX5,pp
BRD4,JMJD6,pp
HDAC7,NCOR2,pp
KAT2A,UBE2I,pp
DNMT1,SMARCA5,pp
DNMT3B,PCGF2,pp
CHD3,EZH2,pp
HDAC3,SMARCA4,pp
PHC1,RNF2,pp
HCFC1,HCFC1,pp
TDG,UBE2I,pp
BRD9,UBE2A,pp
MTA3,RBBP4,pp
EED,MEN1,pp
AURKB,CBX7,pp
HDAC1,PADI4,pp
BAZ2A,DNMT3B,pp
HDAC5,TRIM28,pp
HDAC4,NCOR2,pp
DNMT3B,PAF1,pp
BMI1,SMARCC1,pp
KDM6B,RBBP5,pp
CHD4,EP300,pp
KDM6B,TDG,pp
SMARCA4,SMARCE1,pp
KMT2A,SMARCB1,pp
PRMT5,UHRF1,pp
ASH2L,EZH2,pp
BAZ2A,EED,pp
CBX4,KMT2A,pp
ACTL6A,BRD7,pp
HDAC4,HDAC7,pp
SETD1A,SMARCA1,pp
HDAC1,UHRF1,pp
ASH2L,CHD7,pp
BMI1,CHD3,pp
BRCA1,SUZ12,pp
FKBP1A,FKBP2,pp
CBX4,PHC3,pp
PHIP,SMARCA4,pp
EED,SMARCA5,pp
CBX5,SUZ12,pp
SETDB1,SIN3A,pp
EP300,SIRT1,pp
SSRP1,UBE2I,pp
HDAC6,PBRM1,pp
HDAC3,SIRT6,pp
KDM1A,SUV39H1,pp
GTF2F1,TCEA1,pp
PRMT5,SMARCA2,pp
BMI1,MTF2,pp
NCOA3,SUZ12,pp
HDAC2,KDM5A,pp
CBX2,CBX4,pp
CBX2,PHC3,pp
RBBP4,SMARCA4,pp
RING1,RING1,pp
SETD7,SIRT1,pp
CBX3,RING1,pp
CHD5,PHIP,pp
HDAC1,TET2,pp
CHD7,MTA2,pp
KMT2A,RBBP4,pp
CHD4,MTA1,pp
EP300,GTF2B,pp
HDAC1,HDAC1,pp
SMARCA4,SMARCA4,pp
ATM,CHD4,pp
EHMT2,MBD3,pp
HDAC1,SMARCC1,pp
BMI1,BRD4,pp
CBX8,KAT5,pp
HDAC1,ZMYND8,pp
ATR,RPA3,pp
DNMT1,EED,pp
KAT2B,SATB1,pp
CHD8,EZH2,pp
DPY30,RBBP4,pp
DNMT1,MTA1,pp
NAP1L1,NAP1L2,pp
HDAC6,KDM5C,pp
CHD5,MBD3,pp
MBD2,MTA1,pp
CHD4,CHD5,pp
BOP1,RNF2,pp
DOT1L,KMT2A,pp
PARP1,TAF1,pp
DNMT3A,EHMT1,pp
BMI1,SMARCA4,pp
SMARCB1,SMARCC1,pp
L3MBTL1,PHF10,pp
AURKB,EP300,pp
CHD3,SMARCA5,pp
KDM5C,KDM6A,pp
EZH2,PRDM14,pp
ATR,EP300,pp
JARID2,SETDB1,pp
ELP3,SUZ12,pp
DNMT3B,SUZ12,pp
SETD1A,WDR82,pp
CBX5,MECP2,pp
CHAF1A,DMAP1,pp
HDAC2,ING2,pp
EHMT2,WDR5,pp
PHC2,PHC3,pp
HCFC1,SUZ12,pp
RBBP7,ZMYND8,pp
NCOR1,SMARCA4,pp
HDAC1,MBD3,pp
BRD4,CHD8,pp
EZH2,TAF3,pp
CREBBP,SMARCA2,pp
KDM2B,RBBP4,pp
SMARCA4,SMARCD2,pp
HIRA,SMARCA2,pp
EZH2,KDM1A,pp
HDAC3,KAT5,pp
KDM1B,KDM1B,pp
CHD3,MECOM,pp
BRD3,EZH2,pp
KDM1A,USP22,pp
CHD7,SIRT7,pp
ARID1A,RBBP7,pp
BRD4,EZH2,pp
CBX1,CHD1L,pp
BPTF,SMARCD2,pp
EZH1,RBBP4,pp
KDM5C,RNF2,pp
PRDM1,PRMT7,pp
CXXC1,DNMT1,pp
NCOA1,SMARCE1,pp
EP300,SIRT2,pp
ASH2L,KDM6A,pp
ARID1B,KDM5B,pp
CHD4,ZMYND8,pp
CHD4,EZH2,pp
CHD4,EHMT2,pp
EP300,MBD1,pp
KAT2B,PARP1,pp
KDM1A,PHF19,pp
RBBP5,RNF2,pp
PHF2,PRMT5,pp
RPA3,SMARCA5,pp
BRD4,PRMT5,pp
NCOR1,NCOR2,pp
EHMT2,HDAC1,pp
SMARCB1,SMARCD2,pp
PHC1,UBE2I,pp
CHD4,SUZ12,pp
HDAC2,MTA1,pp
PHF1,RBBP4,pp
KMT2D,RNF2,pp
MORF4L1,RBBP7,pp
CHD5,RBBP7,pp
CHD4,IWS1,pp
ACTB,CHD3,pp
HCFC1,KAT8,pp
EP400,ZMYND11,pp
CREBBP,NCOR1,pp
CBX3,L3MBTL2,pp
HDAC3,KDM4A,pp
RBBP4,SIRT6,pp
ING5,KAT7,pp
BMI1,SMARCA5,pp
NCOA3,NCOR2,pp
BAZ2A,DNMT1,pp
NAP1L1,RBBP4,pp
L3MBTL2,SIN3A,pp
HDAC2,SMARCA4,pp
ATRX,SSRP1,pp
PCGF5,PRMT6,pp
HDAC5,PRMT5,pp
KMT2D,MEN1,pp
KMT2B,SMARCB1,pp
BRD4,BRD4,pp
KDM6B,WDR5,pp
CHD3,KDM5B,pp
CREBBP,SMARCA4,pp
RBBP7,SUV39H1,pp
HDAC1,KDM4A,pp
ASXL2,HCFC1,pp
INO80,MEN1,pp
L3MBTL3,SUZ12,pp
CBX4,KDM2A,pp
CLOCK,CREBBP,pp
HELLS,WDR5,pp
CHD4,RBBP7,pp
ARID1A,HDAC1,pp
KMT2A,MEN1,pp
HDAC1,RING1,pp
EED,KDM5A,pp
MECP2,SIN3A,pp
CARM1,UBE2I,pp
KDM6A,WDR5,pp
KAT5,PHC2,pp
MTA3,ZMYND8,pp
GTF2B,TCEA1,pp
EZH2,HDAC2,pp
RNF40,UBE2A,pp
JMJD6,SETD2,pp
CHD7,SMARCE1,pp
HDAC10,HDAC2,pp
HDAC5,MTA2,pp
MTA2,SIRT6,pp
L3MBTL2,WDR5,pp
DNMT3B,RBBP4,pp
DNMT3A,PRMT5,pp
CBX2,PARP1,pp
CHD1L,PARP1,pp
HDAC1,NCOR2,pp
BRD2,JARID2,pp
BPTF,NCOR1,pp
CHAF1A,WDR5,pp
PCGF1,SETD2,pp
CBX5,SMARCA4,pp
SETDB1,UBE2I,pp
BMI1,KMT2A,pp
ARID1B,KDM4B,pp
EED,PHC3,pp
DNMT3A,PAF1,pp
MBD2,RBBP7,pp
ATRX,EZH2,pp
ING4,PADI4,pp
SIN3B,SMARCE1,pp
EP300,ING4,pp
BRCA1,SMARCC2,pp
HDAC1,ZMYND11,pp
ARID1A,CARM1,pp
BAZ1B,BMI1,pp
RBBP4,UBE2A,pp
NCOR2,UBE2I,pp
ASH2L,KDM6B,pp
MBD2,ZMYND8,pp
PAF1,PHC3,pp
BRD7,SMARCA4,pp
MTF2,PRMT6,pp
HDAC1,HDAC7,pp
L3MBTL2,TRIM28,pp
RBBP5,SETD1A,pp
KDM5C,SCML4,pp
CBX1,TRIM66,pp
EPC1,KAT5,pp
ING4,ING4,pp
CHAF1A,SUZ12,pp
CHD4,KMT2A,pp
PRMT1,PRMT1,pp
CHAF1A,SETDB1,pp
KMT2A,RNF2,pp
CBX8,PHC1,pp
CHD7,SMARCC1,pp
SMARCA4,SMARCC2,pp
EED,PRDM14,pp
BMI1,SCML2,pp
DMAP1,DNMT1,pp
MECOM,SUV39H1,pp
ING4,SUV39H1,pp
KDM1B,WDR5,pp
KAT8,MORF4L1,pp
KMT2C,SMARCB1,pp
ACTL6A,BMI1,pp
EZH2,MTA1,pp
CREBBP,RBBP7,pp
CHD3,SMARCD1,pp
HDAC5,PCMT1,pp
CBX5,DNMT1,pp
PRMT5,SIRT6,pp
HDAC1,KDM1A,pp
BRCA1,GTF2F1,pp
ARID1A,ARID1B,pp
HDAC2,RBBP7,pp
CARM1,NCOA3,pp
CBX1,CHD4,pp
ATM,TRIM28,pp
EZH2,SMARCB1,pp
BPTF,SMARCA1,pp
BRCA1,KDM1A,pp
KDM4B,WDR5,pp
KDM4B,KMT2D,pp
KDM6A,RBBP5,pp
SMARCC2,SMARCD1,pp
AFF1,EAF1,pp
ACTB,EP300,pp
BPTF,RBBP4,pp
EZH2,HDAC3,pp
CREBBP,PPARGC1A,pp
EZH2,PHF19,pp
TAF1,UBE2I,pp
MEN1,WDR5,pp
CLOCK,EZH2,pp
SMARCC1,SUZ12,pp
BAZ1A,SMARCA2,pp
UBE2A,UBE2B,pp
EZH2,HDAC1,pp
TRIM66,TRIM66,pp
HIRA,SMARCA4,pp
KDM6B,PRMT2,pp
HCFC1,SIN3A,pp
CHD4,SUV39H1,pp
CBX1,EHMT1,pp
CHD4,PARP1,pp
PHIP,SIRT7,pp
ARID1B,PCGF1,pp
EZH2,KMT2D,pp
ACTB,INO80,pp
RNF40,SIRT6,pp
EHMT2,L3MBTL1,pp
L3MBTL2,RNF2,pp
SSRP1,TRIM33,pp
BMI1,USP22,pp
DNMT1,RBBP7,pp
KDM5B,MORF4L1,pp
BMI1,CBX7,pp
NCOA1,NCOA1,pp
HDAC1,PRDM5,pp
KDM1A,KDM1A,pp
SMARCC1,SMARCD2,pp
ING4,PCGF1,pp
CHD3,HDAC2,pp
EP300,NCOR1,pp
KDM5B,PRDM13,pp
EPC1,MORF4L1,pp
CHAF1B,RBBP4,pp
SIN3B,SMARCB1,pp
CHD2,PAF1,pp
BRD3,DMAP1,pp
HDAC1,PARP2,pp
EZH2,SMARCA2,pp
CBX3,EHMT2,pp
CARM1,PRMT1,pp
PCGF2,SCMH1,pp
SIRT6,SMARCA5,pp
CHD1L,PARP2,pp
ING5,JADE1,pp
EP300,EPC1,pp
ASXL1,HCFC1,pp
BRD1,CHD4,pp
EP300,PRDM6,pp
EPC1,ING3,pp
KAT6A,WDR5,pp
TRIM33,TRIM33,pp
BRD9,SMARCA2,pp
ING3,MORF4L1,pp
KDM5B,MTA2,pp
CHD4,H2AFZ,pp
CREBBP,PARP1,pp
HDAC2,MTA2,pp
EZH1,JARID2,pp
EED,KDM1A,pp
ARID2,SMARCC2,pp
KDM1A,MTA1,pp
RBBP4,SMARCA1,pp
EP300,PARP1,pp
HDAC5,PARP1,pp
ATR,HDAC2,pp
EHMT1,HDAC2,pp
CHD1,EZH2,pp
PAF1,PHC1,pp
EP400,HDAC2,pp
GTF2F1,JMJD6,pp
CHD4,SIRT7,pp
CBX1,DNMT1,pp
KDM4B,SMARCA4,pp
DPY30,HCFC1,pp
EHMT1,RNF2,pp
EP400,KAT5,pp
BMI1,CBX2,pp
SETDB1,SUV39H1,pp
BOP1,BOP1,pp
HDAC5,PRKAA1,pp
BRPF3,ING5,pp
ACTL6A,MORF4L1,pp
EZH2,MTF2,pp
CHD3,SIN3A,pp
KDM5A,SUZ12,pp
EHMT1,PRDM6,pp
EHMT2,PRDM5,pp
ARID1A,SMARCD2,pp
EED,POLR2B,pp
ATAD2,EED,pp
KDM4B,KMT2C,pp
HDAC1,RBBP4,pp
KDM5B,SMARCC2,pp
MECP2,NSD1,pp
ACTL6A,PBRM1,pp
BAZ1A,SMARCA1,pp
CHD1L,RPA3,pp
SMARCA1,SMARCA5,pp
RBBP4,SIRT7,pp
KDM6A,PAXIP1,pp
ACTL6B,EP400,pp
BRCA1,SSRP1,pp
MBD3,MTA2,pp
PHF19,SUV39H1,pp
BRD4,SIRT1,pp
PHF10,SMARCC2,pp
