shRNA_names,Q4,Q1,Q2,Q3
Cbx5.1_repP1-7_rep2,58.73,55.19,50.26,46.76
Cbx5.2_repP1-7_rep2,47.01,50.50,47.68,44.66
Cbx5.3_repP1-7_rep2,46.68,71.30,54.10,55.05
Cbx5.4_repP1-7_rep2,49.27,47.01,58.06,67.54
Cbx6.1_repP1-7_rep2,47.49,44.93,49.80,48.24
Cbx6.2_repP1-7_rep2,47.90,45.83,47.31,51.47
Cbx6.3_repP1-7_rep2,70.30,61.62,46.80,52.05
Cbx6.4_repP1-7_rep2,49.52,44.85,47.49,67.04
Cbx7.1_repP1-7_rep2,50.31,45.22,46.56,48.10
Cbx7.2_repP1-7_rep2,46.75,65.16,48.89,49.95
Cbx7.3_repP1-7_rep2,71.53,46.38,44.68,45.54
Cbx7.4_repP1-7_rep2,53.92,46.05,46.90,47.92
Cbx8.1_repP1-7_rep2,48.50,55.04,47.03,46.90
Cbx8.2_repP1-7_rep2,52.84,52.40,47.49,46.78
Cbx8.3_repP1-7_rep2,55.46,47.91,46.37,46.71
Cbx8.4_repP1-7_rep2,54.98,48.86,46.56,55.61
Ccnt1.2_repP1-7_rep2,52.24,59.83,49.01,54.16
Ccnt1.3_repP1-7_rep2,72.46,54.55,46.85,46.75
Ccnt1.4_repP1-7_rep2,47.56,60.27,73.60,46.59
Ccnt1_repP1-7_rep2,53.90,45.48,57.62,75.71
Cd14.2_repP1-7_rep2,53.90,73.19,46.56,67.62
Cd14_repP1-7_rep2,47.39,45.48,46.56,69.30
Cd19.3_repP1-7_rep2,47.93,45.24,46.61,50.06
Cd19.4_repP1-7_rep2,47.95,71.20,48.04,49.68
Cd19_repP1-7_rep2,50.36,46.74,46.56,48.99
Cd4.5_repP1-7_rep2,49.31,45.48,69.40,46.71
Cecr2.1_repP1-7_rep2,58.57,76.91,46.91,46.25
Cecr2.2_repP1-7_rep2,46.34,45.26,48.99,19.86
Cecr2.3_repP1-7_rep2,52.23,45.49,52.85,48.17
Chaf1a.1_repP1-7_rep2,47.39,50.99,52.72,46.59
Chaf1a.2_repP1-7_rep2,48.30,45.27,46.56,46.25
Chaf1a.3_repP1-7_rep2,62.69,50.12,46.62,46.72
Chaf1a.4_repP1-7_rep2,48.49,46.34,44.72,46.97
Chaf1b.1_repP1-7_rep2,62.66,73.59,48.00,46.97
Chaf1b.2_repP1-7_rep2,48.97,43.91,49.83,56.57
Chaf1b.3_repP1-7_rep2,48.73,45.43,60.31,41.33
Chaf1b.4_repP1-7_rep2,47.39,46.50,49.35,48.02
Chd1.1_repP1-7_rep2,47.54,43.02,45.55,62.45
Chd1.2_repP1-7_rep2,18.12,48.20,46.55,67.85
Chd1.3_repP1-7_rep2,47.30,68.14,48.04,64.97
Chd1.4_repP1-7_rep2,66.38,44.73,46.58,47.98
Chd1l.1_repP1-7_rep2,47.77,50.50,66.94,46.96
Chd1l.2_repP1-7_rep2,51.98,48.42,48.50,43.17
Chd1l.3_repP1-7_rep2,47.87,45.67,47.27,69.82
Chd2.1_repP1-7_rep2,48.49,52.66,46.54,55.50
Chd2.2_repP1-7_rep2,55.28,62.84,47.00,57.11
Chd2.3_repP1-7_rep2,52.87,45.19,50.15,51.18
Chd2.4_repP1-7_rep2,47.01,46.78,46.36,51.37
Chd3.1_repP1-7_rep2,48.49,71.34,47.16,55.29
Chd3.2_repP1-7_rep2,47.29,45.48,70.47,69.44
Chd3.3_repP1-7_rep2,55.99,44.71,54.30,46.71
Chd3.4_repP1-7_rep2,49.97,56.18,70.24,46.71
Chd4.1_repP1-7_rep2,52.42,48.82,46.53,46.71
Chd4.2_repP1-7_rep2,70.48,45.29,51.60,41.78
Chd4.3_repP1-7_rep2,47.19,48.40,46.56,58.03
Chd4.4_repP1-7_rep2,47.45,34.65,48.49,46.54
Chd5.1_repP1-7_rep2,58.38,56.03,46.61,45.87
Chd5.2_repP1-7_rep2,56.36,67.10,48.06,46.71
Chd5.3_repP1-7_rep2,53.52,55.85,50.77,51.61
Chd5.4_repP1-7_rep2,62.15,49.28,50.58,49.88
Chd6.1_repP1-7_rep2,50.68,78.43,56.82,60.14
Chd6.2_repP1-7_rep2,52.99,40.11,46.77,46.71
Chd6.3_repP1-7_rep2,69.30,47.69,46.42,53.09
Chd6.4_repP1-7_rep2,69.79,45.99,60.70,59.76
Chd7.1_repP1-7_rep2,47.39,73.19,45.01,46.41
Chd7.2_repP1-7_rep2,51.18,43.61,60.79,65.38
Chd7.3_repP1-7_rep2,46.69,45.32,63.56,63.89
Chd8.1_repP1-7_rep2,47.05,69.90,45.98,59.66
Chd8.2_repP1-7_rep2,53.70,57.60,46.57,55.70
Chd8.3_repP1-7_rep2,64.22,61.51,48.45,63.05
Chd8.4_repP1-7_rep2,49.57,50.67,47.15,65.70
Chd9.1_repP1-7_rep2,47.27,47.56,48.33,51.71
Chd9.2_repP1-7_rep2,51.09,46.05,46.37,43.22
Chd9.3_repP1-7_rep2,48.86,51.69,69.82,45.10
Chd9.4_repP1-7_rep2,47.39,45.28,46.12,44.94
Clock.1_repP1-7_rep2,57.66,33.74,46.48,65.19
Clock.2_repP1-7_rep2,47.29,43.57,45.51,45.64
Clock.3_repP1-7_rep2,53.70,47.00,43.49,62.42
Crebbp.1_repP1-7_rep2,47.39,49.85,47.22,55.03
Crebbp.2_repP1-7_rep2,69.67,57.67,46.33,47.04
Crebbp.3_repP1-7_rep2,51.42,55.22,52.03,50.02
Crebbp.4_repP1-7_rep2,47.95,45.35,51.65,59.23
Ctsl.1_repP1-7_rep2,61.86,46.81,50.67,48.19
Ctsl.2_repP1-7_rep2,49.15,47.72,45.76,46.78
Ctsl.3_repP1-7_rep2,45.27,74.93,45.80,46.65
Ctsl.4_repP1-7_rep2,51.49,50.00,46.56,45.51
Cxxc1.1_repP1-7_rep2,64.69,45.36,46.42,50.37
Cxxc1.2_repP1-7_rep2,53.62,70.76,46.56,46.35
Cxxc1.3_repP1-7_rep2,47.02,50.53,22.58,49.34
Cxxc1.4_repP1-7_rep2,49.35,54.44,46.68,65.31
Dmap1.1_repP1-7_rep2,74.61,44.11,68.37,69.93
Dmap1.2_repP1-7_rep2,67.39,59.52,47.61,49.57
Dmap1.3_repP1-7_rep2,66.99,56.01,35.63,49.25
Dmap1.4_repP1-7_rep2,48.92,74.56,45.63,46.71
Dnmt1.1_repP1-7_rep2,58.57,45.46,59.82,45.73
Dnmt1.2_repP1-7_rep2,61.52,46.30,44.03,67.08
Dnmt1.3_repP1-7_rep2,46.34,50.17,73.40,52.29
