Position,Pool,shRNA,Percentage
2_E05,1,Brd8.3,2.877697842
2_E06,1,Brd3.3,1.718213058
2_E07,1,Bmi1.2,2.406417112
2_E08,1,Baz1b.3,1.657458564
2_E09,1,Brd9.3,0.453857791
2_E10,1,Brd4.3,3.03030303
2_E11,1,Bop1.3,0.454338937
2_F02,1,Baz2a.3,0.682593857
2_F03,1,Brpf3.3,0.755287009
2_F04,1,Brd3.4,0
2_F05,1,Bmi1.3,1.821493625
2_F06,1,Baz2b.3,2.785923754
2_F07,1,Brd8.4,0.60296846
2_F08,1,Brd1.3,0.759668508
2_F09,1,Bptf.3,0.628930818
2_F10,1,Baz2b.4,1.134089393
2_F11,1,Brd9.4,0.264830508
2_G02,1,Brd4.4,4.733727811
2_G03,1,Bptf.4,0.757134537
2_G04,1,Baz1b.4,2.013422819
2_G05,1,Brpf3.4,0.713012478
2_G06,1,Brpf1.4,0.821917808
2_G07,1,Bmi1.4,0.900163666
2_G08,1,Baz2a.4,0.133333333
2_G09,1,Brd2.4,0.984251969
2_G10,1,Bop1.4,0.638297872
2_G11,1,Brd1.4,0.425531915
5_B02,1,Dub2a.1,1.394052045
5_B03,1,Epc1.1,1.319796954
5_B04,1,Epc2.1,0.621393697
5_B05,1,Ep400.1,1.543784935
5_B06,1,Ehmt1.1,0.996796013
5_B07,1,Fbxo44.1,1.015965167
5_B08,1,Ezh1.1,0
5_B09,1,Elp4.1,0.370581528
5_B10,1,Eed.1,3.935860058
5_B11,1,Ezh2.1,1.492537313
5_C02,1,Ezh1.2,1.546212648
5_C03,1,Ehmt2.1,0.615611918
5_C04,1,Dub2a.2,1.951219512
5_C05,1,Ezh2.2,1.147315282
5_C06,1,Ercc5.1,0.566973777
5_C07,1,Epc2.2,1.636469901
5_C08,1,Ehmt1.2,0.664451827
5_C09,1,Fbxl19.1,0.502272184
5_C10,1,Epc1.2,0.338409475
5_C11,1,Ep300.1,0
5_D02,1,Eed.2,1.515151515
5_D03,1,Fbxl19.2,1.098901099
5_D04,1,Epc1.3,1.602373887
5_D05,1,Elp3.1,1.513622603
5_D06,1,Ehmt2.2,1.078932425
5_D07,1,Fbxl19.3,1.408450704
5_D08,1,Ercc5.2,0.686498856
5_D09,1,Elp4.2,2.572096648
5_D10,1,Dub2a.3,1.293588301
5_D11,1,Fbxo44.2,0.569166048
5_E02,1,Ep300.2,1.169590643
5_E03,1,Ep400.2,0.552486188
5_E04,1,Dub2a.4,1.587301587
5_E05,1,Ezh1.3,1.724137931
5_E06,1,Epc2.3,2.260044643
5_E07,1,Elp3.2,0.878594249
5_E08,1,Eed.3,2
5_E09,1,Ezh2.3,1.000834028
5_E10,1,Ercc5.3,0.925925926
5_E11,1,Elp4.3,0.58411215
5_F02,1,Ehmt1.3,0.634920635
5_F03,1,Fbxo44.3,1.036757776
5_F04,1,Epc2.4,1.757910598
5_F05,1,Elp3.3,0
5_F06,1,Ehmt2.3,1.47299509
5_F07,1,Ezh1.4,0.75103267
5_F08,1,Ep400.3,7.142857143
5_F09,1,Ep300.3,2.159827214
5_F10,1,Ehmt2.4,0.851621356
5_F11,1,Ezh2.4,0.854229815
5_G02,1,Ercc5.4,2.132998745
5_G03,1,Ep300.4,0
5_G04,1,Eed.4,1.803005008
5_G05,1,Fbxo44.4,0.511182109
5_G06,1,Fbxl19.4,1.916167665
5_G07,1,Elp3.4,0.603188281
5_G08,1,Ehmt1.4,0.314465409
5_G09,1,Epc1.4,0.354526117
5_G10,1,Elp4.4,0.764175455
5_G11,1,Ep400.4,3.051106026
1_B02,1,Actl6b.1,1.325019486
1_B03,1,Asxl3.1,0.877192982
1_B04,1,Atad2.1,0.743931088
1_B05,1,Asxl2.1,0.729927007
1_B06,1,Aff4.1,1.248049922
1_B07,1,Aurkb.1,0.984455959
1_B08,1,Atm.1,1.415797317
1_B09,1,A2l.1,1.933404941
1_B10,1,Aff1.1,1.197023617
1_B11,1,Atr.1,1.417434444
1_C02,1,Atm.2,1.704545455
1_C03,1,Arid2.1,1.336675021
1_C04,1,Actl6b.2,1.452712719
1_C05,1,Atr.2,1.765409934
1_C06,1,Atad2b.1,0.82400169
1_C07,1,Atad2.2,1.88172043
1_C08,1,Aff4.2,0.516605166
1_C09,1,Atrx.1,1.556676168
1_C10,1,Asxl3.2,1.433915212
1_C11,1,Asxl1.1,2.126905353
1_D02,1,Aff1.2,0.97020097
1_D03,1,Atrx.2,2.394000577
1_D04,1,Asxl3.3,1.40291807
1_D05,1,A1l.1,1.771812081
1_D06,1,Arid2.2,0.770218228
1_D07,1,Atrx.3,1.417434444
1_D08,1,Atad2b.2,1.960784314
1_D09,1,A2l.2,0.566572238
1_D10,1,Actl6b.3,0.640439158
1_D11,1,Aurkb.2,1.34529148
1_E02,1,Asxl1.2,1.835443038
1_E03,1,Asxl2.2,3.125
1_E04,1,Actl6b.4,1.119515885
1_E05,1,Atm.3,1.53621068
1_E06,1,Atad2.3,0.215982721
1_E07,1,A1l.2,2.990224267
1_E08,1,Aff1.3,0.972972973
1_E09,1,Atr.3,0.729927007
1_E10,1,Atad2b.3,0.643915003
1_E11,1,A2l.3,0.929839391
1_F02,1,Aff4.3,1.192131929
1_F03,1,Aurkb.3,0.474683544
1_F04,1,Atad2.4,0
1_F05,1,A1l.3,0.917431193
1_F06,1,Arid2.3,1.404494382
1_F07,1,Atm.4,0
1_F08,1,Asxl2.3,0.626740947
1_F09,1,Asxl1.3,0
1_F10,1,Arid2.4,0.994035785
1_F11,1,Atr.4,2.012711864
1_G02,1,Atad2b.4,1.442190174
1_G03,1,Asxl1.4,3.90070922
1_G04,1,Aff1.4,1.569506726
1_G05,1,Aurkb.4,1.132686084
1_G06,1,Atrx.4,0.753669179
1_G07,1,A1l.4,0.663176265
1_G08,1,Aff4.4,1.029269862
1_G09,1,Asxl3.4,0.965665236
1_G10,1,A2l.4,1.019935095
1_G11,1,Asxl2.4,1.437290805
control1_B02,1,Bptf.1,0.735539953
control1_B03,1,Bptf.2,0
control1_B04,1,Bptf.3,0.417052827
control1_B05,1,Bptf.4,2.2121384
control1_B06,1,Whsc1.1,1.632282929
control1_B07,1,Whsc1.2,0.93723374
control1_B08,1,Whsc1.3,2.836879433
control1_B09,1,Whsc1.4,1.201298701
control1_B10,1,Cd4.1,1.033591731
control1_B11,1,Cd4.1,1.818181818
control1_C02,1,Mll2.1,2.029975337
control1_C03,1,Mll2.2,2.308265078
control1_C04,1,Mll2.3,3.652597403
control1_C05,1,Mll2.4,0.973481034
control1_C06,1,Brd8.1,10.07751938
control1_C07,1,Brd8.2,1.724964063
control1_C08,1,Brd8.3,1.913337085
control1_C09,1,Brd8.4,0.960412275
control1_C10,1,Cd4.2,2.553626149
control1_C11,1,Cd4.2,3.929824561
control1_D02,1,Ncor1.1,0.587544066
control1_D03,1,Ncor1.2,0
control1_D04,1,Ncor1.3,0.521059488
control1_D05,1,Ncor1.4,0.298730396
control1_D06,1,Cxxcl.1,8.069844266
control1_D07,1,Cxxcl.2,9.193154034
control1_D08,1,Cxxcl.3,1.986754967
control1_D09,1,Cxxcl.4,3.059866962
control1_D10,1,Cd4.3,1.031873424
control1_D11,1,Cd4.3,1.182795699
control1_E02,1,Smarca4.1,0.670498084
control1_E03,1,Smarca4.2,0.747198007
control1_E04,1,Smarca4.3,0.759361089
control1_E05,1,Smarca4.4,0.563027839
control1_E06,1,Klf2.1,1.504334523
