Position,Pool,shRNA,GeoMean
5_D04,1,Epc1.3,255.690687928485
5_D05,1,Elp3.1,416.967876476908
5_D06,1,Ehmt2.2,331.125395642996
5_D07,1,Fbxl19.3,366.001231393066
5_D08,1,Ercc5.2,393.576018119464
5_D09,1,Elp4.2,159.332835052333
5_D10,1,Dub2a.3,419.193070202075
5_D11,1,Fbxo44.2,385.247960306833
5_E02,1,Ep300.2,109.117087961266
5_E03,1,Ep400.2,400.496027336535
5_E04,1,Dub2a.4,323.005077759751
5_E05,1,Ezh1.3,327.80534410026
5_E06,1,Epc2.3,249.209635722779
5_E07,1,Elp3.2,268.663576799085
5_E08,1,Eed.3,535.589043531782
5_E09,1,Ezh2.3,355.06033409792
5_E10,1,Ercc5.3,486.719234619385
5_E11,1,Elp4.3,383.58998492491
5_F02,1,Ehmt1.3,371.077781891556
5_F03,1,Fbxo44.3,397.059556903535
5_F04,1,Epc2.4,264.061560764593
5_F05,1,Elp3.3,320.880552987114
5_F06,1,Ehmt2.3,348.942628858058
5_F07,1,Ezh1.4,279.87419266117
5_F08,1,Ep400.3,478.199302797733
5_F09,1,Ep300.3,63.1330001962054
5_F10,1,Ehmt2.4,358.146356472885
5_F11,1,Ezh2.4,375.504020683179
5_G02,1,Ercc5.4,486.488731597873
5_G03,1,Ep300.4,241.856016897566
5_G04,1,Eed.4,730.143948557116
5_G05,1,Fbxo44.4,479.875730526345
5_G06,1,Fbxl19.4,292.545336895015
5_G07,1,Elp3.4,455.563210638977
5_G08,1,Ehmt1.4,492.764362238583
5_G09,1,Epc1.4,530.387519880005
5_G10,1,Elp4.4,394.63234532901
5_G11,1,Ep400.4,374.714201091032
6_B02,1,Fbxw9.1,409.011571588825
6_B03,1,Hcfc1.1,183.232303393149
6_B04,1,Hdac1.1,296.102467505245
6_B05,1,Hat1.1,353.937111905857
6_B06,1,Gadd45a.1,374.017051616902
6_B07,1,Hdac6.1,349.020267707919
6_B08,1,Hdac2.1,232.364590330803
6_B09,1,Gtf2f1.1,293.840572089168
6_B10,1,Fkbp1a.1,326.689332879388
6_B11,1,Hdac3.1,284.574885690762
6_C02,1,Hdac2.2,313.807231382591
6_C03,1,Gadd45b.1,372.837399401101
6_C04,1,Fbxw9.2,418.091593678371
6_C05,1,Hdac3.2,475.292264538785
6_C06,1,Hdac10.1,486.123426037092
6_C07,1,Hdac1.2,194.298988394014
6_C08,1,Gadd45a.2,354.997166628658
6_C09,1,Hdac4.1,314.706376021991
6_C10,1,Hcfc1.2,539.694859707198
6_C11,1,Gtf3c4.1,424.991063524806
6_D02,1,Fkbp1a.2,47.9516755183019
6_D03,1,Hdac4.2,347.303673826202
6_D04,1,Hcfc1.3,168.888623772522
6_D05,1,Gtf2b.1,305.947282429047
6_D06,1,Gadd45b.2,204.812517186629
6_D07,1,Hdac4.3,350.456501683815
6_D08,1,Hdac10.2,322.657433718336
6_D09,1,Gtf2f1.2,256.975982713038
6_D10,1,Fbxw9.3,271.119772721606
6_D11,1,Hdac6.2,276.588473824215
6_E02,1,Gtf3c4.2,356.966388280976
6_E03,1,Hat1.2,401.681025869886
6_E04,1,Fbxw9.4,339.668659250586
6_E05,1,Hdac2.3,321.374949783232
6_E06,1,Hdac1.3,409.975718850082
6_E07,1,Gtf2b.2,131.2572046495
6_E08,1,Fkbp1a.3,329.233663264546
6_E09,1,Hdac3.3,359.575641724551
6_E10,1,Hdac10.3,307.987536797468
6_E11,1,Gtf2f1.3,449.659306637443
6_F02,1,Gadd45a.3,475.546274764798
6_F03,1,Hdac6.3,379.775447263145
6_F04,1,Hdac1.4,278.1132479439
6_F05,1,Gtf2b.3,308.2297851492
6_F06,1,Gadd45b.3,262.74974842704
6_F07,1,Hdac2.4,369.918778733292
6_F08,1,Hat1.3,387.057713718418
6_F09,1,Gtf3c4.3,247.070698599581
6_F10,1,Gadd45b.4,269.916278204939
6_F11,1,Hdac3.4,309.745983489753
6_G02,1,Hdac10.4,362.862941386836
6_G03,1,Gtf3c4.4,264.170669909921
6_G04,1,Fkbp1a.4,436.437420252599
6_G05,1,Hdac6.4,284.552882259874
6_G06,1,Hdac4.4,319.003791201564
6_G07,1,Gtf2b.4,407.247011165264
6_G08,1,Gadd45a.4,291.330818527749
6_G09,1,Hcfc1.4,189.016186989863
6_G10,1,Gtf2f1.4,464.329958781149
6_G11,1,Hat1.4,338.725305609649
7_B02,1,Hdac7.1,371.990702121744
7_B03,1,Ing4.1,212.781699493916
7_B04,1,Ing5.1,277.808198089719
7_B05,1,Ing3.1,251.181812769671
7_B06,1,Hdac9.1,142.167544531792
7_B07,1,Jmjd4.1,270.103866609885
7_B08,1,Jarid2.1,219.477212711799
7_B09,1,Hltf.1,253.900595654637
7_B10,1,Hdac8.1,294.45137660415
7_B11,1,Jhdm1d.1,389.995284049224
7_C02,1,Jarid2.2,285.481618256413
7_C03,1,Hells.1,215.159165781038
7_C04,1,Hdac7.2,262.019959434976
7_C05,1,Jhdm1d.2,276.885453383617
7_C06,1,Ino80.1,264.865372422891
7_C07,1,Ing5.2,224.250046568604
7_C08,1,Hdac9.2,191.792703402906
7_C09,1,Jmjd1c.1,351.563499853511
7_C10,1,Ing4.2,242.700940814298
7_C11,1,Ing2.1,358.058231300723
7_D02,1,Hdac8.2,269.574121845527
7_D03,1,Jmjd1c.2,298.229296741744
7_D04,1,Ing4.3,122.396840516419
7_D05,1,Hira.1,244.912397985433
7_D06,1,Hells.2,327.730797298139
7_D07,1,Jmjd1c.3,257.35024414238
7_D08,1,Ino80.2,105.40496134983
7_D09,1,Hltf.2,223.343938913391
7_D10,1,Hdac7.3,277.656287761993
7_D11,1,Jmjd4.2,247.094994079599
7_E02,1,Ing2.2,271.477079361198
7_E03,1,Ing3.2,193.916572772354
7_E04,1,Hdac7.4,151.368664736676
7_E05,1,Jarid2.3,209.367053999965
7_E06,1,Ing5.3,295.341484235532
7_E07,1,Hira.2,164.220121227471
7_E08,1,Hdac8.3,240.573306380978
7_E09,1,Jhdm1d.3,258.663282461619
7_E10,1,Ino80.3,110.528371584021
7_E11,1,Hltf.3,239.542361742652
7_F02,1,Hdac9.3,273.814733936266
7_F03,1,Jmjd4.3,270.306367842365
7_F04,1,Ing5.4,116.521094734157
7_F05,1,Hira.3,307.172909683888
7_F06,1,Hells.3,307.667334009639
7_F07,1,Jarid2.4,270.121350843989
7_F08,1,Ing3.3,275.923211609569
7_F09,1,Ing2.3,198.323719346536
7_F10,1,Hells.4,293.944733386597
7_F11,1,Jhdm1d.4,282.726383448443
7_G02,1,Ino80.4,236.805147519944
7_G03,1,Ing2.4,246.236920608975
7_G04,1,Hdac8.4,257.930429018603
7_G05,1,Jmjd4.4,489.094680130514
7_G06,1,Jmjd1c.4,201.874292278327
7_G07,1,Hira.4,274.866271570265
7_G08,1,Hdac9.4,159.094253254825
7_G09,1,Ing4.4,241.306014724959
7_G10,1,Hltf.4,420.368943196246
7_G11,1,Ing3.4,312.128721256321
control1_B02,1,Bptf.1,329.273948635348
control1_B03,1,Bptf.2,335.3076833006
control1_B04,1,Bptf.3,448.944720964384
control1_B05,1,Bptf.4,278.481620956897
control1_B06,1,Whsc1.1,547.149882929637
control1_B07,1,Whsc1.2,387.095390354646
control1_B08,1,Whsc1.3,411.805150160247
control1_B09,1,Whsc1.4,386.744730100869
control1_B10,1,Cd4.1,324.984648475175
control1_B11,1,Cd4.1,219.816884925511
control1_C02,1,Mll2.1,310.960645055288
control1_C03,1,Mll2.2,296.697614629349
control1_C04,1,Mll2.3,300.137683157024
control1_C05,1,Mll2.4,594.39802890912
control1_C06,1,Brd8.1,324.262579594571
control1_C07,1,Brd8.2,379.124899380592
control1_C08,1,Brd8.3,254.969161295934
