type,shRNA,count,ZScore,nbRawCount
control,Cd14.2,10542,-0.18712813240628134,75.50365591503235
control,Cd19,4367,-0.2686823997383437,68.91332756587859
control,Cd19.3,71,-0.32542039689762137,44.55425515510629
control,Cd19.4,7180,-0.23153063390755965,72.57705682187247
control,Fosb,99371,0.986051464814733,92.73578133432882
control,Fosb.2,941,-0.3139301600427397,58.605709025000344
control,Hes1,1,-0.3263448987135314,29.680816114241992
control,Hes1.2,1,-0.3263448987135314,29.680816114241992
control,Hes1.3,1959,-0.3004852622056483,63.33742990599996
control,Id2,23552,-0.015302866335005109,81.82349301980356
control,Id2.2,1450,-0.30720771112419404,61.35347374363482
control,Id2.3,4542,-0.26637114519856864,69.19730843231409
control,Id2.4,17786,-0.09145540162839318,79.59571334825579
control,Id2.5,2483,-0.2935647057551219,64.94235584503193
control,Id3,6804,-0.23649652937587634,72.17359539549581
control,Id3.2,920,-0.31420751058751273,58.46558942915482
control,Id3.3,4992,-0.2604279192391471,69.88406470544118
control,Id3.4,4110,-0.2720766421196133,68.47687188294324
control,Id3.5,4721,-0.26400706198359875,69.47762759852239
target,Jmjd5.1,20433,-0.05649602581819578,80.69500936591605
target,Jmjd5.2,1260,-0.30971707319594977,60.44760855752818
target,Jmjd5.3,11247,-0.1778170784031876,76.00422155141865
target,Jmjd5.4,99274,0.9847703694412577,92.72925323809775
target,Jmjd6.1,1084,-0.3120415349045235,59.491451084130865
target,Jmjd6.2,40908,0.21392075533548455,86.19238729920083
target,Jmjd6.3,6087,-0.24596606940455465,71.34368133979616
target,Jmjd6.4,42525,0.235276747283006,86.49523638136449
target,Jmjd8.1,0,-0.3263581058823301,26.82382128284564
target,Jmjd8.2,0,-0.3263581058823301,26.82382128284564
target,Jmjd8.3,2,-0.3263316915447327,31.261456080045964
target,Kat2a.1,3,-0.32631848437593397,32.3713292990905
target,Kat2a.2,0,-0.3263581058823301,26.82382128284564
target,Kat2a.3,60667,0.47488120362928526,89.21805562059347
target,Kat2b.1,4188,-0.27104648295331357,68.61190673497417
target,Kat2b.2,18680,-0.07964819272234237,79.98385984477781
target,Kat2b.3,78376,0.7087669558857211,91.09373461934008
target,Kat2b.4,6832,-0.2361267286495123,72.20434113728237
target,Kat5.1,5779,-0.25003387739455873,70.95920894212117
target,Kat5.2,22197,-0.03319858005726332,81.35257249790318
target,Kat5.3,2683,-0.290923271995379,65.4748971479221
target,Kat5.4,105454,1.0663906726173136,93.12899842918183
target,Kdm1a.1,13530,-0.1476651120357223,77.44330401540466
target,Kdm1a.2,5281,-0.2566110474563186,70.29583109587053
target,Kdm1a.3,80178,0.7325662740610048,91.2554642910008
target,Kdm1a.4,46348,0.28576775360049167,87.16441328092155
target,Kdm1b.1,42897,0.2401898140761278,86.56315718682231
target,Kdm1b.2,4618,-0.26536740036986634,69.31753767200068
target,Kdm1b.3,1864,-0.3017399432415262,63.005543766285676
target,Kdm1b.4,18004,-0.08857623883027341,79.69208137150999
target,Kdm2a.1,462,-0.32025639389732397,54.34358245550506
target,Kdm2a.2,354425,4.354592695602073,98.82960155837534
target,Kdm2a.3,2651,-0.29134590139693783,65.39215646691096
target,Kdm2a.4,79825,0.7279041434750586,91.22413853699646
target,Kdm2b.1,32450,0.10221452163595693,84.36837052599131
target,Kdm2b.2,39165,0.1909006601193251,85.85125515356971
target,Kdm2b.3,40038,0.2024305184806029,86.02409386705506
target,Kdm2b.4,97449,0.9606672863836038,92.60483987733662
target,Kdm3a.1,33084,0.11058786665434195,84.52148489757704
target,Kdm3a.2,36298,0.1530357071734105,85.25350876592871
target,Kdm3a.3,194402,2.2411419229253755,96.62843369813135
target,Kdm3a.4,8644,-0.21219533878624156,73.98138547445826
target,Kdm3b.2,9771,-0.19731085955009028,74.91889945072215
target,Kdm3b.3,16040,-0.11451511835094878,78.77987058335194
target,Kdm3b.4,5606,-0.25231871759673635,70.7349185594951
target,Kdm4a.1,16168,-0.11282460074471332,78.84252546292221
target,Kdm4a.2,20381,-0.05718279859572894,80.67478835300554
target,Kdm4a.3,4701,-0.26427120535957305,69.44679348888525
target,Kdm4a.4,741,-0.3165715938024826,57.13872455517873
target,Kdm4b.1,2,-0.3263316915447327,31.261456080045964
target,Kdm4b.2,0,-0.3263581058823301,26.82382128284564
target,Kdm4b.3,24,-0.32604113383116096,39.75798362250108
target,Kdm4c.1,95142,0.9301983479649693,92.4431186852048
target,Kdm4c.2,8111,-0.2192347597559564,73.49761463336914
target,Kdm4c.3,3200,-0.28409516572644355,66.70091231707438
target,Kdm4c.4,20187,-0.05974498934267956,80.59889909623337
