type,shRNA,count,ZScore,nbRawCount
target,Kdm1a.2,25321,0.08804569542432344,77.45543911273695
target,Kdm1a.3,29725,0.18723028661073646,79.74959962015618
target,Kdm1a.4,43774,0.503634537650227,85.1120182905186
target,Kdm1b.1,33059,0.26231689583314816,81.25335789597304
target,Kdm1b.2,6608,-0.3333987312040478,58.75357019013835
target,Kdm1b.3,5293,-0.36301447539345133,55.94615632197338
target,Kdm1b.4,8157,-0.2985129610524234,61.51227080484259
target,Kdm2a.1,1101,-0.4574245131440061,39.16757487880567
target,Kdm2a.2,25675,0.09601829880306782,77.65493048421642
target,Kdm2a.3,24943,0.07953257656227437,77.23918774872777
target,Kdm2a.4,5142,-0.36641521864257676,55.58777039190296
target,Kdm2b.1,28,-0.48159005954342055,16.79625343305866
target,Kdm2b.2,23558,0.048340328879898795,76.4168027154105
target,Kdm2b.3,4266,-0.3861440337831984,53.319416189465116
target,Kdm2b.4,1404,-0.4506005051672843,41.418811943393614
target,Kdm3a.1,7064,-0.32312893702125844,59.61805579075128
target,Kdm3a.2,18368,-0.06854614438474325,72.83002086706284
target,Kdm3a.3,83702,1.4028721300414848,92.83219472846397
target,Kdm3a.4,1569,-0.44688446121956443,42.48820523384723
target,Kdm3b.2,17677,-0.0841084860082245,72.27877843687412
target,Kdm3b.3,9802,-0.26146512896758023,63.98829368193043
target,Kdm3b.4,2150,-0.4337994822278964,45.66247224529077
target,Kdm4a.1,54069,0.7354931585094737,87.85265882341571
target,Kdm4a.2,549,-0.4698563692600143,33.357710412133834
target,Kdm4a.3,29024,0.17144273020254494,79.40981936613149
target,Kdm4a.4,2699,-0.42143519054730133,48.08794950921927
target,Kdm4b.1,4,-0.4821305750267253,10.994317525143838
target,Kdm4b.2,1,-0.48219813946213835,8.638498558565196
target,Kdm4b.3,1,-0.48219813946213835,8.638498558565196
target,Kdm4c.1,91991,1.5895526650878467,93.7519165619361
target,Kdm4c.2,30145,0.19668930756856878,79.9490215296483
target,Kdm4c.3,36461,0.3389349655915898,82.621232221273
target,Kdm4c.4,4860,-0.372766275571407,54.89461719635046
target,Kdm4d.1,45564,0.5439479841133695,85.64478856531642
target,Kdm4d.2,107129,1.9304828061822883,95.0990391941661
target,Kdm4d.3,970,-0.46037482682371095,38.04145547046691
target,Kdm4d.4,13020,-0.18899101124780793,67.92544627716676
target,Kdm5a.1,59373,0.854947080319813,89.00661422403327
