type,shRNA,count,pctg,nbPctg
target,Atrx.1,81,0.0006055288823820699,39.60173049420643
target,Atrx.2,17480,0.1306746279510936,77.23648418032224
target,Atrx.3,109206,0.816387495424893,93.06674481179346
target,Atrx.4,31338,0.23427239649492973,82.53277530039368
target,Aurkb.1,83111,0.6213100116500767,90.9892039992023
target,Aurkb.2,97,0.0007251395258155652,40.51416600848051
target,Aurkb.3,0,0.0,16.626866860908013
target,Aurkb.4,1233,0.00921749520959373,55.7805344163651
target,Baz1a.1,8600,0.06429072084550372,70.96795183573721
target,Baz1a.2,10887,0.08138756719127895,73.01879718185694
target,Baz1a.3,0,0.0,16.626866860908013
target,Baz1a.4,51673,0.3862900486336876,87.00297713590156
target,Baz1b.1,36463,0.27258518071972115,83.90239315488944
target,Baz1b.2,490736,3.668578044748734,99.56824863245517
target,Baz1b.3,40367,0.30177017771749404,84.81625744591769
target,Baz1b.4,1910,0.0142785205598735,58.92215440703159
target,Baz2a.1,3518,0.026299390224939774,63.58162864179515
target,Baz2a.3,0,0.0,16.626866860908013
target,Baz2a.4,11245,0.0840638553381034,73.30302745987322
target,Baz2b.1,339998,2.5417112216313456,98.84257435692692
target,Baz2b.2,47073,0.3519019886465577,86.18367965836228
target,Baz2b.3,53119,0.39709986053398977,87.24368518940668
target,Baz2b.4,25564,0.1911079055458671,80.68284984859007
control,Bcl6,94923,0.7096125691648546,92.02454501153476
control,Bcl6.2,63263,0.4729330084708258,88.74533679696165
control,Bcl6.3,13,9.718364778971492e-05,31.46243001573262
target,Bmi1.1,4895,0.036593381225434964,66.23495615092979
target,Bmi1.2,7005,0.05236703482822716,69.2163694248757
target,Bmi1.3,4122,0.030814692014554224,64.84272368996966
target,Bmi1.4,216659,1.6196701497286037,97.19406545153068
target,Bop1.1,1037,0.007752264827533413,54.582630595467826
target,Bop1.2,4115,0.03076236235805207,64.82916740263059
target,Bop1.3,427,0.0031921090466314056,48.824066887627396
target,Bop1.4,27,0.0002018429607940233,34.47537407498427
target,Bptf.1,3639,0.027203945715905585,63.84883098663254
target,Bptf.2,16012,0.11970035141607041,76.44691777897445
target,Bptf.3,15870,0.11863880695559814,76.36687528705376
target,Bptf.4,5020,0.03752783937725915,66.44117972542735
target,Brd1.1,13542,0.10123545833602458,74.9482520758864
target,Brd1.2,84559,0.6321347748808079,91.12614089521105
target,Brd1.3,7052,0.05271839109331304,69.27291024289754
target,Brd1.4,1133,0.008469928688134384,55.191692702599816
target,Brd2.1,5736,0.042880415670908056,67.5409736860889
target,Brd2.2,6588,0.049249682433741684,68.69842641027117
target,Brd2.3,21166,0.15822992993208507,78.96766061770336
target,Brd2.4,6292,0.04703688553022202,68.31245836848248
target,Brd3.1,7143,0.05339867662784105,69.38148142969688
target,Brd3.2,85625,0.6401038339995646,91.22504088190757
