Protein1,Protein2,Score
83746|L3MBTL2|Q969R5,11091|WDR5|P61964,61.37303147
1108|CHD4|Q14839,10951|CBX1|P83916,61.16657767
5252|PHF1|O43189,2145|EZH1|Q92800,60.92569037
23522|KAT6B|Q8WYB5,51147|ING4|Q9UNL4,60.73034432
8085|MLL2|O14686,22976|PAXIP1|Q6ZW49,60.08095057
7703|PCGF2|P35227,84333|PCGF5|Q86SE9,59.91995663
3065|HDAC1|Q13547,3066|HDAC2|Q92769,59.9088072
58508|MLL3|Q8NEZ4,22976|PAXIP1|Q6ZW49,59.79048484
11198|SUPT16H|Q9Y5B9,6749|SSRP1|Q08945,59.73947088
11143|KAT7|O95251,7862|BRPF1|P55201,59.36982072
11143|KAT7|O95251,27154|BRPF3|Q9ULD4,59.20765977
86|ACTL6A|O96019,57492|ARID1B|Q8NFD5,59.16259575
5927|KDM5A|P29375,23309|SIN3B|O75182,58.98689441
56981|PRDM11|Q9NQV5,2965|GTF2H1|P32780,58.70065193
5252|PHF1|O43189,5928|RBBP4|Q09028,58.36583098
196528|ARID2|Q68CP9,6598|SMARCB1|Q12824,57.99599035
57492|ARID1B|Q8NFD5,29117|BRD7|Q9NPI1,57.68469129
23774|BRD1|O95696,7994|KAT6A|Q92794,57.59199535
8085|MLL2|O14686,11091|WDR5|P61964,57.04705822
6598|SMARCB1|Q12824,55193|PBRM1|Q86U86,56.56176457
57332|CBX8|Q9HC52,1912|PHC2|Q8IXK0,56.21380836
2962|GTF2F1|P35269,2965|GTF2H1|P32780,55.67705173
11091|WDR5|P61964,84108|PCGF6|Q9BYE7,55.4768933
11143|KAT7|O95251,7994|KAT6A|Q92794,55.47086972
57504|MTA3|Q9BTC8,9219|MTA2|O94776,55.43620378
55193|PBRM1|Q86U86,29117|BRD7|Q9NPI1,54.74629719
1108|CHD4|Q14839,9219|MTA2|O94776,54.66093482
9739|SETD1A|O15047,11091|WDR5|P61964,54.60533939
648|BMI1|P35226,6045|RNF2|Q99496,54.12682221
83746|L3MBTL2|Q969R5,10951|CBX1|P83916,53.8048002
196528|ARID2|Q68CP9,29117|BRD7|Q9NPI1,53.79913535
57504|MTA3|Q9BTC8,8932|MBD2|Q9UBB5,53.5455236
57332|CBX8|Q9HC52,23466|CBX6|O95503,52.92240999
6597|SMARCA4|P51532,29117|BRD7|Q9NPI1,52.81028033
9219|MTA2|O94776,3066|HDAC2|Q92769,52.52095325
11143|KAT7|O95251,23522|KAT6B|Q8WYB5,52.2139505
6599|SMARCC1|Q92922,29117|BRD7|Q9NPI1,52.01832153
6015|RING1|Q06587,83746|L3MBTL2|Q969R5,51.99059154
6605|SMARCE1|Q969G3,55193|PBRM1|Q86U86,51.78918794
5929|RBBP5|Q15291,22976|PAXIP1|Q6ZW49,51.56779364
