Protein1,Protein2,Score
9070|ASH2L|Q9UBL3,51230|PHF20|Q9BVI0,9.728167456
23309|SIN3B|O75182,25942|SIN3A|Q96ST3,9.727836364
4204|MECP2|P51608,8535|CBX4|O00257,9.724079285
9219|MTA2|O94776,2145|EZH1|Q92800,9.719750658
23466|CBX6|O95503,84108|PCGF6|Q9BYE7,9.713260426
23468|CBX5|P45973,546|ATRX|P46100,9.584022326
84661|DPY30|Q9C005,3066|HDAC2|Q92769,9.581133517
10036|CHAF1A|Q13111,8726|EED|O75530,9.575534466
22823|MTF2|Q9Y483,10036|CHAF1A|Q13111,9.510557449
57332|CBX8|Q9HC52,83746|L3MBTL2|Q969R5,9.484686274
1911|PHC1|P78364,11091|WDR5|P61964,9.480323196
3275|PRMT2|P55345,56950|SMYD2|Q9NRG4,9.455371788
23309|SIN3B|O75182,10036|CHAF1A|Q13111,9.435676108
7703|PCGF2|P35227,11091|WDR5|P61964,9.430700275
11176|BAZ2A|Q9UIF9,6594|SMARCA1|P28370,9.388596238
10036|CHAF1A|Q13111,84661|DPY30|Q9C005,9.297045634
84661|DPY30|Q9C005,6594|SMARCA1|P28370,9.281053063
83746|L3MBTL2|Q969R5,8208|CHAF1B|Q13112,9.237009545
8520|HAT1|O14929,2146|EZH2|Q15910,9.20740104
23309|SIN3B|O75182,2146|EZH2|Q15910,9.163179905
5252|PHF1|O43189,84661|DPY30|Q9C005,9.154886352
9112|MTA1|Q13330,26038|CHD5|Q8TDI0,9.12960531
84759|PCGF1|Q9BSM1,11091|WDR5|P61964,9.1241286
5252|PHF1|O43189,26038|CHD5|Q8TDI0,9.118168902
11091|WDR5|P61964,3066|HDAC2|Q92769,9.112425673
51105|PHF20L1|A8MW92,22976|PAXIP1|Q6ZW49,8.99690207
51230|PHF20|Q9BVI0,22976|PAXIP1|Q6ZW49,8.987729469
1108|CHD4|Q14839,83746|L3MBTL2|Q969R5,8.951613173
3066|HDAC2|Q92769,6594|SMARCA1|P28370,8.941079952
11335|CBX3|Q13185,387893|SETD8|Q9NQR1,8.924744778
23309|SIN3B|O75182,8208|CHAF1B|Q13112,8.923697667
84148|KAT8|Q9H7Z6,3066|HDAC2|Q92769,8.921327971
8726|EED|O75530,8208|CHAF1B|Q13112,8.89881899
2145|EZH1|Q92800,6594|SMARCA1|P28370,8.897530349
54617|INO80|Q9ULG1,86|ACTL6A|O96019,8.872444812
22823|MTF2|Q9Y483,8208|CHAF1B|Q13112,8.835315114
1108|CHD4|Q14839,84661|DPY30|Q9C005,8.789354295
84661|DPY30|Q9C005,2146|EZH2|Q15910,8.769414936
84148|KAT8|Q9H7Z6,84108|PCGF6|Q9BYE7,8.762976564
84678|KDM2B|Q8NHM5,8535|CBX4|O00257,8.748897905
23028|KDM1A|O60341,9810|RNF40|O75150,8.734786656
5928|RBBP4|Q09028,26038|CHD5|Q8TDI0,8.649782106
23309|SIN3B|O75182,23512|SUZ12|Q15022,8.580255008
8726|EED|O75530,26038|CHD5|Q8TDI0,8.560878612
639|PRDM1|O75626,3054|HCFC1|P51610,8.558240104
8520|HAT1|O14929,26038|CHD5|Q8TDI0,8.557466165
22823|MTF2|Q9Y483,26038|CHD5|Q8TDI0,8.530313159
51105|PHF20L1|A8MW92,8085|MLL2|O14686,8.521727204
51230|PHF20|Q9BVI0,8085|MLL2|O14686,8.512592647
58508|MLL3|Q8NEZ4,80335|WDR82|Q6UXN9,8.487081797
51105|PHF20L1|A8MW92,84108|PCGF6|Q9BYE7,8.475580018
51230|PHF20|Q9BVI0,84108|PCGF6|Q9BYE7,8.463750052
10036|CHAF1A|Q13111,3066|HDAC2|Q92769,8.452347001
53615|MBD3|O95983,2145|EZH1|Q92800,8.436808531
11335|CBX3|Q13185,80012|PHC3|Q8NDX5,8.427859109
55929|DMAP1|Q9NPF5,10933|MORF4L1|Q9UBU8,8.412262607
5928|RBBP4|Q09028,8467|SMARCA5|O60264,8.403499544
84108|PCGF6|Q9BYE7,30827|CXXC1|Q9P0U4,8.395126719
10036|CHAF1A|Q13111,2146|EZH2|Q15910,8.361152672
22992|KDM2A|Q9Y2K7,30827|CXXC1|Q9P0U4,8.184231595
58508|MLL3|Q8NEZ4,84148|KAT8|Q9H7Z6,8.16711776
11335|CBX3|Q13185,546|ATRX|P46100,8.159278544
10036|CHAF1A|Q13111,26038|CHD5|Q8TDI0,8.149984589
6015|RING1|Q06587,56950|SMYD2|Q9NRG4,8.130721883
84148|KAT8|Q9H7Z6,83746|L3MBTL2|Q969R5,8.111524529
84108|PCGF6|Q9BYE7,3054|HCFC1|P51610,8.07732775
26147|PHF19|Q5T6S3,5928|RBBP4|Q09028,8.064216251
84787|SUV420H2|Q86Y97,6015|RING1|Q06587,8.044236404
51105|PHF20L1|A8MW92,83746|L3MBTL2|Q969R5,8.013437362
51230|PHF20|Q9BVI0,83746|L3MBTL2|Q969R5,8.001697725
2146|EZH2|Q15910,26038|CHD5|Q8TDI0,7.979545329
23309|SIN3B|O75182,1108|CHD4|Q14839,7.92876874
22976|PAXIP1|Q6ZW49,80335|WDR82|Q6UXN9,7.847253986
10389|SCML2|Q9UQR0,80012|PHC3|Q8NDX5,7.814864081
84289|ING5|Q8WYH8,6046|BRD2|P25440,7.803167938
83746|L3MBTL2|Q969R5,30827|CXXC1|Q9P0U4,7.750282882
11335|CBX3|Q13185,10155|TRIM28|Q13263,7.710132678
8208|CHAF1B|Q13112,2146|EZH2|Q15910,7.706465947
84678|KDM2B|Q8NHM5,11091|WDR5|P61964,7.664327875
23512|SUZ12|Q15022,84661|DPY30|Q9C005,7.639253202
23512|SUZ12|Q15022,26038|CHD5|Q8TDI0,7.613374506
10036|CHAF1A|Q13111,23512|SUZ12|Q15022,7.612322581
10036|CHAF1A|Q13111,8520|HAT1|O14929,7.573672277
5931|RBBP7|Q16576,10902|BRD8|Q9H0E9,7.563171694
11091|WDR5|P61964,80335|WDR82|Q6UXN9,7.556330095
51460|SFMBT1|Q9UHJ3,3066|HDAC2|Q92769,7.50834847
6045|RNF2|Q99496,8535|CBX4|O00257,7.496392598
57713|SFMBT2|Q5VUG0,91133|L3MBTL4|Q8NA19,7.4457544
83746|L3MBTL2|Q969R5,3054|HCFC1|P51610,7.438047616
1911|PHC1|P78364,11335|CBX3|Q13185,7.40685319
11091|WDR5|P61964,80012|PHC3|Q8NDX5,7.400093251
84733|CBX2|Q14781,11335|CBX3|Q13185,7.373974395
54904|WHSC1L1|Q9BZ95,10951|CBX1|P83916,7.359713726
10389|SCML2|Q9UQR0,7703|PCGF2|P35227,7.358216581
57332|CBX8|Q9HC52,11091|WDR5|P61964,7.339987567
6045|RNF2|Q99496,10951|CBX1|P83916,7.323726106
23468|CBX5|P45973,387893|SETD8|Q9NQR1,7.312638535
84661|DPY30|Q9C005,5928|RBBP4|Q09028,7.285055359
648|BMI1|P35226,11091|WDR5|P61964,7.259526205
51105|PHF20L1|A8MW92,3066|HDAC2|Q92769,7.236550927
51230|PHF20|Q9BVI0,3066|HDAC2|Q92769,7.224992045
10419|PRMT5|O14744,10196|PRMT3|O60678,7.206262515
1108|CHD4|Q14839,26038|CHD5|Q8TDI0,7.201247122
23613|ZMYND8|Q9ULU4,25942|SIN3A|Q96ST3,7.173803371
5927|KDM5A|P29375,3065|HDAC1|Q13547,7.168082956
84733|CBX2|Q14781,11091|WDR5|P61964,7.159275824
23468|CBX5|P45973,84108|PCGF6|Q9BYE7,7.159132482
9112|MTA1|Q13330,2145|EZH1|Q92800,7.128192852
1912|PHC2|Q8IXK0,83746|L3MBTL2|Q969R5,7.077492783
8208|CHAF1B|Q13112,84661|DPY30|Q9C005,7.017754561
22955|SCMH1|Q96GD3,84108|PCGF6|Q9BYE7,6.987734356
6046|BRD2|P25440,546|ATRX|P46100,6.973750469
23512|SUZ12|Q15022,8208|CHAF1B|Q13112,6.973567964
1108|CHD4|Q14839,10919|EHMT2|Q96KQ7,6.958375301
23081|KDM4C|Q9H3R0,5110|PCMT1|P22061,6.928733386
25942|SIN3A|Q96ST3,26038|CHD5|Q8TDI0,6.918569306
11091|WDR5|P61964,8850|KAT2B|Q92831,6.917168652
23309|SIN3B|O75182,3065|HDAC1|Q13547,6.910944655
8085|MLL2|O14686,80335|WDR82|Q6UXN9,6.904707564
389856|USP27X|A6NNY8,2648|KAT2A|Q92830,6.85396535
3276|PRMT1|Q99873,672|BRCA1|P38398,6.820658931
91133|L3MBTL4|Q8NA19,51460|SFMBT1|Q9UHJ3,6.776764237
9739|SETD1A|O15047,84108|PCGF6|Q9BYE7,6.767065734
11335|CBX3|Q13185,30827|CXXC1|Q9P0U4,6.703341933
3066|HDAC2|Q92769,30827|CXXC1|Q9P0U4,6.681680596
23522|KAT6B|Q8WYB5,84661|DPY30|Q9C005,6.627189424
10389|SCML2|Q9UQR0,57332|CBX8|Q9HC52,6.593828945
23028|KDM1A|O60341,25942|SIN3A|Q96ST3,6.576273271
10155|TRIM28|Q13263,10322|SMYD5|Q6GMV2,6.573398162
1106|CHD2|O14647,80335|WDR82|Q6UXN9,6.563699681
10389|SCML2|Q9UQR0,648|BMI1|P35226,6.563410906
10765|KDM5B|Q9UGL1,7799|PRDM2|Q13029,6.559686644
11091|WDR5|P61964,2648|KAT2A|Q92830,6.549699741
3066|HDAC2|Q92769,8520|HAT1|O14929,6.508529084
83746|L3MBTL2|Q969R5,3066|HDAC2|Q92769,6.508171391
84108|PCGF6|Q9BYE7,8535|CBX4|O00257,6.457004548
9869|SETDB1|Q15047,6839|SUV39H1|O43463,6.433652721
23028|KDM1A|O60341,3431|SP110|Q9HB58,6.398178453
3066|HDAC2|Q92769,3054|HCFC1|P51610,6.38053236
22955|SCMH1|Q96GD3,83746|L3MBTL2|Q969R5,6.370055858
51105|PHF20L1|A8MW92,84661|DPY30|Q9C005,6.348715786
3065|HDAC1|Q13547,1107|CHD3|Q12873,6.340081892
51230|PHF20|Q9BVI0,84661|DPY30|Q9C005,6.337419169
5931|RBBP7|Q16576,1107|CHD3|Q12873,6.324059809
5927|KDM5A|P29375,5928|RBBP4|Q09028,6.300733671
57713|SFMBT2|Q5VUG0,51460|SFMBT1|Q9UHJ3,6.287981721
8208|CHAF1B|Q13112,3066|HDAC2|Q92769,6.257298993
10036|CHAF1A|Q13111,25942|SIN3A|Q96ST3,6.233118319
10036|CHAF1A|Q13111,54904|WHSC1L1|Q9BZ95,6.201480393
11335|CBX3|Q13185,5928|RBBP4|Q09028,6.190735081
10933|MORF4L1|Q9UBU8,5928|RBBP4|Q09028,6.158538555
9739|SETD1A|O15047,83746|L3MBTL2|Q969R5,6.154556799
1912|PHC2|Q8IXK0,11335|CBX3|Q13185,6.144939898
57332|CBX8|Q9HC52,23492|CBX7|O95931,6.144144741
1108|CHD4|Q14839,11091|WDR5|P61964,6.134045489
4673|NAP1L1|P55209,5563|PRKAA2|P54646,6.129110759
23309|SIN3B|O75182,8467|SMARCA5|O60264,6.090030303
10498|CARM1|Q86X55,84289|ING5|Q8WYH8,6.083363824
84148|KAT8|Q9H7Z6,22976|PAXIP1|Q6ZW49,6.073982519
84333|PCGF5|Q86SE9,56950|SMYD2|Q9NRG4,6.067313046
3066|HDAC2|Q92769,8467|SMARCA5|O60264,6.047006164
10419|PRMT5|O14744,10933|MORF4L1|Q9UBU8,6.04187634
23468|CBX5|P45973,83746|L3MBTL2|Q969R5,6.037003085
26038|CHD5|Q8TDI0,8467|SMARCA5|O60264,6.012727855
3066|HDAC2|Q92769,26038|CHD5|Q8TDI0,5.944536465
23468|CBX5|P45973,8520|HAT1|O14929,5.941579394
6015|RING1|Q06587,23492|CBX7|O95931,5.91628651
10036|CHAF1A|Q13111,2145|EZH1|Q92800,5.913212847
1912|PHC2|Q8IXK0,56950|SMYD2|Q9NRG4,5.902360404
54904|WHSC1L1|Q9BZ95,8208|CHAF1B|Q13112,5.889790477
57634|EP400|Q96L91,10902|BRD8|Q9H0E9,5.864229107
11198|SUPT16H|Q9Y5B9,4673|NAP1L1|P55209,5.857147964
84661|DPY30|Q9C005,8467|SMARCA5|O60264,5.832246662
84148|KAT8|Q9H7Z6,84661|DPY30|Q9C005,5.819327617
10036|CHAF1A|Q13111,8467|SMARCA5|O60264,5.808397577
10389|SCML2|Q9UQR0,84733|CBX2|Q14781,5.79086345
4221|MEN1|O00255,84108|PCGF6|Q9BYE7,5.786909598
23466|CBX6|O95503,8535|CBX4|O00257,5.776981469
6015|RING1|Q06587,51105|PHF20L1|A8MW92,5.752697936
6015|RING1|Q06587,51230|PHF20|Q9BVI0,5.741619106
1108|CHD4|Q14839,79813|EHMT1|Q9H9B1,5.725607863
4673|NAP1L1|P55209,6749|SSRP1|Q08945,5.716502634
84456|L3MBTL3|Q96JM7,10943|MSL3|Q8N5Y2,5.711052305
9810|RNF40|O75150,3066|HDAC2|Q92769,5.70463612
25942|SIN3A|Q96ST3,84661|DPY30|Q9C005,5.645435508
25942|SIN3A|Q96ST3,8208|CHAF1B|Q13112,5.630979451
6046|BRD2|P25440,11091|WDR5|P61964,5.621024148
84148|KAT8|Q9H7Z6,8085|MLL2|O14686,5.619950618
7290|HIRA|P54198,5928|RBBP4|Q09028,5.575089069
23774|BRD1|O95696,5110|PCMT1|P22061,5.567201531
8208|CHAF1B|Q13112,11091|WDR5|P61964,5.566100513
84289|ING5|Q8WYH8,5110|PCMT1|P22061,5.565329065
23466|CBX6|O95503,83746|L3MBTL2|Q969R5,5.550089188
86|ACTL6A|O96019,55929|DMAP1|Q9NPF5,5.544821055
8208|CHAF1B|Q13112,2145|EZH1|Q92800,5.522953161
3015|H2AFZ|P0C0S5,63976|PRDM16|Q9HAZ2,5.513960775
10419|PRMT5|O14744,59336|PRDM13|Q9H4Q3,5.477421944
51105|PHF20L1|A8MW92,6045|RNF2|Q99496,5.449471231
51230|PHF20|Q9BVI0,6045|RNF2|Q99496,5.43852091
7703|PCGF2|P35227,56950|SMYD2|Q9NRG4,5.396023342
546|ATRX|P46100,11091|WDR5|P61964,5.387179652
10419|PRMT5|O14744,8242|KDM5C|P41229,5.364032149
4221|MEN1|O00255,83746|L3MBTL2|Q969R5,5.355461615
11335|CBX3|Q13185,8520|HAT1|O14929,5.336115457
86|ACTL6A|O96019,84289|ING5|Q8WYH8,5.333582734
54904|WHSC1L1|Q9BZ95,1108|CHD4|Q14839,5.285217269
84661|DPY30|Q9C005,26038|CHD5|Q8TDI0,5.270305725
8520|HAT1|O14929,8467|SMARCA5|O60264,5.265378403
84759|PCGF1|Q9BSM1,56950|SMYD2|Q9NRG4,5.238978484
84108|PCGF6|Q9BYE7,3066|HDAC2|Q92769,5.233269218
51105|PHF20L1|A8MW92,11335|CBX3|Q13185,5.206520278
51230|PHF20|Q9BVI0,11335|CBX3|Q13185,5.195681134
10036|CHAF1A|Q13111,11091|WDR5|P61964,5.164788656
8208|CHAF1B|Q13112,8467|SMARCA5|O60264,5.160928878
9739|SETD1A|O15047,3066|HDAC2|Q92769,5.150359904
10389|SCML2|Q9UQR0,1912|PHC2|Q8IXK0,5.129721326
5931|RBBP7|Q16576,546|ATRX|P46100,5.113262958
3276|PRMT1|Q99873,56341|PRMT8|Q9NR22,5.100388752
11198|SUPT16H|Q9Y5B9,11168|PSIP1|O75475,5.089165155
10419|PRMT5|O14744,80854|SETD7|Q8WTS6,5.081690429
11168|PSIP1|O75475,6749|SSRP1|Q08945,5.066874251
2289|FKBP5|Q13451,27125|AFF4|Q9UHB7,5.016781573
54904|WHSC1L1|Q9BZ95,84108|PCGF6|Q9BYE7,4.980435636
5929|RBBP5|Q15291,84108|PCGF6|Q9BYE7,4.969932592
23309|SIN3B|O75182,84661|DPY30|Q9C005,4.969731716
23468|CBX5|P45973,11168|PSIP1|O75475,4.948671157
3015|H2AFZ|P0C0S5,7319|UBE2A|P49459,4.912266946
79813|EHMT1|Q9H9B1,5928|RBBP4|Q09028,4.899158573
10389|SCML2|Q9UQR0,1911|PHC1|P78364,4.850056945
3065|HDAC1|Q13547,23512|SUZ12|Q15022,4.838672798
5928|RBBP4|Q09028,10919|EHMT2|Q96KQ7,4.835577141
9739|SETD1A|O15047,11335|CBX3|Q13185,4.827509939
6672|SP100|P23497,8535|CBX4|O00257,4.80719733
7403|KDM6A|O15550,84108|PCGF6|Q9BYE7,4.795702371
10771|ZMYND11|Q15326,8535|CBX4|O00257,4.776017083
1108|CHD4|Q14839,2145|EZH1|Q92800,4.771566078
27125|AFF4|Q9UHB7,6046|BRD2|P25440,4.771050774
51105|PHF20L1|A8MW92,80335|WDR82|Q6UXN9,4.76885124
51230|PHF20|Q9BVI0,80335|WDR82|Q6UXN9,4.760405898
1106|CHD2|O14647,8535|CBX4|O00257,4.73599932
1106|CHD2|O14647,57680|CHD8|Q9HCK8,4.726179073
23613|ZMYND8|Q9ULU4,10933|MORF4L1|Q9UBU8,4.709579365
4673|NAP1L1|P55209,56950|SMYD2|Q9NRG4,4.693251856
54904|WHSC1L1|Q9BZ95,83746|L3MBTL2|Q969R5,4.648440309
27125|AFF4|Q9UHB7,546|ATRX|P46100,4.643925514
4221|MEN1|O00255,3066|HDAC2|Q92769,4.639836862
84108|PCGF6|Q9BYE7,10919|EHMT2|Q96KQ7,4.629640536
6672|SP100|P23497,3015|H2AFZ|P0C0S5,4.623785205
3065|HDAC1|Q13547,8520|HAT1|O14929,4.612354842
5927|KDM5A|P29375,57634|EP400|Q96L91,4.563208961
57634|EP400|Q96L91,55929|DMAP1|Q9NPF5,4.484402106
3720|JARID2|Q92833,5928|RBBP4|Q09028,4.475887829
26013|L3MBTL1|Q9Y468,5110|PCMT1|P22061,4.468842451
10389|SCML2|Q9UQR0,6045|RNF2|Q99496,4.44044948
25942|SIN3A|Q96ST3,2145|EZH1|Q92800,4.44004623
3065|HDAC1|Q13547,10933|MORF4L1|Q9UBU8,4.436326446
5929|RBBP5|Q15291,83746|L3MBTL2|Q969R5,4.410959275
84661|DPY30|Q9C005,80335|WDR82|Q6UXN9,4.390944768
6015|RING1|Q06587,10036|CHAF1A|Q13111,4.37665427
9739|SETD1A|O15047,22992|KDM2A|Q9Y2K7,4.376407588
26147|PHF19|Q5T6S3,5931|RBBP7|Q16576,4.36215933
53615|MBD3|O95983,6596|HLTF|Q14527,4.358072933
23309|SIN3B|O75182,57634|EP400|Q96L91,4.339217645
10419|PRMT5|O14744,11107|PRDM5|Q9NQX1,4.336975772
3065|HDAC1|Q13547,83746|L3MBTL2|Q969R5,4.329571633
23309|SIN3B|O75182,23613|ZMYND8|Q9ULU4,4.325899331
57332|CBX8|Q9HC52,56950|SMYD2|Q9NRG4,4.320465271
84148|KAT8|Q9H7Z6,11335|CBX3|Q13185,4.3173024
7290|HIRA|P54198,8208|CHAF1B|Q13112,4.290398488
8520|HAT1|O14929,2145|EZH1|Q92800,4.289730154
4204|MECP2|P51608,2146|EZH2|Q15910,4.288471938
648|BMI1|P35226,56950|SMYD2|Q9NRG4,4.278824507
3276|PRMT1|Q99873,8930|MBD4|O95243,4.254898654
9070|ASH2L|Q9UBL3,84108|PCGF6|Q9BYE7,4.24464904
7403|KDM6A|O15550,83746|L3MBTL2|Q969R5,4.243279553
6749|SSRP1|Q08945,8467|SMARCA5|O60264,4.237178
51780|KDM3B|Q7LBC6,55274|PHF10|Q8WUB8,4.234482415
10389|SCML2|Q9UQR0,23466|CBX6|O95503,4.231541138
83746|L3MBTL2|Q969R5,10919|EHMT2|Q96KQ7,4.221539093
54904|WHSC1L1|Q9BZ95,11335|CBX3|Q13185,4.198081857
3720|JARID2|Q92833,5931|RBBP7|Q16576,4.19093102
6046|BRD2|P25440,8520|HAT1|O14929,4.175301776
51460|SFMBT1|Q9UHJ3,3065|HDAC1|Q13547,4.163369719
8805|TRIM24|O15164,11168|PSIP1|O75475,4.163118296
3015|H2AFZ|P0C0S5,6304|SATB1|Q01826,4.149023525
5563|PRKAA2|P54646,3431|SP110|Q9HB58,4.144374156
1106|CHD2|O14647,1912|PHC2|Q8IXK0,4.128606547
23613|ZMYND8|Q9ULU4,5931|RBBP7|Q16576,4.110227935
22955|SCMH1|Q96GD3,11091|WDR5|P61964,4.08006934
6603|SMARCD2|Q92925,55693|KDM4D|Q6B0I6,4.07229449
23476|BRD4|O60885,23210|JMJD6|Q6NYC1,4.069442159
2289|FKBP5|Q13451,4299|AFF1|P51825,4.060494319
27125|AFF4|Q9UHB7,57680|CHD8|Q9HCK8,4.033547564
10419|PRMT5|O14744,114826|SMYD4|Q8IYR2,3.997608267
3720|JARID2|Q92833,10951|CBX1|P83916,3.983179483
83746|L3MBTL2|Q969R5,5928|RBBP4|Q09028,3.962703605
6119|RPA3|P35244,84661|DPY30|Q9C005,3.949225108
4204|MECP2|P51608,6749|SSRP1|Q08945,3.934934989
23309|SIN3B|O75182,2145|EZH1|Q92800,3.918833792
1106|CHD2|O14647,1105|CHD1|O14646,3.91524434
84661|DPY30|Q9C005,23210|JMJD6|Q6NYC1,3.899738784
9031|BAZ1B|Q9UIG0,27125|AFF4|Q9UHB7,3.896007215
26147|PHF19|Q5T6S3,26038|CHD5|Q8TDI0,3.847362054
3065|HDAC1|Q13547,8726|EED|O75530,3.843924874
1106|CHD2|O14647,27125|AFF4|Q9UHB7,3.82632083
55693|KDM4D|Q6B0I6,5110|PCMT1|P22061,3.824402665
60|ACTB|P60709,6602|SMARCD1|Q96GM5,3.814272781
10902|BRD8|Q9H0E9,5928|RBBP4|Q09028,3.81319523
3065|HDAC1|Q13547,2146|EZH2|Q15910,3.806146267
1912|PHC2|Q8IXK0,11091|WDR5|P61964,3.783500692
58508|MLL3|Q8NEZ4,84108|PCGF6|Q9BYE7,3.774458144
11335|CBX3|Q13185,3054|HCFC1|P51610,3.762367583
9611|NCOR1|O75376,639|PRDM1|O75626,3.750650859
6015|RING1|Q06587,8208|CHAF1B|Q13112,3.747214037
22823|MTF2|Q9Y483,3065|HDAC1|Q13547,3.746452723
5431|POLR2B|P30876,6839|SUV39H1|O43463,3.723014348
86|ACTL6A|O96019,23522|KAT6B|Q8WYB5,3.721114257
9070|ASH2L|Q9UBL3,83746|L3MBTL2|Q969R5,3.715034016
9611|NCOR1|O75376,3054|HCFC1|P51610,3.700099804
57492|ARID1B|Q8NFD5,57680|CHD8|Q9HCK8,3.692755041
11198|SUPT16H|Q9Y5B9,8467|SMARCA5|O60264,3.681844491
4673|NAP1L1|P55209,55929|DMAP1|Q9NPF5,3.674433566
6046|BRD2|P25440,23246|BOP1|Q14137,3.673619697
11198|SUPT16H|Q9Y5B9,4204|MECP2|P51608,3.658173449
5931|RBBP7|Q16576,6594|SMARCA1|P28370,3.643815652
23246|BOP1|Q14137,546|ATRX|P46100,3.607849545
84678|KDM2B|Q8NHM5,11168|PSIP1|O75475,3.587937283
23613|ZMYND8|Q9ULU4,7799|PRDM2|Q13029,3.587715641
84148|KAT8|Q9H7Z6,80335|WDR82|Q6UXN9,3.571055619
60|ACTB|P60709,80854|SETD7|Q8WTS6,3.539415912
55929|DMAP1|Q9NPF5,10902|BRD8|Q9H0E9,3.52023101
57634|EP400|Q96L91,8520|HAT1|O14929,3.51630927
5929|RBBP5|Q15291,3066|HDAC2|Q92769,3.512686681
6015|RING1|Q06587,1106|CHD2|O14647,3.512450744
23476|BRD4|O60885,6672|SP100|P23497,3.511561631
84787|SUV420H2|Q86Y97,3276|PRMT1|Q99873,3.508352129
79813|EHMT1|Q9H9B1,84108|PCGF6|Q9BYE7,3.502603819
60|ACTB|P60709,63976|PRDM16|Q9HAZ2,3.499840004
11143|KAT7|O95251,23476|BRD4|O60885,3.497940956
10419|PRMT5|O14744,8930|MBD4|O95243,3.490568343
11168|PSIP1|O75475,79831|KDM8|Q8N371,3.479580038
9810|RNF40|O75150,3065|HDAC1|Q13547,3.478953577
11335|CBX3|Q13185,84661|DPY30|Q9C005,3.477488096
23522|KAT6B|Q8WYB5,5110|PCMT1|P22061,3.458172263
6596|HLTF|Q14527,8535|CBX4|O00257,3.451549617
56950|SMYD2|Q9NRG4,3431|SP110|Q9HB58,3.415553441
2145|EZH1|Q92800,8467|SMARCA5|O60264,3.413045982
58508|MLL3|Q8NEZ4,83746|L3MBTL2|Q969R5,3.389514803
86|ACTL6A|O96019,23774|BRD1|O95696,3.383268604
54904|WHSC1L1|Q9BZ95,11091|WDR5|P61964,3.378553369
6119|RPA3|P35244,142|PARP1|P09874,3.376247478
23512|SUZ12|Q15022,6839|SUV39H1|O43463,3.373771015
23466|CBX6|O95503,11091|WDR5|P61964,3.372401699
84148|KAT8|Q9H7Z6,6045|RNF2|Q99496,3.361261226
7403|KDM6A|O15550,3066|HDAC2|Q92769,3.35790464
6119|RPA3|P35244,4204|MECP2|P51608,3.343558726
3066|HDAC2|Q92769,2145|EZH1|Q92800,3.337486237
54904|WHSC1L1|Q9BZ95,23468|CBX5|P45973,3.330321957
4204|MECP2|P51608,80335|WDR82|Q6UXN9,3.317059373
53615|MBD3|O95983,6119|RPA3|P35244,3.315056134
60|ACTB|P60709,59336|PRDM13|Q9H4Q3,3.31131408
10765|KDM5B|Q9UGL1,142|PARP1|P09874,3.281120685
10419|PRMT5|O14744,22933|SIRT2|Q8IXJ6,3.245791971
3066|HDAC2|Q92769,6839|SUV39H1|O43463,3.242111458
3065|HDAC1|Q13547,51230|PHF20|Q9BVI0,3.220902684
51105|PHF20L1|A8MW92,3065|HDAC1|Q13547,3.218636746
11108|PRDM4|Q9UKN5,142|PARP1|P09874,3.201034305
1106|CHD2|O14647,57492|ARID1B|Q8NFD5,3.197265535
79813|EHMT1|Q9H9B1,83746|L3MBTL2|Q969R5,3.19699664
23468|CBX5|P45973,84661|DPY30|Q9C005,3.191501222
84787|SUV420H2|Q86Y97,23468|CBX5|P45973,3.185198885
6015|RING1|Q06587,80335|WDR82|Q6UXN9,3.167694688
10765|KDM5B|Q9UGL1,79831|KDM8|Q8N371,3.165382015
8930|MBD4|O95243,2146|EZH2|Q15910,3.158991106
3065|HDAC1|Q13547,23613|ZMYND8|Q9ULU4,3.157155905
6045|RNF2|Q99496,30827|CXXC1|Q9P0U4,3.120212613
84678|KDM2B|Q8NHM5,56950|SMYD2|Q9NRG4,3.103379235
3065|HDAC1|Q13547,5931|RBBP7|Q16576,3.100102846
10419|PRMT5|O14744,54093|SETD4|Q9NVD3,3.071801355
10389|SCML2|Q9UQR0,6015|RING1|Q06587,3.063070743
6015|RING1|Q06587,54904|WHSC1L1|Q9BZ95,3.058786614
4221|MEN1|O00255,6045|RNF2|Q99496,3.05727983
10419|PRMT5|O14744,2122|MECOM|Q13465,3.052577491
3720|JARID2|Q92833,4204|MECP2|P51608,3.042077122
5931|RBBP7|Q16576,8467|SMARCA5|O60264,3.034192192
3720|JARID2|Q92833,79813|EHMT1|Q9H9B1,2.99934059
55929|DMAP1|Q9NPF5,7290|HIRA|P54198,2.993123571
10419|PRMT5|O14744,22992|KDM2A|Q9Y2K7,2.988278741
10765|KDM5B|Q9UGL1,23613|ZMYND8|Q9ULU4,2.985174431
57634|EP400|Q96L91,25942|SIN3A|Q96ST3,2.960809803
10419|PRMT5|O14744,63976|PRDM16|Q9HAZ2,2.949406014
26147|PHF19|Q5T6S3,2186|BPTF|Q12830,2.948413077
26147|PHF19|Q5T6S3,1107|CHD3|Q12873,2.946630277
11107|PRDM5|Q9NQX1,5110|PCMT1|P22061,2.930301202
5929|RBBP5|Q15291,11335|CBX3|Q13185,2.921845787
1911|PHC1|P78364,56950|SMYD2|Q9NRG4,2.918045863
26147|PHF19|Q5T6S3,8932|MBD2|Q9UBB5,2.912520028
6045|RNF2|Q99496,3054|HCFC1|P51610,2.912096398
3065|HDAC1|Q13547,10036|CHAF1A|Q13111,2.909491081
22955|SCMH1|Q96GD3,11335|CBX3|Q13185,2.905780975
