Pool,Gene,nbPctgShift
P15-21,Ube2i,5.372488594574881
P15-21,Uhrf1,0.17984858874766255
P15-21,Usp22,2.787903550662948
P15-21,Usp27x,-9.064729795325041
P15-21,Usp51,-18.641028954387423
P15-21,Wbp7,10.496182168459192
P15-21,Wdr5,33.2853917169839
P15-21,Wdr82,-4.2723182239579796
P15-21,Whsc1,19.337998045184463
P15-21,Whsc1l1,-21.239742614859555
P15-21,Zmynd11,-16.034365212278892
P15-21,Zmynd8,25.078215091417746
