type,shRNA,count,pctg
target,Cbx4.2,6065,0.17328814031967876
target,Crebbp.3,5896,0.1684595012901609
target,Ctsl.2,5756,0.1644594452893769
target,Hat1.1,5750,0.16428801431791473
target,Dnmt1.2,5730,0.16371657774637416
target,Aff4.4,5711,0.1631737130034106
target,Dub2a.4,5690,0.162573704603293
target,Dnmt3b.4,5686,0.1624594172889849
target,Hdac7.2,5663,0.16180226523171323
target,Hdac9.2,5647,0.16134511597448079
target,Jhdm1d.1,5627,0.1607736794029402
target,Cbx1.4,5482,0.15663076425927105
target,Chd2.2,5305,0.15157355060113697
target,Atad2.4,5234,0.14954495077216795
target,Asxl2.1,4881,0.13945909528447684
target,Dnmt3a.3,4877,0.13934480797016874
target,Gadd45b.2,4867,0.13905908968439845
target,Cbx3.4,4792,0.1369162025411213
target,Hdac8.3,4760,0.13600190402665638
target,Ino80.3,4719,0.1348304590549982
target,Brwd3.1,4657,0.13305900568322243
target,Epc1.3,4577,0.13077325939706014
target,Eed.4,4545,0.12985896088259521
target,Jarid2.4,4508,0.12880180322524515
target,Gtf3c4.4,4336,0.12388744870999623
target,Chd6.3,4317,0.12334458396703268
target,Hdac2.4,4296,0.12274457556691507
target,Eed.3,4289,0.12254457276687587
target,Aurkb.3,4167,0.11905880968047838
target,Chd3.3,4076,0.11645877327996879
target,Elp3.2,4032,0.11520161282257951
target,Chaf1b.1,3987,0.11391588053661322
target,Jarid2.2,3937,0.1124872891077618
target,Asxl2.2,3844,0.10983010905009814
target,Epc2.2,3791,0.10831580213551562
target,Aff1.3,3769,0.10768722190682098
target,Chd1l.1,3723,0.10637291779227766
target,Cxxc1.4,3684,0.10525861647777354
target,Atr.2,3628,0.10365859407745995
target,Hdac6.4,3623,0.10351573493457479
target,Ezh1.3,3613,0.1032300166488045
target,Hltf.2,3559,0.10168713790564496
target,Brpf3.1,3530,0.10085855487691113
target,Chd1.2,3494,0.09982996904813811
target,Brwd3.2,3433,0.09808708750493936
target,Epc2.1,3306,0.09445846527565671
target,Eed.2,3260,0.0931441611611134
target,Brd1.1,3242,0.09262986824672688
target,Dnmt3a.1,3225,0.0921441471609174
target,Cbx2.2,3200,0.09142985144649167
target,Brpf1.2,3182,0.09091555853210516
target,Cbx7.3,3175,0.09071555573206597
target,Hdac1.2,3166,0.0904584092748727
target,Atrx.4,3133,0.08951553893183077
target,Atm.3,3109,0.08882981504598207
target,Chd5.1,3089,0.0882583784744415
target,Bop1.3,3078,0.08794408836009418
target,Baz1a.4,3004,0.08582977304539406
target,Fbxo44.1,2933,0.08380117321642502
target,Brd8.4,2910,0.08314402115915337
target,Chd2.4,2888,0.08251544093045875
target,Elp4.1,2882,0.08234400995899657
target,Cbx4.4,2875,0.08214400715895737
target,Ctsl.4,2840,0.08114399315876136
target,Gtf2f1.2,2816,0.08045826927291268
target,Ing5.1,2790,0.07971540172990993
target,Brd8.1,2777,0.07934396795840856
target,Atad2b.4,2695,0.0770010780150922
target,Ing3.4,2677,0.0764867851007057
target,Chd1.1,2654,0.07582963304343404
target,Cbx8.2,2622,0.07491533452896912
target,Ezh2.4,2586,0.0738867487001961
target,Brwd1.1,2580,0.07371531772873391
target,Dot1l.1,2473,0.07065813207099185
target,Ehmt2.3,2437,0.06962954624221881
target,Aurkb.1,2431,0.06945811527075664
target,Cbx5.4,2400,0.06857238858486875
target,Hdac10.3,2398,0.0685152449277147
target,Hira.2,2363,0.0675152309275187
target,Ino80.1,2362,0.06748665909894166
target,Chd9.2,2316,0.06617235498439836
target,Bop1.2,2310,0.06600092401293618
target,Hdac2.2,2309,0.06597235218435915
target,Hdac7.1,2279,0.06511519732704829
target,Aff1.4,2237,0.06391518052681308
target,Asxl1.2,2171,0.06202943984072921
target,Actl6b.2,2165,0.061858008869267025
target,Aff4.3,2132,0.060915138526225085
target,Ercc5.2,2121,0.06060084841187776
target,Cbx8.3,2104,0.06011512732606828
