,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: 11,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:15:40 AM,,,,,,,,,,,,,,,,,,,,,,,,
B11,Paxip1.1,B11,Sample,98.54492543,69.99422966,71.10423117,59.76718807,45.23946913,34.46852425,9280.088456,2058.180034,1996.467662,533.1258362,306.963372,172.423703,127.3986396,326.7706078,249.5834209,26.99163332,28.90940565,26.83178535,1588.68295,1358.184261,1269.898799,1040.900165,306.0429035,304.1824903,17356,12096,2749,1733,969,9134
C02,Parp1.2,C02,Sample,98.24561404,72.28070175,66.63055255,63.74269006,43.50877193,34.6695558,9881.94924,2176.711229,1673.971383,589.2942821,362.2438311,196.2434344,209.50452,404.3403526,395.9196869,24.85380117,31.57894737,28.49404117,1904.376027,1804.040842,1419.753203,1357.171135,471.9692572,345.9644863,10301,7154,342,285,923,5216
C03,Ncoa3.1,C03,Sample,98.6381323,72.67605634,68.35820896,57.19844358,36.61971831,36.0199005,8887.751511,2188.489879,1685.966002,409.8391716,201.5635466,211.7080389,377.0193016,695.1853811,280.6510169,39.49416342,40.42253521,35.02487562,2194.422635,1868.723266,1235.809174,1407.057286,531.6730554,308.7754483,10406,7032,514,710,1005,5092
C04,Nap1l2.2,C04,Sample,99.0430622,65.73426573,67.90123457,78.46889952,49.65034965,33.47050754,14411.92995,1636.777,1648.150393,1449.659055,408.5036803,163.3603886,244.8787072,482.4361398,482.5806353,36.84210526,36.36363636,38.20301783,2289.934048,2013.752624,1406.258658,1741.003926,512.6473339,361.7511478,11297,7619,209,143,1458,5613
C05,Paxip1.2,C05,Sample,98.49892781,69.27129061,70,60.54324518,40.21071115,33.81578947,9127.121615,1868.12801,1779.014862,560.8109672,283.6920631,210.2779324,202.3312316,433.0146012,283.5470284,31.66547534,43.81035996,38.42105263,1596.128386,1170.837199,1327.261252,1423.33934,449.2762603,295.6030792,11858,8044,1399,1139,760,6060
C06,Padi6.1,C06,Sample,99.19517103,76.84729064,67.3015873,57.14285714,40.7635468,40.10582011,9041.364459,2398.741884,1638.731686,387.8651996,253.4482719,220.0463927,140.1294336,276.6731319,260.4565397,27.7665996,40.7635468,41.26984127,1994.744536,1536.934459,1313.958138,1494.692815,482.0741825,308.6904715,12040,8308,994,812,945,6203
C07,Padi4.2,C07,Sample,98.14061592,71.70311465,64.59459459,66.93782684,49.83432737,32.83783784,8484.033737,1994.404032,1521.13566,784.2590939,348.5149531,154.4823795,209.6706904,234.1584324,493.6230911,32.65543289,39.43008615,39.05405405,2065.186609,1638.985877,1395.606344,1576.701698,463.672959,403.834344,13774,9499,1721,1509,740,7180
C08,Ncoa1.2,C08,Sample,98.99068323,74.14675768,68.10228802,63.6257764,38.77986348,39.30013459,9038.172798,2206.335356,1618.526873,747.2838205,255.6741836,246.0402258,99.97188143,224.545079,260.3249335,27.95031056,33.53242321,39.30013459,2065.528321,1505.495526,1254.979641,1012.257832,338.6003554,334.835679,16472,11107,2576,2344,743,8186
C09,Pbrm1.1,C09,Sample,95.38850284,63.8250556,67.0274771,52.116235,36.39733136,33.22231474,6647.040871,1212.502449,1318.539051,388.0017069,206.3715344,194.2958308,253.9612621,401.9805907,220.6104787,34.80732786,44.40326168,39.55037469,1881.741845,1670.001473,1122.725488,1549.556582,555.2607628,291.4273353,15962,10480,1583,1349,1201,7610
C10,Padi1.2,C10,Sample,97.58064516,64.6978022,67.17557252,54.7311828,37.70604396,35.11450382,7419.473798,1425.758144,1741.065941,361.1851224,239.6909195,229.9464845,181.393941,343.6634397,191.9742986,31.34408602,37.56868132,38.16793893,1876.132791,1534.081792,1236.01741,1362.525049,468.0187943,300.1458806,13089,8943,1860,1456,655,6613
C11,Nsd1.1,C11,Sample,98.58630952,77.24137931,68.50393701,63.83928571,47.20306513,37.45781777,10035.94632,2775.717433,1661.174638,644.035067,325.3581036,221.1854951,241.259237,385.5035908,287.1014734,25.22321429,37.16475096,35.88301462,2081.941594,1662.506575,1344.454313,1548.831748,559.108276,309.2522482,14052,9489,1344,1305,889,7325
D02,Nap1l3.2,D02,Sample,98.13293503,64.75995914,70.65088757,55.86258402,41.87946885,38.34319527,8730.778519,1385.222091,1853.72435,437.9884982,282.946271,243.6259156,264.4671847,506.6219369,317.363016,32.48693055,39.73442288,36.68639053,2163.978719,1332.370277,1275.997725,1091.00365,410.2450481,312.1965747,15341,10604,1339,979,845,7837
D03,Pbrm1.2,D03,Sample,98.68319132,70.63492063,68.76971609,58.55925639,44.44444444,38.170347,8697.544268,1970.796193,1906.284752,445.9368538,293.223576,253.7959328,211.5959957,382.1724806,233.4112305,31.75832688,33.73015873,38.80126183,1931.503038,1504.478425,1250.090887,1390.065441,509.2901534,356.8036892,8302,5705,1291,756,317,4261
D04,Padi1.3,D04,Sample,98.35119538,68.89714994,65.17509728,57.54328112,40.64436183,34.24124514,8876.828212,1808.570722,1491.547536,417.610398,262.823885,163.9509153,178.8315122,337.0050854,271.3330034,23.41302556,35.06815366,39.88326848,2046.499606,1426.942143,1265.626489,1723.358204,542.7558519,270.7941468,10053,6721,1213,807,514,5009
D05,Ncor1.1,D05,Sample,94.90022173,60.26785714,69.48640483,43.68070953,28.7202381,43.35347432,6716.351304,1103.240795,1670.0006,223.6252727,150.7830434,275.3190821,483.7962299,1096.381775,251.7242827,30.59866962,40.47619048,29.75830816,1894.443347,1807.368743,1305.755336,1075.377322,433.9715007,342.0454676,10622,7214,902,672,662,5273
D06,Ncoa3.2,D06,Sample,98.49537037,75.40856031,66.96562033,53.24074074,36.49805447,35.72496263,10254.36707,2599.170841,1297.210198,304.6231806,183.3486761,159.4800403,148.6246443,223.0995465,221.2892738,23.95833333,32.45136187,36.47234679,2366.96839,1638.547714,1303.163392,1350.168119,532.0644265,312.6321129,13224,8836,1728,1285,669,6772
D07,Pbrm1.3,D07,Sample,97.07371975,62.80193237,60.81081081,58.35678109,36.15136876,36.87258687,7064.414741,1172.474047,1085.304642,477.6092748,188.3148247,192.2017519,212.2651398,450.8478023,200.5269212,31.45751266,41.14331723,38.41698842,1930.236134,1530.171194,1102.216283,1438.698792,499.845693,266.1890217,11966,7969,1777,1242,518,5772
D08,Padi6.2,D08,Sample,95.98352214,69.56521739,65.374677,64.26364573,47.23320158,37.20930233,6667.031555,1947.887576,1522.058108,635.7671649,298.1550782,223.2851433,214.3677633,501.278955,212.1613222,33.98558187,42.29249012,38.37209302,2000.707969,1720.649006,1265.653603,1627.105409,518.4857663,313.8384568,10428,7168,971,506,774,5391
D09,Ncor2.2,D09,Sample,97.89335089,73.08900524,70.94474153,62.40947992,44.71204188,42.42424242,7731.046802,2107.570602,1796.801886,587.4869688,300.7775279,278.9153357,274.450349,594.171188,248.1257947,34.82554312,42.72251309,40.28520499,1885.024383,1611.550356,1330.91167,1186.437828,452.593488,356.3123474,10961,7274,1519,955,561,5518
D10,Nap1l2.3,D10,Sample,95.99198397,71.72413793,70.86368366,68.13627255,58.62068966,36.83662851,7456.592841,2025.250075,1917.240951,867.4557004,605.8057127,221.8380669,228.4079525,301.0539109,273.3792812,26.85370741,38.62068966,40.37460978,2117.061545,1766.48784,1525.808534,1443.640049,610.5934309,437.9826336,10485,7350,499,435,961,5625
D11,Pcgf1.2,D11,Sample,98.79350348,71.17962466,62.92775665,51.18329466,35.92493298,27.37642586,11373.51506,2156.929922,1238.681158,288.5618405,193.2623836,149.192049,129.8754886,230.0281269,415.8585186,19.6287703,31.36729223,35.5513308,1802.257042,1053.262115,1194.555717,1209.939606,355.8970103,305.0805326,12947,8623,2155,1492,526,6423
E02,Nsd1.2,E02,Sample,97.97525309,69.57928803,64.84848485,55.79302587,41.74757282,33.63636364,7927.347707,2053.518129,1389.934474,391.4194552,287.6304241,200.199685,480.0778256,745.5030667,330.8801586,30.03374578,38.72707659,32.57575758,2008.208524,1777.058124,1034.412491,1275.197159,574.3526731,291.1308422,10604,7208,889,927,660,4922
E03,Orc1.2,E03,Sample,98.07692308,71.94719472,73.52496218,57.7724359,44.88448845,43.72163389,9060.156939,2036.341942,1995.247935,460.9636115,271.3029294,289.7317002,343.2354552,658.8261503,310.0299348,34.21474359,44.11441144,39.48562784,1912.78427,1508.621459,1209.449901,1264.134994,524.8584479,340.421461,11233,7590,1248,909,661,5814
E04,Nap1l2.4,E04,Sample,98.25815096,71.18512781,65.48463357,57.70433229,42.06041828,32.15130024,9565.010155,2205.549262,1411.741932,457.6686695,259.4812462,158.6591175,199.0314694,466.286306,297.9606446,32.11255025,36.32842758,31.91489362,2103.16447,1485.807181,1126.480323,1537.466956,488.684695,228.2933733,11843,7750,2239,1291,423,6041
E05,Parp1.3,E05,Sample,97.71929825,69.26328502,64.41947566,59.60526316,41.30434783,35.58052434,7873.284822,1657.567706,1266.973736,542.673381,270.2808601,215.5884838,224.6426791,513.8065734,241.3590207,25.30701754,36.23188406,33.89513109,1983.047021,1637.048422,1008.793912,1322.880673,564.3922351,311.9972868,13475,8923,2280,1656,534,6490
E06,Padi4.3,E06,Sample,98.26478149,70.3030303,66.27771295,63.68894602,42.95454545,33.83897316,8423.30083,1883.891249,1587.652459,635.1306293,256.4614257,181.8113045,224.6909003,462.1250858,307.329284,35.28277635,40.15151515,38.27304551,2007.478162,1796.738135,1195.383421,1502.440301,521.0048993,311.8413525,15328,10189,1556,1320,857,7791
E07,Ncor1.2,E07,Sample,100,80,69.82109228,71.42857143,80,37.28813559,8859.284436,2692.881855,2122.677852,687.5859018,1306.004183,210.156138,608.969954,802.3142953,534.9014064,57.14285714,80,37.19397363,1688.127236,2339.192227,1558.664597,1670.277848,493.6218488,392.4470509,17788,11778,7,5,2124,9330
E08,Nap1l3.3,E08,Sample,98.25742574,66.1682243,59.94020927,56.75247525,35.60747664,30.94170404,8128.823987,1460.078234,1030.672482,441.4174356,212.036616,170.7152862,197.5248902,375.8353529,262.8273137,27.8019802,36.40186916,37.21973094,1791.197855,1319.518305,1139.260715,1204.593738,462.6758626,311.0389134,15518,10275,2525,2140,669,7347
E09,Paxip1.3,E09,Sample,98.58823529,69.16996047,68.0777238,65.41176471,38.04347826,33.03261624,10901.31268,1847.518143,1509.136564,687.7025657,251.3818189,188.3842222,264.3177764,625.8424933,250.7551243,39.17647059,47.6284585,41.2907703,2469.812627,1997.873995,1294.199833,1497.222695,437.7740899,329.7190141,14458,9837,850,1012,1441,7384
E10,Padi6.3,E10,Sample,98.14995131,71.24842371,63.57845976,60.5647517,42.49684741,35.90040533,8387.045034,1826.456006,1364.465326,498.7242073,304.3648131,191.329118,171.9429902,429.7389145,274.6479302,33.69036027,41.9924338,34.45280834,2126.051719,1826.786814,1120.361935,1689.835395,574.4177429,286.7796696,17810,12552,1027,793,1727,9855
E11,Ncor2.3,E11,Sample,97.12579321,61.73245614,67.11026616,51.21313923,34.59429825,37.16730038,7744.375855,1229.417142,1542.305192,322.7183383,189.3314256,205.3682022,322.169979,905.9869794,245.5212789,28.03284808,32.12719298,37.16730038,2513.989979,1905.055836,1265.016354,1310.848197,526.6155706,365.5639899,20306,13607,2679,1824,1052,10390
F02,Ncoa1.3,F02,Sample,98.17729909,67.80258519,65.6504065,39.10521955,37.72032902,37.19512195,9387.267498,1738.190754,1525.774807,129.1944085,198.9199598,209.810658,201.8152904,324.1513497,266.9808575,36.70256835,35.95769683,36.17886179,1920.116201,1225.303019,1021.531501,1314.291164,388.0427738,268.0320106,9786,6873,1207,851,492,4992
F03,Pcgf1.3,F03,Sample,98.55233853,71.06084243,67.25978648,47.55011136,35.88143526,35.9430605,10200.54075,1989.923675,1690.062453,237.5505749,206.3402844,232.4845852,137.0199718,233.6585879,277.1479521,20.99109131,32.91731669,38.07829181,2006.489476,1210.112877,1220.608754,1570.991649,468.3092347,299.1676096,11571,8110,1796,1282,562,6013
F04,Padi4.4,F04,Sample,97.51655629,71.64502165,67.01030928,58.38852097,45.95959596,28.65979381,8321.395905,1926.106348,1482.524133,471.2668826,335.8313249,155.3464012,151.0915504,191.9580367,320.4526036,32.89183223,37.51803752,39.58762887,2135.462341,1415.387349,1325.482516,1514.068447,505.8951476,329.62962,11469,7823,1812,1386,485,5703
F05,Ncor1.3,F05,Sample,96.79930796,61.4213198,71.01631117,42.8200692,25.38071066,36.63739021,7026.526868,1199.212942,1807.825439,205.3931769,103.5696035,213.910518,694.3586034,1232.440053,239.1337804,37.71626298,48.83248731,40.52697616,2434.608193,1857.735601,1237.174572,1128.535148,450.7101174,367.8168999,12946,8846,1156,985,797,6674
F06,Ncoa3.3,F06,Sample,98.50746269,71.0994075,65.5483871,49.47761194,31.73140224,32.25806452,8875.30173,1764.749185,1329.738827,277.3231658,154.523103,182.0531064,132.5153158,223.4333749,256.1998588,36.86567164,43.31797235,36.77419355,1386.530792,985.0828609,1252.400383,1031.288046,410.3956883,278.0770166,13304,8947,1340,1519,775,6528
F07,Parp1.4,F07,Sample,98.50187266,66.31832797,67.49672346,60.6741573,39.87138264,33.42070773,9711.682559,1569.380812,1582.775683,558.7942519,270.3315593,194.1887227,183.0724059,386.5864611,268.0403959,26.52933833,37.86173633,41.28440367,2321.027109,1519.891661,1326.092838,1514.066361,497.1567478,323.271451,12683,8636,1602,1244,763,6528
F08,Orc1.3,F08,Sample,99.31972789,71.22362869,68.5203575,64.62585034,40.67510549,33.16782522,10528.73479,2094.426386,1618.803046,683.8394301,258.3934992,156.2207197,137.3005388,360.8901139,288.7761611,29.40287226,36.54008439,38.53028798,2184.983031,2073.98382,1352.992747,1411.000835,511.619042,307.9082587,13796,9370,1323,1185,1007,7343
F09,Nsd1.3,F09,Sample,97.86324786,64.06966086,71.21513944,47.97008547,32.53895509,35.75697211,10291.25746,1575.758809,1815.254544,258.1347768,180.4698507,236.2546863,316.4818673,534.9520196,235.3263816,36.85897436,41.15490376,41.03585657,2055.44269,1537.950884,1282.391,1362.267129,464.0435293,309.2362161,12108,8107,936,1091,1004,6034
F10,Ncoa3.4,F10,Sample,97.6845152,66.25615764,63.60211002,56.58465991,33.86699507,34.21250942,8815.195645,1443.337389,1359.202487,431.5658546,169.9555817,180.7797028,167.1575711,376.3260025,233.9117671,29.52243126,37.56157635,40.46721929,2031.746625,1480.434052,1247.218549,1505.661148,444.1830584,308.8471012,12349,8267,691,812,1327,5928
F11,Paxip1.4,F11,Sample,98.55967078,73.81404175,63.28502415,56.46090535,36.62239089,28.18035427,8442.90874,2191.449914,1352.268888,407.010143,213.1825475,138.3270991,126.3072635,248.759509,309.5209735,29.75308642,40.13282732,37.52012882,1743.245437,1429.117116,1227.667224,1545.884857,544.6718939,293.0788191,15195,10046,2430,2108,621,7434
G02,Padi6.4,G02,Sample,98.57054071,70.86811352,65.2173913,57.36482287,43.57262104,36.48393195,9869.872696,1782.174733,1252.932225,490.5241598,304.0408887,245.9096284,151.2016642,284.5554328,204.9611376,40.6463642,43.65609349,41.02079395,1657.631034,1507.708931,1005.004236,1398.218173,523.0166368,308.41775,11948,8557,1609,1198,529,5981
G03,Nsd1.4,G03,Sample,99.03225806,64.17445483,64.64263125,51.93548387,35.82554517,31.30929791,9590.629321,1867.589703,1335.458732,389.2768398,175.784669,157.2666712,171.7956638,459.1408369,232.9282186,30.64516129,38.62928349,33.0170778,1984.577666,1407.066922,941.5465183,1169.699613,413.1415919,292.3557526,14500,10179,310,321,1581,6934
G04,Nap1l3.4,G04,Sample,98.691301,78.69535045,72.15332582,58.04464973,52.39417071,37.76775648,9112.704278,2713.730659,2024.455251,458.8100724,432.1012128,184.373266,180.3865062,336.0165167,316.8719462,45.61200924,48.50798057,37.54227734,2049.069208,1803.635296,1339.905773,1691.505547,719.7261984,363.9178412,17361,11589,2598,1441,887,9000
G05,Pcgf1.4,G05,Sample,97.56944444,69.88144825,70.04754358,73.61111111,53.54053188,46.11727417,8090.7633,1733.104277,1490.779235,1129.175683,513.814584,300.620643,163.8401632,316.0224941,230.0826737,22.24702381,30.43896187,32.17115689,2103.767401,1429.870507,1223.836804,1337.316189,584.9529777,310.6725171,20719,13854,4032,3121,631,10045
G06,Pbrm1.4,G06,Sample,97.25239617,66.73631425,68.41004184,50.95846645,36.43961555,30.64853556,8244.897429,1580.598695,1472.650799,316.0084641,220.5929103,158.5784215,250.3521001,483.2804996,299.8616185,36.80511182,44.58838278,39.53974895,1883.568637,1299.173024,1107.09685,1372.525412,509.3538245,321.5213194,20588,13827,3130,2393,956,10146
G07,Ncor1.4,G07,Sample,98.02858551,60.47183438,65.2027027,55.54460325,41.93548387,49.88738739,9002.89627,1249.845323,1429.362232,450.2190827,310.9486538,481.0498771,361.4764472,625.4321376,280.08392,13.79990143,22.14732788,20.60810811,2031.797065,1348.102105,1151.475246,1105.849789,391.6091699,278.4371511,16779,10936,2029,2077,888,7602
G08,Ncoa1.4,G08,Sample,98.34384858,69.32330827,68.42105263,56.46687697,43.0075188,37.26315789,8945.030406,1796.000166,1584.918482,373.8823566,265.5479938,195.538761,173.5280462,329.5032285,259.7657175,33.59621451,42.78195489,42.45614035,1959.600245,1388.198677,1259.11286,1532.274276,458.8699141,313.7486415,16806,11325,1268,1330,1425,8444
G09,Padi1.4,G09,Sample,98.61707201,67.4676525,67.93248945,53.79113019,35.30499076,34.93670886,10202.65368,1880.821326,1701.97233,352.6069423,201.9970986,216.8035323,172.1692127,410.6628755,323.5065001,28.37386743,38.81700555,36.28691983,1906.774348,1266.522204,1171.753206,1127.009047,402.3248439,333.0060962,18329,12411,2097,1623,1185,9380
G10,Ncor2.4,G10,Sample,98.42931937,71.42857143,62.74414063,48.42931937,32.91925466,33.83789063,7599.184093,1651.889405,1189.236486,190.8351859,170.2933829,175.8798155,182.5045473,290.4617501,272.3166999,30.36649215,33.85093168,35.88867188,2102.107934,1162.795299,1116.662239,1182.982534,348.9611004,346.2712053,18508,12297,382,322,2048,9032
G11,Orc1.4,G11,Sample,95.28985507,65.29318542,65.17150396,56.06884058,43.89857369,35.53210202,5555.784917,1406.285558,1554.930418,437.1792778,286.8730237,176.1881675,259.9922111,374.9591184,298.1906612,41.21376812,45.48335975,37.90677221,1828.944626,1231.315634,1158.904264,1246.773512,498.6926015,377.7074746,15324,10191,1104,1262,1137,7414
