shRNA,Q1,Q2,Q3,Q4,exp
Brpf3.4,28.64464921,3102.210247,15161.37356,-1439.28433,P1-7_rep1
Brwd1.1,-13217.63798,23171.72775,-12292481.82,10321.20686,P1-7_rep1
Brwd1.2,-3757.417832,-3871.081738,-1971.58963,-2790.086129,P1-7_rep1
Brwd1.3,-5654.020635,-6543.564139,9461.124419,17230.3607,P1-7_rep1
Brwd1.4,1666.354121,-847.6526399,-257.1438013,4409.441446,P1-7_rep1
Brwd3.1,24670.58868,22446.78897,-476246.7252,10766.46564,P1-7_rep1
Brwd3.2,34947.47222,1568.248425,227486.415,-20503.52751,P1-7_rep1
Brwd3.3,-4820.253756,-3789.727108,-10262.08751,-8125.423115,P1-7_rep1
CD4.1,-25847.8346,-26009.50786,338445.5165,-23136.53844,P1-7_rep1
CD4.2,-31.34241557,82.93727333,-2400.116643,-28.02193698,P1-7_rep1
CD4.3,-19682.62665,-20504.17303,-76879.01854,-20480.24756,P1-7_rep1
CD4.4,23661.61634,24792.99103,264223.781,54112.48607,P1-7_rep1
CDK9.1,-61617.50569,260109.3646,25195499.06,-51015.86689,P1-7_rep1
CDK9.2,-21258.01672,-29225.92572,-8521.4688,-23816.1758,P1-7_rep1
CDK9.3,31063.57753,-9585.433237,1106695.72,4133.397413,P1-7_rep1
Carm1.1,-1486.671771,1106.601445,7476.939604,-1820.933429,P1-7_rep1
Carm1.2,2358.926803,738.9897968,164191.6599,16827.69392,P1-7_rep1
Carm1.3,16666.27062,1977.259082,-887.9403036,-746.4628441,P1-7_rep1
Carm1.4,-7043.646348,-11833.93722,-4209.929459,-11745.79882,P1-7_rep1
Cbx1.1,2537.155103,9548.295805,23050.09531,-6371.901516,P1-7_rep1
Cbx1.2,7758.897076,3879.162317,82913.73229,-10676.79756,P1-7_rep1
Cbx1.3,-4118.697967,10660.40319,261.2922597,-1610.544876,P1-7_rep1
Cbx1.4,9262.211739,13703.21323,101867.9677,-6915.06618,P1-7_rep1
Cbx2.1,-6859.671256,-7634.730709,-8465.154182,-6838.453942,P1-7_rep1
Cbx2.2,14119.67263,-11531.76032,99025.54183,-8676.605397,P1-7_rep1
Cbx2.3,-1834.673777,-1428.89805,-75.52026984,-1825.614912,P1-7_rep1
Cbx3.1,74869.41092,116686.4785,933527.4359,69435.12786,P1-7_rep1
