gene_name,gene_name2,interation,source_appearance,source_appearance_sqrt
SMARCB1,SMARCD1,pp,39,6.244997998398398
TRIM33,UBE2E1,pp,10,3.1622776601683795
USP22,USP27X,pp,6,2.449489742783178
EED,SMARCA1,pp,87,9.327379053088816
DPY30,KMT2C,pp,16,4.0
RNF2,UBE2E1,pp,74,8.602325267042627
SMARCB1,SMARCD3,pp,39,6.244997998398398
CHD4,PAF1,pp,60,7.745966692414834
CXXC1,WDR5,pp,16,4.0
SUPT16,UHRF1,pp,2,1.4142135623730951
BAZ1A,MECP2,pp,13,3.605551275463989
BRPF1,ING4,pp,6,2.449489742783178
BRCA1,WDR5,pp,56,7.483314773547883
HDAC1,MECP2,pp,91,9.539392014169456
NAP1L1,SSRP1,pp,9,3.0
SUV39H1,UHRF1,pp,29,5.385164807134504
HDAC11,POLR2B,pp,6,2.449489742783178
SMARCA4,SMARCD3,pp,60,7.745966692414834
GADD45A,ING4,pp,6,2.449489742783178
PAF1,SSRP1,pp,21,4.58257569495584
EED,SMARCA4,pp,87,9.327379053088816
EP400,HCFC1,pp,23,4.795831523312719
ING2,PRMT5,pp,14,3.7416573867739413
BAZ1B,EED,pp,15,3.872983346207417
RPA3,SMARCC2,pp,14,3.7416573867739413
SIRT3,SIRT5,pp,2,1.4142135623730951
CBX4,PCGF2,pp,26,5.0990195135927845
HDAC1,ING2,pp,91,9.539392014169456
KAT2A,PPARGC1A,pp,9,3.0
CBX8,PAXIP1,pp,26,5.0990195135927845
EP300,NCOA1,pp,58,7.615773105863909
SMARCD1,SUZ12,pp,30,5.477225575051661
EED,RNF2,pp,87,9.327379053088816
BAZ1A,BAZ1B,pp,13,3.605551275463989
EZH2,KMT2C,pp,105,10.246950765959598
EP300,MECP2,pp,58,7.615773105863909
HDAC3,HDAC7,pp,31,5.5677643628300215
ASH2L,KMT2C,pp,27,5.196152422706632
KMT2B,WDR5,pp,6,2.449489742783178
CREBBP,KMT2A,pp,38,6.164414002968976
KDM3B,SMYD3,pp,3,1.7320508075688772
DPY30,SETD7,pp,16,4.0
