,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 5,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:25:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
D10,Dub2a.3,D10,Sample,14991,1778,1632,2946,5387.058177,3659.14891,3317.531551,2607.584991,9344.034339,8491.859409,2296.171623,16.4791901,33.02696078,32.41683639,19.16964925,98.52959691,30.27107282,27.16388553,112.9840142,13.3295838,4.411764706,1.56143924,14.60272011,1.293588301,0.857843137,0.441276307,1.002147459,53.22630751,79.82554986,67.79724793,50.18506524
D11,Fbxo44.2,D11,Sample,18981,4041,3302,2576,4639.305616,2869.817443,3220.064307,3198.752251,9828.241893,8273.962157,2522.481029,19.72284088,36.43246517,36.84006211,23.37459098,63.70470375,20.70891638,17.55231607,92.95870903,9.849047266,2.816474864,2.01863354,14.35481576,0.569166048,0.635978195,0.349378882,0.981647461,42.90690122,60.4278524,57.74884654,42.0197269
E02,Ep300.2,E02,Sample,16285,1197,1385,3706,1998.855571,1321.616789,3411.714624,1702.517129,6312.351381,8845.625636,2613.425015,17.20969089,30.10830325,34.18780356,20.33857606,186.1432049,25.88555639,21.49102543,110.4486919,23.1411863,4.76534296,1.888828926,16.56861568,1.169590643,1.371841155,0.377765785,1.332693,28.18548249,42.17291605,55.16017438,38.12111493
E03,Ep400.2,E03,Sample,15588,181,215,5477,5911.221075,4494.987839,4249.486733,4292.490822,19929.88271,14370.08726,4069.15321,17.67955801,40.46511628,33.74109914,17.49235474,160.8758164,38.08457718,30.277039,156.8458997,16.57458564,6.511627907,2.848274603,19.47400612,0.552486188,0.930232558,0.273872558,1.296636086,64.83191385,114.6871508,83.62796749,57.71599565
E04,Dub2a.4,E04,Sample,15062,756,1141,4375,4296.62954,3056.358411,3389.670689,2337.720333,8752.136493,8018.069625,2146.320877,13.0952381,31.63891323,32,19.08506076,120.8346822,22.57817301,21.95630731,127.0474745,18.65079365,4.206836109,2.011428571,18.08434596,1.587301587,0.701139351,0.274285714,1.200857756,41.03080022,58.53674832,63.23129712,39.96570248
E05,Ezh1.3,E05,Sample,14140,638,921,4499,4501.788912,3001.8119,3384.256986,3101.603509,8599.569347,7882.91625,2338.870697,20.84639498,33.5504886,34.74105357,20.14787431,226.6006015,27.00539314,23.13321538,151.8658691,31.81818182,4.994571118,2.156034674,19.70117067,1.724137931,0.868621064,0.355634585,1.109057301,55.54798489,99.57420397,62.73158929,40.77911304
E06,Epc2.3,E06,Sample,16366,3584,4260,2223,4869.346168,2931.809393,3409.747277,1797.947051,8232.003283,7962.311415,2333.243095,17.52232143,33.5915493,36.84210526,21.95175924,156.090433,25.05833354,25.15221508,153.9260118,22.87946429,3.544600939,1.30454341,20.57977429,2.260044643,0.44600939,0.224921278,0.97366674,47.45200766,67.0241073,58.18958463,39.60049855
E07,Elp3.2,E07,Sample,14797,1252,1817,3682,4915.725747,3029.845603,3365.456485,3060.070427,8668.02305,7491.544072,2155.018922,20.92651757,32.14089158,36.93644758,20.71394269,103.3795245,22.23330133,25.63439852,130.1329816,15.89456869,3.742432581,2.118413905,16.80806787,0.878594249,0.605393506,0.244432374,0.896430287,42.73435484,61.75334712,57.56956731,40.31269186
E08,Eed.3,E08,Sample,15638,1850,2138,3734,6484.379878,4190.772409,3212.255296,2441.667935,9844.041727,7692.041377,2244.733857,25.72972973,38.3536015,39.68934119,24.89742327,82.8550805,29.54510226,25.72152361,135.7752685,11.51351351,4.209541628,1.821103374,17.7909076,2,1.824134705,0.348152116,0.705727884,55.67202784,93.24182431,61.76633347,43.19205615
E09,Ezh2.3,E09,Sample,15221,2398,2582,2988,6128.975483,4445.27195,3375.011286,2110.899651,8983.61997,8078.98678,2166.438416,29.81651376,40.24012393,39.72556894,25.3223311,78.85533366,27.01091778,28.07009066,131.3667325,11.05087573,3.098373354,1.506024096,16.86436307,1.000834028,0.542215337,0.267737617,0.739212653,40.06890989,71.29930899,65.25156341,46.0281738
E10,Ercc5.3,E10,Sample,16794,1512,1886,4073,4798.521574,2931.006314,3459.681461,2876.307172,8319.693323,7760.989974,2213.789212,19.57671958,35.84305408,38.98846059,23.9273493,78.50683095,26.81613738,25.43162356,106.7095912,12.16931217,2.757158006,2.11146575,14.72755988,0.925925926,0.636267232,0.540142401,0.868649645,54.00505887,82.49647048,65.63643884,46.06519484
E11,Elp4.3,E11,Sample,19881,3424,2830,3002,5121.063289,3393.668242,3387.792872,3219.377933,9262.312844,8612.917377,2478.410578,26.5771028,39.3639576,39.90672885,28.59811031,89.70740682,33.66283385,26.66628637,106.3824412,12.00350467,2.862190813,1.232511659,13.08503626,0.58411215,0.424028269,0.299800133,0.648209185,51.09969407,77.77018811,63.74370525,45.34401934
