Well,shRNA,GeoMean Alexa 700-A of Amet+GFP+_CD44,GeoMean PerCP-Cy5-5-A of Amet+GFP+_CD25,Amet+GFP+CD62L as % of Amet+GFP+,GeoMean PE-Cy7-A of Amet+GFP+_CXCR3_CD127,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-A of Amet+GFP+_CD127
C09,Brd8.4,1320.716937,5679.199125,32.05474171,22.29410244,3.180416345,0.693909021,38.55828911
C10,shCd4.2,936.1829354,6009.128134,40.53318825,21.39729269,3.509249184,0.979325354,43.72183723
C11,shCd4.2,2074.207306,3236.733973,17.67483033,493.4573663,42.26910593,5.237533196,50.30610989
D02,Ncor1.1,1220.56128,8656.26491,48.65979381,19.94311862,2.164948454,0.463917526,39.5556193
D03,Ncor1.2,535.7568631,8651.398001,22.22222222,13.69449177,0,0,90.13868035
D04,Ncor1.3,1145.348962,9671.674118,51.094196,21.89692227,1.950523311,0.618458611,44.53307564
D05,Ncor1.4,1409.995814,5675.831149,47.56918474,24.16323029,3.25355273,0.373971578,29.72567272
D06,Cxxcl.1,954.6561778,3909.664809,16.87898089,31.57967316,3.702229299,2.906050955,55.20182756
D07,Cxxcl.2,1256.171525,1809.343641,33.70629371,44.50245713,7.307692308,3.776223776,40.20247572
D08,Cxxcl.3,1059.495677,4210.195871,34.60534899,25.38369044,2.120026093,0.684931507,45.14099092
D09,Cxxcl.4,716.159881,2216.052567,29.02628656,31.47179629,2.44353943,0.851536468,36.98815097
D10,shCd4.3,1883.730577,5078.221947,29.71602434,22.18405219,2.535496957,0.527383367,44.61438379
D11,shCd4.3,2800.486609,1999.700943,14.45783133,171.1110167,19.27710843,1.53471027,36.78684557
E02,Smarca4.1,1172.369989,3039.70025,27.63234439,45.28371075,6.573589296,0.756253636,69.35330725
E03,Smarca4.2,1158.683131,4981.667242,33.64537445,29.28529971,4.735682819,0.385462555,103.0993093
E04,Smarca4.3,1201.651225,4733.012984,33.71294852,25.0085737,3.229329173,0.296411856,60.85175969
E05,Smarca4.4,1636.31165,4646.547181,30.64476587,23.39512777,2.353518019,0.318705565,60.45573365
E06,Klf2.1,1530.788719,7276.669355,38.0740233,24.63999185,2.947224126,0.651130912,44.62478846
E07,Klf2.2,1702.228871,6108.503006,39.47617545,23.99339057,3.502682234,0.504891133,54.82991303
E08,Klf2.3,1882.485884,7088.16514,42.12046205,20.58138489,2.681518152,0.247524752,45.59846954
E09,Klf2.4,1874.295163,5709.437796,37.1556022,20.41811284,3.122540016,0.446077145,48.88442907
E10,shCd4.4,1352.162259,6557.160738,28.66716307,21.78055372,3.983618764,0.670141474,43.42804579
E11,shCd4.4,2516.759551,3815.019387,15.72096807,234.0372637,25.09660362,1.749033964,40.12218291
F02,Runx3.1,1083.620389,4689.388645,34.69506292,33.58467355,3.910939013,0.271055179,30.05556649
F03,Runx3.2,3286.615443,3096.444392,21.16814159,102.9049913,13.38053097,0.637168142,53.80977958
F04,Runx3.3,2581.77981,2941.971205,25.45779366,95.7283961,14.60473426,0.75926753,48.09410638
F05,empty,1887.258168,6690.879105,33.33333333,44.85131527,8.333333333,0,116.9497129
F06,Sp140.1,1808.287059,6644.18608,41.33301931,26.71676034,2.472915685,0.588789449,45.39349978
F07,Sp140.2,2092.434673,5486.43887,44.01147502,22.92327386,2.103753287,0.525938322,46.1350369
F08,Sp140.3,1433.720805,6593.323869,40.17173358,23.06086669,2.1118589,0.324901369,32.37440209
F09,Sp140.4,1727.852616,4007.319151,37.07331552,26.69851319,3.502523004,0.801424755,47.35255838
F10,empty,500.0626253,4559.579787,42.85714286,37.55035311,0,0,43.38076612
F11,empty,1508.405591,2857.095783,50,105.6766673,0,0,70.1969236
G02,Smarce1.1,1295.884528,6740.720947,44.47202166,23.25297535,2.910649819,0.631768953,46.33291997
G03,Smarce1.2,824.8954647,5791.938014,39.1990646,29.74240621,2.776965799,0.964630225,125.8012153
G04,Smarce1.3,682.8998424,6019.024969,43.60632184,20.47424421,2.538314176,0.574712644,114.2094097
G05,Smarce1.4,1017.635694,4879.182789,38.8230222,29.93574527,3.255011856,0.344901919,65.53208586
G06,Wdr82.1,856.0694651,3118.596117,25.81721147,30.21750566,2.535023349,0.667111408,55.77834207
G07,Wdr82.2,848.5777931,2371.880071,23.93693263,24.80265817,1.815575729,0.71667463,42.16197473
G08,Wdr82.3,1439.409992,5085.44544,33.79483952,29.24784649,3.083700441,0.692259283,54.61526137
G09,Wdr82.4,1008.058878,1767.782934,23.13386798,24.65579478,2.776064158,0.493522517,40.94166074
G10,empty,1402.012134,5143.723005,16.66666667,35.64771897,0,0,112.7344937
G11,empty,2590.853271,4897.955078,100,3958.478271,100,0,186.1967163
