source,target,color,edge
ARID1B,HDAC3,3,pp
ARID1A,HDAC1,5,pp
ARID1A,HDAC2,5,pp
ARID1A,SIN3A,5,pp
NCOR2,NCOA3,2,pp
NCOA3,NCOR2,5,pp
PHF8,HCFC1,6,pp
HDAC1,PARP1,2,pp
HDAC2,PARP1,2,pp
FOSB,HDAC2,5,pp
CHD4,ATM,5,pp
ATM,CHD4,1,pp
CHAF1A,PAF1,4,pp
AFF1,AFF4,4,pp
KMT2A,AFF1,4,pp
KMT2A,AFF4,4,pp
AFF1,AFF1,4,pp
KMT2A,PAF1,4,pp
CARM1,WDR5,1,pp
DNMT3B,DNMT3A,5,pp
DNMT3B,CBX1,5,pp
DNMT3B,CBX3,5,pp
SMARCA4,CBX5,6,pp
KMT2A,DOT1L,4,pp
DNMT3B,PCGF2,5,pp
SIRT4,SIRT3,6,pp
SIRT5,SIRT3,6,pp
KMT2D,MEN1,4,pp
UHRF1,UHRF1,4,pp
BCL6,SMARCA4,3,pp
BCL6,KMT2B,3,pp
BCL6,ZMYND8,3,pp
BCL6,ERCC5,3,pp
ARID1B,SMARCA1,3,pp
ARID1B,PRMT5,3,pp
TBX21,SMARCA4,3,pp
KDM6B,SMARCA4,6,pp
SMARCA4,KDM6B,6,pp
KDM6B,SMARCC1,6,pp
CHD7,SMARCA4,3,pp
CHD7,SMARCC1,3,pp
CHD7,SMARCE1,3,pp
CHD7,BRD7,3,pp
CHD7,ARID2,3,pp
ARID2,SMARCC1,5,pp
ARID2,SMARCD1,5,pp
ARID2,SMARCE1,5,pp
ARID2,SMARCA4,5,pp
NCOA3,NFATC3,5,pp
AFF1,KMT2A,4,pp
AFF1,BRD4,4,pp
AFF1,DOT1L,4,pp
NSD1,AFF1,6,pp
CARM1,AFF1,1,pp
DOT1L,AFF1,3,pp
ASH2L,KMT2D,2,pp
GTF2H1,ERCC5,4,pp
UBE2A,RNF20,6,pp
UBE2B,RNF20,1,pp
RNF20,RNF20,1,pp
AFF4,AFF1,3,pp
KMT2A,SIN3A,4,pp
AFF4,KMT2A,3,pp
BRD4,CHD4,5,pp
BRD4,BRD2,5,pp
BRD4,SMARCA4,5,pp
BRD4,SIRT5,5,pp
CHD4,BRD4,5,pp
CHD4,CHD5,5,pp
BRDT,SMARCE1,2,pp
SMARCE1,BRDT,6,pp
CHD7,ARID1A,3,pp
SMARCA5,CECR2,5,pp
MECP2,PRMT6,4,pp
PRMT6,MECP2,4,pp
PHF8,TAF1,6,pp
ASH2L,KMT2B,2,pp
SMARCE1,ARID1B,6,pp
SMARCE1,SMARCD2,6,pp
SMARCE1,SMARCD3,6,pp
SMARCD1,ARID1A,2,pp
SMARCD1,ARID1B,2,pp
SMARCD1,ARID2,2,pp
SMARCD1,BRD7,2,pp
SMARCD1,SMARCD2,2,pp
SMARCD1,SMARCE1,2,pp
WDR5,HCFC1,4,pp
WDR5,KMT2B,4,pp
BRD7,TRIM24,4,pp
TRIM24,BRD7,1,pp
