gene_name,gene_name2,cluster,interation
ARID1A,CHAF1A,5,pp
MBD2,PHF20L1,4,pp
RBBP7,SIN3B,1,pp
CBX4,SUV39H1,1,pp
RBBP7,SIRT7,1,pp
PARP1,RPA3,5,pp
ATM,HDAC1,1,pp
DNMT3A,DNMT3B,3,pp
CHD4,HDAC1,5,pp
PCGF5,UBE2E1,5,pp
POLR2B,ZMYND8,5,pp
SMARCA5,SMARCC1,5,pp
RING1,UBE2E1,6,pp
CBX3,SUV39H1,2,pp
EP400,HDAC1,2,pp
ID2,PRMT5,6,pp
PHC1,RING1,6,pp
CHD4,SMARCE1,5,pp
NSD1,SIRT7,6,pp
HIRA,SMARCC1,1,pp
DNMT1,SIRT7,4,pp
ATM,ATM,1,pp
BCL6,KMT2B,3,pp
RNF20,RNF20,1,pp
CBX4,PCGF6,1,pp
PARP1,PARP1,5,pp
BAZ1B,CHD4,1,pp
SMARCC1,SMARCE1,6,pp
CBX4,PARP1,1,pp
PHF8,TAF1,6,pp
HDAC1,SIRT6,2,pp
CHAF1A,SMARCA5,4,pp
FKBP5,SGK1,2,pp
BRD2,BRD2,2,pp
ARID1A,HDAC2,5,pp
MBD2,PAF1,4,pp
KDM3A,KDM6B,4,pp
EHMT2,SUV39H1,1,pp
CBX3,PCGF6,2,pp
CHAF1A,SIN3A,4,pp
MECP2,SMARCE1,4,pp
CBX6,RING1,5,pp
CBX3,CHD4,2,pp
BRD1,ING4,1,pp
NCOR1,SMARCD1,2,pp
ARID2,CHD7,5,pp
HDAC1,SMARCE1,2,pp
KDM6B,KDM6B,6,pp
EP400,EPC2,2,pp
BRD1,DNMT1,1,pp
PCGF6,RING1,1,pp
CBX4,PCGF5,1,pp
HCFC1,MEN1,6,pp
SMARCA5,UHRF1,5,pp
HDAC1,SIN3A,2,pp
DNMT1,SMARCA5,4,pp
DNMT3B,PCGF2,5,pp
HDAC3,SMARCA4,4,pp
HCFC1,HCFC1,6,pp
DNMT3B,PAF1,5,pp
SMARCA4,SMARCE1,6,pp
PRMT5,UHRF1,4,pp
CBX4,KMT2A,1,pp
HDAC1,UHRF1,2,pp
ASH2L,CHD7,2,pp
CBX4,PHC3,1,pp
HDAC3,SIRT6,4,pp
RING1,RING1,6,pp
CBX3,RING1,2,pp
HDAC1,TET2,2,pp
HDAC1,HDAC1,2,pp
SMARCA4,SMARCA4,6,pp
ATM,CHD4,1,pp
HDAC1,SMARCC1,2,pp
HDAC1,ZMYND8,2,pp
NAP1L1,NAP1L2,4,pp
CHD4,CHD5,5,pp
DOT1L,KMT2A,3,pp
PARP1,TAF1,5,pp
CBX5,MECP2,5,pp
EHMT2,WDR5,1,pp
PHC2,PHC3,3,pp
RBBP7,ZMYND8,1,pp
NCOR1,SMARCA4,2,pp
BCL6,HDAC3,3,pp
SMARCA4,SMARCD2,6,pp
CHD7,SIRT7,3,pp
ARID1A,RBBP7,5,pp
CBX1,CHD1L,1,pp
BPTF,SMARCD2,1,pp
CHD4,ZMYND8,5,pp
CHD4,EHMT2,5,pp
RPA3,SMARCA5,6,pp
BRD4,PRMT5,5,pp
NCOR1,NCOR2,2,pp
EHMT2,HDAC1,1,pp
CHD5,RBBP7,3,pp
CHD4,IWS1,5,pp
EP400,ZMYND11,2,pp
HDAC3,KDM4A,4,pp
NCOA3,NCOR2,5,pp
HDAC2,SMARCA4,2,pp
PCGF5,PRMT6,5,pp
KMT2D,MEN1,4,pp
BRD4,BRD4,5,pp
KDM6B,WDR5,6,pp
RBBP7,SUV39H1,1,pp
HDAC1,KDM4A,2,pp
INO80,MEN1,3,pp
CHD4,RBBP7,5,pp
ARID1A,HDAC1,5,pp
KMT2A,MEN1,4,pp
HDAC1,RING1,2,pp
MECP2,SIN3A,4,pp
CHD7,SMARCE1,3,pp
HDAC10,HDAC2,6,pp
DNMT3A,PRMT5,3,pp
CHD1L,PARP1,5,pp
HDAC1,NCOR2,2,pp
BPTF,NCOR1,1,pp
CHAF1A,WDR5,4,pp
CBX5,SMARCA4,5,pp
DNMT3A,PAF1,3,pp
MBD2,RBBP7,4,pp
SIN3B,SMARCE1,6,pp
HDAC1,ZMYND11,2,pp
ARID1A,CARM1,5,pp
ASH2L,KDM6B,2,pp
MBD2,ZMYND8,4,pp
PAF1,PHC3,4,pp
BRD7,SMARCA4,4,pp
BCL6,ZMYND8,3,pp
ING4,ING4,1,pp
CHD4,KMT2A,5,pp
CHD7,SMARCC1,3,pp
MECOM,SUV39H1,6,pp
ING4,SUV39H1,1,pp
CBX5,DNMT1,5,pp
PRMT5,SIRT6,4,pp
ARID1A,ARID1B,5,pp
HDAC2,RBBP7,2,pp
CARM1,NCOA3,1,pp
CBX1,CHD4,1,pp
BPTF,SMARCA1,1,pp
MEN1,WDR5,5,pp
UBE2A,UBE2B,6,pp
HIRA,SMARCA4,1,pp
HCFC1,SIN3A,6,pp
CHD4,SUV39H1,5,pp
CHD4,PARP1,5,pp
DNMT1,RBBP7,4,pp
HDAC1,PRDM5,2,pp
SMARCC1,SMARCD2,6,pp
CBX3,EHMT2,2,pp
SIRT6,SMARCA5,5,pp
ASXL1,HCFC1,1,pp
BRD1,CHD4,1,pp
EPC1,ING3,5,pp
BCL6,TBX21,3,pp
TRIM33,TRIM33,1,pp
CHD4,H2AFZ,5,pp
PAF1,PHC1,4,pp
EP400,HDAC2,2,pp
CHD4,SIRT7,5,pp
CBX1,DNMT1,1,pp
BOP1,BOP1,3,pp
EHMT2,PRDM5,1,pp
ARID1A,SMARCD2,5,pp
MECP2,NSD1,4,pp
CHD1L,RPA3,5,pp
SMARCA1,SMARCA5,6,pp
ACTL6B,EP400,4,pp
ARID1A,CHD4,5,pp
EHMT2,UHRF1,1,pp
DNMT1,HDAC1,4,pp
HDAC10,NCOR2,6,pp
HDAC2,PHF20L1,2,pp
BRD1,ING5,1,pp
CBX1,RING1,1,pp
HDAC2,PRDM6,2,pp
CHAF1A,CHD4,4,pp
CHD5,HDAC1,3,pp
HDAC1,MBD2,2,pp
DNMT3B,EHMT2,5,pp
H2AFZ,ING3,3,pp
PCGF5,PCGF5,5,pp
BRD2,POLR2B,2,pp
BRD2,BRD7,2,pp
CBX7,PHC1,1,pp
CBX6,PCGF2,5,pp
KDM6B,KMT2A,6,pp
NCOR1,ZMYND11,2,pp
HDAC1,PRMT5,2,pp
ARID1B,SMARCD2,3,pp
HCFC1,RBBP7,6,pp
CBX6,PHC2,5,pp
HDAC1,SIN3B,2,pp
CHD4,HDAC2,5,pp
TRIM24,TRIM24,1,pp
EP400,ING3,2,pp
AFF1,KMT2A,4,pp
BRD4,KDM3A,5,pp
HDAC2,WDR5,2,pp
PARP1,SMARCA1,5,pp
CBX1,CHAF1B,1,pp
ARID1B,SMARCA1,3,pp
HDAC1,SMARCA5,2,pp
ARID1B,KDM4A,3,pp
KMT2A,TAF1,4,pp
BCL6,SMARCA4,3,pp
EHMT2,EHMT2,1,pp
ARID1A,SMARCC1,5,pp
HDAC3,MBD1,4,pp
CARM1,DOT1L,1,pp
PARP1,PRKAA1,5,pp
EHMT2,HDAC2,1,pp
CBX4,KDM3A,1,pp
KDM2B,RING1,6,pp
FOSB,HDAC2,5,pp
CBX3,KDM6B,2,pp
ATM,UHRF1,1,pp
BPTF,SIRT7,1,pp
PHF1,RBBP7,5,pp
BRD4,KMT2A,5,pp
UBE2E1,UBE2E1,4,pp
ID2,UBE2E1,6,pp
NAP1L1,NAP1L1,4,pp
CBX6,DNMT1,5,pp
ING5,PRMT5,3,pp
BRD7,SMARCC1,4,pp
HDAC1,SMARCA4,2,pp
ATAD2,NCOA3,3,pp
UBE2B,UBE2B,1,pp
CHD7,WDR5,3,pp
ARID1A,SIRT7,5,pp
DNMT1,PARP1,4,pp
CHD4,SMARCA4,5,pp
FBXL19,RNF20,6,pp
CBX5,CHAF1B,5,pp
HCFC1,PHF8,6,pp
ATM,RNF20,1,pp
ARID1A,SMARCD3,5,pp
DNMT3B,UHRF1,5,pp
ELP4,ID2,3,pp
CBX3,HDAC2,2,pp
CHD4,CHD4,5,pp
PHF20L1,RBBP7,6,pp
HDAC2,PHC2,2,pp
ARID2,SMARCC1,5,pp
ATRX,CBX5,1,pp
CBX3,UHRF1,2,pp
MBD2,SIN3A,4,pp
CHAF1A,CHAF1B,4,pp
PRMT5,SMARCA4,4,pp
RBBP7,SIN3A,1,pp
ARID1B,SMARCC1,3,pp
PRDM14,PRDM6,6,pp
SMARCA1,SMARCA4,6,pp
HDAC2,SMARCA5,2,pp
ATM,SIRT7,1,pp
CBX4,CBX4,1,pp
PRMT5,PRMT6,4,pp
SMARCC1,SMARCC1,6,pp
AFF1,CARM1,4,pp
PHC1,PHC2,6,pp
PHC2,PRKAA1,3,pp
PCGF2,RING1,6,pp
SIRT7,SMARCA4,3,pp
EPC1,PHC2,5,pp
CBX4,RING1,1,pp
SMARCA1,SMARCC1,6,pp
RNF20,UBE2E1,1,pp
HDAC1,MECOM,2,pp
MEN1,POLR2B,5,pp
ACTL6B,ATM,4,pp
HDAC1,SMARCD1,2,pp
CBX4,CBX6,1,pp
ARID1B,SMARCD1,3,pp
CBX1,EHMT2,1,pp
HDAC2,SIRT6,2,pp
KMT2A,SIRT7,4,pp
KMT2A,PAF1,4,pp
PAF1,UBE2E1,4,pp
KDM4A,PRMT5,5,pp
CECR2,SMARCA5,3,pp
AFF1,BRD4,4,pp
TAF1,TAF1,6,pp
BRD2,CHD4,2,pp
HAT1,RBBP7,6,pp
KMT2A,SIN3A,4,pp
SIN3A,SMARCA5,5,pp
CBX5,CBX5,5,pp
PRMT5,SIRT7,4,pp
NCOR1,SMARCE1,2,pp
AFF1,DOT1L,4,pp
BRD7,CHD7,4,pp
