"Position","Pool","shRNA","Percentage","precentile","z"
"5_B02",1,"Dub2a.1",43.20987654,41.9051567725107,-0.204320392161965
"5_B03",1,"Epc1.1",44.85849057,46.5603896007778,-0.086325344075036
"5_B04",1,"Epc2.1",44.39112178,45.233030141998,-0.119775989190788
"5_B05",1,"Ep400.1",33.56445005,18.5482974195143,-0.894665458864138
"5_B06",1,"Ehmt1.1",42.22048475,39.1606872791376,-0.275133408255164
"5_B07",1,"Fbxo44.1",45.39223153,48.0808593166397,-0.0481242921034213
"5_B08",1,"Ezh1.1",33.33333333,18.1093156359504,-0.911207007094256
"5_B09",1,"Elp4.1",35.50583658,22.4909738975168,-0.755716018428607
"5_B10",1,"Eed.1",41.55982906,37.3568011387146,-0.322418035518983
"5_B11",1,"Ezh2.1",33.78995434,18.9829274311566,-0.878525604987995
"5_C02",1,"Ezh1.2",52.11106885,66.7404758349248,0.432758145043892
"5_C03",1,"Ehmt2.1",43.92470051,43.9136516397113,-0.153158818149496
"5_C04",1,"Dub2a.2",50.36231884,62.0805170214673,0.307596137583621
"5_C05",1,"Ezh2.2",42.5767648,40.1435341922458,-0.249633636406101
"5_C06",1,"Ercc5.1",44.28429423,44.9303250057231,-0.127421879417295
"5_C07",1,"Epc2.2",51.43047239,64.9527938587726,0.38404631161039
"5_C08",1,"Ehmt1.2",40.30172414,33.9999878791669,-0.412463460240864
"5_C09",1,"Fbxl19.1",41.2173913,36.4323049658412,-0.346927083254055
"5_C10",1,"Epc1.2",34.36213992,20.1135285454744,-0.837572984302882
"5_C11",1,"Ep300.1",20,3.10554004331685,-1.86550393700235
"5_D02",1,"Eed.2",48.58934169,57.1698525053294,0.180700138723732
"5_D03",1,"Fbxl19.2",38.36944128,29.0898647904376,-0.55076133035134
"5_D04",1,"Epc1.3",47.44645799,53.9391704762883,0.0989013582418824
"5_D05",1,"Elp3.1",54.58689459,72.9055387991904,0.609958612788399
"5_D06",1,"Ehmt2.2",56.96517413,78.235679134692,0.780177477592345
"5_D07",1,"Fbxl19.3",50.54495913,62.5769044634764,0.320668117688728
"5_D08",1,"Ercc5.2",53.26633166,69.6878228836458,0.515442926526062
"5_D09",1,"Elp4.2",48.04270463,55.6292570432019,0.141576083604052
"5_D10",1,"Dub2a.3",42.41103849,39.6855385239111,-0.261495044571916
"5_D11",1,"Fbxo44.2",37.37785016,26.705913289372,-0.621731757484592
"5_E02",1,"Ep300.2",55.31914894,74.613220654301,0.662367718660264
"5_E03",1,"Ep400.2",52.77777778,68.4555523470653,0.480476016433919
"5_E04",1,"Dub2a.4",55.6675063,75.4053290954547,0.687300445603414
"5_E05",1,"Ezh1.3",58.35616438,81.0498234685355,0.879733807000266
"5_E06",1,"Epc2.3",57.79985283,79.9522628979105,0.839917326672506
"5_E07",1,"Elp3.2",54.48154657,72.6552239285215,0.602418615882171
"5_E08",1,"Eed.3",59.5129376,83.2107449073407,0.962526691954406
"5_E09",1,"Ezh2.3",49.01610018,58.3651643749439,0.211244212492809
"5_E10",1,"Ercc5.3",36.80709534,25.3799158625467,-0.662581975429023
"5_E11",1,"Elp4.3",28.86232846,10.9122731910772,-1.23120697375264
"5_F02",1,"Ehmt1.3",41.25,36.5200107599401,-0.3445932045811
"5_F03",1,"Fbxo44.3",53.47826087,70.2155877043704,0.530611181114418
"5_F04",1,"Epc2.4",58.74411303,81.792882083047,0.907500172431481
"5_F05",1,"Elp3.3",0,0.0488705660221195,-3.29694933222234
"5_F06",1,"Ehmt2.3",46.95524578,52.5413039313174,0.0637441854378655
"5_F07",1,"Ezh1.4",49.69173859,60.2414289702572,0.259601187034222
"5_F08",1,"Ep400.3",40,33.2122965115489,-0.43405854178235
"5_F09",1,"Ep300.3",58.12619503,80.600668615933,0.863274378645304
