,,Experiment: 10U p1,Analysis: Analysis 2,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:27:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,
B11,shCd4.1,B11,Sample,16982,958,4879,3884,788.2518016,1117.409359,1012.260316,179.5720855,203.2320923,185.5605738,178.2723445,18.05845511,18.03648289,18.8722966,18.65252651,3353.550654,3623.9556,3357.276172,3056.503851,90.29227557,89.21910228,90.26776519,88.60469952,43.84133612,42.26275876,39.10916581,38.13682678,433.8690132,418.4831719,418.618448,405.2002359
C02,mll2.1,C02,Sample,26506,7015,7368,1394,661.4165615,714.4433354,333.9134016,175.7659642,372.2069547,107.1480467,110.8184493,36.6215253,33.26547231,33.07030129,21.24878993,589.6995253,69.34375869,344.2710728,1377.849298,52.87241625,23.23561346,43.32855093,69.78057438,50.27797577,41.49022801,36.8723099,28.88028396,487.9925883,101.5729967,93.09545241,262.763313
C03,mll2.2,C03,Sample,31075,9363,11635,1025,578.1023847,691.1202451,393.7101265,172.812901,497.9632656,87.5135834,115.8927161,39.78425718,32.70305114,34.43902439,18.93375147,153.1719201,21.82761136,294.9306247,819.5443184,31.67788102,10.21057155,43.2195122,57.50686005,51.99188294,41.59862484,43.70731707,26.44061152,433.2933146,80.09361272,109.7888958,228.1492126
C04,mll2.3,C04,Sample,17016,2084,2373,3128,762.3298318,686.7984092,540.3592908,177.6017167,273.3496268,189.3754884,127.8628626,36.03646833,38.6009271,34.20716113,28.93791688,2502.854762,284.169887,349.0872819,2502.604277,85.65259117,42.56215761,42.87084399,83.59415085,50.57581574,43.82638011,39.38618926,43.08619805,662.6104798,136.1888483,118.0770888,473.9281258
C05,mll2.4,C05,Sample,20304,4079,3904,2996,960.0647334,828.7896822,519.3675283,309.4447433,666.2700575,150.059465,116.9305694,35.44986516,37.55122951,36.24833111,31.21402757,1553.481482,147.9546055,431.4566074,2800.785948,71.90487865,28.58606557,46.7623498,85.49056351,37.36209855,28.20184426,39.91989319,45.45576228,417.1860855,93.9262437,117.782138,546.0083894
C06,Brd8.1,C06,Sample,13718,2585,1922,1769,938.3911127,713.2621374,534.8191251,265.8380997,472.2352264,349.3979073,200.8395313,31.91489362,34.59937565,30.24307518,25.56561086,5260.312601,357.9206573,404.8061369,2824.006565,94.81624758,41.67533819,44.37535331,85.82740789,62.47582205,40.06243496,33.40870548,46.67097608,816.6199618,142.8189036,117.911661,472.733622
C07,Brd8.2,C07,Sample,15491,4293,3468,1394,974.6297146,669.6402659,577.781299,257.7075162,461.2965209,215.3663708,146.5787557,26.41509434,34.74625144,31.42037303,26.29688747,3015.994499,328.4206031,469.8281121,3014.15798,87.79408339,39.73471742,48.49354376,86.47246608,55.04309341,37.74509804,40.67431851,52.57382283,602.5453782,128.1472047,119.0567039,551.658949
C08,Brd8.3,C08,Sample,15595,1474,1843,2900,829.4250345,633.3554287,539.3946358,131.7517605,195.7530515,306.0723103,174.5574322,32.22523745,33.20672816,31.13793103,26.38906153,3607.091663,636.626902,369.1603566,2999.611561,91.18046133,53.06565383,41.75862069,86.98570541,63.02578019,47.85675529,34.93103448,48.26600373,786.4748877,181.6226741,117.5493009,535.411252
C09,Brd8.4,C09,Sample,17886,4189,4542,1907,794.2168252,519.9752445,566.4924221,121.554405,241.7043819,220.9766535,141.5457097,29.60133683,32.01232937,31.83009963,26.27044136,5125.794727,483.6206345,409.9108421,3090.539974,95.17784674,47.90841039,44.1006817,86.95269914,54.7386011,38.48524879,38.80440482,51.41550906,804.3020214,144.4089627,120.600305,553.1651225
C10,shCd4.2,C10,Sample,13491,2928,3227,1099,911.3021138,611.8640592,493.2860996,200.2269962,281.6509926,229.1247597,154.4381213,34.93852459,43.38394794,34.57688808,26.70125723,4002.304824,614.0023365,443.216473,2680.002338,93.40846995,50.82119616,44.67697907,84.11494712,69.53551913,49.9535172,37.3066424,44.92117342,866.0063925,199.6708505,139.3407556,494.7323978
C11,shCd4.2,C11,Sample,15683,1256,5007,2159,738.0422817,1040.795643,971.3039435,232.4514309,281.0086976,262.0592453,191.1874248,31.76751592,36.70860795,26.58638258,23.13404417,3263.220591,4102.08972,3324.263702,2576.275762,89.88853503,92.71020571,90.27327466,84.71058644,63.85350318,65.9676453,47.56831867,37.62376238,748.3678789,888.0959358,628.8886337,478.513682
D02,Ncor1.1,D02,Sample,12614,1022,1193,2646,772.2350335,536.7579434,497.7080129,600.9379483,1279.207655,361.7729295,156.175539,35.518591,40.82145851,29.89417989,26.9101467,2269.342731,180.3983869,306.7587035,2898.99973,80.1369863,31.09807209,38.8133031,86.26222494,18.39530333,18.10561609,31.10355253,39.51711491,409.6193435,74.22517206,94.40530171,496.490237
D03,Ncor1.2,D03,Sample,12956,27,39,3400,389.97334,485.9233361,558.5047431,291.5057586,466.8644725,344.760171,159.7156441,55.55555556,48.71794872,34.52941176,29.89194268,116.4965656,130.4168613,377.254107,3067.255911,18.51851852,28.20512821,43.23529412,87.19755696,11.11111111,28.20512821,34.91176471,40.36880432,46.96857854,140.6751536,118.9597794,534.0681797
D04,Ncor1.3,D04,Sample,13097,2186,1796,2049,627.0462073,357.696822,397.3109551,500.8410161,846.9640967,155.8637102,125.1967037,30.83257091,41.6481069,32.35724744,27.00753851,1729.046434,124.875889,311.5149619,2080.066344,74.01646844,24.94432071,39.67789165,79.87545067,21.40896615,19.04231626,33.72376769,38.64306785,438.3639329,75.14318631,107.4178242,455.1453567
D05,Ncor1.4,D05,Sample,12103,1516,2186,2314,607.6091878,435.5761946,533.3770319,407.4172094,522.1968147,247.8692515,146.2415417,37.13720317,43.00091491,37.59723423,30.59269607,3744.079264,282.3395814,401.7577628,3216.070464,91.68865435,38.51784081,42.653414,88.46537617,27.50659631,26.71546203,35.73898012,46.93673917,569.2152214,96.10903318,113.8850116,585.945923
D06,Cxxcl.1,D06,Sample,15973,2547,2053,2087,627.1138603,440.8064945,499.7322881,146.5735053,202.5996597,244.4803632,149.6471007,14.29132313,17.87627862,18.83085769,13.88888889,2047.139866,355.0730272,329.2608025,2404.844052,80.21201413,38.28543595,39.19501677,82.82597666,56.22300746,43.30248417,38.14087207,47.61542364,399.8018101,106.8104203,105.8595432,379.3145643
D07,Cxxcl.2,D07,Sample,17068,1944,1916,3287,1030.544888,795.9277292,516.2271227,153.2327225,258.8427439,387.8538499,156.2972423,25.30864198,29.95824635,33.03924551,24.30278884,3732.597963,682.5146412,322.7033461,3230.018644,92.18106996,54.95824635,39.64101004,88.0595266,70.01028807,51.30480167,30.27076361,47.50410124,644.1232235,157.3391192,103.6675259,545.2212595
D08,Cxxcl.3,D08,Sample,15439,2826,2695,1846,589.8486122,422.547025,432.0956279,139.7728558,188.1752512,275.7002628,149.661337,23.17763623,27.68089054,29.19826652,21.57258065,1951.504041,343.9801803,310.1891493,2405.456996,77.42392074,38.07050093,37.37811484,82.50620347,53.75088464,34.99072356,26.81473456,39.43858561,408.2976654,107.8350769,101.5317498,400.7062018
D09,Cxxcl.4,D09,Sample,15564,2309,1673,2776,771.1457799,540.7065008,547.8699889,186.9487081,234.7650718,487.6414138,191.3129137,15.93763534,26.24028691,27.23342939,20.52845528,1896.37939,506.7029989,339.770018,3343.018746,78.17236899,43.03646145,38.65273775,88.06233062,66.1325249,48.53556485,27.73775216,48.07588076,387.3793929,114.3178692,115.0307451,557.0667611
D10,shCd4.3,D10,Sample,16367,4410,3795,1242,874.2987038,704.9818016,564.1127613,193.9504709,407.9683841,270.4589016,141.5073266,27.86848073,30.69828722,31.80354267,22.09621365,3639.398944,445.9106759,437.5449174,3352.024361,92.63038549,44.42687747,42.75362319,88.97018474,56.53061224,38.60342556,35.58776167,50.42985184,697.3077576,141.1232489,122.7574347,569.50547
D11,shCd4.3,D11,Sample,17950,1149,6709,3398,831.0228177,1050.102782,953.8971223,314.6427081,251.9737661,264.1036231,198.1235236,21.49695387,21.83633925,19.71748087,17.62322755,3475.944499,3465.170433,3641.009038,2945.254738,91.81897302,91.13131614,92.46615656,86.11298672,42.38468233,44.96944403,42.46615656,38.44249381,507.2948871,497.6852694,492.8815899,440.070573
E02,Smarca4.1,E02,Sample,14175,862,1231,2913,550.1164411,425.5889849,487.41333,273.6904,373.2496404,372.4368,165.4587794,17.51740139,27.37611698,28.73326468,25.63213965,4626.028375,607.6004437,247.7116722,2906.908169,94.66357309,50.36555646,36.07964298,86.03516878,33.29466357,29.32575142,30.65568143,38.24926197,500.8580504,170.5026157,92.85439568,435.9873136
E03,Smarca4.2,E03,Sample,17494,1195,1882,3706,436.4119605,388.0094711,463.2900644,243.6206425,289.1599972,262.8141757,159.8433362,17.9916318,32.35919235,32.75769023,29.07178486,3936.903343,252.0127019,279.861662,2490.516625,92.80334728,36.39744952,39.63842418,83.92973325,25.10460251,19.39426142,33.32433891,36.71654739,435.2518283,121.4225257,102.3373773,441.4805507
E04,Smarca4.3,E04,Sample,16345,3814,4075,1240,584.5720369,406.1737576,441.6179835,220.8296158,309.0143829,196.5527789,138.2204136,25.40639748,34.1595092,32.41935484,27.59306108,3725.486923,373.3100096,439.8182413,2515.182041,91.95070792,44.49079755,44.27419355,82.59848211,33.77031987,26.33128834,35.56451613,39.13986267,522.4411252,135.8109423,123.3781128,437.1738881
E05,Smarca4.4,E05,Sample,13838,2005,2615,1976,782.7236771,475.2557539,498.0507423,199.5203668,229.9232582,217.0016949,137.6921262,22.1446384,29.44550669,32.23684211,26.53027,4166.346556,368.2446527,384.374517,2903.991321,92.71820449,42.48565966,42.00404858,85.510649,44.83790524,33.42256214,33.90688259,44.4071776,567.5773442,115.1730731,112.3707715,491.3524511
E06,Klf2.1,E06,Sample,12664,4781,3502,400,935.1177563,541.1966472,508.8858186,227.6361444,296.0045702,136.1495998,115.123151,17.50679774,23.67218732,26.75,23.11286844,4092.035463,403.6734565,499.8128142,2012.546324,90.46224639,42.14734437,44.75,78.39683681,53.48253503,37.12164477,46.75,43.17038102,471.5049828,110.077891,139.0747208,349.0323655
E07,Klf2.2,E07,Sample,13752,2326,3026,1840,1082.228813,644.9839023,505.289229,140.1177053,226.5726492,261.5596215,156.3131973,24.84952709,30.99801718,34.29347826,29.7394942,5809.164359,531.1687606,372.8250872,2959.794405,95.44282029,48.84335757,42.06521739,86.04297395,59.07136715,40.4494382,34.67391304,46.91005895,777.169222,139.6951062,119.3132557,495.7813006
E08,Klf2.3,E08,Sample,17196,2962,3599,2414,973.6840741,587.9274443,494.4649753,189.0455879,241.4605856,204.1840425,151.1501523,29.10195814,34.92636844,32.85004143,29.56428352,4651.938955,487.1431067,430.4109237,2901.218216,93.24780554,47.65212559,44.36619718,85.99263578,58.00135044,40.56682412,35.21126761,50.65971157,723.282691,134.6607944,123.2648066,520.3044573
E09,Klf2.4,E09,Sample,15399,3655,3545,1489,1215.362314,730.0377718,558.6739302,184.2828248,284.720026,288.4936858,158.88487,17.86593707,25.89562764,29.48287441,20.87351106,6365.408726,792.8408217,469.5752079,3018.422621,95.78659371,55.48660085,44.99664204,86.95405559,69.08344733,48.37799718,34.72128946,49.80147476,640.4464934,167.5695989,120.8462908,504.7625742
E10,shCd4.4,E10,Sample,16306,3502,3078,1898,968.371732,459.2320344,495.0398883,449.5346733,794.204884,253.2135729,151.6512286,29.55454026,35.21767381,31.03266596,25.05884199,3423.100345,344.9476171,438.408887,3248.202352,91.29069103,42.20272904,44.83667018,88.68664679,56.48201028,35.57504873,36.56480506,54.63674878,690.2553567,128.6679083,128.0736944,640.1947177
E11,shCd4.4,E11,Sample,15522,1071,4957,2916,785.1588162,1089.137877,842.7151835,310.4557047,447.8079858,140.8485291,147.2332188,28.85154062,29.71555376,30.86419753,25.41593695,2926.297692,3489.11507,3902.004527,2784.602796,88.70214753,90.35707081,94.23868313,86.66812609,53.50140056,51.3818842,50.51440329,43.78283713,687.8589875,663.7043708,766.108379,555.7740044
F02,Runx3.1,F02,Sample,15913,2155,4079,1732,377.3690776,323.2090198,426.2318878,192.5606161,191.0121574,303.0652063,158.4539203,45.33642691,31.64991419,30.94688222,22.19791316,3653.626877,289.9196793,267.0590487,2141.816476,92.38979118,40.1569012,33.89145497,79.35038708,29.4199536,29.78671243,29.09930716,31.26893302,688.9739311,83.51247112,83.67662888,312.9724895
F03,Runx3.2,F03,Sample,14478,3222,1780,1850,711.5935031,884.2940703,457.1757948,246.4468278,405.171541,275.0410937,153.1244023,34.88516449,31.46067416,30.43243243,24.28074033,3105.445278,1685.278692,313.6139471,2296.798072,90.13035382,73.87640449,36.37837838,81.19846069,27.77777778,30.6741573,29.72972973,32.78358072,588.8751998,297.847357,88.44305172,365.5958037
F04,Runx3.3,F04,Sample,12555,2457,1374,1953,617.0433404,744.7419692,452.9478344,272.5630022,477.5862682,315.8368092,162.4200977,31.74603175,29.62154294,29.23707117,25.6964738,3609.501694,1895.671033,341.1709054,2653.171344,93.12169312,74.23580786,36.76395289,84.74576271,23.15832316,31.44104803,31.54121864,38.32067017,676.9995692,310.6970109,103.6766707,455.4580452
F05,empty,F05,Sample,14324,18,24,3901,251.3924391,263.6190191,588.2457463,322.7649912,611.4813922,306.9785403,142.2381188,22.22222222,33.33333333,32.99154063,28.11999573,983.1530798,152.0506535,435.0299653,3172.309821,61.11111111,25,45.4755191,88.00042703,5.555555556,12.5,36.24711612,46.46098004,197.9026087,151.9157856,124.4599293,532.1757211
F06,Sp140.1,F06,Sample,12576,3794,3363,676,923.1793044,585.1199236,529.8109522,238.1445326,493.230982,308.222047,152.2509949,29.67843964,32.32233125,26.77514793,22.39825184,3614.270028,401.6859088,291.722034,2827.062939,92.01370585,44.5435623,36.83431953,84.81289265,47.99683711,31.87630092,29.28994083,44.1409451,710.0679171,135.916322,92.87663802,466.6326211
F07,Sp140.2,F07,Sample,14887,4071,3951,1019,793.2517497,690.8573467,540.822344,231.1075277,554.1100444,385.3982838,151.4570315,37.01793171,39.0534042,29.44062807,24.25624321,2834.586712,222.8692212,358.8381847,2693.068605,88.13559322,34.57352569,41.41315015,83.51791531,59.78874969,31.96659074,30.32384691,43.58306189,595.2274372,100.1338798,107.3392541,427.5170483
F08,Sp140.3,F08,Sample,17567,3489,4336,1972,828.3956097,453.0693708,516.389551,232.2938365,352.5760413,267.5855446,159.7101973,27.97363141,35.83948339,32.15010142,24.59280761,3761.572431,322.6431769,365.944249,3137.207629,92.40470049,39.99077491,40.11156187,88.03418803,51.64803669,32.88745387,33.31643002,49.97581035,698.0932297,114.6300135,122.9184172,583.4949775
F09,Sp140.4,F09,Sample,16519,1623,2482,2906,810.2484043,580.524441,501.2534784,84.0136143,147.1898715,249.6107645,128.7634691,24.89217498,29.61321515,30.48864418,20.25747823,4075.924446,541.4495249,320.5060518,2683.297659,93.65372766,50.24174053,39.33241569,84.05906853,62.53850893,39.40370669,33.2071576,46.04316547,766.4737052,151.187088,104.9004121,460.1167544
F10,empty,F10,Sample,15741,15,21,4008,744.6825486,348.5563018,552.6200827,286.7214302,857.4473817,327.6979606,150.9669253,26.66666667,47.61904762,32.38522954,26.15269039,2279.252574,226.1745152,445.9279245,3116.369621,86.66666667,42.85714286,45.65868263,88.42144802,60,19.04761905,34.98003992,46.63348671,218.5593452,92.33585355,143.4898371,596.0655545
F11,empty,F11,Sample,17375,7,25,7497,249.4344294,619.2307976,985.7322142,476.6389103,281.3696937,205.781307,150.6530402,28.57142857,8,25.42350273,22.27457139,1544.005671,1366.288225,3476.023568,2798.096994,71.42857143,76,89.59583834,86.15364481,28.57142857,24,42.35027344,38.60751211,273.5555572,228.9545159,541.4664436,470.3337288
G02,Smarce1.1,G02,Sample,14296,1936,2261,1772,615.084142,397.8891042,392.7101655,204.8055081,392.0848524,240.7659164,141.0215608,28.92561983,36.09022556,31.15124153,22.10045662,2072.57675,210.8695462,261.4274254,1537.454009,79.90702479,34.76337904,34.70654628,70.83713851,36.20867769,29.19062362,29.40180587,24.94672755,346.3510307,83.0380894,80.81022467,243.8838108
G03,Smarce1.2,G03,Sample,13196,1879,1753,1485,572.4065186,419.2744973,434.0779465,481.3457606,659.4977854,355.0117195,174.1390612,21.97977648,29.60638905,31.17845118,23.1262107,1520.521119,108.6737847,305.3495,1528.054645,71.58062799,22.81802624,40,72.0458948,34.91218733,24.92869367,26.66666667,27.41767248,363.7756439,187.0343159,115.1503729,294.4063049
G04,Smarce1.3,G04,Sample,16030,2317,2512,1805,489.7903116,338.6921028,424.007052,653.2296665,669.3228571,391.6930186,218.5932147,29.13249892,34.87261146,36.3434903,25.43960981,1615.664754,118.2633814,299.7755662,1616.311045,72.76650842,23.12898089,36.62049861,72.41689128,31.67889512,19.54617834,24.98614958,24.7593377,453.4109284,214.8839019,123.1366145,326.8684097
G05,Smarce1.4,G05,Sample,12515,1886,2226,1568,540.3154186,455.7245327,630.950072,210.3279808,333.4180792,369.2411086,150.6971443,31.38918346,40.61096137,34.82142857,25.71275837,3244.069928,301.7994316,369.0362521,2020.35844,89.4485684,37.55615454,42.79336735,76.37205987,42.31177094,32.0754717,33.29081633,37.70491803,580.0508221,139.3039193,128.0987608,349.5986465
G06,Wdr82.1,G06,Sample,10679,1775,1299,1719,934.2608347,475.0084589,611.2780635,236.7788131,280.8764912,410.5714059,187.7014756,16.33802817,25.17321016,31.93717277,28.11260904,1298.697361,168.624149,326.7563807,2945.170304,62.30985915,25.71208622,39.20884235,86.26090404,49.18309859,31.1778291,34.61314718,51.50674068,309.0450942,85.29812553,123.1954582,522.5773997
G07,Wdr82.2,G07,Sample,10613,2900,1710,1040,897.6355669,433.2090871,573.5171819,224.4421502,238.1702439,403.3878581,194.3479817,15,18.94736842,31.53846154,25.80799617,1452.17482,153.0361828,352.1592083,2977.185562,67.03448276,21.92982456,40.86538462,85.73138616,48.62068966,26.78362573,30.38461538,46.97151065,294.0606939,75.5176878,123.0505814,500.6804604
G08,Wdr82.3,G08,Sample,14314,2011,1647,2633,1035.537191,643.0310911,586.7135503,200.0184201,264.5977916,474.9763746,189.0841668,16.06166087,24.16514876,33.11811622,28.22930699,1854.030621,201.1112409,344.085241,3319.278513,72.65042268,32.96903461,40.18230156,88.23529412,49.52759821,29.87249545,31.18116217,49.43870678,379.9730399,94.10977929,124.0277665,565.4469318
G09,Wdr82.4,G09,Sample,13029,2528,1414,1506,887.4726396,442.7632275,588.1461122,373.7673697,296.2527298,591.4453385,296.4228422,13.80537975,22.4893918,24.90039841,22.08525175,1008.820622,141.1853986,355.1739661,3119.983957,52.88765823,23.40876945,38.18061089,87.10827269,45.45094937,22.91371994,24.56839309,41.03668498,245.7615644,81.14981486,110.1946583,446.8891567
G10,empty,G10,Sample,14719,13,23,3603,336.6246598,992.8659713,633.9822591,787.6270726,1294.486355,409.7769284,182.5588326,38.46153846,52.17391304,33.41659728,30.61062649,159.4192498,357.1197429,515.7222416,3403.045519,15.38461538,43.47826087,48.90369137,89.44290246,30.76923077,47.82608696,38.21815154,51.09040444,178.0837278,288.863482,145.055755,608.1675813
G11,empty,G11,Sample,16230,9,5,6540,644.4426438,1699.651602,1036.267036,334.635543,1239.509629,233.0914955,157.7171405,22.22222222,60,30.04587156,26.15321812,266.9076207,1562.899865,3737.182408,2756.947357,44.44444444,80,91.05504587,85.9572731,22.22222222,40,45.88685015,40.00544292,58.01816454,1592.965078,676.6694474,539.9988129
