,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: control 100U,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:20:30 AM,,,,,,,,,,,,,,,,,,,,,,,
B11,shCd4.1,B11,Sample,33.33333333,32.15149073,28.98901099,1.617440225,2.3636852,1.252747253,165.1310941,150.1591222,138.0278664,37.60384639,44.95745281,38.72278614,4045.232477,4145.863904,3569.268286,24.05063291,17.88879936,22.72527473,4576.678049,4974.720092,5047.839965,68.69793296,67.00095654,66.5846879,31998,23744,1422,3723,4550
C02,mll2.1,C02,Sample,19.30379747,4.453441296,3.72632865,4.259980526,1.518218623,0.427611484,26.22395152,3.198317542,4.492725026,32.65886674,22.19747788,17.97256442,7451.043004,16300.74209,10571.06305,27.87244401,32.79352227,33.72021991,7415.501991,6613.03899,4100.540631,113.0277533,142.6269608,131.8490469,30777,22788,4108,2964,1637
C03,mll2.2,C03,Sample,16.18510688,4.407294833,2.091503268,4.580690627,2.158054711,0.196078431,14.4795842,2.650361284,3.326839764,28.61523626,19.48658312,14.986863,9558.31635,18475.01947,10393.17283,28.54122622,33.10030395,34.24836601,7103.968559,7008.98203,3822.23151,137.6384995,169.580215,133.7957116,30742,22784,4257,3290,1530
C04,mll2.3,C04,Sample,52.59661836,10.4109589,4.127134725,9.661835749,3.493150685,1.850094877,423.6637412,7.204149041,5.138526989,62.07946004,26.57173039,25.18936641,5247.602387,12833.62147,11004.11474,10.74879227,22.19178082,17.55218216,5010.872686,4823.993463,4027.699973,98.94869562,150.4008427,115.8636616,24040,16483,1656,1460,2108
C05,mll2.4,C05,Sample,17.69622093,4.385964912,3.007246377,1.235465116,1.28998968,0.434782609,31.12439487,2.999923728,4.111460848,28.91089261,20.30589117,20.37564323,5922.199957,15953.70085,11020.0375,24.96366279,34.05572755,33.84057971,6965.972432,5548.07019,4248.186874,93.59100392,125.1750232,102.9926167,32528,24529,2752,1938,2760
C06,Brd8.1,C06,Sample,59.51979781,9.160892995,3.804930332,11.12047178,2.848344881,0.643086817,769.1118466,7.998897868,5.138001429,65.4430063,27.23543065,22.36271541,3046.599991,8645.092698,10297.17151,18.87110362,28.25250192,31.45766345,5331.616629,4149.048582,4137.576097,81.7324476,107.4969524,84.63515178,27419,19359,2374,1299,1866
C07,Brd8.2,C07,Sample,25.67069963,5.045278137,2.535496957,1.788532351,0.819318672,0.253549696,82.41385451,3.715970537,3.895351572,33.91465714,21.15601028,19.65897809,4704.61498,13636.90392,10701.61827,22.27774855,33.76455369,34.38133874,5303.75988,4247.366095,4237.323543,70.56739054,121.6779768,91.92584451,30329,22097,3802,2319,1972
C08,Brd8.3,C08,Sample,43.54501047,8.547008547,3.420523139,2.442428472,0.955253896,0.442655936,334.2824461,8.134460005,4.258972639,45.03688097,28.07841751,21.52001303,1914.147619,6368.463857,11652.74667,19.71388695,28.05429864,34.56740443,4768.31259,4239.446112,4080.289615,57.52709861,97.80592188,87.48562894,31171,22642,2866,1989,2485
C09,Brd8.4,C09,Sample,29.8394712,5.868205868,2.623906706,1.534466478,0.529100529,0.655976676,142.5220639,6.43898176,4.325107948,37.64226681,27.21909175,19.98817833,2736.036046,9057.383609,9778.921132,17.04438149,28.33092833,37.31778426,4248.532271,2742.520279,3971.992617,57.18892485,80.28275975,95.45127791,28039,20635,4236,2079,1372
C10,shCd4.2,C10,Sample,44.86360998,9.63356974,2.140945584,3.07603018,1.122931442,0.44603033,339.7886886,7.934980193,3.774020976,41.43632566,24.57119072,18.00231398,4050.456149,10490.35126,10679.25542,23.73766686,34.92907801,35.6824264,4081.08207,2830.374757,3816.508291,66.26933045,105.5701553,93.07309627,25347,17944,3446,1692,1121
C11,shCd4.2,C11,Sample,46.21149042,46.17656712,27.9782817,2.414654455,3.446012471,1.309485787,396.4453725,417.7021913,130.4022416,41.20359131,47.05087746,38.58875423,3902.165962,4205.415796,3700.443708,27.39383847,22.05447982,23.05972533,4081.230649,4062.859445,5152.30443,62.84788169,65.937753,62.94369882,25357,18506,1201,3047,3131
D02,Ncor1.1,D02,Sample,30.24270521,6.019007392,3.054187192,1.308971912,0.739176346,0.591133005,94.10621821,4.048713157,4.328357195,29.98568403,19.83865679,21.19152496,6771.476833,15237.30106,11017.03048,39.05099536,44.87856389,35.71428571,5922.585183,4953.196322,4123.137232,80.05972715,142.8109568,103.5193871,30026,22387,3667,1894,2030
D03,Ncor1.2,D03,Sample,30,33.33333333,4.777070064,0,0,0.414012739,179.906128,312.8486294,4.582788335,58.78098386,3.392383721,18.85137591,2217.940292,14675.75229,11345.2254,10,33.33333333,31.56050955,4439.41649,9649.0966,3941.53233,90.05268551,553.2184859,101.8901504,30653,22260,10,3,3140
D04,Ncor1.3,D04,Sample,32.22942165,5.146651909,3.448275862,1.319894408,0.608743774,0.574712644,145.5305231,3.997669263,3.621195056,37.33724619,22.72535069,20.83952374,6694.089599,15284.45296,11324.83866,33.88528918,47.92473713,36.52618135,5863.024167,4896.17063,4244.298803,74.7585435,133.8149006,109.0313777,28459,20517,4167,1807,1566
D05,Ncor1.4,D05,Sample,53.61139369,10.36096257,2.118989405,1.424211597,0.802139037,0.244498778,552.3685648,8.217558334,4.204144204,33.74079336,27.36174912,19.71346046,3784.081531,10215.06403,10892.56807,25.02543235,33.68983957,37.40831296,4248.352286,3822.56172,4089.275135,58.91586969,81.0413091,105.9098227,26073,18060,3932,1496,1227
D06,Cxxcl.1,D06,Sample,39.62848297,8.441222165,2.204801568,2.992776058,1.294665976,0.587947085,316.873952,11.68614127,4.109021254,46.45667524,30.69955286,21.22573368,2684.897742,6792.520387,10418.59398,16.61506708,27.08441222,34.44390005,3114.506528,2404.253982,4131.119785,68.50379022,94.49523764,94.16775607,29930,21623,2907,1931,2041
D07,Cxxcl.2,D07,Sample,56.36986301,14.73922902,2.88397049,10.93607306,4.580498866,0.536552649,663.6056048,26.99814581,4.080646227,72.19156082,38.69218376,21.38802439,1519.00487,2889.113918,11129.22494,20.1369863,30.430839,33.13212609,3749.187294,3063.994237,4148.470081,76.52234184,81.82465875,118.8512484,28246,20549,4380,2205,1491
D08,Cxxcl.3,D08,Sample,34.2043376,6.43776824,2.215657312,2.377841651,0.619933238,0.147710487,230.2286995,8.966124954,3.988025917,48.93350607,35.51666447,23.49076742,2785.081893,6835.748207,9723.989023,20.51215051,32.28421555,35.15509601,3177.691073,2446.819011,3689.332503,59.92780834,78.86270755,78.40149518,27362,19732,3827,2097,1354
D09,Cxxcl.4,D09,Sample,52.2125642,8.243130724,2.721617418,4.780719083,1.332223147,0.311041991,661.5622178,19.18006095,5.360571984,67.78099037,50.31947859,24.54243623,3207.046841,3865.684292,9917.480078,15.78427499,24.43796836,34.44790047,2338.580868,2025.806805,3710.197742,52.48395334,56.0290586,76.88880184,30546,21805,5062,2402,1286
D10,shCd4.3,D10,Sample,33.00364394,6.155349292,1.6,1.093180635,0.439667807,0.685714286,154.6737559,5.260438337,3.875281243,37.8305535,23.22511457,22.21247929,3981.439336,10906.02639,9360.828929,18.93111227,30.33707865,35.42857143,5439.566114,4440.180743,3685.258904,58.06904045,99.85339696,75.69850835,26796,19863,5763,2047,875
D11,shCd4.3,D11,Sample,34.96376812,35.84222178,28.62407862,1.177536232,2.173475548,1.392301392,233.8360987,204.5477841,148.6416943,41.47141759,47.57979515,40.11728908,3636.34371,4189.542677,3436.811634,20.01811594,16.42181525,23.62817363,5012.627374,5409.122144,5257.96527,62.25372566,69.01791434,59.65020356,26623,19426,2208,4969,2442
E02,Smarca4.1,E02,Sample,62.85037505,15.27408196,2.135231317,1.184366364,0.47897818,0.254194204,851.791334,14.56437616,4.053806907,16.35124006,16.91172982,18.62076279,3484.74087,6941.68652,12042.30872,17.33122779,26.50345929,38.4341637,3640.31283,3524.281572,3773.356201,154.1547826,166.0287326,113.7246792,30783,22893,2533,1879,1967
E03,Smarca4.2,E03,Sample,73.33333333,11.4713217,3.389830508,2.051282051,0.665004156,0.360620267,1445.987586,7.817842785,4.024993488,15.78965891,14.3626062,19.48466982,3753.746695,10144.35604,10743.19306,17.77777778,30.09143807,37.86512802,3432.747417,4223.543413,3929.147329,167.5678014,171.047606,106.9119109,31629,23111,1170,1203,2773
E04,Smarca4.3,E04,Sample,49.48413471,9.781545484,3.55704698,1.343196418,0.619497881,0.201342282,408.3818354,9.296433804,4.190453367,25.78616598,24.05774371,22.72583666,3714.318162,7935.697759,11185.91189,18.12341834,30.19237039,38.8590604,4331.037165,3886.578399,3947.462158,90.4655457,102.9860813,92.6189174,33761,24906,5137,3067,1490
E05,Smarca4.4,E05,Sample,34.57082675,6.646783127,2.838063439,1.395471301,0.468683426,0.166944908,149.3426518,6.612884801,3.988200644,25.05330633,20.03033965,22.44686999,3509.342421,7825.118823,10793.50635,18.2464455,30.08095441,41.51363383,5126.460061,4101.673766,3870.373294,88.15864231,110.1124977,85.64011111,30845,23159,3798,2347,1797
E06,Klf2.1,E06,Sample,31.41976498,6.742925948,1.426307448,1.753034097,0.541842264,0.633914422,147.2289005,6.635069626,4.183553949,37.72551885,25.65505783,20.40100454,4343.283342,11263.63087,10465.05472,23.23251782,33.71462974,34.70681458,4915.096332,3777.444374,4229.893828,67.80644437,108.7997347,83.48948499,23800,17203,5191,1661,631
E07,Klf2.2,E07,Sample,29.67334614,7.237219989,2.35426009,0.960746637,0.804135554,0.392376682,143.1616911,6.376085631,3.788701506,34.47784481,28.1835034,21.93811049,3223.539903,9603.475733,10476.32809,24.40296459,37.21998851,44.45067265,5086.304273,3919.105874,3808.384216,58.14505819,96.91389621,71.61303745,29923,21899,3643,1741,1784
E08,Klf2.3,E08,Sample,31.40745717,7.366638442,2.213541667,1.276452805,0.592718036,0.455729167,153.5836365,5.990591163,3.700054759,34.56805611,25.86940414,23.41584669,3822.048897,10204.38609,10378.4096,25.05878401,36.91786622,39.71354167,5221.355922,4185.926427,3841.395119,61.51327826,94.27711794,76.42008293,26681,19181,2977,1181,1536
E09,Klf2.4,E09,Sample,28.87189293,6.71641791,1.587301587,1.969407266,1.119402985,0.440917108,124.0838594,6.752336367,4.181953995,37.64868897,24.86772323,22.01432928,3553.688474,8901.506651,9670.769548,20.7456979,34.42164179,41.44620811,4956.315959,3939.11944,3902.504609,65.47503063,101.2593325,79.14499271,29340,21795,5230,2144,1134
E10,shCd4.4,E10,Sample,31.96417542,7.005838198,2.286135693,1.976528721,0.834028357,0.368731563,140.385439,5.874250818,4.543409529,40.07367941,26.94742327,22.56896334,6092.104725,12613.28183,10525.64613,17.10932674,29.60800667,37.75811209,5093.194533,3224.120219,3955.578701,64.8901607,96.46828441,81.65709737,26585,19307,3238,1199,1356
E11,shCd4.4,E11,Sample,32.01293452,35.62479923,27.20425343,1.050929669,2.377128172,1.373504652,179.3023561,204.4626271,143.0716228,37.71239927,50.13188057,41.98998534,5359.081677,6093.624168,3124.526428,20.6952304,17.66784452,22.21976074,4714.442305,4897.14434,5084.17593,65.81542551,67.45231808,58.46600855,28371,20659,1237,3113,4514
F02,Runx3.1,F02,Sample,86.95318496,8.464849354,1.61637931,1.560501407,0.286944046,0.107758621,4251.273259,19.56236295,9.717994757,35.63318739,29.96136274,23.23910898,3101.269527,6979.069158,9941.373643,21.28421591,29.34002869,36.85344828,4255.355495,2827.959061,3671.252186,70.08813463,75.15585394,106.3965179,23720,17708,3909,2788,928
F03,Runx3.2,F03,Sample,74.3006993,30.21243116,3.261734288,1.952214452,1.730920535,0.079554495,2001.241406,132.9522795,8.737560744,31.2577241,36.98404984,25.60416124,3720.06916,5736.029397,10394.19542,23.45571096,22.02989772,39.85680191,5851.125068,5900.963532,3924.02678,83.89826643,96.79248399,94.33387158,25623,19278,3432,1271,1257
F04,Runx3.3,F04,Sample,85.91549296,38.21932682,3.378378378,1.74379611,1.411509229,0.096525097,3854.689764,259.3085275,10.26355398,33.07835355,45.98488982,24.36645828,2763.723275,4874.967542,10005.13974,25.38564722,23.45276873,37.64478764,4947.541205,4801.228526,3587.999724,72.70634729,85.13920132,78.18927386,22784,16888,2982,921,1036
F05,empty,F05,Sample,57.14285714,20,2.565856996,0,0,0.273691413,890.3141219,11.8329237,3.795820983,79.59603197,3.119887942,24.66439204,1555.96461,11920.88523,11805.31602,47.61904762,40,35.16934656,4385.006665,3824.384662,3635.095765,65.09354828,306.6479241,81.8370446,28349,21411,21,5,2923
F06,Sp140.1,F06,Sample,32.58491652,6.292606188,2.213279678,1.266551526,0.471945464,0.201207243,173.6437051,6.763407875,4.609850296,38.21689584,27.51972882,20.84884276,3871.049766,10485.45779,9580.340343,21.91517943,33.19349764,35.41247485,5250.457081,4072.773346,3639.939911,64.87523306,88.97860327,84.58907966,26739,19839,5211,1907,994
F07,Sp140.2,F07,Sample,23.58490566,3.660477454,1.272871917,1.277515723,0.371352785,0.318217979,90.33045814,4.214300239,3.948366205,41.90672875,26.31225011,26.15007757,3772.034148,10116.81988,9999.026764,25.25550314,35.27851459,37.39061257,5487.924132,4504.69296,3804.792992,51.24985674,85.10860588,67.57919028,28812,21875,5088,1885,1257
F08,Sp140.3,F08,Sample,34.95276653,5.769230769,1.553398058,0.944669366,0.395927602,0.388349515,217.4591075,6.135078358,4.461223456,41.36555199,33.85626066,32.63289521,3784.901177,9531.90277,9414.338859,23.78167641,38.00904977,35.53398058,4498.760637,3096.218236,3843.860152,50.29724176,68.21827973,69.93225225,24889,19035,6669,1768,515
F09,Sp140.4,F09,Sample,36.23475107,7.035478052,2.756508423,1.582591494,1.082381239,0.255232261,243.2827096,8.462777742,4.39944531,42.95780783,30.25275216,26.51650954,1834.2549,6044.672881,10189.40236,20.11210023,33.19302465,36.49821337,4586.853411,3035.181694,3549.619082,54.34766172,83.70981742,83.03029131,28339,21292,3033,1663,1959
F10,empty,F10,Sample,44.44444444,18.75,2.816901408,0,6.25,0.449505544,225.9199257,12.42990681,3.522527287,58.20695747,28.67971138,31.3620351,1650.780271,5424.582384,9944.153873,33.33333333,25,30.7461792,3954.383217,1290.633456,3188.978155,32.40838177,116.0471403,75.5165679,35243,27288,18,16,3337
F11,empty,F11,Sample,20,16.66666667,25.58107739,0,0,1.681706317,186.8952169,20.97051954,107.6541255,10.68618205,19.68779715,50.11765603,1715.989659,11408.59125,3235.856099,0,0,16.10609789,3987.37093,5670.402913,4485.065336,56.65559716,94.06981718,48.98188153,33953,25952,5,6,7314
G02,Smarce1.1,G02,Sample,28.85411045,7.313131313,2.333117304,1.888828926,1.090909091,0.32404407,132.1279451,7.799320913,5.556795781,37.80141342,30.92079023,22.18040939,3590.071343,11001.28001,10467.97384,20.54326318,31.71717172,37.07064161,4456.322841,3140.7816,3680.064182,87.94779924,130.3741209,125.0182829,37338,26757,5559,2475,1543
G03,Smarce1.2,G03,Sample,55.16923077,12.1520706,2.481617647,7.630769231,1.629327902,0.275735294,522.6900219,8.036455468,3.97931684,23.45583536,12.97774733,20.01426405,5104.654908,10013.57357,11625.45563,23.50769231,35.50577054,36.30514706,3923.579162,2897.876017,3800.711989,198.2157408,267.1092557,125.3827604,26894,19343,3250,1473,1088
G04,Smarce1.3,G04,Sample,50.02298851,8.618127786,2.453580902,8.643678161,2.526002972,0.397877984,415.2491884,5.820803135,4.367672679,27.27109799,13.36209946,24.05961956,4674.880114,9063.709383,10336.16583,23.31034483,36.55274889,39.19098143,3673.904646,3019.172347,3618.552053,194.2014992,260.8573123,103.7141243,23515,16874,2175,1346,1508
G05,Smarce1.4,G05,Sample,55.4309026,10.23965142,3.25203252,2.294747578,1.089324619,0.406504065,584.5825674,11.28792554,5.309856483,26.09820754,23.09097143,25.50859611,3018.071851,8263.05692,11153.67213,22.99847017,38.05374001,40.71815718,4768.840417,3239.70406,3821.906735,129.6020046,147.3107786,99.41253641,23560,16731,1961,1377,1476
G06,Wdr82.1,G06,Sample,23.78922898,5.703048181,3.181336161,3.293297172,0.884955752,0.424178155,225.7962243,8.623527898,4.64009984,51.26105526,33.44709821,26.59804439,2741.22288,5733.57518,10516.96824,9.143742735,23.79547689,41.3573701,2549.265628,1913.131948,3987.60452,75.77436481,113.4336364,108.3935213,21252,14892,2581,1017,943
G07,Wdr82.2,G07,Sample,21.3028169,7.110091743,2.487562189,2.772887324,0.802752294,0.248756219,189.5070309,7.788983529,3.912306683,49.84397124,32.01553861,26.17842167,2375.032956,6368.959842,9517.977188,9.771126761,21.55963303,42.41293532,2298.845858,1949.278621,3734.876291,57.91759982,105.6167944,86.31816914,19319,13232,2272,872,804
G08,Wdr82.3,G08,Sample,18.1723419,5.27325024,2.214285714,1.806810285,0.479386385,0.285714286,112.7687168,6.595024958,3.994339485,47.543964,34.04515819,25.45232255,2062.077118,7259.161383,10165.18479,15.18415566,24.64046021,36.35714286,3093.991687,3097.912443,3612.945163,59.66197909,112.4928782,88.02754539,24494,17646,2878,1043,1400
G09,Wdr82.4,G09,Sample,18.79562044,4.463208685,2.966714906,2.798053528,0.965018094,0.361794501,142.462461,8.611369535,4.926924616,48.05799334,38.08099659,28.83923952,2422.885267,3913.389396,9680.401135,9.549878345,25.69360676,34.65991317,2502.835913,2103.547676,3474.614423,62.28553474,77.08540545,86.04459149,22600,16406,1644,829,1382
G10,empty,G10,Sample,20,0,14.28571429,0,0,0,172.3709857,3.636235765,30.67366499,90.56209946,25.84222634,118.7279606,908.6953125,647.3110744,5485.633572,30,66.66666667,57.14285714,2700.66721,3648.784367,3400.666034,17.72994586,12.7695773,72.90479796,25150,18682,10,3,7
G11,empty,G11,Sample,50,0,0,0,25,0,913.3173805,14.10836315,1,75.98966825,83.60819129,44.35592651,11682.75107,529.9120951,9.7003088,0,25,0,5344.608498,613.2541356,22.55844879,83.69388549,52.47553354,183.203476,34380,25616,2,4,1
