Plate,Well,GeoMean
15,E09,55.1638251282007
15,E10,44.7212051708118
15,E11,53.1084000886974
15,F02,59.1654095414176
15,F03,70.9635449974842
15,F04,56.9557874061506
15,F05,83.4015400486913
15,F06,55.2095509398491
15,F07,57.29283930959
15,F08,59.0530525456386
15,F09,65.9309586401753
15,F10,84.1850156807162
15,F11,20.1766737959428
15,G02,66.4824817265007
15,G03,82.4175047265629
15,G04,62.9191016944054
15,G05,72.7283158983015
15,G06,82.6542443454865
15,G07,80.424567295422
15,G08,63.6126994480963
15,G09,62.3499106064628
15,G10,46.4361766707118
15,G11,60.3117638133478
19,B02,61.8368222401974
19,B03,58.2797353103706
19,B04,66.0324972979399
19,B05,92.1695306602168
19,B06,66.764850647631
19,B07,101.834636274067
19,B08,84.6319554964099
19,B09,65.8496752205185
