,,Experiment: 10 U panel 1,Analysis: Analysis 2,User: Admin,Plate: 14,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:13:05 AM,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,Count of Region Set 1 UR
D07,Rnf217.3,D07,Sample,97.04797048,78.20965842,77.03252033,61.80811808,47.93875147,38.07588076,9027.916751,2594.384964,2332.97784,605.4962731,379.8305686,179.8563726,546.3090928,712.0066253,811.665731,41.14391144,43.10954064,41.05691057,1497.218993,1235.775917,1131.223497,828.3937663,368.6094842,278.4093245,13012,8942,542,849,1476,6076
D08,Rbbp7.2,D08,Sample,99.11075182,82.42677824,81.95020747,61.84316896,52.71966527,35.06224066,10571.08476,3808.634464,2621.993264,622.6735488,323.0689823,149.0426771,802.879136,1478.725863,1077.942987,32.25545675,39.19107392,37.55186722,1621.591249,1562.059367,1341.979284,1092.762384,475.9032681,293.6028438,9893,6936,1237,717,482,4908
D09,Prmt7.2,D09,Sample,98.76695438,81.64414414,76.36363636,59.18618989,45.83333333,35.72727273,11283.45236,3155.01647,2104.327536,451.5426253,231.8342582,150.247059,739.0906838,907.7699025,881.1617519,35.51171393,41.55405405,38.27272727,1666.071553,1263.585004,995.1603173,1385.077066,418.7927758,296.4057696,12236,8294,811,888,1100,6002
D10,Prmt1.3,D10,Sample,99.26565875,78.04878049,77.64932563,71.14470842,48.52817494,42.77456647,14872.08055,2744.050889,2618.097676,894.0559975,353.7114866,294.8890268,1380.271783,1697.650482,1333.030754,30.58315335,32.88477712,37.37957611,1466.010569,1096.630015,1307.983412,1215.019196,419.1593427,331.4421123,11386,8068,2315,1189,519,6322
D11,Rnf40.2,D11,Sample,92.01841903,52.81837161,70,57.40598619,50.3131524,33.38461538,4830.15113,615.2796041,1907.334446,477.1286504,400.2584146,136.4456612,629.4070157,606.380723,959.6856847,29.00997698,32.56784969,39.07692308,1962.181777,1362.713181,1117.672376,1322.506327,431.7998479,352.650584,9297,6544,1303,479,650,4708
E02,Prmt8.2,E02,Sample,97,69.13417052,69.42446043,51.34782609,47.19101124,40.64748201,7568.772396,1669.127699,2035.198677,310.5919749,315.6373,256.3529355,1161.897077,1417.595723,749.6911299,51.47826087,49.70257766,47.12230216,1437.695392,1170.493442,949.160969,1118.112365,439.3033478,284.5422689,12400,8654,2300,1513,278,5829
E03,Psip1.2,E03,Sample,99.10946197,72.45508982,68.87755102,54.95361781,40.56886228,39.28571429,9917.533728,2100.387178,1628.966538,359.123204,195.8660546,169.7191151,923.083179,1510.369737,897.6614442,46.67903525,49.00199601,43.87755102,1577.097978,1315.417522,1154.269955,1175.98762,439.9186564,248.5958852,12950,8711,2695,2004,196,6421
E04,Prmt1.4,E04,Sample,95.14563107,64.38554217,69.6013289,64.02912621,43.3253012,39.86710963,7993.212821,1346.95398,1718.733366,581.2257946,260.2888553,185.8267263,828.2053523,1504.223785,630.6448471,51.50485437,47.80722892,50,1873.412597,1355.099272,1161.91151,1450.762889,381.6295014,330.9237608,12918,8983,2060,2075,602,6378
E05,Ring1.3,E05,Sample,98.71345029,72.06240858,58.49056604,67.60233918,47.24524622,39.62264151,10110.23639,2141.77752,1268.526776,740.9706176,322.1895198,225.7824487,620.1878768,967.2252083,541.3813038,39.29824561,43.88103364,49.05660377,1644.156483,1253.571682,1232.42009,804.0992787,338.3730749,274.789021,11491,7814,2565,2051,212,5628
E06,Rbbp5.3,E06,Sample,98.17739976,73.97260274,75.11520737,57.59416768,40.70450098,41.47465438,9196.649739,2204.455959,2051.391639,396.4446232,215.8688757,254.0682868,778.0714553,980.6055599,633.6267222,42.60834346,47.4233529,47.92626728,1569.312828,1309.1632,1002.954593,1407.69717,485.4290999,458.8336257,10258,6981,2469,1533,217,5295
