Well,shRNA,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+GFP+CD103+ as % of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+
D05,Ncor1.4,62.43154436,36.91128149,1600.230499,235.4870671,1096.012126,44.03066813,1828.86071,350.4154457
D06,Cxxcl.1,65.6167979,48.29396325,1789.107751,489.0932153,497.5339331,37.70778653,1524.880638,370.4038481
D07,Cxxcl.2,79.27631579,65.13157895,3525.351387,1037.798503,232.7274075,38.9254386,1846.355329,377.8199221
D08,Cxxcl.3,67.39305892,49.79822437,1675.765378,527.7992921,431.625778,39.62873285,1595.434304,385.4271872
D09,Cxxcl.4,70.57902973,56.80751174,1862.105101,708.9165071,444.0685137,33.02034429,1371.123459,335.2492886
D10,shCd4.3,69.91795807,50.86599818,1978.576166,475.6461113,895.2072296,45.76116682,2337.401857,538.8508091
D11,shCd4.3,98.21894005,57.47176368,8768.950244,527.4159616,245.3486592,40.6602954,2920.281117,1160.27506
E02,Smarca4.1,77.0773639,36.53295129,3362.426009,206.2439007,446.1873294,35.81661891,1759.802885,480.2481916
E03,Smarca4.2,68.09605489,35.67753002,1972.362383,210.1817458,824.7419949,44.25385935,1857.331137,446.3323322
E04,Smarca4.3,68.75,38.68243243,1884.782269,263.009323,701.729172,47.63513514,1555.013815,402.5503097
E05,Smarca4.4,67.59358289,41.60427807,2047.174439,279.8662444,478.2351234,44.70588235,1620.742173,422.9152668
E06,Klf2.1,65.67534077,41.01610905,2054.642626,313.7085941,582.6783042,35.93556382,1805.46228,411.5420611
E07,Klf2.2,64.3537415,45.44217687,1709.024497,362.7434428,302.7387781,41.49659864,1542.360436,282.2327235
E08,Klf2.3,70.42062415,48.30393487,2335.733535,442.2478173,651.1120747,42.46947083,2030.197894,456.2554658
E09,Klf2.4,75.33577534,53.35775336,3314.713153,568.0970733,414.0972026,39.43833944,2011.088373,433.1284149
E10,shCd4.4,67.95774648,49.82394366,1815.039001,486.7167905,1575.740498,42.07746479,1661.954328,510.8156183
E11,shCd4.4,96.85169843,56.75227838,7535.681863,551.9867298,546.1114211,38.11101906,2737.915517,849.6654534
F02,Runx3.1,66.86046512,35.46511628,1844.072668,212.0077435,266.4668183,32.92151163,1158.754856,274.3637642
F03,Runx3.2,96.11111111,46.11111111,11743.48258,230.0158983,540.4802849,30.37037037,3186.374213,1172.388095
F04,Runx3.3,96.11650485,47.24919094,11497.34149,302.4338596,444.958526,38.51132686,2848.046004,780.0542731
F05,empty,60,80,2363.983951,630.1729664,475.9391929,20,2665.208642,1206.220071
F06,Sp140.1,66.95437731,39.82737361,1777.456399,228.5321615,886.2856219,36.74475956,1888.296268,389.4641412
F07,Sp140.2,58.54014599,36.05839416,1307.404268,177.2913178,962.6390902,42.48175182,1975.774502,332.9035648
F08,Sp140.3,63.64617044,35.81445523,1654.924333,258.8048067,925.6957702,37.7562028,1477.040849,390.4534843
F09,Sp140.4,66.30109671,41.17647059,1954.895032,242.3758153,310.8367415,33.10069791,1430.596686,295.4669747
F10,empty,85.71428571,42.85714286,4597.173824,783.1429439,1177.188413,85.71428571,2828.193228,1698.628046
F11,empty,100,0,4981.446777,143.7470703,1,100,2073.797607,369.2852173
G02,Smarce1.1,57.69828927,43.54587869,1153.373702,341.6599034,668.5498603,43.07931571,1358.93071,297.0333264
G03,Smarce1.2,46.55913978,34.62365591,436.0365645,132.123345,1520.947815,48.06451613,1372.252517,751.7423611
G04,Smarce1.3,46.89984102,40.54054054,385.7214967,180.9670471,1182.709691,47.05882353,1426.504422,804.2571678
G05,Smarce1.4,63.16851665,38.74873865,1270.456894,257.8999649,630.7904313,52.57315843,1212.882162,398.4281267
G06,Wdr82.1,43.65004704,31.04421449,636.000144,211.8265413,415.0500311,27.56349953,1045.951184,286.5076941
G07,Wdr82.2,44.41314554,35.11737089,573.8155621,230.0237778,392.3939581,26.76056338,1119.058901,288.8374842
G08,Wdr82.3,50.67920585,32.28840125,863.9580944,191.1958087,334.2444044,28.52664577,1430.006406,278.7584088
G09,Wdr82.4,46.75118859,34.23137876,855.7330293,234.2950036,641.5013391,30.11093502,1402.586971,308.6919681
G10,empty,43.75,37.5,591.5594151,467.7185301,473.3128648,50,1340.31119,171.7210282
G11,empty,0,90.47619048,107.9661564,1972.199264,1724.366768,90.47619048,676.7330375,314.3594736
