NA,NA,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: 2,Plate Type: 96 Well,Plate Order: Row,Export Date: 12/21/2015,Export Time: 5:15:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A - CXCR3 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A - CD127 of Amet+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of untransduced
,,E03,Sample,6150,387,645,1389,3630.071033,2886.513254,3165.549915,2021.460977,6489.258958,7504.691735,1980.092028,22.99741602,35.34883721,34.48524118,21.85560274,78.92933877,27.07956928,24.94905953,92.33051362,13.43669251,4.96124031,1.799856012,14.08036589,2.067183463,0.465116279,0.503959683,1.306762496,41.48005113,64.01686545,69.16446768,41.38938673
,,E04,Sample,6230,1458,1566,653,5355.76421,3513.138342,3289.53372,2636.037587,8686.430745,7320.696295,2043.411877,20.98765432,37.67560664,36.90658499,22.95442065,53.283402,20.39646748,18.35949131,88.38526673,9.945130316,2.745849298,0.918836141,13.78363537,0.823045267,0.510855683,0.153139357,1.043382757,46.63918133,93.34115195,69.33143151,44.52754272
,,E05,Sample,8011,417,283,1994,3967.000663,2803.23871,2939.726337,1074.853411,4527.293366,6798.140976,1973.648033,15.10791367,33.56890459,34.30290873,19.87767584,94.85116255,28.92681147,23.53624332,87.82973954,16.06714628,6.007067138,1.755265797,13.71442014,2.877697842,0.706713781,0.150451354,0.541049165,30.58126825,76.66034146,61.34372608,32.50709824
,,E06,Sample,8520,291,419,2421,3233.155401,2482.865116,2901.716633,1288.09627,7651.36504,6881.997239,1680.276202,21.30584192,31.02625298,32.50722842,23.09490416,100.659571,21.23510388,19.25551911,72.34840257,12.71477663,4.77326969,1.280462619,11.47732585,1.718213058,0.715990453,0.454357703,0.654511454,41.27250564,71.81375732,66.5708135,37.51013396
,,E07,Sample,8308,374,517,2273,4822.396778,2622.618966,2984.142009,2099.526859,6136.940624,6382.145575,1711.383597,21.39037433,33.4622824,30.44434668,20.21024967,71.73486848,19.61013521,16.92223438,70.67200225,13.36898396,3.868471954,1.847778267,11.4848883,2.406417112,1.160541586,0.351957765,0.551905388,49.61901804,75.67283077,60.92165595,37.38261094
,,E08,Sample,7223,724,1111,1188,5033.438488,2848.755826,3045.629579,1735.012185,4192.861189,6516.52334,2001.747167,23.89502762,37.53375338,37.54208754,23.70475515,77.65019991,17.649441,18.85618485,78.38912488,11.1878453,2.790279028,0.757575758,12.31369766,1.657458564,0.720072007,0.168350168,0.745209368,39.82127812,59.26350496,57.26508773,38.33278992
,,E09,Sample,8119,1322,1335,1274,3438.001391,2151.447306,3255.710081,2020.629731,6040.834545,6979.281681,1773.70528,19.81845688,30.78651685,35.87127159,22.95830954,99.43579,21.64426261,18.61126522,70.09226113,16.26323752,3.29588015,1.334379906,11.5648201,0.453857791,0.524344569,0.313971743,0.742432895,25.74106212,39.07837815,56.58862557,31.2728508
,,E10,Sample,10708,627,620,2215,2127.894766,1845.084087,2987.082389,1786.856227,5267.163666,6222.97287,1847.443906,33.49282297,43.5483871,38.23927765,24.25689204,53.21482244,22.71827256,20.50825318,62.24808887,10.52631579,5,1.670428894,9.025103958,3.03030303,3.064516129,0.316027088,0.462036039,49.09942616,42.64549242,51.1395744,35.35119686
,,E11,Sample,12225,2201,1649,1674,4692.155632,3052.765278,2672.606233,2022.118902,7649.097469,6119.621635,1766.966538,25.76101772,38.50818678,36.49940263,25.9696756,28.18101709,12.5026454,14.77576399,38.74688858,4.588823262,1.455427532,0.896057348,6.946403385,0.454338937,0.424499697,0.298685783,0.370239774,38.05494416,70.4301452,54.24933863,34.97186433
,,F02,Sample,7710,586,750,1431,4228.618358,2564.664876,2959.397477,2151.41374,7061.336293,6600.564691,1943.557416,11.60409556,28.66666667,31.02725367,18.58714534,68.34606447,17.79406977,25.08679659,94.7708463,10.92150171,2.266666667,1.677148847,12.30457441,0.682593857,0.133333333,0.279524808,1.013317892,41.28059827,71.96471707,70.052876,42.4280401
