NA,,Experiment: 100U p1_1,Analysis: Analysis 1,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/20/2015,Export Time: 9:23:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,GeoMean PerCP-Cy5-5-A of untransduced,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,CD62L+ as % of untransduced,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean PE-Cy7-A of untransduced,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,CXCR3+ as % of untransduced,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,CD103+ as % of untransduced,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,GeoMean PE-A of untransduced
,Klf2.3,E08,Sample,13795,2259,2424,2430,2670.30954,1882.485884,1944.578066,2315.940888,7088.16514,6812.780921,2142.962302,32.35945108,42.12046205,38.47736626,31.1159978,127.4686211,20.58138489,20.37283962,154.2491939,16.73306773,2.681518152,1.975308642,18.05021074,0.973882249,0.247524752,0.534979424,1.007879787,35.90683043,45.59846954,39.19342793,31.04809569
,Klf2.4,E09,Sample,15741,3627,3811,1839,2771.415032,1874.295163,1935.603349,2508.555988,5709.437796,6574.364539,2272.217604,23.73862696,37.1556022,36.10657966,26.1997406,144.9648254,20.41811284,18.58324501,169.0878778,18.58285084,3.122540016,1.468189233,20.16861219,1.185552798,0.446077145,0.435019032,1.340250757,37.06725018,48.88442907,36.37996142,34.20523534
,shCd4.4,E10,Sample,15778,2664,2686,2140,2699.199591,1352.162259,1890.257144,3659.930943,6557.160738,5518.578727,2070.241924,17.68018018,28.66716307,36.68224299,24.62295082,158.2261193,21.78055372,19.9585215,165.2942314,20.4954955,3.983618764,1.401869159,20.1147541,1.614114114,0.670141474,0.46728972,1.098360656,37.72936069,43.42804579,32.95826335,32.08909706
,shCd4.4,E11,Sample,16537,844,4917,4417,2361.779017,2516.759551,2663.551759,3667.78257,3815.019387,2174.134736,1990.94491,18.12796209,15.72096807,22.79827938,23.72510928,280.8977702,234.0372637,208.5517742,267.671593,29.38388626,25.09660362,19.90038488,24.74502186,2.014218009,1.749033964,0.860312429,1.554152501,39.40338627,40.12218291,33.75249823,34.20063065
,Runx3.1,F02,Sample,19292,3133,5165,2375,2612.130756,1083.620389,1709.918115,1460.933522,4689.388645,6278.911788,2070.84034,24.51324609,34.69506292,41.43157895,31.57894737,1030.970871,33.58467355,31.29939181,150.1618293,60.83625918,3.910939013,2.484210526,15.44340303,0.861793808,0.271055179,0.294736842,0.778658976,59.49438842,30.05556649,32.78816525,35.04528052
,Runx3.2,F03,Sample,19388,3832,2825,2911,3527.415446,3286.615443,1567.586352,2087.850067,3096.444392,5964.630548,2143.562016,22.12943633,21.16814159,41.63517692,29.04312668,622.9241716,102.9049913,36.46293109,182.1181753,47.23382046,13.38053097,2.026794916,18.22102426,1.617954071,0.637168142,0.309172106,0.714285714,65.26961977,53.80977958,36.67512004,42.0076043
,Runx3.3,F04,Sample,18299,3257,2239,3171,2939.469963,2581.77981,1610.444476,1465.984982,2941.971205,5884.927899,2094.028257,21.92201412,25.45779366,40.87038789,29.5227525,914.0849224,95.7283961,33.82198967,175.1375566,57.38409579,14.60473426,1.766004415,17.41120977,1.105311636,0.75926753,0.189214759,0.915649279,64.17603678,48.09410638,36.47343014,37.31499347
,empty,F05,Sample,17605,16,12,5268,1643.417803,1887.258168,1747.069857,1381.725064,6690.879105,6658.867346,2277.532235,31.25,33.33333333,37.92710706,27.02521331,1956.044301,44.85131527,28.08911986,145.5031155,62.5,8.333333333,2.145026576,15.75112645,12.5,0,0.189825361,0.949094047,241.500081,116.9497129,48.78991932,42.74866088
,Sp140.1,F06,Sample,13519,3992,4246,874,2872.491576,1808.287059,1670.372481,2325.053405,6644.18608,6205.309168,2110.240156,29.73446894,41.33301931,44.39359268,27.1683288,152.873941,26.71676034,24.84452908,193.9041308,17.66032064,2.472915685,0.800915332,18.70655787,0.876753507,0.588789449,0.228832952,1.087941976,44.35700182,45.39349978,41.04201746,40.30798976
,Sp140.2,F07,Sample,16822,4318,4183,1607,2784.993959,2092.434673,1746.180648,2074.20999,5486.43887,6011.412715,2223.079467,36.70680871,44.01147502,38.2078407,29.0226126,116.4677271,22.92327386,23.39162899,156.9001804,14.79851783,2.103753287,1.244555072,16.8940385,2.501157943,0.525938322,0.186683261,0.784900019,36.93822782,46.1350369,43.55672775,39.26611166
