,,Experiment: panel 1 100U,Analysis: Analysis 1,User: Admin,Plate: 14,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:27:34 AM,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Amet+CXCR3+ as % of Amet+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GFP+CXCR3+ as % of GFP+,Amet+CD103+ as % of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,GFP+CD103+ as % of GFP+,GeoMean PE-Cy7-A of Amet+,GeoMean PE-Cy7-A of Amet+GFP+,GeoMean PE-Cy7-A of GFP+,GeoMean APC-A of Amet+,GeoMean APC-A of Amet+GFP+,GeoMean APC-A of GFP+,GeoMean PerCP-Cy5-5-A of Amet+,GeoMean PerCP-Cy5-5-A of Amet+GFP+,GeoMean PerCP-Cy5-5-A of GFP+,Amet+CD62L+ as % of Amet+,Amet+GFP+CD62L+ as % of Amet+GFP+,GFP+CD62L+ as % of GFP+,GeoMean Alexa 700-A of Amet+,GeoMean Alexa 700-A of Amet+GFP+,GeoMean Alexa 700-A of GFP+,GeoMean PE-A of Amet+,GeoMean PE-A of Amet+GFP+,GeoMean PE-A of GFP+,Count of live cells,Count of singlets,Count of Amet+,Count of Amet+GFP+,Count of GFP+
F07,Ring1.4,F07,Sample,22.44799226,4.285714286,1.878612717,2.177068215,0.584415584,0.216763006,46.45267495,3.19314116,3.199343757,52.87161389,31.18138149,27.77278121,6669.043112,14931.47429,10841.00181,22.54475085,30.71428571,28.97398844,6150.117853,4234.998587,3558.150205,81.46463401,138.2342769,121.1268179,29529,22472,2067,1540,4152
F08,Psip1.3,F08,Sample,42.60657734,6.64389941,2.457185406,1.485992692,0.683017696,0.446760983,291.2541989,7.085026032,4.11983921,49.81205303,43.22393981,26.67820342,4369.57008,9154.46062,9363.088391,22.31425091,35.23750388,35.14519732,4744.870725,3428.541142,3633.238892,65.67806964,91.84646642,105.6758392,23284,17285,4105,3221,1343
F09,Prmt8.3,F09,Sample,25.86975914,3.955078125,2.112820513,1.204281891,0.390625,0.328205128,83.32463448,3.627372962,2.991685501,58.2424488,40.72842222,32.20424733,4286.128916,11363.08851,11068.41121,21.23104371,32.08007813,30.89230769,5047.289131,3611.653905,3709.567801,54.61611474,89.37480494,107.2650848,32552,25306,2242,2048,4875
F10,Prmt5.4,F10,Sample,37.62580645,6.75872093,2.281802624,5.987096774,1.635174419,0.827153451,208.2777187,5.068478539,2.96710097,74.54424473,45.06151693,34.32577595,3612.279462,10779.10504,12118.02861,14.42580645,25,22.41871078,5082.40987,3344.059269,3708.998534,73.70156373,122.7799658,107.7564951,30951,23304,3875,2752,3506
F11,Rnf20.4,F11,Sample,26.82926829,3.352522858,1.452960407,2.192381474,0.541821876,0.290592081,76.97208132,3.013548125,2.909152674,54.66390332,25.95146429,28.22047387,4431.004415,14069.08674,11387.99701,15.12743217,26.92177447,28.18743189,5060.834897,3587.069498,3414.214735,91.14489486,152.4170328,114.112619,27792,21637,3649,2953,2753
G02,Rbbp7.4,G02,Sample,57.95036765,6.720647773,2.529761905,6.387867647,1.255060729,0.545634921,661.7726313,5.715498542,5.111618707,62.21563051,21.82017527,26.55281423,4597.064027,10561.46571,10284.14667,16.63602941,24.12955466,25.24801587,3553.359589,2476.019787,3393.0482,149.8373904,242.0521073,132.7141292,23397,17756,2176,2470,2016
G03,Prmt8.4,G03,Sample,30.37515127,5.266689031,1.768488746,1.08914885,0.60382422,0.321543408,123.6987238,5.062788366,3.775434656,35.88106035,27.47741307,27.07205507,4196.406916,9729.232007,9548.631732,16.94231545,24.85743039,30.06430868,3982.042987,3217.831524,3241.422081,87.27747394,128.6331314,118.3260307,24603,18343,4958,2981,1244
G04,Prmt2.4,G04,Sample,22.76410097,3.479125249,1.678657074,0.810221253,0.347912525,0.239808153,77.11319488,4.119598859,3.515775279,35.05205004,22.90294712,23.60071872,2501.123792,9876.575489,10458.18015,12.02866937,18.36481113,30.81534772,2531.075946,1578.714111,3779.543473,90.01963723,146.5715172,116.8632231,24658,18784,6418,4024,834
G05,Rnf40.4,G05,Sample,22.83597884,5.022276225,2.005975245,1.164021164,0.769542325,0.512163892,78.57640542,4.479713993,3.838589467,49.48389201,39.40790884,26.77633565,4191.498932,11853.79452,9358.394203,12.04232804,20.04860267,28.29705506,4578.765594,3450.13997,3348.165553,86.73077088,140.8152588,116.911743,30759,23232,4725,2469,2343
G06,Rnf217.4,G06,Sample,20.16129032,4.17193426,1.976573939,1.566820276,0.695322377,0.439238653,48.48860831,3.777295119,3.289122502,44.99626172,28.53327539,25.31916749,4284.282845,11411.89835,10569.87953,19.74654378,30.87863464,30.49048316,4741.142143,3362.324655,3363.695918,83.28906195,143.6513167,127.5151514,31257,23211,4340,3164,2732
G07,Prmt6.4,G07,Sample,24.72527473,4.434072345,2.208096353,2.485609628,1.166861144,0.368016059,82.94026594,4.697885523,3.720280547,56.89664153,35.34020427,31.47477045,2632.328688,7502.295483,10225.45674,14.3118786,30.68844807,27.73502844,4169.049288,3404.400176,3767.169266,78.32169253,128.6368103,118.2309262,29946,22389,3822,2571,2989
G08,Prmt3.4,G08,Sample,35.70236108,5.716100349,1.900647948,3.76818507,1.429025087,0.518358531,172.3992431,5.362396669,3.787085292,58.48087734,36.62742312,33.06189093,3689.858352,10266.03502,9819.159994,18.38778917,32.13718641,30.28077754,4228.261019,3415.700924,3469.375103,85.36346895,138.2550657,111.9744245,28578,21320,4193,3149,2315
G09,Rbbp4.4,G09,Sample,31.57894737,0,3.636695906,5.263157895,0,0.76754386,127.6853378,1.101991163,4.125049053,75.00475897,24.88251144,38.98745429,2550.885552,11810.75454,10555.21312,15.78947368,43.47826087,26.9371345,4339.037955,3572.411353,3364.164823,66.40948339,195.1481538,111.5870516,34027,25489,19,23,5472
G10,Prmt7.4,G10,Sample,31.44122383,6.142196045,2.018018018,4.428341385,1.640723601,0.396396396,106.4497373,4.182400404,3.141488336,65.82976228,32.05353693,31.71324992,4890.367443,13225.63299,11549.82018,12.80193237,27.21918385,27.20720721,5408.216421,3733.358367,3885.983035,88.82907449,159.2748426,116.9679596,25721,18492,2484,2377,2775
G11,Psip1.4,G11,Sample,39.64642044,4.776119403,2.478551001,4.288464905,0.964408726,0.540197013,191.2194982,4.717987508,3.428205596,65.93880548,37.29951212,33.23837928,4550.826424,10807.82267,11652.09421,14.26570978,26.36050517,26.50142993,4911.17075,3719.257374,3713.444253,75.07491363,114.7054229,111.4123315,32162,24712,5713,4355,3147
