"Experiment: Panel 2 100U 3-24-15","Analysis: panel2","User: Admin","Plate: Plate 0005","Plate Type: 96 Well","Plate Order: Row","Export Date: 7/10/2015","Export Time: 6:31:09 PM"
"Well ID","Well Type","Count of live cells","Count of Amet+","Count of Amet+GFP+","Count of GFP+","GeoMean BV605-A - PD-1 of Amet+","GeoMean BV605-A - PD-1 of Amet+GFP+","GeoMean BV605-A - PD-1 of GFP+","GeoMean PerCP-Cy5-5-A - Lag3 of Amet+","GeoMean PerCP-Cy5-5-A - Lag3 of Amet+GFP+","GeoMean PerCP-Cy5-5-A - Lag3 of GFP+","Amet+Tim3+ as % of Amet+","Amet+GFP+Tim3+ as % of Amet+GFP+","GFP+ as % of GFP+Tim3+","GFP+Tim3+ as % of GFP+","GeoMean PE-A - Tim3 of Amet+","GeoMean PE-A - Tim3 of Amet+GFP+","GeoMean PE-A - Tim3 of GFP+"
"C03","Sample",29126,5338,4236,2624,254.76151526842,748.426706997901,1084.19354710794,2785.00519795985,3874.40890187126,3833.44166569352,54.0651929561634,84.9150141643059,121.59406858202,82.2408536585366,267.240853262549,1150.0029234592,930.562679661079
"C04","Sample",30345,492,768,6202,372.128966299692,919.570028922182,1103.34224413503,2013.13782327273,2912.98778804437,3625.3610020658,53.6585365853659,81.5104166666667,119.499036608863,83.6826830054821,275.93853564149,778.840278237664,985.914897212609
"C05","Sample",30335,5833,4444,2561,369.65850403718,1583.87792017103,1162.71274165257,3041.37926384062,4749.17484764108,4417.22245676909,58.6833533344763,86.2736273627363,122.8886756238,81.3744631003514,328.613192974907,1247.6834464955,873.62368226319
"C06","Sample",29769,4101,3544,3432,354.417808850413,1241.31603299875,1220.00509688356,3135.3569093163,4753.64969504566,4857.7272480855,59.7659107534748,87.8950338600451,117.173096620007,85.3438228438228,347.136197991604,1301.7200827804,1106.82040027053
"C07","Sample",23807,2210,1556,3433,307.297250032321,1223.66128449584,1192.51342844449,2840.36765888714,3730.1236462999,3507.21757111206,56.8778280542986,85.2185089974293,116.887980932925,85.5519953393533,309.272153262405,1135.98811289193,1049.48317593693
"C08","Sample",26825,3855,3237,2756,368.032270296525,1612.08965310485,1260.39650664892,2716.92116418253,3805.1325401787,4099.72072341733,60.2075226977951,87.4884151992586,114.881200500208,87.0464441219158,358.409175638,1215.7525018919,1271.30379472602
"C09","Sample",30854,5870,4101,2524,393.695190062819,1426.85515881118,1232.1449614726,1939.33917248566,3249.44350897658,3737.62412424495,64.6848381601363,92.1238722262863,113.285457809695,88.2725832012678,429.937272722662,1718.29011503948,1333.55832022686
"C10","Sample",28612,1753,1348,4571,421.543738030364,1679.50939306117,1249.89636697004,2603.25357257168,3540.50321866022,3777.18366883236,68.7393040501997,91.5430267062314,110.437303696545,90.5491139794356,568.498565692811,1871.67210445877,1549.80205875318
"C11","Sample",31371,17,8,5757,527.897713561821,1191.87200367018,1194.35825515152,1538.32177060483,2853.69799405067,2937.95450196154,35.2941176470588,62.5,112.244102164165,89.0915407330207,120.451864312553,1058.02380759173,1294.13881828175
"D02","Sample",32378,1804,1656,5253,502.450870299468,1885.44975976675,1399.97016713134,2113.90436919558,3368.93214508754,3511.41990526587,55.6541019955654,89.7342995169082,110.033514872225,90.881401104131,272.494152168531,1395.99590610671,1512.79136985091
"D03","Sample",34082,4875,3852,4168,427.987355988098,1890.99995426031,1435.76497024815,1976.84374531068,3178.13504372204,4290.46393115938,62.7692307692308,91.2772585669782,112.345013477089,89.0115163147793,401.110231117376,1664.94969612934,1384.83859507079
"D04","Sample",26768,4666,3265,2619,370.154775421165,1469.86170538109,1464.8170335098,2719.94285874626,3660.33156689911,3685.52108443412,52.6360908701243,85.0535987748851,112.403433476395,88.9652539137075,255.690687928485,1194.75831556483,1235.14313929101
"D05","Sample",25138,2852,2683,3153,448.97717436653,1517.55083241795,1511.97545652015,2962.73425401274,3946.33382348913,3650.87967080524,64.2005610098177,87.77487886694,114.947138169887,86.9965112591183,416.967876476908,1230.22309297858,1151.01230902477
