shRNA,count,adjPctg,nbPctg
Sirt6.3,2,0.002337771202332428,45.538183294710386
Sirt6.4,6021,7.037860204621774,76.67716313599821
Sirt7.1,25896,30.269461527800278,84.1496568199872
Sirt7.2,5344,6.246524652632248,76.08908524694404
Sirt7.3,8157,9.534599848712807,78.19141572973436
Sirt7.4,6369,7.444632393827616,76.95553542867533
Smarca1.1,19790,23.132246047079374,82.73972539838412
Smarca1.2,35387,41.36335476846881,85.79670457234708
Smarca1.3,6371,7.446970165029949,76.95709346330226
Smarca1.4,2246,2.6253170602193165,71.93537149619894
Smarca2.1,539,0.6300293390285893,65.5618392079682
Smarca2.2,12187,14.24520882141265,80.229981668728
Smarca2.3,3699,4.323707838713825,74.30008125441496
Smarca4.1,3266,3.8175803734088545,73.70335093463703
Smarca4.2,2388,2.791298815584919,72.22210661436037
Smarca4.3,7564,8.841450687221243,77.81271468479602
Smarca4.4,1587,1.8550214490507817,70.33127167148119
Smarca5.1,18253,21.335668878086903,82.31802540154443
Smarca5.2,180,0.2103994082099185,61.04439737926799
Smarca5.3,624,0.7293846151277175,66.18951028438305
Smarca5.4,19931,23.29705891684381,82.77680970128047
Smarcc1.1,9659,11.290266021664458,79.0447415756934
Smarcc1.2,9901,11.573136337146684,79.17028052735434
Smarcc1.3,14930,17.451462025411573,81.27507767943595
Smarcc2.1,0,0.0,26.55335294971427
Smarcc2.2,1627,1.9017768730974298,70.44509370820776
Smarcc2.3,1975,2.3085490623032725,71.33746405735678
Smarcc2.4,89740,104.89579384865603,90.67305255257524
Smarcd1.1,27179,31.769141754096523,84.40418337862458
Smarcd1.2,64794,75.73677364196365,88.98478520606626
Smarcd1.3,2738,3.2004087759930937,72.86569095523446
Smarcd1.4,26434,30.8983219812277,84.25785852693373
Smarcd2.1,8571,10.01851848759562,78.440622464071
Smarcd2.2,3988,4.661515777450861,74.66278796858747
Smarcd2.3,5934,6.936167157320313,76.60519535026376
Smarcd3.1,955,1.1162857491137341,68.0473488976254
