Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+GFP+CXCR3+ as % of Amet+GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+
F06,Tet3.3,805.5058614,1133.374472,52.87056367,59.29018789,202.8418675,237.0991547,895.9563418
F07,Uhrf1.4,1064.785061,1171.01921,45.68411387,57.85123967,181.2362855,193.070397,771.3862383
F08,Trim66.3,835.5452108,1184.921663,38.14016173,59.07457323,125.1120842,187.3601488,959.2366382
F09,Trim33.3,644.7925449,1276.872802,37.99171843,56.31469979,177.1110262,187.4701035,843.6717994
F10,Tet3.4,805.3653135,985.1554583,35.00201857,57.32741219,127.6446065,182.8087207,778.0503126
F11,Usp22.4,1443.821428,676.0670148,36.41975309,52.66554433,85.43485875,139.3716628,644.7935444
G02,Ube2i.4,623.7731402,913.2914176,44.09907722,45.41039339,88.27812771,159.5553555,384.9897794
G03,Trim33.4,570.1397038,851.4919276,45.90282814,63.08919507,430.4322007,309.1590212,1074.810315
G04,Tet1.4,510.6807351,889.5252081,46.48631841,53.23383085,171.2158119,207.3773587,578.8403008
G05,Usp51.4,673.9725737,1296.516537,33.90722143,62.79292205,547.1992746,318.9167158,1026.910673
G06,Usp27x.4,256.8839754,1056.731598,44.8684698,63.0974435,259.7290043,261.2792798,1028.908473
G07,Trim24.4,1087.714585,1147.019845,42.37804878,52.35191638,261.6850052,167.5403051,580.5258105
G08,Tet2.4,608.1022499,864.9314798,46.15689382,55.11093502,212.0074009,187.2096928,705.3068319
G09,Ube2b.4,778.361369,712.872841,41.14356743,53.44934742,125.0955393,149.9980932,676.5289687
G10,Trim28.4,370.6383944,699.9729236,37.5831052,56.78529527,130.7162757,172.2011988,646.4782752
G11,Trim66.4,683.0384085,714.0025627,39.38802083,54.72005208,282.6110173,203.9382545,600.6733468
