,,Experiment: 10 U p1,Analysis: Analysis 3,User: Admin,Plate: control,Plate Type: 96 Well,Plate Order: Row,Export Date: 4/21/2015,Export Time: 10:40:14 AM,,,,,,,,,,,,,,,,,,,,,,,,
B11,shCd4.1,B11,Sample,994,231,1382,3937,92.1152516,341.1087904,221.5551561,95.67459437,1747.239729,2617.342951,1662.768576,1168.242885,40.34205231,44.42836469,38.0952381,39.54496208,95.67404427,105,94.64544139,95.23809524,47.6861167,274.4776992,321.0520305,306.7524269,706.3121135,709.6047313,625.1573473,5955.405297,7720.623878,5401.531682
C02,mll2.1,C02,Sample,263,2179,1122,5658,288.2603916,1437.324595,423.9164978,128.1017693,816.5363453,1964.922642,1613.165916,1178.396569,22.05323194,19.60784314,20.19274897,17.59684833,49.80988593,158.588064,34.13547237,63.05644791,40.30418251,159.1275983,173.1504138,680.2150279,99.55273158,166.1878707,737.4871973,376.448192,163.9290253,858.0031613
C03,mll2.2,C03,Sample,348,2934,1805,8177,341.4376508,1823.27635,550.3833312,108.8625345,596.8337408,1445.570654,1492.252113,979.8728763,30.74712644,26.20498615,31.35650988,24.19106317,39.65517241,214.3170197,25.20775623,46.65985003,27.29885057,79.32786674,133.2732559,742.6717323,73.20710765,142.1573071,931.54463,276.0784972,78.84658592,361.3169136
C04,mll2.3,C04,Sample,706,1898,1142,7489,324.9918993,757.4107026,141.2388302,80.57190974,727.6845842,1329.478667,1638.273379,1327.032869,30.31161473,38.96672504,31.085353,27.19238613,49.85835694,107.4136955,56.30472855,93.09799789,30.59490085,80.84276496,203.5923508,905.0704692,78.88777953,216.9181886,1171.624343,542.5773035,771.8422591,5934.289912
C05,mll2.4,C05,Sample,1202,2361,1465,10398,230.736068,1320.796359,349.5148923,61.67184597,731.9820607,1297.284704,1864.090621,1149.390982,34.359401,32.15017065,29.26725964,27.98800185,49.3344426,125.92,36.72354949,79.41550191,31.19800333,81.57486479,53.75057747,145.0170324,75.21243561,94.88072292,362.4878544,513.8683495,247.3542957,2230.593991
C06,Brd8.1,C06,Sample,557,916,450,4765,811.4494477,1225.978916,241.2052008,153.8239908,888.276113,1729.992828,2256.770576,1674.821092,26.21184919,33.33333333,26.63755459,24.98087223,49.19210054,103.3860045,54.66666667,96.72489083,30.34111311,70.27721704,153.8889633,716.995388,108.3337624,175.3940474,791.0810755,626.526193,1077.979498,9102.976279
C07,Brd8.2,C07,Sample,474,1221,833,5033,220.0421197,916.8416133,145.0066774,68.88654666,705.7650648,990.3608486,1515.42161,971.1816185,34.17721519,39.25570228,32.92383292,34.74747475,43.45991561,108.0530973,50.54021609,92.54709255,31.01265823,103.7266032,139.0745066,375.3772058,71.73082196,214.2656244,719.6952404,483.772356,648.4924104,4401.92216
C08,Brd8.3,C08,Sample,686,1456,1151,7125,650.8606421,345.0704739,57.39046215,152.194534,717.5871917,1042.149193,1560.82923,1521.607384,30.17492711,28.49695917,26.30494505,29.43925234,39.65014577,102.970297,55.1694179,97.11538462,19.24198251,37.82839447,141.7243813,622.833339,69.73435691,112.2252082,892.6289116,381.2612638,743.9099838,7544.375055
C09,Brd8.4,C09,Sample,349,1781,1283,5332,239.8203406,397.5447318,44.25176903,44.06843412,531.2168066,785.433065,1401.062449,1340.587118,28.65329513,23.92829306,23.63840539,32.87004864,42.40687679,103.6670547,55.18316446,96.46266143,32.9512894,107.7776668,130.3069079,303.5950696,69.61672546,163.3773716,651.4178507,429.3837313,769.7109821,7045.993262
C10,shCd4.2,C10,Sample,264,1062,739,3840,328.7634595,801.0640327,107.6566827,87.63467625,783.407722,726.87297,1516.508127,1516.320314,18.56060606,28.68741543,32.76836158,25.86926287,46.59090909,102.5096525,56.96887686,97.55178908,31.06060606,103.4490585,231.4255164,876.9507547,91.38865487,214.6847299,1068.88447,631.1397591,1034.984216,7198.15374
C11,shCd4.2,C11,Sample,557,239,1099,2810,120.0763313,183.2763217,79.32023798,97.78447271,1789.266352,2227.156631,1469.332266,1231.156634,31.77737882,49.49954504,36.82008368,33.64197531,94.61400359,101.2711864,97.72520473,98.74476987,38.95870736,186.8392727,708.8328524,602.8890607,462.1070557,1108.981384,1071.501072,5081.38381,9447.709469,6293.879625
D02,Ncor1.1,D02,Sample,602,1264,827,5809,233.7863732,1745.291538,631.5939644,69.81236528,812.7576526,1258.067835,1552.873401,1282.052682,31.89368771,43.0471584,37.8164557,28.4789644,51.1627907,111.2676056,46.191052,89.87341772,28.90365449,78.5431797,48.12171978,160.1374291,95.30431414,148.3611128,483.011691,734.796702,583.7402024,4262.44196
D03,Ncor1.2,D03,Sample,1679,12,16,8706,321.9757321,382.7138128,477.5636895,79.0721689,1013.296796,1718.246413,1773.458012,1416.217383,36.6289458,56.25,66.66666667,28.82679886,54.02025015,120,25,83.33333333,35.080405,109.3274573,205.0587394,419.8193204,122.6536779,136.9287139,325.4650479,677.3788017,32.5241581,3158.325429
D04,Ncor1.3,D04,Sample,533,1025,819,4661,150.7020363,1633.183207,526.6423695,46.99180238,639.0978771,924.9210755,1526.560869,1126.050022,36.39774859,42.002442,38.24390244,37.76896942,47.8424015,110.0966702,45.78754579,90.82926829,39.58724203,132.8187765,67.11014871,248.2048053,110.3598912,145.3360635,1099.406905,487.0775664,373.8652012,3699.798894
D05,Ncor1.4,D05,Sample,391,1370,1068,5386,268.3467708,944.187053,369.8356359,75.36954775,763.8249669,933.3958975,1464.294356,1398.507781,32.99232737,44.75655431,37.22627737,33.17948718,49.10485934,104.1033435,53.08988764,96.05839416,36.06138107,131.3613307,84.82998491,216.3594057,85.45757736,195.6694783,635.371319,703.4319422,742.8712265,6203.666395
D06,Cxxcl.1,D06,Sample,1147,1559,1438,8256,243.4580892,335.0569482,87.0269146,76.90427836,762.3122976,774.4978423,1362.537338,1432.76697,35.8326068,35.53546592,36.30532393,39.69950881,48.73583261,104.0720961,60.43115438,96.08723541,28.59633827,80.97257832,266.6366358,1044.987169,97.51713995,179.9418139,1030.356942,538.078876,1007.916243,5307.957083
D07,Cxxcl.2,D07,Sample,687,1360,812,5426,224.7834475,174.8843588,53.78918397,75.33888232,649.947871,925.6561308,1367.008684,1212.873548,35.37117904,34.85221675,39.70588235,37.37233055,45.56040757,103.6585366,60.96059113,96.47058824,27.65647744,64.34204225,271.3767374,1158.843091,84.733814,142.3578434,878.4174962,434.2506222,799.8460195,5176.834109
D08,Cxxcl.3,D08,Sample,366,1428,1004,4835,343.5772252,402.1863596,110.1702619,93.34343753,582.226677,737.9174881,1252.019967,1308.62642,37.43169399,33.36653386,35.78431373,35.49346017,46.44808743,105.9347181,57.8685259,94.3977591,27.86885246,72.94441953,256.6656468,945.5317239,101.7949255,155.8006863,868.2486221,536.3817382,908.7744953,4205.188896
D09,Cxxcl.4,D09,Sample,420,1783,1028,5577,369.6721976,507.7280477,283.4771804,110.0954992,650.4391222,801.3854341,1153.773253,1409.735022,37.14285714,32.19844358,27.42568704,34.50087566,43.0952381,108.0606061,67.80155642,92.54066181,22.85714286,62.90313198,423.8928688,966.6264766,92.73224351,155.8779952,449.7775437,489.9584564,1322.554915,3349.562845
D10,shCd4.3,D10,Sample,271,1335,1064,4261,225.3224089,758.3881299,121.7917663,47.91013911,729.558679,1275.056154,1612.70885,1251.578329,30.62730627,37.68796992,39.7752809,41.39784946,42.80442804,105.1181102,57.61278195,95.13108614,32.10332103,133.3263254,210.1915945,623.427757,77.43320841,258.4055311,1061.770265,382.6875236,1035.227263,5894.712265
D11,shCd4.3,D11,Sample,381,408,1592,3195,84.45389104,278.7250641,148.9785089,83.86358832,1517.258105,2334.3121,1459.849332,1214.279818,40.41994751,45.03768844,39.21568627,38.76404494,94.22572178,105.6994819,95.35175879,94.60784314,42.25721785,212.0579162,315.1993304,368.1261488,600.7217163,867.9085019,779.2929537,5067.684342,7014.393521,5106.444747
E02,Smarca4.1,E02,Sample,766,1599,1262,8707,324.3069753,496.8352259,248.8535307,89.7445383,798.0883588,1144.480349,1178.119847,1276.016447,39.81723238,29.79397781,14.69668543,31.96605375,47.78067885,102.1072797,69.17591125,97.93621013,23.62924282,68.71642305,104.8106016,193.6529777,77.41360471,254.6679252,592.6227601,573.4049212,1909.429281,8544.905908
E03,Smarca4.2,E03,Sample,1122,1033,1345,7802,170.85915,412.6699644,160.48019,54.45933431,593.9717591,809.927114,713.4453347,918.9184996,33.06595365,26.8401487,15.87608906,28.48342622,50.53475936,103.1968032,54.34944238,96.90222652,32.35294118,92.88935747,75.95834623,226.1043426,101.0561516,206.4504446,568.5770475,535.1855104,606.9970222,6473.295432
E04,Smarca4.3,E04,Sample,423,1891,1412,6193,165.8781839,483.5167216,164.9476176,44.45146455,714.3325528,1023.149779,1104.287653,1149.255202,34.27895981,35.19830028,23.37387626,40.11363636,51.77304965,102.9956427,60.55240793,97.09148599,28.60520095,78.97228239,103.9830455,292.0836625,110.9174741,217.9064933,823.0102182,480.2798367,1066.031682,6935.282395
E05,Smarca4.4,E05,Sample,653,1485,1182,6262,164.7600678,378.0102651,134.8151508,59.39561205,669.5088682,808.7085797,1240.896535,1168.969481,36.44716692,37.73265651,30.70707071,41.75143742,48.39203675,102.9819695,51.86125212,97.1043771,36.29402757,116.3987285,138.5850222,567.3689545,87.86697794,156.3694402,1021.404926,431.673306,578.3041212,6577.79365
E06,Klf2.1,E06,Sample,427,1656,1267,5465,224.9324915,453.605015,142.248653,57.39963194,557.17419,791.4209879,1660.451468,1211.531089,39.57845433,33.07024467,29.28743961,45.63437926,42.85714286,104.1509434,54.06471981,96.01449275,32.78688525,105.3405922,127.0968802,588.4254232,97.78250494,154.1375434,932.1140176,377.4683433,708.473382,7039.730029
E07,Klf2.2,E07,Sample,1226,1137,1525,7015,271.9311889,411.2684999,105.1545035,79.13452341,747.5633457,1039.883601,2020.873772,1377.738181,41.10929853,37.50819672,35.97185576,46.75431389,42.65905383,102.4324324,57.96721311,97.62532982,31.23980424,105.9187752,185.9999419,798.738159,103.6489355,202.959247,1200.051048,438.3006822,939.5159493,8449.793005
E08,Klf2.3,E08,Sample,849,1024,1320,5476,187.2632809,508.7128955,107.8350113,63.00391615,640.8204656,968.3363915,1705.458664,1177.032389,35.68904594,37.72727273,32.91015625,43.53887399,42.16725559,103.2258065,59.46969697,96.875,31.44876325,109.5751223,177.7020986,560.6616013,98.60418981,215.2849646,933.1331199,428.3027017,923.9161489,6700.463871
E09,Klf2.4,E09,Sample,592,1260,1581,5661,269.2655594,422.7172522,121.2179338,70.71892965,542.9763521,947.5224592,1651.996697,1195.200258,33.78378378,32.51106894,30.79365079,40.28290283,42.90540541,103.6184211,57.74826059,96.50793651,26.52027027,85.36945959,170.7695991,661.0974182,82.15447699,188.6413182,730.1148043,459.5689372,1013.057721,8573.600482
E10,shCd4.4,E10,Sample,739,1441,1109,5527,131.217246,929.4184073,319.3862887,41.2533274,652.6617934,696.5403083,1525.646954,1145.225455,34.50608931,39.49504058,39.90284525,42.73927393,47.76725304,104.4202899,57.61947701,95.76682859,39.51285521,150.8083218,239.1276721,570.4094354,91.92682038,218.3720996,910.5759882,537.5025435,926.0102318,5266.587866
E11,shCd4.4,E11,Sample,1101,415,1785,4495,89.9830303,613.5881782,305.7520537,70.60856589,1624.711388,2170.142375,1353.528137,1167.758368,39.32788374,39.71988796,38.55421687,40.81395349,97.36603088,109.2105263,95.51820728,91.56626506,56.03996367,455.7514035,546.8635006,409.7789344,989.9725476,939.6063815,703.0647194,6070.82953,6665.169382,4220.569551
F02,Runx3.1,F02,Sample,408,958,1553,5128,200.5227914,236.1355258,118.9034611,113.668568,659.6478758,583.6704757,1078.967619,1081.28431,41.17647059,39.0212492,62.94363257,44.77050414,44.60784314,102.5695931,53.57372827,97.49478079,30.88235294,91.80420299,106.6164769,266.5139302,92.24704495,111.654863,1193.881822,440.6715016,615.4784299,7194.55939
F03,Runx3.2,F03,Sample,358,1055,630,3750,394.3584215,400.5255326,175.2067235,82.75632794,733.8381928,1986.10025,1397.425429,1163.586505,41.06145251,47.77777778,57.06161137,45.76988156,50.27932961,102.4271845,89.68253968,97.63033175,31.56424581,106.5403849,271.3127472,217.7408814,113.1135941,889.5860649,1613.200805,632.8620324,5620.657619,6537.270704
F04,Runx3.3,F04,Sample,451,948,672,4176,424.8977075,533.0878799,283.9587423,100.6100256,702.5101622,2006.471923,1612.359535,1410.305012,38.35920177,45.83333333,55.5907173,41.28705712,49.00221729,102.1551724,93.60119048,97.89029536,29.04656319,76.88802943,236.1744199,142.8924465,115.0334067,747.0653226,1361.473955,621.9943817,6499.405305,7561.41363
F05,empty,F05,Sample,3164,27,19,8622,329.8197598,771.1691571,339.5543271,76.65031524,983.0656975,1845.16885,1816.934905,1490.265839,46.3653603,63.15789474,44.44444444,49.62451796,53.03413401,103.8461538,84.21052632,96.2962963,41.4664981,184.8932376,506.7204347,204.1096751,172.1611915,517.5335719,565.5130076,727.4474194,3350.395016,3359.617288
F06,Sp140.1,F06,Sample,448,1054,770,4046,112.5654765,417.5394119,102.4638623,47.83920919,646.1169599,922.2132536,1549.307241,1209.007914,43.75,36.88311688,43.64326376,49.23689449,45.75892857,104.8756219,54.54545455,95.35104364,34.15178571,131.4470182,150.5801405,585.3720431,101.9568519,187.1902087,1270.149116,414.9544048,772.8073505,5665.9807
F07,Sp140.2,F07,Sample,935,1697,1448,7110,235.4085418,698.1577649,135.1283481,64.35474376,612.9165026,1004.136246,1387.307104,1182.001795,46.09625668,49.17127072,53.97760754,48.81091618,42.88770053,106.7295597,42.33425414,93.69475545,32.0855615,125.8628806,120.381124,756.3924396,88.67438899,131.7382752,857.5097708,395.4972537,428.1208704,4253.059695
F08,Sp140.3,F08,Sample,344,1355,1093,4659,146.1590335,407.8295364,149.6947114,65.18636102,546.8188641,766.9232956,1276.110199,993.1579389,44.47674419,43.36688015,47.74907749,48.99925871,38.08139535,108.6607859,50.68618481,92.0295203,31.10465116,123.074633,181.5017989,469.2459393,67.67720593,184.6310993,821.2068182,300.1627118,555.3541863,4293.334091
F09,Sp140.4,F09,Sample,855,914,1396,5729,348.3303176,270.4567803,42.57329539,77.15994644,739.1131747,988.6006639,1671.342679,1436.789483,44.67836257,40.32951289,46.38949672,45.51010813,46.5497076,103.8636364,59.02578797,96.28008753,33.91812865,105.8594266,177.5440841,884.9384822,109.4810645,180.2915708,1260.340449,550.0246891,993.7141286,7126.077424
F10,empty,F10,Sample,2712,24,29,7438,252.7917161,243.4575451,67.99988175,62.7652509,764.6133963,1218.321636,1686.963534,1252.359492,41.92477876,58.62068966,66.66666667,46.08674582,52.21238938,218.1818182,24.13793103,45.83333333,43.25221239,186.0116905,163.5351868,635.5514791,159.7354102,75.60186163,209.4966907,546.0784782,73.73593549,579.4617693
F11,empty,F11,Sample,3860,15,17,6581,171.9932774,135.3008997,107.2138959,109.8447855,2107.516876,1296.613313,1328.048138,1419.023069,47.61658031,58.82352941,86.66666667,43.25068871,96.68393782,300,29.41176471,33.33333333,49.74093264,307.9095139,479.8743884,690.2852982,821.5056411,221.1086936,154.6346241,6839.787364,316.6264216,369.3421017
G02,Smarce1.1,G02,Sample,3725,16,29,11956,377.9535291,402.8386377,218.201833,95.67921601,951.1208272,1115.660096,1039.091586,1361.979081,38.30872483,44.82758621,62.5,38.14849751,56.6442953,177.7777778,55.17241379,56.25,41.02013423,153.0593438,219.2628607,504.3595276,144.9112511,162.9791457,319.5805845,833.2576668,1290.304409,1172.452595
G03,Smarce1.2,G03,Sample,610,1576,996,6354,315.498501,1071.677338,704.6535391,93.74886651,696.5185082,820.2280234,1067.525266,1013.71143,33.93442623,39.75903614,31.40862944,36.73300166,49.18032787,113.5446686,50.50200803,88.07106599,25.40983607,67.06542648,89.67150178,302.3730524,112.1058905,439.4078223,867.0702196,500.8756168,491.2316842,3343.829039
G04,Smarce1.3,G04,Sample,493,1556,1146,5991,318.1703774,1191.864069,990.7809178,107.3193962,639.3278101,767.0640606,897.3461831,1051.672687,36.9168357,42.32111693,30.26992288,36.49193548,48.07302231,114.6647015,50.08726003,87.21079692,24.34077079,62.17388115,92.79020138,231.0895131,105.150286,563.5403318,929.1265901,556.9026837,489.8038696,3362.908999
G05,Smarce1.4,G05,Sample,747,993,1216,6092,205.3262966,510.7994377,119.1288561,71.32607428,701.7748378,845.2391397,993.4435785,930.8414064,40.82998661,49.50657895,38.46928499,40.37238874,49.9330656,105.4140127,62.17105263,94.86404834,30.52208835,93.61925536,141.6555757,412.3548106,107.654633,305.3192995,1008.178928,624.4752032,1021.176065,5988.491611
G06,Wdr82.1,G06,Sample,359,1752,816,4718,209.0239069,487.3676897,299.3292697,73.98863302,705.9793021,814.9513546,1452.17096,1311.973533,35.37604457,25.6127451,15.12557078,40.50730208,58.21727019,117.7419355,47.05882353,84.93150685,37.88300836,158.6374373,134.9056846,527.8489013,124.8209427,152.469768,419.7097104,936.6986752,476.684768,2372.370796
G07,Wdr82.2,G07,Sample,324,1981,826,4917,341.7260199,524.3368934,355.38002,99.65875155,769.8524446,650.8609491,1382.125514,1484.516489,33.02469136,18.1598063,12.2160525,36.38376384,48.7654321,117.4970344,42.13075061,85.10853104,23.14814815,67.87837158,115.6329526,494.9582998,76.20851638,133.4876116,394.0646463,587.1916771,369.2280127,2363.652727
G08,Wdr82.3,G08,Sample,660,1864,929,6081,288.022578,404.6320328,171.8837745,95.12806639,688.0167357,890.148091,1516.956507,1450.455526,37.87878788,25.94187298,13.78755365,39.28571429,49.24242424,127.148704,41.11948332,78.64806867,30.60606061,92.78805952,72.83537139,305.7996453,94.27701616,116.9492068,386.4856078,691.1759006,392.1598457,2330.659938
G09,Wdr82.4,G09,Sample,649,772,423,4773,592.9533554,534.4525881,436.3290164,102.3783894,666.4937217,835.692907,1300.717233,1540.834899,31.74114022,25.29550827,15.80310881,35.34864974,44.83821263,141.1334552,38.06146572,70.85492228,27.88906009,86.96399905,87.96507208,321.7761186,105.3768759,113.6808812,327.6928249,573.6069443,305.1085892,1731.581206
G10,empty,G10,Sample,4,8,2,4007,517.2692306,920.9966079,84.56708277,123.8781342,915.2339483,2903.150028,811.1821497,1657.113662,50,0,37.5,36.31967422,25,266.6666667,50,37.5,25,48.98396534,433.6356326,193.3197859,35.49498257,40.7906329,164.8676229,116.1285128,159.3590985,278.49726
G11,empty,G11,Sample,27,2,3,6483,558.6000502,474.5494287,25.39555962,56.45922599,364.9631968,587.9795971,1602.729427,8.457989329,29.62962963,33.33333333,100,0.38449215,33.33333333,200,33.33333333,50,62.96296296,547.3528507,247.1079342,2251.83424,323.9301167,99.82971519,1164.860386,409.4447573,234.6296093,2922.207425
