NA,NA,Experiment: 10 U p1,Analysis: Analysis 3,User: Admin,Plate: 15,Plate Type: 96 Well,Plate Order: Row,Export Date: 6/2/2015,Export Time: 2:02:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Well ID,Well Type,Count of GFP+,Count of Amet+,Count of Amet+GFP+,Count of singlets,GeoMean PerCP-Cy5-5-A - CD25 of GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+GFP+,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean PerCP-Cy5-5-A - CD25 of Untransduced,GeoMean Alexa 700-A - CD44 of GFP+,GeoMean Alexa 700-A - CD44 of Amet+GFP+,GeoMean Alexa 700-A - CD44 of Amet+,GeoMean Alexa 700-A - CD44 of Untransduced,GFP+CD62L+ as % of GFP+,Amet+GFP+CD62L+ as % of Amet+GFP+,Amet+CD62L+ as % of Amet+,CD62L+ as % of Untransduced,GFP+CXCR3+ as % of GFP+,Amet+ as % of Amet+CXCR3+,Amet+GFP+CXCR3+ as % of Amet+GFP+,Amet+CXCR3+ as % of Amet+,GFP+CD103+ as % of GFP+,GeoMean APC-A - CD103 of GFP+,GeoMean APC-A - CD103 of Amet+GFP+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of GFP+,GeoMean PE-A - CD127 of Amet+GFP+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+GFP+,GeoMean PE-Cy7-A - CXCR3 of Amet+,Amet+GFP+CD103+ as % of Amet+GFP+,Amet+CD103+ as % of Amet+
,,E07,Sample,173,1887,1395,4848,209.3358569,519.9948586,91.28053963,56.19249958,441.055773,639.7608244,1046.280517,901.7399339,38.7283237,31.82795699,42.55431902,43.10954064,44.50867052,105.360134,46.4516129,94.91255962,26.58959538,70.79226332,84.19777443,289.6706005,80.0608259,164.9208568,830.8450093,321.7798669,460.8797792,4548.696856,29.10394265,47.58876524
,,E08,Sample,714,2708,2551,9223,339.88802,744.6636717,149.7199553,101.3473671,664.5268187,1114.276488,1704.943387,1439.609487,38.79551821,38.45550764,39.58641064,40.59451928,50,103.7150517,60.09408075,96.41802068,30.25210084,86.36977322,162.7527226,492.8078695,72.65889482,163.8542333,863.7092471,556.5844571,1058.189862,6158.028743,41.94433555,59.71196455
,,E09,Sample,3666,429,724,11694,264.9457219,623.436307,76.21162327,62.56614064,813.1407174,1157.6121,1603.610526,1357.158092,40.12547736,48.89502762,43.82284382,41.45376035,54.22804146,102.1428571,60.35911602,97.9020979,40.61647572,143.3142029,246.6514699,975.9508645,113.5008425,200.709517,1149.608097,572.6065652,869.675113,7867.365429,48.89502762,73.42657343
,,E10,Sample,342,3955,3372,10473,447.5069047,1016.616935,152.4341008,77.72095629,480.3430191,733.4899329,1488.125925,1138.693181,25.43859649,24.43653618,30.99873578,34.65176268,27.48538012,105.102312,40.3024911,95.14538559,17.54385965,59.11309629,57.3229554,284.108238,62.96666007,108.2300069,655.959553,227.5943947,370.0955598,4719.706585,22.15302491,44.80404551
,,E11,Sample,2281,820,1131,10009,292.0687084,859.2636617,147.7987143,71.54853351,779.5221904,1006.464481,1447.526517,1365.267351,37.87812363,46.68435013,45,40.8839779,50.50416484,104.0609137,57.29442971,96.09756098,36.73827269,122.069303,157.7280456,481.6524923,106.3587731,173.7872796,718.1858802,601.3329233,941.1379679,6234.633089,41.29089302,55
,,F02,Sample,408,2703,2090,7573,414.3164627,1452.881247,340.9506514,136.8616329,573.9340918,933.2327318,1458.460726,1037.590111,37.5,35.50239234,39.99260081,48.01699717,49.50980392,104.6052632,52.72727273,95.59748428,38.97058824,151.2725278,165.8826834,476.7066271,126.8935761,191.6023231,700.8737755,629.8730838,736.1379182,5941.925341,39.95215311,57.12171661
,,F03,Sample,629,2057,2074,7618,250.485927,644.1138315,139.1313992,87.29525173,655.8494178,923.3504123,1293.893559,1094.833204,35.45310016,45.56412729,46.37822071,47.92966534,43.40222576,103.4188034,60.46287367,96.69421488,36.40699523,128.8117632,198.7657218,481.672491,93.76738271,201.6678158,892.3797101,437.8687967,965.0313218,6162.162134,45.13018322,57.3650948
,,F04,Sample,520,2205,2186,7225,235.9809983,457.6480274,114.3308323,77.38103353,600.7364778,913.6545997,1203.392176,1117.240075,36.15384615,38.33485819,40.99773243,45.39069359,43.46153846,104.2553191,52.74473925,95.91836735,34.03846154,107.4278303,173.1746491,483.3505394,89.36757793,167.1577277,974.8614781,401.2508116,662.8655379,5519.947601,43.13815188,59.77324263
,,F05,Sample,310,1786,1211,4998,148.5986884,580.0890261,197.574192,71.19871131,558.9848618,733.1910264,1143.263278,887.2643412,36.4516129,41.94880264,46.7525196,47.02380952,44.51612903,104.0186372,57.55573906,96.13661814,37.09677419,143.2385918,162.3126757,422.3592132,90.4751431,210.7350381,1153.879115,423.7316021,856.7953039,5269.569578,39.38893476,57.22284434
,,F06,Sample,784,1851,1840,7261,177.7723161,423.7699463,119.9215017,77.05124593,540.0136443,901.2237984,1444.187885,836.1973913,44.64285714,45.76086957,40.57266343,44.48669202,43.75,107.3665893,53.20652174,93.13884387,32.90816327,107.7357182,170.1093405,428.6294441,78.06960436,165.9730243,732.3487195,311.7633997,560.2273194,4665.751927,43.47826087,55.42949757
