"Position","Pool","shRNA","Percentage","precentile","z"
"19_E11",3,"Zmynd11.3",31.70470756,44.223766640914,-0.145298330484914
"19_F02",3,"Wdr82.3",15.14928124,6.89789357364432,-1.48343877631707
"19_F03",3,"Eaf1.3",35.64762971,56.8831413267604,0.1733998112421
"19_F04",3,"Brdt.2",52.60192244,93.867915600013,1.5437797938514
"19_F05",3,"Whsc1l1.3",39.23120407,67.8336676152947,0.463052623502817
"19_F06",3,"Whsc1.3",26.91190707,29.7123970526384,-0.532690358965953
"19_F07",3,"Chd7.1",29.86330179,38.4327257624951,-0.294135303353982
"19_F08",3,"Arid1a.1",25.88809947,26.913123815384,-0.615442583634146
"19_F09",3,"Zmynd8.3",39.45068664,68.4668165804276,0.480792940085145
"19_F10",3,"Whsc1.4",31.15024766,42.4609835896248,-0.190114163278403
"19_F11",3,"Clock.2",28.49127182,34.2726401748609,-0.405033613084184
"19_G02",3,"Cbx2.3",23.30683625,20.4946857055242,-0.824080685079362
"19_G03",3,"Zmynd8.4",29.57467854,37.5445731660794,-0.317464116334531
"19_G04",3,"Wdr5.4",31.09859155,42.2974635295143,-0.194289418492571
"19_G05",3,"Fbxo17.1",31.13590264,42.4155605543601,-0.19127364120952
"19_G06",3,"Dpy30.3",21.71016102,17.0260431852877,-0.953136600814992
"19_G07",3,"Whsc1l1.4",31.31217432,42.9743995155875,-0.177025970391292
"19_G08",3,"Wdr82.4",20.03012048,13.8092210203206,-1.08893076000833
"19_G09",3,"Brd7.1",32.25078935,45.9711850483408,-0.101159682780707
"19_G10",3,"Zmynd11.4",6.934476377,1.58797607614896,-2.14742425330351
"19_G11",3,"Arid1a.2",8.433987406,2.13710243511757,-2.02622191649312
"16_B02",3,"Sirt1.1",30.96716948,41.8820443958732,-0.204911989240238
"16_B03",3,"Smarca5.1",56.33802817,96.7536571025621,1.84576139738031
"16_B04",3,"Smarcc2.1",24.38848921,23.0666715672931,-0.736652941078501
"16_B05",3,"Smarca4.1",60.18223235,98.4476912609229,2.15648037228708
"16_B06",3,"Sirt4.1",34.26086957,52.4444192003302,0.0613108927127061
"16_B07",3,"Smyd3.1",34.4548034,53.0682721753197,0.076986158134572
"16_B08",3,"Smarcd3.1",19.56342669,12.9944686382171,-1.12665264189447
"16_B09",3,"Sirt7.1",38.29842932,65.0865575141602,0.387658393496303
"16_B10",3,"Sirt3.1",41.16394606,73.2131443355201,0.619272111795472
"16_B11",3,"Smarce1.1",24.55254704,23.4719391862692,-0.723392490182516
"16_C02",3,"Smarcd3.2",37.82080144,63.647513912863,0.349052732009171
"16_C03",3,"Sirt5.1",36.60840812,59.9115180226473,0.251057518452585
"16_C04",3,"Sirt1.2",30.07662835,39.0931301194405,-0.276892564170553
"16_C05",3,"Smarce1.2",50.19585898,91.1380124182513,1.34930272217519
"16_C06",3,"Smarcd1.1",30.71648954,41.0921987131508,-0.225173923918872
"16_C07",3,"Smarcc2.2",21.53846154,16.6768339981546,-0.967014710280454
"16_C08",3,"Sirt4.2",32.0754717,45.4091684576515,-0.115330241351575
"16_C09",3,"Smyd2.1",30.30148186,39.7926366638389,-0.258718125753656
"16_C10",3,"Smarca5.2",38.75862069,66.4528699738698,0.424854698388554
"16_C11",3,"Smarca1.1",24.47345001,23.2760581913432,-0.729785737504715
"16_D02",3,"Sirt3.2",49.1255144,89.6667492484383,1.26278901085234
"16_D03",3,"Smyd2.2",32.16855087,45.7074455742427,-0.107806846928864
"16_D04",3,"Smarca5.3",47.7443609,87.5165406039326,1.15115326529501
"16_D05",3,"Sirt6.1",37.6109215,63.008881189541,0.332088575903838
"16_D06",3,"Sirt5.2",35.8922009,57.6586295964037,0.193167988448684
"16_D07",3,"Smyd2.3",64.28571429,99.3579634362877,2.48815622566105
"16_D08",3,"Smarcd1.2",35.72216097,57.1197612705991,0.17942401693497
"16_D09",3,"Sirt7.2",53.63773206,94.8184750286376,1.62750211666646
"16_D10",3,"Sirt1.3",33.8905277,51.2515532263823,0.0313769347793224
"16_D11",3,"Smyd3.2",20.19230769,14.1003545770512,-1.07582150741026
"16_E02",3,"Smarca1.2",33.19327731,49.0035316839331,-0.024980354347331
"16_E03",3,"Smarca4.2",66.87279152,99.6504411728359,2.69726426136124
