Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+
E04,Fkbp2.2,192.7840316,1640.471641,48.36817015,103.6488027,96.47964796,720.8870668,1080.731822,6475.760532
E05,Phc3.3,192.0113526,1510.696119,54.35370471,103.9347948,96.21416982,782.793656,952.3491208,5676.994003
E06,Paf1.3,74.88145259,1309.037487,44.54810496,102.0833333,97.95918367,1030.45686,867.9353758,8895.177871
E07,Hdac5.1,144.6092474,1448.71608,47.69560557,104.1876047,95.9807074,914.3048558,882.0624212,5890.357319
E08,Fkbp5.2,156.4723009,1397.455223,47.31707317,102.4146545,97.64227642,848.0845313,1200.883905,6622.913285
E09,Phf17.1,137.1567419,1632.791903,38.46501129,103.5046729,96.61399549,802.7631197,1044.402119,6389.263131
E10,Phc2.1,114.8209159,1325.562485,34.75279682,103.2414307,96.86033923,596.3108882,992.0484345,6115.780123
E11,Iws1.3,78.77946781,1226.720462,45.48463357,102.6200873,97.44680851,548.6913346,1179.716987,6640.685503
F02,Gtf2h1.3,93.91104439,1460.462192,45.90792839,107.1232877,93.35038363,586.7827632,1097.503576,5868.431072
F03,Satb1.1,170.8233812,1499.99092,35.89645984,102.657288,97.411496,1008.092377,1290.945506,6402.188924
F04,Parp2.1,114.4019063,1456.046008,48.13059505,102.6486486,97.41969458,894.4692674,1448.168019,7139.351885
F05,Hdac5.2,109.8637386,1476.63404,52.3556231,102.7322404,97.34042553,444.8961749,1163.654048,6967.155888
F06,Hdac11.1,142.4400015,1237.828579,48.99665552,102.4411135,97.61705686,564.0216065,1182.371901,7050.974431
F07,Phf10.1,560.8932899,1881.447693,42.53246753,104.3183743,95.86038961,742.4209645,892.3758464,6257.406309
F08,Mecp2.2,131.256817,1501.852233,48.05031447,102.9792746,97.10691824,796.4446165,1255.898872,7208.498781
F09,Kdm4b.1,97.45547352,1465.606659,43.36324988,102.6673133,97.40198394,692.7800523,1263.46422,6130.059819
F10,Hdac11.2,102.1023358,1649.101094,41.03139013,102.5582064,97.50560538,579.1563516,1115.538013,7039.89012
F11,Phf17.2,109.7052504,1432.361197,36.02530703,102.2450533,97.80424265,575.8239596,1088.9528,8000.081879
G02,Phc2.2,147.2940475,1525.385299,33.74679213,104.7021944,95.50898204,581.7039038,837.0494005,6470.723249
G03,Kdm4b.2,145.2439456,1398.601588,40.58823529,102.3069208,97.74509804,393.8080821,913.2334679,6619.066701
G04,Fkbp5.3,125.5545757,1355.980869,55.1754386,103.2608696,96.84210526,706.2190207,1195.833639,6038.727918
G05,Satb1.2,175.7393227,1325.160803,43.94197952,107.7205882,92.83276451,455.4876788,686.1592622,4349.980967
G06,Rnf2.1,141.1271635,1521.554896,44.96029322,102.0573566,97.98411729,676.647722,1033.305308,8157.45734
G07,Hdac5.3,159.4600126,1260.831471,42.94444444,106.0070671,94.33333333,417.3752412,908.6401783,5389.199188
G08,H2afz.1,106.7149413,1068.261842,54.4709098,103.9366883,96.21241702,712.0872403,1299.319515,5231.729671
G09,Padi3,112.1588211,1311.403303,36.26302083,103.8539554,96.2890625,483.6431808,661.9628674,6246.454464
G10,Jmjd8.1,130.1442254,1462.94716,28.97842898,103.7584459,96.37769638,449.8057173,969.4071794,5913.88111
G11,Mecp2.3,117.8913587,1175.225667,39.38814532,104.4746304,95.71701721,267.3032065,812.0523492,5480.294262
