Well,shRNA,GeoMean PerCP-Cy5-5-A - CD25 of Amet+,GeoMean Alexa 700-A - CD44 of Amet+,Amet+CD62L+ as % of Amet+,Amet+ as % of Amet+CXCR3+,Amet+CXCR3+ as % of Amet+,GeoMean APC-A - CD103 of Amet+,GeoMean PE-A - CD127 of Amet+,GeoMean PE-Cy7-A - CXCR3 of Amet+
D06,Sp110.2,159.5439284,1439.336023,29.55404384,105.0833995,95.16250945,875.1726944,1022.336059,4965.959005
D07,Taf3.3,181.9335756,1152.077222,32.2138451,103.9173789,96.23029472,406.1586473,534.7180601,5497.868968
D08,Suv420h2.2,112.5623448,1524.515083,40.12572027,103.6936448,96.43792562,664.6684988,1076.572235,5541.93037
D09,Ssrp1.2,204.5879858,1312.45454,24.94099135,111.0043668,90.08654603,251.6034104,426.8996077,3924.198406
D10,Smyd4.3,132.0017103,1193.535541,29.47845805,107.6776994,92.86974049,214.1765113,494.9007701,4392.820067
D11,Tcea1.2,180.08641,1065.946507,33.72809095,104.2469136,95.92610137,196.2696831,441.1763528,5519.434025
E02,Supt16h.2,369.1366008,1648.013909,33.49191246,107.9055441,92.67364415,237.9927241,479.7506428,5272.664427
E03,Suv39h1.2,135.6846768,1430.752318,44.30417794,105.0520998,95.19086264,491.1939514,915.6076965,4813.062565
E04,Smyd4.4,139.3238375,1268.753768,39.29139223,103.4296453,96.68407904,320.6155856,777.2460438,5839.12593
E05,Suz12.3,73.06564761,1540.329964,37.86516854,104.0935673,96.06741573,782.5101598,1154.762616,5361.975521
E06,Suv420h1.3,93.9285258,1370.692337,42.350248,104.4639299,95.72682182,498.3087263,1025.669879,4703.653361
E07,Sp140.2,129.5157495,1226.632321,49.29195541,106.0383387,94.30551371,520.0331637,761.6757547,4124.762543
E08,Smyd5.3,86.04335272,1226.22366,38.73343152,104.0878896,96.07265587,309.1447585,773.3100779,5491.262226
E09,Taf1.3,244.2207109,528.750267,34.24460432,112.8613186,88.60431655,205.8762688,397.2331449,3645.579813
E10,Suv420h2.3,164.6100352,1641.774547,27.35132303,103.469775,96.64658108,413.5190095,657.1655463,5996.745499
E11,Ssrp1.3,522.5208939,1721.039923,26.24113475,110.15625,90.78014184,163.5993472,319.5484509,3940.866879
F02,Sp100.3,249.9064069,1547.825618,41.34658834,105.6324582,94.66787167,437.869693,988.1254899,4867.614749
F03,Tcea1.3,117.0469638,1286.722508,46.98242934,104.4692737,95.72192513,592.0794434,1270.788729,5704.633129
F04,Suv420h1.4,159.5114671,1452.05878,42.87028519,105.2274927,95.03219871,691.8193596,1128.865985,5040.702157
F05,Sp140.3,208.6258169,1377.554159,42.46849943,102.9177719,97.16494845,491.4520471,1010.720391,5785.847259
F06,Sp110.3,119.9901802,1560.056571,40.17429194,105.7603687,94.55337691,475.9662609,945.2460248,4834.667957
F07,Suz12.4,321.351309,1767.540338,38.32271762,104.6666667,95.54140127,366.6050996,686.0762624,6576.899068
F08,Suv39h1.3,146.401353,1268.415395,39.35536295,104.4413013,95.7475623,550.0455891,984.9187352,5205.203517
F09,Supt16h.3,230.8603903,1210.319867,46.18717504,104.9090909,95.32062392,616.1580606,879.8856999,5404.966536
F10,Sp110.4,205.2521471,920.5589207,50,109.0909091,91.66666667,254.2329362,728.2846255,3780.989295
F11,Taf1.4,1237.936059,113.4425639,24.55020313,164.8803828,60.65002902,52.09569676,146.8447538,974.9429483
G02,Suv420h2.4,162.9388731,1379.731497,37.33624454,104.56621,95.63318777,394.1368365,841.5117474,5525.093479
G03,Supt16h.4,179.6318631,1432.293832,37.52665245,105.9647537,94.37100213,308.114996,821.4568694,5384.000617
G04,Smyd5.4,153.7339639,1423.473865,35.08881271,104.3577236,95.82424431,701.1907958,1097.009722,5512.508697
G05,Tcea1.4,135.8498414,838.4224075,41.05195638,105.8743633,94.45157152,417.7525482,845.7778868,4792.317732
G06,Taf3.4,128.4658357,843.1957856,45.25183631,103.3902902,96.72088143,651.7848893,747.0812728,6442.614648
G07,Sp140.4,52.18183172,1365.639506,44.34550312,103.6934441,96.4381122,800.9931233,1248.356494,6488.158582
G08,Sp100.4,110.4043454,1464.667137,38.77659574,103.6383682,96.4893617,447.331243,788.5905223,6427.48381
G09,Suv39h2.4,127.4378019,1270.07846,40.40942232,103.3922876,96.7190129,405.6066083,938.8049881,5861.537645
G10,Ssrp1.4,227.2326318,1302.395197,30.5516662,106.4064362,93.97927751,283.2113575,539.2185113,4786.335875
G11,Suv39h1.4,287.6359208,1102.760317,38.2243791,108.8902704,91.83556951,293.9650981,538.5050907,4045.594441
