type,shRNA,count,pctg,nbPctg
target,Aurkb.3,1958,0.017362530524091264,92.30751076869068
target,Aurkb.4,1105,0.009798568043473364,91.62201712077464
target,Baz1a.1,1,8.867482392283589e-06,85.7172966043305
target,Baz1a.2,185622,1.6459998166204641,97.7771599497469
target,Baz1a.3,0,0.0,85.7172966043305
target,Baz1a.4,8854,0.07851268910127888,94.12484813949413
target,Baz1b.1,4367,0.03872429560710242,93.2709838529282
target,Baz1b.2,52634,0.46673106823545435,96.2895279060118
target,Baz1b.3,8134,0.0721281017788347,94.0218660751142
target,Baz1b.4,165,0.001463134594726792,89.39061426220749
target,Baz2a.1,2749,0.024376709096387582,92.71285167603926
target,Baz2a.3,0,0.0,85.7172966043305
target,Baz2a.4,706,0.006260442568952212,91.0964156593477
target,Baz2b.1,37338,0.3310940575630846,95.87335495717531
target,Baz2b.2,5969,0.05293000239954074,93.64758125013167
target,Baz2b.3,836,0.0074132152799490795,91.30365655267201
target,Baz2b.4,1083,0.009603483430843126,91.6097987940425
control,Bcl6,9943,0.08816937742647571,94.2646715868063
control,Bcl6.2,14541,0.12894206146619563,94.72667650803531
control,Bcl6.3,7,6.207237674598511e-05,85.7172966043305
target,Bmi1.1,2965,0.02629208529312084,92.80291881292567
target,Bmi1.2,3543,0.03141749011586075,93.01988147839792
target,Bmi1.3,1351,0.011979968711975127,91.86347375886882
target,Bmi1.4,489904,4.344215093909299,98.80427155329868
target,Bop1.1,1133,0.010046857550457304,91.65794304664007
target,Bop1.2,1110,0.009842905455434783,91.63411230298648
target,Bop1.3,33,0.0002926269189453584,87.3889585417664
target,Bop1.4,9,7.98073415305523e-05,85.7172966043305
target,Bptf.1,1285,0.011394714874084411,91.80228412458271
target,Bptf.2,1653,0.01465794839444477,92.10582243795814
target,Bptf.3,165,0.001463134594726792,89.39061426220749
target,Bptf.4,703,0.006233840121775362,91.0964156593477
target,Brd1.1,1209,0.010720786212270858,91.73781218211117
target,Brd1.2,16384,0.14528483151517432,94.87142676823714
target,Brd1.3,76,0.0006739286618135526,88.46851703098434
target,Brd1.4,151,0.0013389898412348217,89.30804003144569
target,Brd2.1,375,0.0033253058971063456,90.36430269222751
