type,shRNA,count,pctg,nbPctg
target,Ing3.2,2405,0.023187262258252305,67.9963805595871
target,Ing3.3,4568,0.044041336380747,72.33667373625171
target,Ing3.4,1755,0.016920434620886816,65.97651596758354
target,Ing4.1,4036,0.038912178991395555,71.48911266067293
target,Ing4.2,2385,0.02299443679248721,67.9394117315866
target,Ing4.3,36451,0.35143405263016825,87.42532543472853
target,Ing4.4,1278,0.012321547262389375,63.98170583247202
target,Ing5.1,232,0.0022367754028750665,54.21445462018001
target,Ing5.2,33294,0.3209965528591485,86.7650843295392
target,Ing5.3,16724,0.16124065447276986,81.68357999233119
target,Ing5.4,1,9.641273288254595e-06,38.08748733416047
target,Ino80.1,12575,0.12123901159980155,79.58053944146737
target,Ino80.2,49530,0.4775322659672502,89.61334558572119
target,Ino80.3,15482,0.14926619304875766,81.1116692529534
target,Ino80.4,19609,0.18905572790938438,82.86168568033548
target,Iws1.1,0,0.0,38.08748733416047
target,Iws1.2,0,0.0,38.08748733416047
target,Iws1.3,2,1.928254657650919e-05,38.08748733416047
target,Jarid2.1,39373,0.3796058531784482,87.98286263527369
target,Jarid2.2,158674,1.5298193977405097,96.60776084484903
target,Jarid2.3,13683,0.13192154240318762,80.2026278554598
target,Jarid2.4,28411,0.2739182153926013,85.60450719287314
target,Jhdm1d.1,20596,0.19857166464489168,83.22501806984567
target,Jhdm1d.2,9357,0.09021339415819826,77.42489773381197
target,Jhdm1d.3,10203,0.09836991136006165,78.04939688986644
target,Jhdm1d.4,2488,0.023987487941177436,68.21984709637067
target,Jmjd1c.2,77143,0.7437567452758244,92.5917132919458
target,Jmjd1c.3,1191,0.011482756486311224,63.51343329151504
target,Jmjd1c.4,12667,0.12212600874232096,79.63486799706529
target,Jmjd4.1,556,0.005360547948269555,58.98407629992085
target,Jmjd4.2,29270,0.282200069147212,85.82399888881356
target,Jmjd4.3,5131,0.04946937324203433,73.14038751769661
target,Jmjd4.4,35,0.00033744456508891083,45.2753320807847
control,Klf12,0,0.0,38.08748733416047
control,Klf12.4,2358,0.022734122413704337,67.88198739632345
control,Klf12.5,18034,0.17387072248038338,82.2406461749371
control,Klf2,4462,0.04301936141219201,72.17789565505572
control,Klf2.2,285,0.0027477628871525597,55.2838747507739
control,Klf2.3,18448,0.17786220962172078,82.40916069513426
control,Klf2.4,2369,0.02284017641987514,67.91075697545284
control,Klf2.5,1,9.641273288254595e-06,38.08748733416047
control,Klf2.6,17793,0.17154717561791402,82.14200138811835
control,Klf2.7,0,0.0,38.08748733416047
control,Ms4a1,7557,0.07285910223933999,75.88111847689619
control,Ms4a1.2,9410,0.09072438164247575,77.4649600117505
control,Nfatc3.2,113066,1.0901002056097941,94.88350621961625
control,Nfatc3.3,484,0.004666376271515224,58.184461089468286
control,Nfatc3.7,1,9.641273288254595e-06,38.08748733416047
control,Nfatc3.8,0,0.0,38.08748733416047
control,Runx3,0,0.0,38.08748733416047
control,Runx3.2,430,0.004145747513949477,57.54366998280337
control,Runx3.3,4168,0.040184827065445156,71.69737979605505
control,Tbx21,28086,0.27078480157391854,85.51802570396559
control,Tbx21.3,32,0.00030852074522414705,45.2753320807847
control,Tbx21.4,6,5.7847639729527575e-05,38.08748733416047
