plate,shRNA,Well,Percentage
17,Ssrp1.2,D09,43.98111723
9,Men1.3,F03,44.61795873
10,Myst2.1,B08,44.63040446
2,Baz2a.3,F02,32.16601816
12,Pcmt1.3,F06,44.63373083
9,L3mbtl4.1,B03,44.63855422
control 3,shNcor1.3,D04,44.29268293
10,Mta1.4,G03,44.86404834
16,Smarce1.4,F11,44.48065173
2,Brpf1.1,C09,32.66475645
15,Sin3a.3,D07,44.55445545
16,Smarca1.1,C11,44.61077844
9,Kdm5d.3,F02,45.25586354
5,Ezh2.4,F11,32.88530466
16,Sirt3.3,E08,44.77730647
15,Setmar.3,E10,44.80404551
19,Whsc1l1.1,D05,44.82758621
15,Setd1a.4,F10,44.84817026
control 3,shWdr82.3,G08,44.90343348
19,Wdr82.3,F02,44.91370558
control 3,shSmarce1.3,G04,44.92287918
control 2,shBptf.1,B02,45.45454545
control 3,shWdr82.4,G09,45.07772021
2,Brpf3.1,B07,33.28748281
control 1,shSmarca4.1,E02,33.29466357
5,Ezh1.1,B08,33.33333333
12,Prdm1.1,B07,45.65908535
12,Pcgf6.4,G08,45.80792683
5,Ep400.1,B05,33.56445005
14,Psip1.3,F08,45.87027531
19,Dpy30.2,D07,45.45454545
6,Hdac6.1,B07,33.64485981
control 1,shSmarca4.3,E04,33.77031987
control 3,shRunx3.1,F02,45.61586639
5,Ezh2.1,B11,33.78995434
9,Mbd4.4,F11,46.07206143
2,Bop1.1,B09,33.86627907
8,Kdm4d.1,C09,46.40628146
5,Epc1.2,C10,34.36213992
2,Brd2.3,D04,34.38453713
15,Setmar.4,G02,46.2254025
8,Kdm4c.3,E09,46.67844523
16,Sirt3.1,B10,46.3588898
12,Phf20.4,G09,46.77477477
14,Prmt2.1,B10,46.8344775
1,Atr.1,B11,34.76465731
12,Phc1.3,F05,46.89378758
6,Hdac10.4,G02,34.76821192
15,Sin3a.2,D03,46.5993266
control 1,shSmarce1.2,G03,34.91218733
17,Taf1.2,C05,46.82352941
10,Mta2.2,E03,47.13983051
19,Clock.2,F11,46.87282835
12,Phc1.4,G07,47.25935829
8,Jmjd6.3,E08,47.31222386
19,Wdr82.4,G08,47.15649647
17,Suv39h1.4,G11,47.1595775
1,Ash1l.4,G07,35.38812785
16,Smarca4.3,F08,47.17921805
control 3,shCd4.1,B11,47.18614719
15,Setd8.4,G11,47.20873786
5,Elp4.4,G10,35.44913573
5,Elp4.1,B09,35.50583658
11,Pcgf1.3,F03,47.55011136
9,Men1.4,G05,47.61453397
17,Supt16h.4,G03,47.42004264
10,Mll3.4,G08,47.66550523
10,Msl3.3,E11,47.74700289
15,Setd2.2,E07,47.58876524
15,Rpa3.3,D10,47.59358289
18,Ube2i.2,D08,47.625
15,Setd8.3,F08,47.67123288
11,Nsd1.3,F09,47.97008547
2,Baz1a.3,D10,36.07594937
17,Ssrp1.1,B09,47.8826591
16,Smarcd1.2,D08,47.94007491
control 1,shSmarce1.1,G02,36.20867769
control 2,shWdr82.4,G09,48.15270936
15,Sin3b.2,D11,48.05280528
13,Prdm2.1,C11,48.26059456
2,Brd8.1,B08,36.36363636
control 3,shBrd8.4,C09,48.11903425
12,Phf1.3,E11,48.3016983
15,Setd2.1,D05,48.15384615
5,Ehmt1.4,G08,36.4628821
1,Atad2b.4,G02,36.52272086
11,Ncor2.4,G10,48.42931937
2,Baz1b.1,B10,36.53585927
12,Phf19.3,F09,48.44740177
2,Brd4.3,E10,36.58243081
17,Ssrp1.4,G10,48.41781014
17,Smyd5.3,E08,48.42906235
3,Cbx4.3,E11,36.69891173
12,Ppargc1a.4,G06,48.60813704
5,Ercc5.3,E10,36.80709534
control 3,shSmarce1.2,G03,48.60406091
2,Brd8.2,C02,36.88415446
12,Phf19.1,C11,48.81822089
4,Chd5.3,F02,37.11229947
17,Sp100.1,B06,48.84176183
18,Usp22.1,B11,48.85945548
14,Rnf20.2,C05,49.12140575
9,Mecom.4,G06,49.1353001
control 1,shmll2.4,C05,37.36209855
control 3,shSmarca4.3,E04,49.07456372
5,Fbxo44.2,D11,37.37785016
16,Smyd2.2,D03,49.0981241
9,L3mbtl3.3,F08,49.24760602
16,Smarcd3.4,F07,49.19835089
3,Cbx4.1,B09,37.50698714
12,Polr2b.4,F11,49.28909953
16,Smyd3.2,D11,49.27395934
16,Smarca1.4,G03,49.33381347
15,Sin3a.4,G06,49.35622318
2,Baz1a.1,B02,37.6744186
6,Hdac10.1,C06,37.71790808
4,Dmap1.2,C07,37.72241993
11,Ncoa3.3,F06,49.47761194
3,Brwd3.1,B10,37.76061776
7,Ino80.3,E10,37.76525199
3,Chd1.4,F11,37.79761905
19,Wbp7.2,C04,49.49439738
10,Myst4.1,C09,49.56949569
18,Trim66.3,F08,49.64809384
11,Ncor2.1,B09,49.81238274
17,Smyd5.2,D02,49.81684982
1,Aff1.2,D02,38.15309842
20,Rnf2.2,B07,49.83655275
19,Whsc1.4,F10,49.84641162
5,Elp3.4,G07,38.18424566
3,Chd1.1,B11,38.19193324
2,Baz1a.4,E04,38.20617356
6,Hcfc1.2,C10,38.22115385
11,Nap1l2.1,B02,49.9272198
6,Gtf2f1.1,B09,38.26606876
18,Ube2e1.2,C07,50
18,Usp27x.1,C09,50
18,Trim24.1,D05,50
control 3,shNcor1.2,D03,50
10,Mtf2.2,C07,50
12,Pcmt1.2,D06,50
19,Arid1a.2,G11,50.01772421
5,Fbxl19.2,D03,38.36944128
10,Msl3.2,D09,50.04464286
13,Prdm13.2,D06,50.12376238
2,Bop1.3,E11,38.50415512
13,Prdm8.1,C06,50.18486566
8,Kdm1b.4,G03,50.23400936
2,Brd2.2,C10,38.61386139
12,Ppargc1a.1,C09,50.2568893
12,Phip.2,C02,50.26737968
8,Kdm1a.3,E11,50.26923077
16,Smarce1.2,C05,50.38295038
11,Padi1.1,B03,50.35460993
16,Smarca1.2,E02,50.43622767
1,Asxl2.4,G11,38.8251651
4,Chd6.1,C03,38.86462882
17,Smyd4.4,E04,50.533727
4,Dnmt3l.4,G06,38.88888889
1,Actl6b.1,B02,38.90429958
18,Tdg.1,B02,50.5779532
6,Fbxw9.1,B02,38.9254386
9,Mbd1.4,F04,50.52277819
17,Supt16h.1,C11,50.60422961
2,Baz2a.1,B06,38.96236012
3,Chd2.2,D11,39.01288903
18,Ube2b.4,G09,50.68870523
20,Phc3.2,C02,50.75172694
2,Brd3.1,B04,39.11111111
6,Hdac4.1,C09,39.12037037
17,Smyd5.1,B10,50.78343593
16,Sirt7.4,G10,50.83479789
16,Smarcc2.1,B04,50.85444903
17,Tcea1.1,B07,50.88797814
1,Aff1.1,B10,39.33217693
13,Prdm2.2,E02,50.89141005
6,Gtf2f1.4,G10,39.37708565
3,Brwd1.3,D10,39.38751472
9,Kdm5d.2,C08,50.91911765
14,Prmt2.3,E08,50.95541401
11,Pbrm1.4,G06,50.95846645
6,Gadd45b.4,F10,39.4434629
15,Setd8.1,B05,51.13507378
6,Hdac3.3,E09,39.55276031
9,Mbd4.2,C05,51.0727056
8,Kdm3a.2,C07,51.07913669
4,Cxxc1.3,D04,39.63170536
11,Pcgf1.2,D11,51.18329466
10,Msl3.4,G10,51.19047619
11,Ncor2.3,E11,51.21313923
10,Mll1.1,B02,51.21550591
8,Kdm4a.4,F07,51.26225126
7,Ing2.4,G03,39.79176098
19,Eaf1.2,D11,51.42737196
control 3,shCd4.3,D11,51.47058824
4,Dot1l.3,F03,39.8540146
control 2,shWdr82.3,G08,51.31964809
14,Prmt8.2,E02,51.34782609
16,Smarcd3.1,B08,51.51515152
9,Mbd2.1,C06,51.35135135
19,Cbx2.3,G02,51.52146728
4,Dot1l.1,B07,39.9031477
15,Sin3a.1,C09,51.52749491
12,Pcgf5.2,D02,51.36054422
2,Bmi1.4,G07,40
5,Ep400.3,F08,40
7,Jmjd1c.1,C09,40
9,L3mbtl2.1,C11,51.44665461
12,Phf2.4,G11,51.46825397
5,Fbxo44.4,G05,40.05333333
20,Phf10.2,B11,51.74244939
18,Tet3.4,F10,51.81704261
16,Smarce1.1,B11,51.82514646
6,Fbxw9.3,D10,40.22988506
6,Gtf3c4.2,E02,40.2363534
16,Sirt5.2,D06,51.8699187
5,Ehmt1.2,C08,40.30172414
10,Morf4l1.4,G07,51.7552658
10,Myst3.4,F11,51.76348548
18,Uhrf1.3,E05,52.01480263
9,L3mbtl4.2,C10,51.82696346
19,Zmynd11.4,G10,52.06237425
20,Gtf2h1.1,B06,52.08681135
4,Chd4.2,D02,40.49479167
19,Chd7.3,C05,52.11528292
8,Kdm1b.1,C11,51.89301841
11,Nsd1.4,G03,51.93548387
8,Kdm4c.2,C05,52.00394867
5,Ehmt2.4,F10,40.65217391
1,Atad2.4,F04,40.74074074
1,Asxl1.1,C11,40.75807206
6,Gtf2f1.3,E11,40.76045627
11,Pbrm1.1,C09,52.116235
17,Suv39h2.2,C10,52.39385727
1,Asxl2.2,E03,40.80188679
2,Brd4.1,C06,40.80604534
18,Trim28.1,B09,52.40665767
1,Asxl3.4,G09,40.81784387
10,Morf4l1.1,D05,52.2037779
8,Kdm5a.1,B07,52.20660347
16,Sirt4.2,C08,52.46990452
16,Smyd3.4,G05,52.49913823
12,Pcmt1.1,C03,52.26195605
12,Phf2.2,E03,52.2673031
12,Phf20.2,C10,52.28384992
12,Phf20l1.4,F04,52.31355471
20,Jmjd8.2,C11,52.58666667
12,Pcgf2.2,C04,52.32371795
19,Cbx2.1,D08,52.60154414
9,Mbd3.2,C02,52.33291299
control 1,shWhsc1.4,B09,41.02518624
14,Prmt7.1,B09,52.33798195
7,Hdac9.3,F02,41.12318841
7,Ing2.2,E02,41.13475177
9,L3mbtl1.1,B09,52.45628643
13,Prkcd.3,F03,52.47221158
control 3,shCd4.4,E11,52.77108434
12,Phf20l1.2,C07,52.48120301
5,Fbxl19.1,C09,41.2173913
12,Phf8.3,E10,52.51959686
5,Ehmt1.3,F02,41.25
9,Mecom.1,C09,52.56290774
16,Smyd2.1,C09,52.86857905
16,Sirt6.4,G07,52.87781892
control 3,shBrd8.2,C07,52.90745291
6,Gadd45a.1,B06,41.3509061
8,Jmjd5.4,E04,52.62081309
1,Aff4.2,C08,41.39145751
10,Mta1.1,C11,52.71338251
8,Kdm4a.3,E05,52.7317589
control 2,shSp140.3,F08,52.74445656
control 2,shSmarce1.2,G03,52.7458493
8,Jmjd5.2,C04,52.75104413
20,Kdm4b.2,G03,53.08823529
3,Cbx4.4,G10,41.53279786
control 2,shSmarca4.3,E04,52.79091769
5,Eed.1,B10,41.55982906
12,Phf1.2,D09,52.82700422
9,Mbd2.4,G02,52.91828794
12,Phf8.4,G02,52.94117647
control 2,shmll2.4,C05,52.9455081
2,Brd8.4,F07,41.72661871
control 2,shSmarce1.3,G04,52.98722703
16,Sirt5.4,F10,53.33642261
13,Prdm5.2,C10,53.02419355
16,Sirt1.2,C04,53.40488527
9,L3mbtl1.3,E11,53.06010929
15,Sfmbt2.2,C05,53.41643583
10,Mta3.2,C10,53.09928689
16,Smarcd1.4,G02,53.46878097
17,Suz12.4,F07,53.50318471
2,Brd9.3,E09,41.97309417
13,Prdm8.2,D08,53.16742081
15,Setdb2.2,C07,53.56256647
18,Ube2b.2,C10,53.57590966
8,Kdm2a.3,F08,53.20881226
16,Smyd2.4,G06,53.60501567
19,Zmynd11.3,E11,53.61016424
11,Ncoa3.2,D06,53.24074074
2,Baz2a.4,G08,42.06672091
9,Mbd4.1,B11,53.31541219
13,Prdm11.1,B10,53.33333333
15,Setd1a.1,C03,53.75394322
6,Gadd45a.3,F02,42.20930233
5,Ehmt1.1,B06,42.22048475
6,Hdac2.2,C02,42.27272727
15,Setd2.4,G07,53.84615385
8,Kdm3b.1,C06,53.44827586
control 1,shSmarce1.4,G05,42.31177094
16,Sirt3.2,D02,53.86721424
17,Suv420h2.4,G02,53.88646288
15,Sin3b.4,G05,53.89487017
16,Sirt4.4,G08,53.90542907
control 1,shCd4.3,D11,42.38468233
5,Dub2a.3,D10,42.41103849
15,Setd1a.2,D06,53.96188566
4,Chd8.3,F05,42.44817374
9,L3mbtl4.4,G09,53.61941916
18,Tet2.2,C08,54.05594406
3,Cbx5.1,C11,42.530836
14,Prmt5.2,D06,53.67483296
5,Ezh2.2,C05,42.5767648
4,Dnmt3a.3,E05,42.63074485
14,Rbbp5.4,F04,53.73517153
19,Cecr2.2,C02,54.21279213
11,Padi1.4,G09,53.79113019
7,Hdac7.1,B02,42.70072993
16,Smarcc2.2,C07,54.24044734
4,Chd3.2,C04,42.71137026
10,Mta1.3,F09,53.80577428
15,Sfmbt1.3,E05,54.24575425
14,Prmt8.4,G03,53.88471178
control 2,shWdr82.1,G06,53.90827805
1,Ash2l.4,G10,42.84829721
2,Brpf3.2,D11,42.85714286
15,Sfmbt2.1,B11,54.40658049
4,Crebbp.1,C11,42.89059886
17,Taf3.3,D07,54.42083619
12,Polr2b.3,E09,53.97082658
15,Setd5.2,E02,54.45420326
16,Smyd3.1,B07,54.46127946
17,Sp110.1,C03,54.5146379
18,Tet1.3,E08,54.54545455
4,Chd9.4,G10,43.0408472
10,Mtf2.1,B04,54.10192666
control 3,shSmarce1.4,G05,54.58207452
6,Hdac10.3,E10,43.08019872
9,Kdm5d.4,G08,54.16066801
1,Ash2l.3,E11,43.15789474
17,Sp100.3,F02,54.67690917
5,Dub2a.1,B02,43.20987654
9,Mbd3.4,F07,54.23932652
18,Usp22.3,E09,54.73927562
10,Mll3.2,C08,54.26324503
17,Suv420h2.3,E10,54.75504323
control 3,shWdr82.2,G07,54.77031802
8,Kdm1a.2,D09,54.28708287
8,Kdm3b.4,G02,54.29334429
6,Gadd45a.2,C08,43.28042328
5,Eed.4,G04,43.28358209
3,Cbx6.4,G11,43.32574032
13,Prdm6.2,C07,54.33975008
3,Carm1.1,B06,43.34450198
1,Atad2.1,B04,43.35976214
control 2,shWdr82.2,G07,54.36893204
16,Sirt5.3,F06,54.87949427
12,Pcmt1.4,F10,54.44642503
15,Setd4.3,E11,55
4,Dmap1.4,F04,43.50031706
18,Ube2e1.3,E06,55.02392344
10,Mta3.3,D04,54.54545455
14,Rnf20.4,F11,54.55120101
7,Jmjd1c.4,G06,43.63182305
5,Epc1.4,G09,43.65781711
4,Chd8.4,G07,43.69247428
2,Brd4.4,G02,43.70229008
13,Prdm2.4,G03,54.66491459
2,Bptf.2,E02,43.70860927
17,Suv420h1.2,C07,55.22189742
16,Sirt1.3,D10,55.23840415
control 2,shCd4.4,E11,54.7008547
9,Men1.2,D11,54.71698113
11,Padi1.2,C10,54.7311828
3,Carm1.4,G08,43.80645161
17,Suv39h2.4,G09,55.32809871
control 1,shCd4.1,B11,43.84133612
2,Bmi1.1,D05,43.87047032
control 3,shWdr82.1,G06,55.3652968
1,Atm.4,F07,43.87755102
6,Hdac1.2,C07,43.88984509
16,Sirt1.4,E04,55.38358008
18,Tdg.3,D10,55.38922156
5,Ehmt2.1,C03,43.92470051
15,Setd1a.3,F06,55.42949757
20,Jmjd8.1,G10,55.43345543
21,Ube2a.1,C11,55.49227014
14,Psip1.2,E03,54.95361781
7,Jhdm1d.1,B11,44.0445587
2,Brd4.2,D08,44.06779661
15,Sfmbt1.1,B08,55.5613577
19,Brd7.3,C07,55.6424581
control 3,shBptf.3,B04,55.65770863
15,Setd5.4,G03,55.67042607
2,Brd9.2,C05,44.24778761
8,Kdm5a.4,G05,55.14344262
13,Prdm14.4,G07,55.15548282
4,Chd4.4,G04,44.27710843
5,Ercc5.1,C06,44.28429423
12,Phf8.1,C06,55.20134228
2,Bop1.2,D09,44.32234432
8,Jmjd6.4,G04,55.20504732
2,Baz1a.2,C04,44.33656958
4,Chd8.1,D05,44.35344828
20,Hdac5.3,G07,55.83333333
2,Bop1.4,G10,44.35897436
9,L3mbtl1.2,D09,55.24920467
8,Kdm2b.3,D04,55.26182859
5,Epc2.1,B04,44.39112178
21,Satb1.3,B02,55.87602238
4,Dnmt3a.2,C02,44.41391941
15,Scml4.2,C08,55.88716271
21,Smarca2.1,F02,55.91463415
3,Chaf1b.1,B08,44.4908928
10,Myst3.2,C05,55.36938309
control 2,shCd4.3,D11,55.3816047
1,Atr.2,C05,44.57242583
2,Brpf1.2,D03,44.57627119
2,Brd3.2,C07,44.58092486
8,Kdm2a.4,G11,55.4539057
21,Smarca2.3,C03,56.10607118
9,L3mbtl2.3,F09,55.48980934
18,Trim24.2,E07,56.11862943
4,Crebbp.4,G03,44.65691789
17,Tcea1.4,G05,56.15779346
14,Rnf217.4,G06,55.532926
11,Ncor1.4,G07,55.54460325
control 1,shWhsc1.3,B08,44.7265625
18,Ube2i.4,G02,56.22775801
14,Prmt3.2,C08,55.60090703
2,Brd1.4,G11,44.78873239
21,Smarcb1.1,D06,56.25
21,Smarcc1.3,E07,56.25
control 3,shSmarce1.1,G02,56.25
control 1,shSmarca4.4,E05,44.83790524
5,Epc1.1,B03,44.85849057
15,Setdb1.1,B03,56.33264766
1,Atm.1,B08,44.88536155
21,Smarca2.2,G08,56.34662327
13,Prdm8.4,G02,55.72916667
20,Padi2.1,B03,56.42512077
9,Men1.1,B07,55.77330508
11,Nsd1.2,E02,55.79302587
18,Usp51.2,D11,56.46186441
16,Smyd3.3,F03,56.49867374
control 2,shSmarce1.1,G02,55.85235551
11,Nap1l3.2,D02,55.86258402
17,Sp100.4,G08,56.54255319
17,Smyd4.2,C04,56.54345654
4,Chd6.2,D06,45.09646302
9,Mecom.3,D07,55.87828492
9,Kdm6a.4,F10,55.88235294
8,Kdm1b.3,F09,55.93180757
7,Ino80.1,C06,45.1590106
9,Kdm6b.4,G07,55.93495935
13,Prdm8.3,E10,55.94159114
9,Kdm5b.2,C04,55.94405594
16,Sirt4.1,B06,56.68016194
11,Orc1.4,G11,56.06884058
control 2,shSmarce1.4,G05,56.07819181
8,Jmjd6.1,B10,56.07995558
13,Prkcd.2,D11,56.10778443
14,Rbbp5.2,C07,56.1237645
19,Wdr82.2,C08,56.82297155
13,Prdm11.4,G04,56.1303673
5,Fbxo44.1,B07,45.39223153
19,Fbxo17.1,G05,56.8356998
6,Gtf2b.1,D05,45.39800995
control 1,shBptf.4,B05,45.41511772
10,Mll2.4,G04,56.17202018
control 1,shWdr82.4,G09,45.45094937
1,Asxl1.3,F09,45.45454545
6,Gtf2b.4,G07,45.48387097
20,Rnf2.3,D11,56.94444444
11,Pcgf1.1,B07,56.23973727
6,Gtf2f1.2,D09,45.5178416
8,Kdm1b.2,E02,56.266387
16,Sirt6.2,E07,57.00737619
19,Dpy30.1,D03,57.02459792
1,Asxl3.1,B03,45.63540398
1,Atad2.2,C07,45.68115942
15,Scml4.3,F02,57.12171661
control 3,shSp140.3,F08,57.12177122
13,Prdm10.2,C04,56.40394089
6,Hat1.1,B05,45.70998495
11,Paxip1.4,F11,56.46090535
11,Ncoa1.4,G08,56.46687697
12,Polr2b.2,C05,56.47482014
6,Hdac6.2,D11,45.78833693
20,Hdac5.2,F05,57.21884498
7,Hltf.4,G10,45.79403998
15,Setd2.3,F05,57.22284434
15,Scml2.1,B10,57.2234763
20,Padi3,G09,57.2265625
8,Kdm2a.2,E03,56.50374968
6,Fkbp1a.4,G04,45.83333333
control 2,shSp140.1,F06,56.52173913
20,Satb1.2,G05,57.29522184
10,Mta3.1,B03,56.55577299
7,Hdac8.2,D02,45.87856856
18,Ube2e1.1,B04,57.30452675
5,Ercc5.4,G02,45.90288316
12,Ppargc1a.3,D07,56.57894737
11,Ncoa3.4,F10,56.58465991
15,Sin3b.3,F03,57.3650948
4,Dnmt3l.2,D03,45.94594595
20,H2afz.2,C03,57.40551583
8,Kat2a.2,C08,56.67870036
1,Actl6b.4,E04,46.02026049
6,Hcfc1.1,B03,46.04462475
11,Nap1l3.3,E08,56.75247525
12,Pcgf2.3,D10,56.75675676
2,Baz2b.1,C03,46.11197512
1,Ash2l.2,D09,46.13284804
19,Whsc1.1,C03,57.55985569
14,Prmt8.3,F09,56.83453237
21,Smarcc1.1,F10,57.61452745
18,Tet1.4,G04,57.63660303
12,Phf20.1,B03,56.86402082
8,Kat2a.3,F02,56.87568757
3,Chd1.3,E09,46.24561404
3,Chaf1a.2,D08,46.24664879
3,Chd1.2,C05,46.25520111
14,Ring1.4,F07,56.8986569
10,Mll2.1,B10,56.90056535
7,Ing4.2,C10,46.27586207
9,Kdm6a.3,F06,56.92549843
6,Fbxw9.2,C04,46.33204633
3,Chd2.1,B07,46.37042712
1,Arid2.4,F10,46.41288433
21,Smarcd2.2,G07,57.82857143
14,Rbbp7.3,E10,57.04797048
2,Brpf1.4,G06,46.44444444
4,Chd8.2,E07,46.46464646
8,Kdm4c.1,B11,57.08997722
7,Jmjd4.1,B07,46.52278177
11,Padi6.1,C06,57.14285714
18,Uhrf1.1,B08,57.99467022
4,Dnmt1.4,G02,46.59776055
11,Ncoa3.1,C03,57.19844358
18,Trim66.2,E03,58.06451613
12,Pcgf6.1,B06,57.25062867
2,Brd1.1,B05,46.68458781
8,Jmjd5.1,B02,57.26141079
21,Setd3.1,B10,58.15324165
2,Bptf.4,G03,46.79174484
15,Scml2.4,G04,58.19337267
1,Arid2.1,C03,46.80437424
11,Padi6.4,G02,57.36482287
control 2,shCd4.1,B11,57.37122558
14,Rnf40.2,D11,57.40598619
4,Dnmt3l.1,C09,46.86998395
18,Trim24.3,F05,58.27629123
15,Setmar.2,D08,58.27991453
4,Ctsl.2,E03,46.89092762
2,Baz2b.4,F10,46.91358025
6,Fkbp1a.3,E08,46.93129771
21,Ube2a.2,E02,58.33333333
5,Ehmt2.3,F06,46.95524578
13,Prdm2.3,F09,57.49542962
12,Pcgf2.4,E04,57.49840459
13,Prdm14.2,E07,57.50784402
1,Aff4.4,G08,46.97569248
13,Prdm11.3,E08,57.51374465
9,Kdm5b.4,E04,57.51738898
16,Sirt7.1,B09,58.38454785
11,Padi1.3,D04,57.54328112
8,Kdm5a.2,D11,57.55541997
15,Sfmbt1.2,C02,58.42627014
12,Phf19.2,E02,57.5708502
7,Jmjd1c.3,D07,47.05882353
7,Jhdm1d.4,F11,47.06051047
14,Rbbp5.3,E06,57.59416768
1,Atrx.3,D07,47.07520891
16,Sirt6.3,F05,58.47362514
11,Nap1l2.4,E04,57.70433229
6,Hdac4.4,G06,47.20426017
7,Jmjd1c.2,D03,47.21393035
2,Brd3.3,E06,47.22222222
3,Cbx7.4,G09,47.26138202
control 2,shWhsc1.4,B09,57.76436964
11,Orc1.2,E03,57.7724359
1,Aurkb.2,D11,47.2826087
4,Chd6.4,F10,47.28682171
17,Sp140.1,D05,58.68457619
17,Suv420h1.1,B04,58.70366356
9,Mbd3.1,B08,57.84313725
14,Prmt6.4,G07,57.84557908
15,Setd4.1,B09,58.77995643
10,Morf4l1.3,F05,57.89473684
control 1,shCd4.1,B10,47.42306266
18,Tdg.4,E04,58.80175025
5,Epc1.3,D04,47.44645799
7,Hdac8.4,G04,47.4469991
16,Smarcd3.2,C02,58.90136327
13,Prdm14.1,D05,58
11,Ncoa1.1,B06,58.04117974
11,Nap1l3.4,G04,58.04464973
18,Usp27x.3,D07,58.96211398
control 3,shKlf2.3,E08,58.984375
