plate_well,shRNA,GeoMean
8_F11,Kdm4c.4,2450.664309
10_C10,Mta3.2,2450.674631
14_B02,Prmt1.1,2455.21112
11_D04,Padi1.3,2456.302767
4_G02,Dnmt1.4,1798.054674
3_F11,Chd1.4,1800.585389
19_D11,Eaf1.2,1970.827555
3_E09,Chd1.3,1807.012329
6_F11,Hdac3.4,1809.245744
11_F03,Pcgf1.3,2477.00719
11_B06,Ncoa1.1,2487.436815
control1_D02,Ncor1.1,1816.95534
8_B11,Kdm4c.1,2491.125192
1_B09,Ash2l.1,1818.898021
3_B04,Cbx8.1,1819.005554
8_B09,Kdm1a.1,2500.152411
11_B10,Nap1l3.1,2500.387913
6_G03,Gtf3c4.4,1825.833365
control2_D07,Cxxcl.2,2507.337202
5_D09,Elp4.2,1831.113109
11_G03,Nsd1.4,2521.232893
4_B02,Chd3.1,1837.688328
8_C05,Kdm4c.2,2523.913997
control3_E04,Smarca4.3,1120.635589
1_E02,Asxl1.2,1843.344868
11_F04,Padi4.4,2533.296547
8_C08,Kat2a.2,2542.029853
11_B09,Ncor2.1,2542.995829
9_F02,Kdm5d.3,2549.342221
6_G02,Hdac10.4,1857.082546
8_B07,Kdm5a.1,2556.938153
6_D06,Gadd45b.2,1857.710362
11_B08,Parp1.1,2559.263318
control3_B11,shCd4.1+pMig,1166.541197
1_C11,Asxl1.1,1865.012928
10_F11,Myst3.4,2572.134656
10_C06,Myst1.1,2579.637354
7_D07,Jmjd1c.3,1873.380358
4_B11,Dnmt3b.1,1878.420839
12_B08,Phip.1,2592.49387
1_D10,Actl6b.3,1880.703643
2_B07,Brpf3.1,1881.231234
5_G10,Elp4.4,1881.349384
10_G10,Msl3.4,2598.238236
8_C04,Jmjd5.2,2600.749568
control1_D11,shCd4.3+pMig,1885.389793
6_B07,Hdac6.1,1886.513484
11_F06,Ncoa3.3,2615.901172
control1_D07,Cxxcl.2,1893.479809
3_C08,Carm1.2,1893.649102
4_B03,Cxxc1.1,1901.27428
