plate_well,shRNA,Percentage
10_G07,Morf4l1.4,0.849649058
2_B09,Bop1.1,0.220264317
control3_B10,shCd4.1,14.85577224
13_D08,Prdm8.2,0.859291085
control_B02,Bptf.1,0.87244284
13_C06,Prdm8.1,0.876095119
17_E03,Suv39h1.2,14.96967424
3_C04,Brwd1.2,0.243309002
13_E08,Prdm11.3,0.883607556
10_E04,Mll1.4,0.886262925
16_D08,Smarcd1.2,15.0352172
8_D09,Kdm1a.2,0.895795247
13_E03,Prdm4.2,0.905660377
6_B06,Gadd45a.1,0.261210274
2_F11,Brd9.4,0.264830508
20_C04,Fbxo17.3,15.15118774
3_F02,Carm1.3,0.265957447
12_E08,Pcgf5.3,0.924468922
12_B05,Phf2.1,0.925390399
11_F05,Ncor1.3,0.936087799
control3_B03,shBptf.2,15.30637017
control_F08,Sp140.3,0.944669366
2_D10,Baz1a.3,0.292275574
10_C10,Mta3.2,0.951131519
control1_D05,shNcor1.4,0.298730396
control3_D05,shNcor1.4,15.37991768
8_C07,Kdm3a.2,0.956022945
12_G07,Phc1.4,0.95703125
16_B07,Smyd3.1,15.39193699
10_F05,Morf4l1.3,0.959232614
control_E07,Klf2.2,0.960746637
2_C05,Brd9.2,0.303720577
2_B07,Brpf3.1,0.307692308
10_G10,Msl3.4,0.967351874
17_E09,Taf1.3,15.45166252
7_E10,Ino80.3,0.311623559
5_G08,Ehmt1.4,0.314465409
20_B02,Fbxo17.2,15.48300758
control3_D11,shCd4.3,15.51103373
2_D04,Brd2.3,0.325027086
6_B10,Fkbp1a.1,0.329736211
control3_E07,shKlf2.2,15.58958056
5_C10,Epc1.2,0.338409475
11_F09,Nsd1.3,1.01010101
3_E07,Cbx3.2,0.346420323
17_B05,Suv39h1.1,15.69606132
16_E02,Smarca1.2,15.70716811
11_F03,Pcgf1.3,1.020639601
9_F02,Kdm5d.3,1.024590164
3_G10,Cbx4.4,0.353606789
5_G09,Epc1.4,0.354526117
3_C11,Cbx5.1,0.363372093
10_C07,Mtf2.2,1.040118871
9_F03,Men1.3,1.040189125
18_E11,Trim28.3,15.82942415
15_B07,Sin3b.1,15.83858632
7_F06,Hells.3,0.368188513
5_B09,Elp4.1,0.370581528
control_E11,shCd4.4,1.050929669
13_E07,Prdm14.2,1.051939513
12_D02,Pcgf5.2,1.052957572
16_B05,Smarca4.1,15.89350158
16_B02,Sirt1.1,15.89592013
control3_B04,shBptf.3,15.92021173
control3_E10,shCd4.4,15.92292576
16_E07,Sirt6.2,15.92790307
10_F09,Mta1.3,1.066772027
3_D10,Brwd1.3,0.389264495
12_B07,Prdm1.1,1.07696726
10_F10,Mll5.4,1.077844311
10_B04,Mtf2.1,1.080515859
2_D09,Bop1.2,0.397088021
14_C10,Rbbp4.2,1.081967213
11_C09,Pbrm1.1,1.08608206
11_B07,Pcgf1.1,1.087665869
14_B07,Rnf40.1,1.089028042
14_G03,Prmt8.4,1.08914885
control_D10,shCd4.3,1.093180635
11_B04,Padi4.1,1.0978957
4_F03,Dot1l.3,0.411946447
13_D07,Prkaa2.3,1.101783841
control3_B07,shWhsc1.2,16.14576189
2_C07,Brd3.2,0.416493128
control1_B04,shBptf.3,0.417052827
11_F06,Ncoa3.3,1.110083256
4_E10,Dnmt1.3,0.41958042
14_C11,Prmt8.1,1.111536987
11_G06,Pbrm1.4,1.112909753
2_G11,Brd1.4,0.425531915
13_C08,Prdm12.2,1.119177253
12_C09,Ppargc1a.1,1.121164437
4_E05,Dnmt3a.3,0.428571429
7_D02,Hdac8.2,0.42989418
control3_B06,shWhsc1.1,16.25548077
20_C02,Phc3.2,16.25797841
control3_E05,shSmarca4.4,16.26498768
control3_F02,shRunx3.1,16.29554944
8_C08,Kat2a.2,1.13452188
4_G06,Dnmt3l.4,0.43956044
12_G09,Phf20.4,1.13960114
control3_E03,shSmarca4.2,16.35172778
17_D02,Smyd5.2,16.35741605
