plate,shRNA,Well,Percentage
4,Dnmt3b.1,B11,14.15159944
13,Prdm2.1,C11,21.0626186
control 1,shCxxcl.1,D06,14.29132313
8,Kat2b.1,C03,21.21115538
17,Ssrp1.2,D09,24.94099135
15,Sin3a.2,D03,25.11784512
17,Ssrp1.1,B09,25.147859
4,Dnmt1.1,C06,14.74860335
control 1,shBptf.4,B05,14.93184634
10,Nap1l1.1,B07,21.87323147
4,Dnmt1.4,G02,14.9870801
14,Prmt2.4,G04,21.88076214
control 1,shWdr82.2,G07,15
3,Chaf1a.3,E10,15.07785796
17,Suv420h1.1,B04,25.79666161
14,Rnf40.4,G05,22.22222222
11,Pcgf1.4,G05,22.24702381
8,Kdm4d.1,C09,22.38775921
18,Usp22.3,E09,26.22656049
17,Ssrp1.3,E11,26.24113475
18,Ube2i.1,C06,26.24456259
10,Mtf2.1,B04,22.59167185
control 3,shBrd8.3,C08,26.30494505
20,Kdm4b.3,B05,26.42140468
10,Myst1.1,C06,22.72076372
8,Kat2a.2,C08,22.74368231
12,Polr2b.4,F11,22.74881517
control 1,shCxxcl.4,D09,15.93763534
control 3,shBrd8.1,C06,26.63755459
9,L3mbtl3.4,G11,22.94642857
control 1,shWdr82.3,G08,16.06166087
4,Chd9.3,E11,16.08202914
12,Pcmt1.4,F10,23.09368192
18,Tet1.1,B10,26.84461806
16,Smarca4.2,E03,26.87173535
5,Epc1.4,G09,16.2979351
control 1,shWdr82.1,G06,16.33802817
12,Phf2.4,G11,23.25396825
10,Myst3.1,B11,23.30154946
18,Uhrf1.2,C02,27.11496746
13,Prkaa1.2,C05,23.3783426
11,Padi1.3,D04,23.41302556
19,Actb,B05,27.24181895
2,Baz2a.3,F02,16.60181582
12,Pcgf6.2,C08,23.49564108
12,Phf8.4,G02,23.52941176
17,Suv420h2.3,E10,27.35132303
control 3,shCxxcl.4,D09,27.42568704
17,Taf1.1,B11,27.71008403
control 3,shWhsc1.1,B06,27.72277228
9,Men1.4,G05,23.9178515
11,Ncoa3.2,D06,23.95833333
9,Kdm5b.2,C04,23.96694215
11,Nap1l2.1,B02,24.01746725
2,Baz1a.1,B02,17.20930233
4,Chd5.1,B06,17.2923777
17,Smyd5.1,B10,28.03581421
9,L3mbtl3.3,F08,24.21340629
10,Mta2.1,B05,24.3036592
17,Sp100.1,B06,28.18923328
12,Phf8.1,C06,24.32885906
control 1,shKlf2.1,E06,17.50679774
control 1,shSmarca4.1,E02,17.51740139
5,Eed.1,B10,17.62820513
9,Mbd2.3,E10,24.51312447
13,Prkaa1.1,B11,24.55445545
12,Phf2.3,F08,24.56351595
5,Fbxo44.3,F03,17.7173913
5,Elp3.1,D05,17.72079772
5,Ehmt2.2,D06,17.7238806
19,Actl6a,E03,28.50971922
8,Kdm2b.3,D04,24.63377673
15,Setd5.1,C11,28.52960312
5,Ep400.4,G11,17.8396072
4,Dnmt3a.2,C02,17.85714286
control 1,shKlf2.4,E09,17.86593707
5,Ercc5.2,D08,17.92294807
11,Ncoa1.1,B06,24.81914302
10,Mll3.2,C08,24.83443709
11,Parp1.2,C02,24.85380117
control 1,shSmarca4.2,E03,17.9916318
2,Brd1.4,G11,18.02816901
6,Hdac2.1,B08,18.04820694
control 1,shCd4.1,B11,18.05845511
15,Setdb1.3,D04,28.90510949
13,Prdm15.3,E11,24.98611882
7,Jhdm1d.3,E09,18.11537458
16,Sirt3.3,E08,28.9766702
20,Jmjd8.1,G10,28.97842898
4,Cxxc1.2,C10,18.18181818
2,Brd8.1,B08,18.18181818
18,Usp51.4,G05,29.09207161
11,Nsd1.1,C11,25.22321429
15,Setd8.1,B05,29.17139614
20,Fkbp5.1,D02,29.19280636
12,Polr2b.1,B11,25.24630542
6,Hdac3.2,C05,18.3745583
11,Parp1.3,E05,25.30701754
18,Tet3.4,F10,29.26065163
control 3,shmll2.4,C05,29.26725964
9,Mecom.4,G06,25.33062055
control 3,shKlf2.1,E06,29.28743961
control 1,shWhsc1.3,B08,18.45703125
20,Phc3.1,B08,29.31252636
10,Morf4l1.4,G07,25.37612839
12,Ppargc1a.1,C09,25.40868753
14,Rbbp4.2,C10,25.4180602
10,Mtf2.4,F04,25.43940796
12,Phip.1,B08,25.44466403
control 1,shCd4.1,B10,18.57619577
17,Smyd4.3,D10,29.47845805
17,Sp110.2,D06,29.55404384
13,Prdm6.3,E06,25.58667676
12,Ppargc1a.4,G06,25.5888651
12,Phc1.4,G07,25.60160428
5,Fbxo44.4,G05,18.77333333
8,Kdm1b.1,C11,25.70336923
5,Elp3.4,G07,18.85847797
13,Prdm13.2,D06,25.74257426
12,Phf8.3,E10,25.75587906
2,Brd8.2,C02,18.9081225
6,Hdac1.2,C07,18.93287435
control 1,shWhsc1.4,B09,18.94288755
8,Kdm2b.4,G09,25.8286429
10,Mll3.3,F02,25.84453324
15,Sfmbt2.2,C05,29.87072946
13,Prdm12.2,C08,25.89473684
4,Dnmt3b.2,C05,19.03508772
4,Dnmt3a.1,B08,19.04432133
6,Gtf2f1.4,G10,19.1323693
6,Fkbp1a.1,B10,19.2281652
16,Smarcd3.1,B08,30.1499847
10,Mll5.4,F10,26.14638448
2,Brd2.1,B03,19.26910299
control 3,shSmarce1.3,G04,30.26992288
9,Mbd1.4,F04,26.28827483
11,Parp1.1,B08,26.3583815
4,Ctsl.4,G11,19.56521739
18,Ube2b.2,C10,30.52070263
15,Setdb1.1,B03,30.53188363
17,Ssrp1.4,G10,30.5516662
6,Hdac6.1,B07,19.62616822
11,Parp1.4,F07,26.52933833
8,Jmjd5.2,C04,26.54802978
4,Chd5.2,C08,19.7109067
4,Dmap1.2,C07,19.75088968
control 3,shSmarca4.4,E05,30.70707071
8,Kat5.3,F05,26.64576803
1,Aff1.2,D02,19.80558931
control 3,shKlf2.4,E09,30.79365079
6,Hdac6.2,D11,19.87041037
12,Pcgf6.4,G08,26.75304878
2,Baz1b.1,B10,19.8917456
2,Brd1.1,B05,19.89247312
control 3,shWhsc1.2,B07,30.87633088
12,Prdm1.1,B07,26.80361947
11,Nap1l2.3,D10,26.85370741
5,Ep300.1,C11,20
5,Ep400.3,F08,20
3,Chaf1b.2,C02,20
15,Setmar.3,E10,30.99873578
19,Whsc1l1.1,D05,31.03448276
5,Ehmt1.4,G08,20.08733624
4,Chd6.2,D06,20.09646302
control 3,shmll2.3,C04,31.085353
6,Gadd45a.2,C08,20.10582011
11,Paxip1.1,B11,26.99163332
4,Dnmt3a.3,E05,20.12678288
5,Epc2.2,C07,20.15968064
12,Phf19.4,G03,27.03910615
10,Myst2.1,B08,27.05718271
10,Myst4.1,C09,27.0602706
12,Phf1.4,G10,27.10788758
10,Myst3.2,C05,27.15156131
10,Mll1.3,D10,27.15231788
4,Chd9.1,B09,20.28985507
6,Gtf2b.4,G07,20.32258065
12,Prdm1.4,G05,27.20970537
control 3,shmll2.2,C03,31.35650988
2,Baz2b.4,F10,20.37037037
control 3,shSmarce1.2,G03,31.40862944
9,L3mbtl2.4,G03,27.27701746
15,Setd1a.2,D06,31.444333
18,Usp22.4,F11,31.45021303
9,L3mbtl2.3,F09,27.31755424
20,Paf1.1,B04,31.45695364
14,Prmt8.1,C11,27.39965096
12,Prdm1.3,F03,27.41784038
7,Jhdm1d.4,F11,20.56208775
4,Dot1l.3,F03,20.58394161
9,Kdm5c.4,G04,27.46987952
18,Trim28.3,E11,31.63972286
9,Mbd2.2,D08,27.5101567
14,Prmt5.4,F10,27.51895991
control 1,shWhsc1.1,B06,20.64327485
control 2,shSmarca4.2,E03,27.6
12,Pcgf6.1,B06,27.66135792
11,Ncor2.1,B09,27.67354597
control 2,shSmarca4.1,E02,27.69485904
control 2,shmll2.3,C04,27.73460849
10,Myst3.3,E09,27.76223776
11,Padi6.1,C06,27.7665996
10,Msl3.3,E11,27.78007441
4,Chd8.1,D05,20.90517241
11,Nap1l3.3,E08,27.8019802
5,Ehmt1.3,F02,20.9375
5,Ercc5.3,E10,20.95343681
10,Myst2.4,F07,27.88550323
14,Prmt7.1,B09,27.89171452
4,Chd8.3,F05,21.0266535
13,Prdm8.1,C06,27.90239093
18,Ube2i.2,D08,32.125
4,Cxxc1.3,D04,21.05684548
11,Ncoa1.2,C08,27.95031056
4,Dnmt3l.1,C09,21.08079187
5,Epc1.2,C10,21.09053498
5,Ehmt1.2,C08,21.12068966
17,Taf3.3,D07,32.2138451
11,Ncor2.3,E11,28.03284808
12,Phc1.3,F05,28.05611222
2,Bptf.2,E02,21.19205298
3,Chaf1b.4,F07,21.22538293
17,Suz12.1,B08,32.31462926
3,Chd2.1,B07,21.26029496
12,Phf20.2,C10,28.14029364
17,Suv39h1.1,B05,32.37095363
13,Prdm5.2,C10,28.18548387
15,Sin3b.2,D11,32.47524752
1,Arid2.4,F10,21.37628111
17,Tcea1.1,B07,32.54781421
control 1,shCd4.3,D11,21.49695387
11,Padi1.4,G09,28.37386743
10,Mll1.2,C04,28.37726524
3,Chaf1a.2,D08,21.51474531
13,Prdm8.2,D08,28.39366516
13,Prdm6.2,C07,28.4025667
13,Prdm11.3,E08,28.43616371
7,Ing2.3,F09,21.57610423
control 3,shCd4.2,C10,32.76836158
3,Cbx3.4,G07,21.70263789
15,Setd2.1,D05,32.84615385
9,Kdm5d.4,G08,28.59199539
4,Cxxc1.1,B03,21.73913043
6,Hdac4.1,C09,21.75925926
3,Chaf1b.1,B08,21.76769185
control 3,shKlf2.3,E08,32.91015625
control 3,shBrd8.2,C07,32.92383292
16,Sirt3.1,B10,32.94861226
4,Chd8.4,G07,21.81916622
1,Ash1l.2,E07,21.82235835
6,Gtf2f1.1,B09,21.82361734
4,Dot1l.1,B07,21.8401937
12,Prdm1.2,D11,28.73563218
13,Prdm8.3,E10,28.80161128
12,Phip.4,F07,28.81873727
control 1,shSmarce1.2,G03,21.97977648
4,Dnmt3b.4,F11,21.98019802
7,Ing2.2,E02,21.9858156
7,Ing5.4,F04,22.01372998
7,Ing2.4,G03,22.04617474
14,Psip1.4,G11,28.94736842
16,Smarcd3.3,E05,33.23943662
13,Prdm10.4,E04,28.9507772
6,Gtf3c4.1,C11,22.08201893
1,Asxl3.2,C10,22.08920188
14,Rnf40.2,D11,29.00997698
3,Cbx6.4,G11,22.14123007
control 1,shSmarca4.4,E05,22.1446384
12,Phf1.2,D09,29.02953586
18,Ube2e1.2,C07,33.33333333
19,Wdr5.2,D02,33.41677096
4,Chd9.2,D09,22.26762002
4,Chd5.3,F02,22.29946524
17,Supt16h.2,E02,33.49191246
15,Setdb2.3,E06,33.49864743
15,Sfmbt1.2,C02,33.51920694
10,Mta3.4,G09,29.21390779
9,Men1.3,F03,29.22476297
4,Dnmt1.3,E10,22.38442822
15,Setdb2.1,B04,33.63471971
control 2,shSp140.3,F08,29.33478735
3,Brwd1.3,D10,22.49705536
16,Sirt7.1,B09,33.71378402
18,Uhrf1.3,E05,33.71710526
17,Tcea1.2,D11,33.72809095
10,Mta3.2,C10,29.40208448
11,Orc1.3,F08,29.40287226
3,Cbx7.2,C10,22.53968254
20,Phc2.2,G02,33.74679213
13,Prdm15.1,B09,29.41585535
10,Nap1l1.2,D11,29.44550669
7,Ino80.1,C06,22.61484099
7,Hdac7.3,D10,22.61712439
11,Ncoa3.4,F10,29.52243126
9,Kdm5d.1,B06,29.54661233
14,Prmt6.4,G07,29.5765878
13,Prdm5.1,B03,29.58860759
2,Brpf1.3,D07,22.75862069
5,Ep300.2,E02,22.79635258
11,Padi1.1,B03,29.68591692
4,Dnmt3l.2,D03,22.82282282
16,Smarcc2.3,E06,34.10852713
11,Paxip1.4,F11,29.75308642
16,Smarca1.1,C11,34.13173653
control 2,shCxxcl.4,D09,29.81335953
3,Chaf1a.4,G02,22.9480737
10,Myst4.4,G06,29.84764543
17,Taf1.3,E09,34.24460432
7,Ing5.1,B04,23.04526749
7,Jmjd4.4,G05,23.07692308
17,Suv420h1.2,C07,34.33430773
control 2,shSp140.4,F09,29.95839112
20,Fbxo17.3,C04,34.34377082
3,Chd1l.4,G06,23.11557789
8,Kat2b.4,F10,29.99143102
17,Smyd4.1,B02,34.37886917
control 3,shBptf.4,B05,34.38864629
16,Sirt1.1,B02,34.42028986
11,Nsd1.2,E02,30.03374578
control 1,shCxxcl.3,D08,23.17763623
14,Prmt5.1,C03,30.06253006
12,Phf20.4,G09,30.09009009
12,Pcgf2.3,D10,30.09277935
18,Tet2.1,B06,34.49477352
18,Trim24.3,F05,34.53640324
11,Padi4.1,B04,30.15873016
14,Rbbp5.2,C07,30.16759777
13,Prkaa2.1,C09,30.1726578
3,Cbx4.3,E11,23.33736397
20,Jmjd8.2,C11,34.61333333
20,Phc3.2,C02,34.62007314
control 1,shBptf.3,B04,23.36108221
control 2,shKlf2.1,E06,30.23655914
2,Brpf3.1,B07,23.38376891
3,Chd1.1,B11,23.39360223
2,Baz2a.1,B06,23.39776195
9,Mbd2.4,G02,30.27237354
4,Chd4.1,B10,23.43558282
20,Phc2.1,E10,34.75279682
16,Smarcc2.1,B04,34.7672363
6,Hat1.1,B05,23.48218766
11,Ncor2.4,G10,30.36649215
16,Smarcd1.4,G02,34.78691774
18,Usp51.1,B07,34.79285955
3,Cbx8.3,E06,23.51421189
8,Kdm4c.2,C05,30.38499506
10,Mll5.1,C03,30.39879609
19,Eaf1.2,D11,34.84466835
16,Smarca4.3,F08,34.84649698
15,Setd4.4,G10,34.84954514
13,Prdm13.1,C03,30.42559614
15,Sfmbt1.1,B08,34.88250653
9,L3mbtl3.1,B05,30.4587156
3,Carm1.1,B06,23.63691745
19,Cbx2.1,D08,34.94461229
7,Hdac8.1,B10,23.65030675
4,Dnmt3b.3,E09,23.68421053
8,Kdm3b.3,E10,30.57014254
3,Cbx6.1,B05,23.7012987
16,Smarca4.4,G11,35.01540832
4,Dot1l.2,D11,23.71134021
14,Prmt1.3,D10,30.58315335
5,Elp4.2,D09,23.72479241
11,Ncor1.1,D05,30.59866962
20,H2afz.2,C03,35.06979911
4,Chd4.3,E08,23.76350199
7,Ing3.2,E03,23.7649063
17,Smyd5.4,G04,35.08881271
11,Nsd1.4,G03,30.64516129
13,Prkcd.1,B07,30.72370191
5,Elp4.4,G10,23.85945027
16,Smyd3.2,D11,35.18877057
6,Hcfc1.4,G09,23.88059701
12,Polr2b.2,C05,30.75539568
16,Smarce1.2,C05,35.23143523
18,Tdg.4,E04,35.27431841
13,Prdm2.3,F09,30.83485679
5,Epc2.3,E06,24.06181015
16,Sirt4.4,G08,35.41155867
3,Cbx1.1,C03,24.07407407
control 3,shWhsc1.3,B08,35.43123543
1,Asxl3.4,G09,24.08921933
10,Mta1.3,F09,30.97112861
3,Cbx7.1,B03,24.10623085
12,Phf8.2,D08,30.98591549
16,Smarcc2.2,C07,35.50792171
12,Polr2b.3,E09,31.03727715
1,Aurkb.2,D11,24.18478261
16,Smarcd1.1,C06,35.59587113
7,Hells.4,F10,24.24892704
15,Setd8.3,F08,35.61643836
12,Phf20l1.2,C07,31.12781955
7,Ing2.1,C11,24.3063263
10,Msl3.4,G10,31.18131868
5,Elp4.1,B09,24.31906615
4,Chd3.2,C04,24.34402332
6,Hdac4.3,D07,24.36708861
16,Smarcd1.2,D08,35.76779026
16,Sirt4.2,C08,35.78248236
control 3,shCxxcl.3,D08,35.78431373
16,Smyd3.3,F03,35.80901857
13,Prdm11.2,D02,31.34328358
11,Padi1.2,C10,31.34408602
18,Trim33.1,C11,35.86930599
5,Ehmt2.3,F06,24.50476889
9,L3mbtl2.1,C11,31.37432188
5,Fbxl19.4,G06,24.50980392
20,Satb1.1,F03,35.89645984
control 2,shSp140.1,F06,31.39534884
7,Jmjd4.1,B07,24.54036771
2,Brd8.4,F07,24.54506983
8,Kdm4c.4,F11,31.42509135
2,Baz2b.1,C03,24.57231726
control 3,shKlf2.2,E07,35.97185576
11,Pbrm1.3,D07,31.45751266
19,Arid1b.3,D04,35.97816961
13,Prdm10.2,C04,31.46551724
4,Dmap1.3,E06,24.6031746
9,Mecom.1,C09,31.50046598
20,Phf17.2,F11,36.02530703
7,Hdac9.3,F02,24.63768116
7,Hdac9.2,C08,24.64387464
16,Smyd3.4,G05,36.05653223
3,Brwd3.2,D02,24.66705269
7,Ing5.3,E06,24.69103339
8,Kat5.4,G07,31.55893536
15,Sfmbt1.3,E05,36.08891109
15,Setd8.4,G11,36.10436893
15,Setdb1.2,C10,36.12474733
14,Prmt1.2,C04,31.61147903
1,Atrx.3,D07,24.79108635
11,Paxip1.2,C05,31.66547534
4,Chd8.2,E07,24.80359147
9,L3mbtl4.4,G09,31.68617252
11,Orc1.1,B05,31.69014085
19,Brdt.2,F04,36.24816805
8,Kat2b.3,F06,31.70798148
control 1,shKlf2.2,E07,24.84952709
20,Padi3,G09,36.26302083
4,Dmap1.4,F04,24.85732403
2,Brpf1.4,G06,24.88888889
6,Hdac2.4,F07,24.89063867
control 3,shCxxcl.1,D06,36.30532393
11,Pbrm1.2,D03,31.75832688
control 1,shSp140.4,F09,24.89217498
14,Rnf217.1,C09,31.78607467
1,Atm.2,C02,24.92233345
13,Prdm12.1,B06,31.79723502
7,Hdac7.1,B02,24.93917275
control 2,shWhsc1.1,B06,31.81818182
20,Rnf2.3,D11,36.45833333
1,Actl6b.1,B02,25.03467406
6,Gadd45b.2,D06,25.06082725
16,Smarcd3.2,C02,36.5276664
1,Asxl2.3,F08,25.10121457
9,Kdm5d.2,C08,31.98529412
19,Whsc1.1,C03,36.56936701
15,Setd5.2,E02,36.59556671
1,Aff4.2,C08,25.18714223
6,Hdac3.4,F11,25.19201229
7,Hira.4,G07,25.19866701
18,Trim66.3,F08,36.68621701
11,Nap1l2.4,E04,32.11255025
6,Hdac3.1,B11,25.25951557
control 1,shCxxcl.2,D07,25.30864198
8,Kdm3b.2,D08,32.18274112
2,Baz2b.3,F06,25.3236246
2,Brpf1.2,D03,25.33898305
9,L3mbtl4.2,C10,32.21335573
1,Atr.1,B11,25.35094963
control 3,shCd4.2,C11,36.82008368
5,Ezh1.2,C02,25.37086345
4,Dnmt3a.4,F07,25.37462537
18,Tdg.1,B02,36.8480406
14,Rbbp7.2,D08,32.25545675
2,Brpf3.4,G05,25.39118065
3,Chd1l.3,D07,25.40540541
control 1,shSmarca4.3,E04,25.40639748
20,Phf10.2,B11,36.87354796
7,Jhdm1d.2,C05,25.42579075
2,Baz1b.2,D02,25.43083372
5,Fbxo44.1,B07,25.43792841
control 2,shWhsc1.3,B08,32.30625584
18,Trim24.4,G07,36.91983122
1,Atrx.2,D03,25.48828125
control 3,shWhsc1.4,B09,36.96808511
8,Kdm5a.2,D11,32.39780354
3,Cbx5.1,C11,25.53677478
12,Phf2.1,B05,32.41758242
6,Gtf2b.1,D05,25.55970149
18,Trim33.3,F09,37.05822955
9,L3mbtl1.1,B09,32.47293922
14,Rbbp7.1,C06,32.4729892
16,Smarce1.1,B11,37.08877873
6,Gadd45b.4,F10,25.61837456
11,Nap1l3.2,D02,32.48693055
17,Sp110.1,C03,37.10323575
1,Atm.3,E05,25.62724014
18,Trim28.1,B09,37.1120108
19,Cecr2.2,C02,37.11562116
4,Chd3.4,E04,25.67018684
16,Sirt3.2,D02,37.16632444
8,Jmjd6.3,E08,32.54786451
3,Chd2.3,F03,25.69089048
5,Fbxl19.1,C09,25.69565217
3,Chd1.3,E09,25.70760234
18,Trim24.2,E07,37.20126692
control 3,shNcor1.4,D05,37.22627737
4,Ctsl.1,B05,25.75757576
2,Brpf3.3,F03,25.75757576
7,Jmjd1c.4,G06,25.7581163
20,Iws1.1,B09,37.25617685
11,Padi4.2,C07,32.65543289
9,Kdm6b.3,F05,32.66666667
9,Kdm6a.1,C03,32.69090909
18,Trim28.2,D09,37.3265157
10,Mll2.3,E08,32.69367448
17,Suv420h2.4,G02,37.33624454
control 1,shWhsc1.2,B07,25.85291888
9,Kdm6b.1,D05,32.72727273
3,Cbx4.4,G10,25.87014726
7,Hdac7.4,E04,25.8812168
19,Clock.2,F11,37.38707436
19,Wbp7.1,B02,37.40549144
7,Hltf.1,B09,25.90304183
12,Phf20l1.4,F04,32.77082199
9,Kdm6a.4,F10,32.77310924
1,Atrx.1,C09,25.91695502
control 2,shCd4.1,B10,32.79515641
8,Jmjd6.4,G04,32.80757098
21,Smarcd2.3,B09,37.47184685
6,Hcfc1.2,C10,25.96153846
12,Phf20.3,D04,32.82758621
8,Jmjd6.2,D02,32.83464567
7,Jmjd4.3,F03,25.97254005
7,Hells.1,C03,25.98371777
5,Ehmt1.1,B06,25.99687256
5,Ep400.1,B05,26.00063032
19,Zmynd11.1,B09,37.51515152
2,Bptf.4,G03,26.00375235
17,Supt16h.4,G03,37.52665245
15,Sin3a.3,D07,37.53375338
5,Ercc5.4,G02,26.02427921
11,Padi4.4,F04,32.89183223
3,Brwd3.3,E08,26.04166667
4,Dnmt1.2,D08,26.07192254
4,Chd3.3,D10,26.08257805
5,Ercc5.1,C06,26.09343936
14,Prmt7.4,G10,32.97101449
12,Ppargc1a.2,D03,32.97993184
12,Phf20.1,B03,32.98633702
1,Atad2.3,E06,26.12826603
5,Fbxl19.3,D07,26.15803815
6,Fbxw9.2,C04,26.15830116
5,Ezh2.4,F11,26.16487455
13,Prdm15.2,D09,33.06908267
4,Chd9.4,G10,26.24810893
15,Setd1a.1,C03,37.79179811
14,Rbbp7.3,E10,33.13653137
7,Ino80.4,G02,26.2756444
control 3,shNcor1.1,D02,37.8164557
9,Kdm5d.3,F02,33.15565032
16,Smyd2.2,D03,37.84271284
5,Fbxo44.2,D11,26.3029316
6,Hdac10.1,C06,26.30744849
21,Setd7.1,G04,37.86026201
17,Suz12.3,E05,37.86516854
17,Sp100.2,C08,37.86539769
3,Chd1.4,F11,26.32575758
6,Hat1.4,G11,26.34408602
control 1,shBrd8.2,C07,26.41509434
3,Cbx4.1,B09,26.43935159
3,Cbx6.2,E03,26.44817073
control 2,shKlf2.4,E09,33.33333333
control 2,shCxxcl.1,D06,33.36944745
17,Supt16h.1,C11,38.06646526
3,Carm1.4,G08,26.51612903
7,Ing5.2,C07,26.52329749
1,Atm.4,F07,26.53061224
control 3,shCd4.1,B11,38.0952381
10,Myst2.3,E05,33.39824732
4,Chd5.4,G08,26.53612424
3,Cbx4.2,D09,26.55462185
4,Crebbp.1,C11,26.56406825
18,Tet2.2,C08,38.14685315
16,Sirt5.4,F10,38.20667285
6,Gadd45b.3,F06,26.64700098
2,Brpf1.1,C09,26.64756447
17,Suv39h1.4,G11,38.2243791
19,Eaf1.1,B07,38.23296355
control 3,shNcor1.3,D04,38.24390244
control 3,shBptf.3,B04,38.2602546
6,Gadd45a.1,B06,26.68863262
1,Atr.2,C05,26.70157068
21,Smyd1.2,E11,38.28676696
16,Sirt4.1,B06,38.29959514
18,Usp22.1,B11,38.30022075
15,Setd4.1,B09,38.30065359
20,Phf10.3,C05,38.30392715
9,L3mbtl1.4,G10,33.59375
11,Ncoa1.4,G08,33.59621451
7,Hdac7.2,C04,26.73553719
17,Suz12.4,F07,38.32271762
20,Fkbp2.3,B10,38.36096939
15,Setdb1.4,G09,38.37548638
19,Cbx2.3,G02,38.39099625
10,Mta1.2,E02,33.67098865
2,Brd9.3,E09,26.8161435
17,Taf3.1,C09,38.41489822
11,Padi6.3,E10,33.69036027
12,Phf20l1.1,B04,33.69339427
15,Setdb2.2,C07,38.42609004
17,Taf1.2,C05,38.45378151
9,Mbd1.2,C07,33.73101952
16,Sirt6.2,E07,38.46153846
6,Fkbp1a.3,E08,26.87022901
13,Prdm10.3,D10,33.73435996
20,Phf17.1,E09,38.46501129
control 3,shSmarce1.4,G05,38.46928499
10,Myst1.3,E10,33.74233129
3,Brwd1.4,E04,26.88719254
9,Kdm6a.3,F06,33.78803778
2,Bptf.3,F09,26.94859038
5,Dub2a.4,E04,26.95214106
control 3,shCd4.4,E11,38.55421687
7,Ino80.3,E10,26.95623342
10,Myst1.2,D08,33.82352941
5,Ehmt2.4,F10,27
6,Gtf3c4.2,E02,27.01181767
3,Cbx3.2,E07,27.02380952
13,Prdm9.2,C02,33.89550265
16,Sirt7.2,D09,38.65336658
13,Prdm13.4,F10,33.9088729
4,Dnmt3l.3,D07,27.04995287
19,Whsc1.4,F10,38.70427255
6,Gadd45a.3,F02,27.09302326
17,Smyd5.3,E08,38.73343152
11,Padi6.2,D08,33.98558187
18,Ube2e1.3,E06,38.75598086
16,Smarca1.2,E02,38.76194433
17,Sp100.4,G08,38.77659574
6,Hdac1.1,B04,27.16366752
10,Mta2.3,F08,34.05114401
8,Kdm4c.1,B11,34.08314351
10,Nap1l1.3,F03,34.08978786
20,Mecp2.1,E03,38.86029412
control 2,shWhsc1.4,B09,34.10606542
7,Jhdm1d.1,B11,27.24935733
7,Ing3.1,B05,27.25080386
3,Chd2.2,D11,27.25558001
15,Scml2.1,B10,38.88261851
19,Dpy30.1,D03,38.88363292
15,Sfmbt2.1,B11,38.89541716
1,Asxl1.3,F09,27.27272727
control 1,shBptf.1,B02,27.27666956
15,Setd5.4,G03,38.90977444
16,Smyd2.1,C09,38.92595063
9,Kdm6b.2,E07,34.16496945
16,Sirt3.4,G04,38.96103896
8,Jmjd5.3,D10,34.19139915
19,Brd7.2,B04,38.97207608
11,Orc1.2,E03,34.21474359
1,Aff1.4,G04,27.37169518
5,Dub2a.3,D10,27.37835875
14,Prmt3.3,F02,34.2408377
15,Sin3a.4,G06,39.05579399
17,Suv39h2.3,D04,39.06390639
10,Mll1.1,B02,34.29697766
12,Phf1.3,E11,34.31568432
9,Mbd4.2,C05,34.32657926
15,Scml4.1,B06,39.13875598
2,Brd3.4,F04,27.5
17,Taf3.2,D03,39.15379449
17,Smyd4.2,C04,39.16083916
16,Smarce1.4,F11,39.18533605
4,Chd6.4,F10,27.55461593
control 3,shCd4.3,D11,39.21568627
