Position,Pool,shRNA,GeoMean
12_D06,2,Pcmt1.2,3485.70772292057
12_D07,2,Ppargc1a.3,6536.00271812918
12_D08,2,Phf8.2,6054.72168820288
12_D09,2,Phf1.2,6819.84031723123
12_D10,2,Pcgf2.3,6382.20030637313
12_D11,2,Prdm1.2,5715.52250182084
12_E02,2,Phf19.2,5426.46353020277
12_E03,2,Phf2.2,7567.38690782603
12_E04,2,Pcgf2.4,6219.32465011467
12_E05,2,Phip.3,6570.84550634473
12_E06,2,Phf20l1.3,4540.26487940342
12_E07,2,Phc1.2,7407.85118511406
12_E08,2,Pcgf5.3,5899.71168233417
12_E09,2,Polr2b.3,6575.59750783051
12_E10,2,Phf8.3,6488.6512616467
12_E11,2,Phf1.3,6573.07439334424
12_F02,2,Pcgf6.3,5457.36927359199
12_F03,2,Prdm1.3,6000.96284325149
12_F04,2,Phf20l1.4,6964.80762894428
12_F05,2,Phc1.3,6707.97141323435
12_F06,2,Pcmt1.3,7883.83087903355
12_F07,2,Phip.4,6574.13491874037
12_F08,2,Phf2.3,6773.30943651263
12_F09,2,Phf19.3,5487.44216536419
12_F10,2,Pcmt1.4,6101.38189246788
12_F11,2,Polr2b.4,6755.58965878505
12_G02,2,Phf8.4,7027.85854375898
12_G03,2,Phf19.4,4215.34152754953
12_G04,2,Pcgf5.4,5838.98307647537
12_G05,2,Prdm1.4,4873.39575432277
12_G06,2,Ppargc1a.4,4349.72476890298
12_G07,2,Phc1.4,5599.53555792415
12_G08,2,Pcgf6.4,4695.63518689868
12_G09,2,Phf20.4,5016.83429929257
12_G10,2,Phf1.4,5626.01962431985
12_G11,2,Phf2.4,5420.91742687733
control2_B02,2,Bptf.1,5464.14933717419
control2_B03,2,Bptf.2,6038.83426885715
control2_B04,2,Bptf.3,4688.84285823116
control2_B05,2,Bptf.4,5031.98958023475
control2_B06,2,Whsc1.1,7605.98001187974
control2_B07,2,Whsc1.2,5980.63570574598
control2_B08,2,Whsc1.3,6208.07040775603
control2_B09,2,Whsc1.4,6705.58398249241
control2_B10,2,Cd4.1,6166.65928856929
control2_B11,2,Cd4.1,601.936284149398
control2_C02,2,Mll2.1,3011.62491299279
control2_C03,2,Mll2.2,1664.44327900461
control2_C04,2,Mll2.3,5275.56910648859
control2_C05,2,Mll2.4,5435.92976936191
control2_C06,2,Brd8.1,7193.20179247965
control2_C07,2,Brd8.2,6153.66186584674
