Position,Pool,shRNA,GeoMean
3_B08,1,Chaf1b.1,43.81937849
3_B09,1,Cbx4.1,40.76618916
3_B10,1,Brwd3.1,44.30386078
3_B11,1,Chd1.1,33.69587708
3_C02,1,Chaf1b.2,66.91095444
3_C03,1,Cbx1.1,35.79301401
3_C04,1,Brwd1.2,44.5360319
3_C05,1,Chd1.2,46.73526988
3_C06,1,Chaf1a.1,66.79265215
3_C07,1,Cbx8.2,50.85992165
3_C08,1,Carm1.2,42.54790054
3_C09,1,Chd1l.1,38.27644411
3_C10,1,Cbx7.2,30.62357106
3_C11,1,Cbx5.1,37.59155435
3_D02,1,Brwd3.2,39.88785162
3_D03,1,Chd1l.2,42.76133021
3_D04,1,Cbx7.3,37.10615243
3_D05,1,Cbx3.1,40.44473907
3_D06,1,Cbx1.2,41.31739365
3_D07,1,Chd1l.3,29.64981311
3_D08,1,Chaf1a.2,55.13063586
3_D09,1,Cbx4.2,51.35410427
3_D10,1,Brwd1.3,36.04939771
3_D11,1,Chd2.2,40.8997019
3_E02,1,Cbx5.2,34.85951079
3_E03,1,Cbx6.2,38.73559725
3_E04,1,Brwd1.4,42.45068056
3_E05,1,Chaf1b.3,35.22561818
3_E06,1,Cbx8.3,36.30124511
3_E07,1,Cbx3.2,37.85645119
3_E08,1,Brwd3.3,38.83665003
3_E09,1,Chd1.3,41.36177799
3_E10,1,Chaf1a.3,63.76531665
3_E11,1,Cbx4.3,43.82903372
3_F02,1,Carm1.3,50.96293207
3_F03,1,Chd2.3,41.82124763
3_F04,1,Cbx8.4,44.07650804
3_F05,1,Cbx3.3,38.58178993
3_F06,1,Cbx1.3,55.40363117
3_F07,1,Chaf1b.4,90.77851558
3_F08,1,Cbx6.3,39.8721421
3_F09,1,Cbx5.3,41.31211306
3_F10,1,Cbx1.4,49.64819613
3_F11,1,Chd1.4,43.05248718
3_G02,1,Chaf1a.4,68.7189474
3_G03,1,Cbx5.4,43.24911563
3_G04,1,Brwd3.4,45.93820111
3_G05,1,Chd2.4,42.18876989
3_G06,1,Chd1l.4,0
3_G07,1,Cbx3.4,50.43960789
3_G08,1,Carm1.4,50.55599775
3_G09,1,Cbx7.4,46.23302547
3_G10,1,Cbx4.4,45.75956126
3_G11,1,Cbx6.4,38.46587008
6_B02,1,Fbxw9.1,53.48349495
6_B03,1,Hcfc1.1,48.16968696
6_B04,1,Hdac1.1,63.86259424
6_B05,1,Hat1.1,52.66271917
6_B06,1,Gadd45a.1,45.08270678
6_B07,1,Hdac6.1,44.1777317
