shRNA,count,pctg,nbPctg
Kdm5c.1,129317,0.8398951938201192,93.16884187210664
Kdm5c.2,159542,1.036202193156735,94.0921725878357
Kdm5c.3,10311,0.06696845227989554,81.1230477871697
Kdm5c.4,8595,0.05582328070465542,80.27112210685637
Kdm5d.1,37250,0.24193335732965848,87.2807856044252
Kdm5d.2,13244,0.08601786267044287,82.30514232969158
Kdm5d.3,35237,0.22885921375101143,87.01155869151005
Kdm5d.4,343,0.0022277353440019556,66.45728240876684
Kdm6a.1,16116,0.1046710868919403,83.23971970218726
Kdm6a.2,25611,0.16633973730388948,85.4667422541408
Kdm6a.3,7459,0.04844512516300463,79.61242722982256
Kdm6a.4,12247,0.07954249200580744,81.93434307449982
Kdm6b.1,44,0.0002857736301343617,58.88984314712311
Kdm6b.2,5264,0.03418891793243818,78.01145608526804
Kdm6b.3,5901,0.0383261407141561,78.53325539739292
Kdm6b.4,1524,0.009898159371017436,72.5474832775867
Klf12.4,95,0.0006170112468810081,61.625034228935114
Klf12.5,1692,0.01098929504971227,72.99421050093603
Klf2.2,79,0.0005130935631957857,60.95979559093896
Klf2.3,793,0.005150420197648837,69.81546503406246
Klf2.4,5106,0.033162730806046606,77.87280036546736
Klf2.5,1,6.4948552303264015e-06,47.15081596005528
Klf2.6,1803,0.011710223980278501,73.26699632614383
Klf2.7,31,0.00020134051214011845,57.69451537787088
L3mbtl1.1,1068,0.006936505385988596,71.04782509850114
L3mbtl1.2,7866,0.05108853124174748,79.85876045823572
L3mbtl1.3,217933,1.4154432849107237,95.38810710032068
L3mbtl1.4,72652,0.47186422219367374,90.4972006048536
L3mbtl2.1,7576,0.049205023224952814,79.68454860968079
L3mbtl2.3,5386,0.034981290270538,78.11594176174587
L3mbtl2.4,2499,0.016230643220585678,74.68346617793348
L3mbtl3.1,17046,0.11071130225614384,83.50797089280869
L3mbtl3.2,9437,0.06129194880859025,80.70763248914963
L3mbtl3.3,13601,0.08833652598766939,82.43143427447758
L3mbtl3.4,35987,0.2337303551737562,87.11362320802093
L3mbtl4.1,14953,0.09711757025907068,82.8823097983367
L3mbtl4.2,33263,0.2160383695263471,86.7321759005946
L3mbtl4.3,6014,0.039060059355182974,78.62017897784426
L3mbtl4.4,5007,0.03251974013824429,77.78381225124086
Mbd1.1,45348,0.29452869498484163,88.23336599924599
Mbd1.2,2001,0.01299620531588313,73.7163764041232
Mbd1.3,2809,0.01824404834198686,75.19729316407053
Mbd1.4,13183,0.08562167650139295,82.28324900611733
Mbd2.2,18229,0.11839471599361998,83.82939211528395
Mbd2.3,88137,0.572437055435278,91.40931912255542
Mbd2.4,5557,0.03609191051492381,78.2584772330693
Mbd3.1,5505,0.03575417804294684,78.2156484357478
Mbd3.2,174618,1.1341186306091355,94.47756998114407
Mbd3.3,5165,0.033545927264635865,77.92503026572646
Mbd3.4,190,0.0012340224937620163,64.18910677960784
Mbd4.1,124713,0.8099928803396964,93.00613856713836
Mbd4.2,19824,0.1287540100859906,84.2321137283586
